Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"1,225","10,230","8,298","8,169","9,819","11,653","12,303","13,969","15,053","15,440","15,814","17,637","19,157","19,686","20,116","19,734","17,824","15,320","12,968","9,151","4,717","1,193","-1,543","-3,683","-5,332","-6,614","-7,491","-8,083","-8,673","-9,406","-10,094","-10,845","-11,569","-12,140","-12,652","-12,927","-13,249","-13,471","-13,689","-13,942","-14,414","-14,882","-15,363","-15,808","-16,140","-16,180","-15,983","-15,673","-14,869","-13,921","-12,929","-12,144","-10,926","-10,024","-8,837","-7,309","-5,301","-2,900",907,"4,052","7,612","10,974","13,868","15,579","16,744","18,014","18,673","18,917","19,067","19,138","18,978","19,140","19,153","19,058","19,159","19,203","19,427","19,554","19,541","19,575","19,579","19,783","19,650","18,823","18,443","18,524","18,915","18,851","19,153","18,580","18,618","18,874",
Consumption,"18,288","10,230","8,298","8,169","9,819","11,653","12,303","13,969","15,053","15,440","15,814","17,637","19,157","19,687","20,116","19,856","19,361","19,530","19,851","18,817","17,294","16,759","16,867","17,177","17,446","17,613","17,774","17,909","18,008","18,104","18,260","18,340","18,427","18,597","18,632","18,703","18,693","18,733","18,721","18,736","18,748","18,759","18,791","18,822","18,818","18,880","18,919","18,939","19,071","19,160","19,280","19,349","19,498","19,574","19,807","19,943","19,917","20,142","21,031","20,905","21,050","21,096","20,852","20,149","19,511","19,605","19,667","19,672","19,703","19,730","19,544","19,635","19,600","19,432","19,479","19,482","19,693","19,757","19,707","19,703","19,670","19,838","19,698","18,866","18,483","18,556","18,937","18,872","19,180","18,622","18,686","18,969",
Public Consumption,"5,451","4,380","3,266","3,177","4,546","6,100","6,450","7,811","8,585","8,620","8,626","10,049","11,169","11,282","11,307","10,634","9,746","9,511","9,446","8,038","6,145","5,247","5,000","4,975","4,920","4,799","4,677","4,557","4,401","4,265","4,189","4,062","3,963","3,983","3,881","3,846","3,790","3,793","3,745","3,733","3,721","3,712","3,744","3,776","3,770","3,845","3,884","3,878","3,964","4,015","4,102","4,120","4,242","4,335","4,517","4,544","4,382","4,362","4,919","4,595","4,703","4,958","5,116","4,902","4,670","4,945","5,120","5,207","5,302","5,458","5,502","5,807","5,911","5,871","6,013","6,079","6,372","6,562","6,657","6,828","6,986","7,386","7,515","6,987","6,939","7,361","8,070","8,310","8,859","8,373","8,516","8,877",
"Public Consumption, Education","1,437",91,91,186,"1,595","3,136","3,518","4,909","5,691","5,722","5,728","7,139","8,289","8,394","8,427","7,739","6,820","6,486","6,328","4,820","2,859","1,934","1,697","1,641","1,557","1,418","1,240","1,083",936,787,666,563,482,433,383,334,285,255,226,196,166,139,139,138,137,139,139,139,137,137,133,131,127,125,129,135,123,121,119,113,110,109,115,114,112,109,106,103,100,97,94,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
"Public Consumption, Health","1,441","1,831",717,533,493,506,473,444,436,440,439,452,421,429,422,437,466,560,645,725,771,793,790,821,851,867,918,953,937,946,988,958,936,"1,005",951,965,958,992,974,995,"1,014","1,035","1,073","1,108","1,102","1,179","1,219","1,215","1,301","1,352","1,439","1,456","1,572","1,660","1,834","1,852","1,719","1,699","2,269","1,945","2,038","2,339","2,484","2,267","2,030","2,304","2,479","2,559","2,649","2,797","2,831","3,128","3,221","3,159","3,283","3,330","3,581","3,725","3,762","3,883","3,981","4,292","4,249","3,613","3,455","3,751","4,326","4,430","4,843","4,205","4,201","3,980",
"Public Consumption, Other than health and education","2,572","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,457","2,457","2,458","2,460","2,464","2,471","2,480","2,489","2,498","2,505","2,510","2,512","2,514","2,516","2,518","2,521","2,525","2,529","2,533","2,536","2,539","2,541","2,543","2,544","2,543","2,543","2,541","2,539","2,537","2,535","2,532","2,530","2,528","2,526","2,525","2,525","2,526","2,528","2,531","2,535","2,539","2,543","2,544","2,544","2,542","2,540","2,536","2,533","2,530","2,526","2,524","2,525","2,527","2,531","2,538","2,545","2,554","2,564","2,576","2,589","2,605","2,624","2,649","2,678","2,714","2,758","2,811","2,878","2,954","3,050","3,159","3,277","3,399","3,528","3,659","3,821","4,005","4,222","4,457","4,691",
Private Consumption,"12,837","5,850","5,032","4,992","5,273","5,553","5,853","6,158","6,468","6,820","7,188","7,588","7,988","8,405","8,809","9,222","9,615","10,019","10,406","10,780","11,149","11,512","11,867","12,202","12,526","12,814","13,097","13,352","13,607","13,840","14,071","14,279","14,464","14,614","14,752","14,857","14,903","14,941","14,976","15,003","15,027","15,047","15,047","15,046","15,048","15,035","15,035","15,061","15,108","15,145","15,178","15,230","15,256","15,239","15,291","15,398","15,536","15,780","16,112","16,310","16,347","16,137","15,736","15,247","14,841","14,660","14,547","14,465","14,400","14,271","14,042","13,828","13,688","13,561","13,466","13,403","13,321","13,196","13,050","12,875","12,684","12,452","12,183","11,879","11,544","11,195","10,868","10,562","10,321","10,249","10,171","10,092",
"Private Consumption, Education",94,80,71,91,274,403,517,448,120,115,79,140,98,147,117,184,148,197,220,132,85,219,142,137,133,170,172,114,114,77,100,135,125,78,107,92,93,93,93,75,53,69,76,78,64,62,39,44,54,98,121,51,51,66,34,46,37,99,27,34,37,13,29,15,17,17,9,16,10,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",420,178,179,180,180,180,179,177,172,170,167,165,164,168,166,164,163,165,164,169,176,179,178,189,206,222,248,278,300,314,331,343,355,370,387,402,418,432,444,455,465,475,484,493,503,513,522,533,543,551,559,568,576,584,594,603,609,615,622,626,631,637,642,645,648,650,652,654,656,659,660,663,665,668,673,679,681,680,677,669,661,654,647,639,625,600,562,525,504,534,569,604,
"Private Consumption, Other than health and education","12,323","5,189","5,122","5,056","5,068","5,179","5,413","5,728","6,101","6,489","6,881","7,300","7,698","8,097","8,507","8,933","9,336","9,762","10,178","10,571","10,954","11,317","11,655","11,962","12,228","12,444","12,668","12,882","13,112","13,354","13,612","13,843","14,037","14,184","14,303","14,391","14,422","14,445","14,465","14,480","14,484","14,482","14,474","14,469","14,467","14,462","14,468","14,488","14,525","14,546","14,559","14,597","14,640","14,641","14,655","14,714","14,771","14,865","15,035","15,192","15,237","15,117","14,852","14,515","14,187","13,999","13,882","13,786","13,722","13,614","13,439","13,259","13,129","12,987","12,851","12,734","12,605","12,456","12,319","12,193","12,073","11,887","11,659","11,364","11,021","10,672","10,374","10,081","9,852","9,776","9,679","9,581",
