Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"1,315","1,759","1,684","1,759","1,800","1,816","1,936","2,244","2,392","2,500","2,683","2,673","2,870","2,859","3,024","2,976","2,992","2,957","2,791","2,581","2,728","2,698","2,183","1,710","1,359","1,168",960,684,801,814,596,398,41,-331,-587,-712,"-1,014",-922,"-1,152","-1,188","-1,311","-1,497","-1,659","-1,652","-1,625","-1,699","-1,854","-1,866","-1,895","-1,752","-1,618","-1,311",-866,-347,111,523,888,"1,230","1,581","1,882","2,109","2,322","2,479","2,624","2,747","2,912","3,058","3,172","3,319","3,480","3,615","3,757","3,865","3,965","4,073","4,181","4,279","4,388","4,504","4,618","4,722","4,807","4,864","4,911","4,956","4,996","5,007","5,028","5,070","5,123","5,205","5,269",
Consumption,"3,311","1,759","1,684","1,759","1,800","1,816","1,936","2,244","2,392","2,501","2,685","2,679","2,881","2,884","3,080","3,086","3,187","3,273","3,266","3,285","3,666","3,855","3,537","3,268","3,180","3,296","3,403","3,344","3,531","3,573","3,534","3,568","3,561","3,606","3,572","3,690","3,635","3,779","3,611","3,723","3,678","3,702","3,789","3,834","3,844","3,886","3,917","4,028","4,046","4,092","4,136","4,173","4,154","4,153","4,130","4,108","4,084","4,066","4,099","4,153","4,196","4,252","4,311","4,369","4,433","4,505","4,556","4,595","4,626","4,677","4,722","4,776","4,824","4,861","4,895","4,923","4,951","4,978","5,004","5,026","5,043","5,053","5,063","5,073","5,085","5,094","5,093","5,095","5,114","5,159","5,236","5,369",
Public Consumption,872,864,802,749,698,707,728,824,"1,018","1,127","1,132","1,156","1,134","1,120","1,128","1,096","1,100","1,010",980,975,"1,062","1,209",952,826,798,761,775,731,770,688,697,759,711,730,681,700,677,811,684,746,708,694,703,705,710,716,720,726,734,747,758,776,786,800,813,820,828,832,837,836,839,846,861,877,893,907,918,925,931,944,955,968,980,993,"1,005","1,018","1,030","1,038","1,040","1,043","1,048","1,056","1,067","1,082","1,099","1,112","1,121","1,129","1,151","1,197","1,276","1,410",
"Public Consumption, Education",170,0,2,6,15,56,94,196,388,490,487,518,515,509,514,480,485,395,361,351,421,554,288,157,128,93,110,74,119,32,34,92,41,58,9,27,1,132,4,59,16,0,4,0,0,0,0,2,1,0,0,4,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health",152,314,250,193,133,102,84,79,80,87,95,87,70,61,64,66,65,65,68,74,92,105,114,119,120,118,115,106,101,106,113,118,120,122,123,123,126,129,130,137,142,145,150,156,161,166,170,174,184,197,208,222,236,250,263,270,277,282,286,287,289,296,311,325,343,357,368,375,381,394,405,418,430,443,455,469,481,488,490,493,498,506,517,532,549,562,571,579,601,647,726,860,
"Public Consumption, Other than health and education",550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
Private Consumption,"2,439",895,882,"1,010","1,102","1,109","1,208","1,420","1,374","1,374","1,553","1,523","1,746","1,764","1,952","1,991","2,087","2,263","2,286","2,311","2,604","2,646","2,585","2,442","2,382","2,536","2,628","2,613","2,761","2,885","2,837","2,809","2,849","2,875","2,891","2,990","2,959","2,968","2,927","2,977","2,970","3,007","3,086","3,128","3,134","3,170","3,197","3,303","3,312","3,345","3,379","3,398","3,368","3,354","3,317","3,287","3,256","3,234","3,262","3,317","3,357","3,406","3,450","3,491","3,540","3,597","3,638","3,670","3,695","3,734","3,767","3,808","3,844","3,868","3,890","3,905","3,921","3,941","3,964","3,983","3,995","3,997","3,997","3,991","3,986","3,982","3,972","3,966","3,964","3,962","3,961","3,959",
"Private Consumption, Education",157,19,11,122,202,181,245,400,301,242,368,269,427,326,385,321,357,439,362,274,431,420,331,188,69,139,167,51,110,168,60,25,38,22,1,55,4,44,5,45,27,5,4,0,0,28,27,63,9,0,0,0,0,11,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",110,63,73,72,59,47,39,36,36,35,33,29,30,32,38,41,43,45,48,47,47,47,56,65,74,82,78,82,86,84,96,107,109,108,108,112,119,127,134,133,126,124,130,142,152,159,167,175,179,177,174,176,179,191,205,217,224,228,235,246,256,264,267,271,276,286,299,315,309,322,339,355,371,388,408,429,453,482,517,547,568,582,601,613,628,644,662,679,697,713,728,742,
"Private Consumption, Other than health and education","2,172",813,798,817,841,881,924,985,"1,037","1,098","1,152","1,225","1,289","1,406","1,528","1,628","1,687","1,779","1,876","1,989","2,126","2,178","2,197","2,190","2,240","2,314","2,383","2,480","2,565","2,632","2,681","2,677","2,702","2,746","2,782","2,824","2,836","2,797","2,788","2,799","2,817","2,878","2,952","2,986","2,982","2,983","3,004","3,065","3,123","3,168","3,204","3,221","3,189","3,152","3,112","3,070","3,031","3,006","3,026","3,057","3,101","3,142","3,182","3,221","3,264","3,311","3,338","3,356","3,386","3,412","3,428","3,454","3,473","3,480","3,482","3,476","3,467","3,458","3,447","3,436","3,426","3,415","3,396","3,378","3,358","3,338","3,310","3,287","3,267","3,249","3,232","3,217",
