Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"1,313","2,802","2,629","2,531","2,613","2,616","3,077","3,422","3,586","3,773","3,887","3,890","4,005","4,198","4,358","4,475","4,661","4,436","4,136","3,989","3,650","3,264","3,039","2,377","1,731","1,260",707,283,-178,-456,-990,"-1,256","-1,436","-1,788","-1,800","-1,787","-2,074","-2,066","-2,302","-2,462","-2,522","-2,626","-2,841","-3,132","-3,255","-3,107","-2,954","-2,907","-2,720","-2,420","-2,198","-1,816","-1,455","-1,016",-502,-193,312,784,"1,145","1,343","1,661","1,906","2,039","2,274","2,502","2,816","3,164","3,396","3,762","4,102","4,374","4,653","4,887","5,129","5,288","5,423","5,569","5,682","5,774","5,838","5,917","6,014","6,087","6,171","6,264","6,361","6,457","6,549","6,585","6,659","6,688","6,729",
Consumption,"5,376","2,802","2,629","2,531","2,613","2,616","3,077","3,422","3,586","3,773","3,887","3,890","4,005","4,220","4,409","4,586","4,895","4,908","4,962","5,278","5,482","5,734","6,200","6,209","6,206","6,350","6,337","6,410","6,385","6,461","6,224","6,189","6,214","6,019","6,125","6,244","6,071","6,218","6,110","6,031","6,027","5,990","5,854","5,653","5,554","5,684","5,820","5,850","6,000","6,196","6,234","6,420","6,591","6,804","7,023","7,053","7,148","7,257","7,292","7,232","7,156","7,024","6,882","6,814","6,747","6,731","6,740","6,638","6,641","6,628","6,590","6,568","6,522","6,537","6,527","6,537","6,556","6,562","6,555","6,532","6,522","6,532","6,548","6,557","6,570","6,587","6,604","6,623","6,646","6,666","6,688","6,729",
Public Consumption,"1,073","1,117",869,703,635,727,"1,123","1,313","1,411","1,394","1,424","1,471","1,480","1,483","1,500","1,427","1,372","1,321","1,285","1,402","1,299","1,172","1,435","1,149","1,016","1,060",993,941,854,919,881,891,886,692,700,763,731,978,"1,001",950,935,856,795,711,680,733,750,684,760,867,859,927,943,"1,029","1,092","1,014",996,"1,001","1,005","1,026","1,028",976,949,936,923,933,954,"1,005","1,062","1,106","1,148","1,193","1,236","1,285","1,336","1,390","1,458","1,533","1,613","1,652","1,679","1,671","1,658","1,656","1,649","1,640","1,633","1,616","1,594","1,577","1,557","1,509",
"Public Consumption, Education",361,0,0,11,36,166,574,790,904,883,881,898,905,938,"1,005",954,903,815,746,857,764,638,877,566,418,460,398,297,155,192,144,176,220,56,65,121,42,180,124,61,40,32,89,49,27,88,101,11,43,119,72,64,0,28,67,0,0,0,0,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health",368,774,526,350,256,218,206,180,165,168,200,230,233,202,152,130,127,164,196,202,192,191,215,240,255,257,251,301,356,385,394,372,323,292,292,298,347,455,533,546,552,482,364,319,310,302,306,331,375,405,445,520,600,659,682,671,653,658,662,661,651,633,606,593,580,590,612,662,719,763,805,850,893,942,994,"1,047","1,116","1,190","1,270","1,310","1,336","1,328","1,315","1,313","1,306","1,297","1,290","1,273","1,252","1,234","1,214","1,166",
"Public Consumption, Other than health and education",343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,
Private Consumption,"4,304","1,686","1,760","1,828","1,977","1,889","1,954","2,109","2,174","2,379","2,462","2,418","2,524","2,737","2,909","3,159","3,523","3,587","3,677","3,876","4,183","4,562","4,765","5,060","5,189","5,291","5,345","5,470","5,531","5,541","5,342","5,298","5,328","5,327","5,424","5,481","5,340","5,240","5,109","5,081","5,092","5,134","5,059","4,943","4,874","4,951","5,070","5,166","5,240","5,329","5,375","5,493","5,648","5,775","5,932","6,039","6,152","6,256","6,287","6,207","6,128","6,048","5,933","5,878","5,824","5,799","5,785","5,632","5,579","5,522","5,443","5,376","5,285","5,252","5,191","5,147","5,097","5,029","4,942","4,879","4,844","4,861","4,890","4,901","4,922","4,947","4,970","5,008","5,051","5,089","5,131","5,220",
"Private Consumption, Education",114,0,0,25,179,96,131,206,125,216,236,127,155,214,227,186,310,219,313,251,278,280,232,304,234,213,147,122,115,154,38,69,97,29,46,78,7,44,20,16,40,45,37,28,10,39,55,18,1,38,21,13,0,5,13,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",104,47,67,78,78,69,57,48,46,45,45,43,47,54,55,55,55,59,53,52,51,58,58,55,54,58,67,78,85,90,92,92,95,100,101,101,104,102,100,101,103,101,98,99,111,126,143,164,172,176,179,181,182,191,207,221,234,243,246,241,237,235,235,236,240,246,253,250,255,258,261,265,269,278,286,294,301,305,307,299,294,291,289,286,283,280,278,274,270,266,262,259,
"Private Consumption, Other than health and education","4,087","1,638","1,692","1,725","1,720","1,724","1,766","1,855","2,004","2,118","2,182","2,248","2,322","2,469","2,627","2,918","3,158","3,310","3,310","3,574","3,854","4,223","4,476","4,702","4,902","5,020","5,131","5,270","5,332","5,297","5,212","5,137","5,136","5,199","5,278","5,302","5,229","5,094","4,989","4,964","4,950","4,988","4,924","4,816","4,754","4,786","4,872","4,984","5,066","5,115","5,175","5,300","5,466","5,579","5,713","5,818","5,918","6,013","6,042","5,966","5,889","5,812","5,698","5,641","5,583","5,552","5,533","5,382","5,325","5,264","5,182","5,111","5,016","4,974","4,905","4,854","4,797","4,724","4,635","4,580","4,549","4,570","4,602","4,615","4,639","4,667","4,693","4,734","4,781","4,823","4,869","4,961",
Less: Labor Income ,"4,063",0,0,0,0,0,0,0,0,0,0,0,0,23,52,111,235,472,827,"1,289","1,832","2,470","3,161","3,832","4,475","5,090","5,630","6,128","6,563","6,916","7,213","7,445","7,650","7,806","7,925","8,030","8,145","8,283","8,412","8,493","8,549","8,616","8,695","8,785","8,809","8,791","8,774","8,757","8,720","8,616","8,433","8,236","8,046","7,821","7,525","7,246","6,836","6,473","6,148","5,889","5,495","5,118","4,843","4,540","4,244","3,915","3,575","3,242","2,879","2,526","2,216","1,916","1,634","1,408","1,239","1,114",987,880,781,694,606,517,461,386,306,226,147,74,60,7,0,0,
Earnings,"3,651",0,0,0,0,0,0,0,0,0,0,0,0,20,48,104,223,452,797,"1,245","1,769","2,386","3,054","3,698","4,302","4,863","5,329","5,762","6,138","6,440","6,687","6,872","7,031","7,155","7,257","7,355","7,461","7,569","7,655","7,693","7,705","7,721","7,740","7,768","7,736","7,682","7,637","7,594","7,533","7,418","7,243","7,051","6,871","6,663","6,393","6,145","5,795","5,479","5,205","4,985","4,645","4,311","4,072","3,811","3,557","3,276","2,978","2,693","2,379","2,075","1,815","1,563","1,326","1,136",996,894,790,704,625,558,488,419,379,321,260,198,136,74,60,7,0,0,
