Index,Variant,"Major area, region, country or area *",Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1171,Medium fertility,Ethiopia,,231,2011,  2 873,  2 821,  2 786,  2 753,  2 722,  2 692,  2 663,  2 632,  2 599,  2 562,  2 522,  2 479,  2 435,  2 378,  2 305,  2 220,  2 136,  2 050,  1 962,  1 872,  1 781,  1 691,  1 598,  1 521,  1 468,  1 429,  1 391,  1 358,  1 316,  1 258,  1 190,  1 128,  1 066,  1 014,   978,   953,   927,   903,   874,   837,   794,   754,   716,   680,   647,   617,   587,   557,   533,   514,   499,   485,   473,   459,   439,   418,   397,   377,   360,   349,   341,   332,   324,   313,   298,   279,   262,   245,   228,   211,   195,   180,   164,   149,   137,   127,   116,   107,   97,   86,   75,   65,   55,   46,   38,   31,   25,   19,   14,   11,   8,   6,   5,   3,   2,   1,   1,   1,   0,   0,   0
1172,Medium fertility,Ethiopia,,231,2012,  2 916,  2 860,  2 807,  2 772,  2 740,  2 711,  2 682,  2 654,  2 626,  2 594,  2 558,  2 517,  2 473,  2 429,  2 373,  2 299,  2 215,  2 130,  2 044,  1 956,  1 866,  1 776,  1 685,  1 593,  1 516,  1 462,  1 424,  1 386,  1 352,  1 310,  1 252,  1 185,  1 122,  1 060,  1 008,   973,   947,   921,   897,   868,   831,   788,   749,   711,   675,   642,   612,   582,   553,   528,   509,   494,   480,   468,   454,   434,   413,   392,   372,   355,   343,   334,   325,   317,   306,   290,   272,   254,   237,   219,   203,   187,   171,   155,   141,   129,   118,   108,   98,   88,   78,   68,   58,   49,   40,   33,   27,   21,   16,   12,   9,   7,   5,   4,   3,   2,   1,   1,   0,   0,   0
1173,Medium fertility,Ethiopia,,231,2013,  2 961,  2 896,  2 841,  2 793,  2 759,  2 728,  2 700,  2 673,  2 646,  2 620,  2 589,  2 553,  2 512,  2 469,  2 424,  2 367,  2 294,  2 209,  2 124,  2 038,  1 950,  1 860,  1 770,  1 680,  1 587,  1 510,  1 457,  1 418,  1 380,  1 347,  1 305,  1 247,  1 180,  1 117,  1 055,  1 003,   967,   942,   915,   891,   863,   826,   783,   744,   706,   670,   637,   607,   578,   548,   523,   505,   490,   476,   463,   449,   429,   408,   387,   367,   350,   337,   328,   319,   310,   299,   283,   264,   246,   229,   211,   195,   179,   163,   147,   133,   120,   110,   99,   90,   80,   70,   60,   51,   42,   35,   28,   23,   18,   13,   9,   7,   5,   4,   3,   2,   1,   1,   0,   0,   0
1174,Medium fertility,Ethiopia,,231,2014,  3 005,  2 933,  2 872,  2 821,  2 780,  2 746,  2 716,  2 689,  2 664,  2 639,  2 614,  2 585,  2 550,  2 508,  2 464,  2 420,  2 363,  2 289,  2 204,  2 119,  2 033,  1 945,  1 855,  1 765,  1 674,  1 582,  1 505,  1 452,  1 413,  1 375,  1 342,  1 300,  1 242,  1 175,  1 112,  1 050,   998,   962,   937,   910,   886,   857,   820,   778,   739,   701,   665,   633,   603,   573,   544,   519,   500,   485,   471,   459,   444,   425,   403,   382,   362,   344,   332,   323,   313,   304,   292,   276,   257,   239,   221,   203,   187,   171,   155,   139,   124,   112,   101,   91,   81,   72,   62,   53,   44,   36,   29,   23,   18,   14,   10,   7,   5,   4,   3,   2,   1,   1,   0,   0,   0
1175,Medium fertility,Ethiopia,,231,2015,  3 045,  2 970,  2 906,  2 851,  2 806,  2 767,  2 734,  2 705,  2 680,  2 656,  2 632,  2 610,  2 582,  2 547,  2 505,  2 461,  2 416,  2 359,  2 285,  2 200,  2 115,  2 029,  1 940,  1 850,  1 760,  1 670,  1 577,  1 501,  1 447,  1 409,  1 371,  1 337,  1 295,  1 237,  1 170,  1 107,  1 045,   994,   957,   932,   905,   881,   852,   815,   773,   734,   697,   661,   628,   598,   569,   540,   515,   496,   481,   467,   454,   439,   420,   398,   377,   357,   339,   326,   317,   307,   297,   285,   268,   249,   231,   213,   195,   178,   162,   146,   131,   116,   104,   93,   83,   73,   64,   54,   45,   37,   29,   23,   18,   14,   10,   7,   5,   3,   2,   1,   1,   1,   0,   0,   0
1176,Medium fertility,Ethiopia,,231,2016,  3 075,  3 023,  2 955,  2 896,  2 845,  2 801,  2 762,  2 728,  2 699,  2 674,  2 650,  2 627,  2 604,  2 576,  2 541,  2 498,  2 454,  2 409,  2 351,  2 278,  2 193,  2 108,  2 022,  1 933,  1 843,  1 753,  1 664,  1 572,  1 495,  1 441,  1 403,  1 365,  1 331,  1 289,  1 231,  1 164,  1 102,  1 040,   988,   952,   926,   900,   876,   847,   810,   768,   729,   691,   656,   623,   593,   564,   535,   510,   491,   475,   461,   448,   433,   414,   391,   371,   350,   332,   319,   309,   298,   288,   276,   259,   240,   221,   203,   185,   168,   153,   137,   121,   107,   95,   85,   75,   66,   57,   48,   40,   32,   25,   20,   15,   12,   9,   6,   4,   3,   2,   1,   1,   0,   0,   0
1177,Medium fertility,Ethiopia,,231,2017,  3 101,  3 032,  3 003,  2 942,  2 887,  2 840,  2 797,  2 759,  2 724,  2 694,  2 669,  2 646,  2 623,  2 600,  2 571,  2 536,  2 493,  2 448,  2 403,  2 345,  2 271,  2 187,  2 101,  2 015,  1 927,  1 837,  1 748,  1 658,  1 566,  1 490,  1 437,  1 398,  1 360,  1 326,  1 284,  1 226,  1 159,  1 097,  1 035,   983,   947,   921,   895,   871,   842,   805,   763,   724,   686,   651,   618,   588,   559,   530,   505,   486,   470,   455,   443,   427,   407,   385,   364,   343,   325,   311,   301,   290,   279,   266,   249,   230,   211,   193,   175,   159,   143,   127,   112,   98,   87,   76,   67,   58,   50,   42,   34,   28,   22,   16,   12,   9,   7,   5,   3,   2,   1,   1,   0,   0,   0
1178,Medium fertility,Ethiopia,,231,2018,  3 123,  3 062,  3 007,  2 984,  2 929,  2 880,  2 835,  2 794,  2 757,  2 720,  2 689,  2 664,  2 643,  2 620,  2 596,  2 567,  2 531,  2 488,  2 443,  2 397,  2 340,  2 266,  2 181,  2 096,  2 010,  1 922,  1 832,  1 743,  1 653,  1 562,  1 485,  1 432,  1 394,  1 355,  1 322,  1 280,  1 222,  1 155,  1 092,  1 030,   978,   942,   917,   890,   866,   837,   800,   758,   719,   682,   646,   614,   584,   554,   525,   500,   481,   465,   450,   437,   421,   402,   379,   358,   336,   318,   304,   293,   281,   271,   257,   240,   220,   202,   183,   166,   149,   133,   118,   103,   90,   78,   68,   59,   51,   43,   36,   29,   23,   18,   13,   10,   7,   5,   4,   2,   2,   1,   0,   0,   0
1179,Medium fertility,Ethiopia,,231,2019,  3 142,  3 090,  3 041,  2 994,  2 965,  2 917,  2 872,  2 831,  2 792,  2 754,  2 717,  2 685,  2 660,  2 639,  2 616,  2 592,  2 563,  2 527,  2 484,  2 439,  2 392,  2 334,  2 260,  2 175,  2 090,  2 004,  1 916,  1 827,  1 738,  1 648,  1 557,  1 481,  1 428,  1 389,  1 351,  1 317,  1 275,  1 217,  1 150,  1 088,  1 026,   974,   938,   912,   885,   861,   832,   795,   754,   715,   677,   641,   609,   579,   549,   520,   495,   476,   460,   445,   431,   416,   396,   373,   351,   330,   311,   297,   285,   273,   262,   248,   231,   211,   192,   174,   156,   139,   124,   109,   94,   81,   70,   60,   51,   43,   36,   29,   23,   18,   14,   10,   7,   5,   4,   3,   2,   1,   0,   0,   0
1180,Medium fertility,Ethiopia,,231,2020,  3 160,  3 116,  3 073,  3 029,  2 987,  2 945,  2 905,  2 865,  2 826,  2 789,  2 752,  2 713,  2 681,  2 656,  2 636,  2 613,  2 589,  2 559,  2 522,  2 479,  2 434,  2 387,  2 329,  2 255,  2 170,  2 085,  1 999,  1 911,  1 821,  1 733,  1 643,  1 552,  1 476,  1 423,  1 385,  1 346,  1 313,  1 270,  1 212,  1 146,  1 083,  1 021,   969,   933,   907,   881,   856,   828,   791,   749,   710,   672,   637,   604,   574,   545,   515,   490,   471,   455,   440,   426,   410,   390,   367,   345,   323,   304,   289,   277,   265,   253,   239,   221,   201,   182,   164,   146,   129,   114,   99,   85,   72,   61,   52,   43,   36,   29,   23,   18,   14,   10,   7,   5,   3,   2,   1,   1,   1,   0,   0
