Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"2,641","9,991","10,068","10,084","10,642","11,237","12,165","12,882","13,634","14,408","15,263","13,672","14,540","15,443","15,961","16,410","16,715","15,916","15,172","14,152","13,075","10,965","8,193","7,045","5,983","4,245","1,965",-356,"-2,676","-4,226","-5,423","-6,087","-6,620","-7,624","-8,341","-8,960","-9,690","-10,288","-10,926","-11,511","-12,099","-12,789","-13,118","-13,400","-13,687","-13,647","-13,619","-13,341","-12,868","-12,600","-11,951","-11,535","-11,212","-10,812","-9,975","-8,999","-8,271","-6,580","-4,950","-1,786",-142,"2,757","6,108","7,884","10,042","12,792","14,519","15,791","16,071","16,354","16,590","16,671","16,773","16,780","17,024","17,181","17,386","17,610","17,888","18,328","18,883","19,445","20,005","20,616","21,583","22,648","23,673","24,719","25,750","27,053","28,322","32,424",
Consumption,"17,163","9,991","10,068","10,084","10,642","11,237","12,165","12,882","13,634","14,408","15,263","13,672","14,540","15,443","15,961","16,410","16,715","16,901","17,080","16,809","16,686","16,845","17,196","17,664","18,011","18,314","18,458","18,498","18,259","18,343","18,437","18,454","18,513","18,224","18,037","17,774","17,543","17,439","17,319","17,044","16,807","16,665","16,557","16,537","16,567","16,584","16,598","16,842","17,139","17,330","17,466","17,458","17,371","17,440","17,693","17,845","18,081","18,508","19,020","19,523","19,785","19,698","19,176","18,726","18,225","17,712","17,350","17,280","17,354","17,433","17,452","17,458","17,439","17,434","17,600","17,733","17,898","18,101","18,340","18,755","19,279","19,834","20,383","20,956","21,937","22,980","23,984","25,017","26,042","27,328","28,593","32,664",
Public Consumption,"5,946","5,377","5,376","5,376","5,858","6,339","7,018","7,500","7,981","8,462","8,943","6,987","7,483","8,006","8,189","8,373","8,556","8,739","8,922","8,634","8,347","8,060","7,773","7,485","7,092","6,700","6,307","5,914","5,521","5,377","5,233","5,090","4,946","4,802","4,749","4,695","4,642","4,588","4,535","4,487","4,440","4,392","4,345","4,297","4,309","4,322","4,334","4,346","4,359","4,360","4,361","4,362","4,364","4,365","4,365","4,365","4,365","4,366","4,366","4,394","4,421","4,449","4,477","4,505","4,561","4,616","4,672","4,728","4,784","4,915","5,045","5,176","5,307","5,438","5,793","6,147","6,502","6,857","7,211","7,785","8,359","8,932","9,506","10,080","11,045","12,011","12,976","13,942","14,907","16,141","17,374","21,416",
"Public Consumption, Education","1,263",0,0,0,482,964,"1,446","1,928","2,410","2,892","3,374","3,856","4,339","4,821","4,910","5,000","5,090","5,180","5,270","4,953","4,636","4,320","4,003","3,686","3,288","2,891","2,493","2,095","1,697","1,527","1,357","1,186","1,016",845,790,736,681,626,571,541,510,480,450,420,397,375,353,331,309,280,251,222,194,165,145,125,105,85,64,52,39,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health","1,460",889,889,889,889,889,607,607,607,607,607,621,636,679,722,765,808,851,894,904,914,924,935,945,971,997,"1,023","1,049","1,075","1,082","1,088","1,095","1,102","1,109","1,118","1,127","1,137","1,146","1,156","1,141","1,125","1,110","1,095","1,079","1,115","1,151","1,187","1,223","1,259","1,276","1,294","1,311","1,329","1,347","1,382","1,416","1,451","1,486","1,521","1,551","1,580","1,610","1,640","1,670","1,733","1,796","1,859","1,922","1,985","2,082","2,180","2,278","2,375","2,473","2,658","2,843","3,028","3,213","3,399","3,630","3,862","4,094","4,326","4,558","4,937","5,317","5,696","6,076","6,455","6,912","7,370","8,950",
"Public Consumption, Other than health and education","3,222","4,488","4,488","4,487","4,487","4,486","4,965","4,964","4,964","4,963","4,961","2,509","2,508","2,507","2,557","2,608","2,658","2,708","2,759","2,778","2,797","2,816","2,835","2,854","2,833","2,812","2,791","2,770","2,749","2,769","2,789","2,808","2,828","2,848","2,840","2,832","2,824","2,816","2,808","2,806","2,804","2,802","2,800","2,798","2,797","2,795","2,794","2,793","2,791","2,804","2,816","2,829","2,841","2,853","2,839","2,824","2,810","2,795","2,780","2,791","2,802","2,813","2,824","2,835","2,828","2,821","2,813","2,806","2,799","2,832","2,865","2,898","2,932","2,965","3,134","3,304","3,474","3,643","3,813","4,155","4,496","4,838","5,180","5,522","6,108","6,694","7,280","7,866","8,452","9,228","10,004","12,467",
Private Consumption,"11,217","4,613","4,691","4,707","4,784","4,898","5,146","5,383","5,653","5,946","6,321","6,685","7,058","7,436","7,772","8,038","8,159","8,163","8,159","8,175","8,339","8,785","9,423","10,179","10,918","11,614","12,151","12,584","12,738","12,966","13,203","13,364","13,567","13,422","13,289","13,079","12,901","12,851","12,784","12,557","12,367","12,273","12,212","12,240","12,258","12,262","12,264","12,496","12,780","12,970","13,105","13,096","13,007","13,075","13,328","13,480","13,716","14,143","14,654","15,129","15,364","15,249","14,699","14,221","13,665","13,096","12,678","12,552","12,570","12,519","12,406","12,281","12,132","11,996","11,808","11,586","11,397","11,244","11,129","10,970","10,920","10,902","10,877","10,876","10,892","10,969","11,008","11,075","11,134","11,187","11,219","11,248",
"Private Consumption, Education",34,15,30,9,28,12,42,35,41,18,27,27,29,18,19,40,43,38,60,50,46,53,89,84,34,40,57,108,23,15,36,24,102,40,45,40,20,47,51,39,22,17,28,37,31,37,39,45,42,20,78,35,25,51,73,21,35,42,19,23,20,86,18,8,24,36,19,15,23,12,13,10,31,24,7,7,7,2,1,1,2,8,2,6,0,28,0,0,0,1,0,0,
"Private Consumption, Health",391,210,223,227,222,221,219,210,197,195,199,208,217,230,236,232,221,213,212,210,205,201,194,199,220,241,256,269,270,264,262,255,253,273,291,300,311,309,291,270,263,264,262,265,275,295,300,312,323,332,351,392,425,440,453,458,459,479,511,540,573,575,560,557,561,581,605,649,697,732,762,789,812,826,825,812,807,817,832,833,844,854,866,894,939,966,985,997,"1,008","1,020","1,022","1,020",
"Private Consumption, Other than health and education","10,792","4,388","4,438","4,471","4,535","4,665","4,886","5,138","5,415","5,733","6,095","6,450","6,811","7,188","7,517","7,765","7,896","7,912","7,887","7,914","8,088","8,531","9,140","9,896","10,664","11,333","11,839","12,207","12,445","12,686","12,905","13,085","13,211","13,109","12,953","12,739","12,571","12,496","12,442","12,248","12,082","11,991","11,922","11,938","11,952","11,930","11,925","12,139","12,415","12,619","12,676","12,669","12,557","12,584","12,801","13,001","13,222","13,621","14,124","14,566","14,771","14,588","14,121","13,656","13,080","12,479","12,054","11,888","11,850","11,774","11,632","11,483","11,289","11,146","10,975","10,767","10,583","10,425","10,296","10,136","10,074","10,039","10,009","9,977","9,952","9,975","10,023","10,078","10,127","10,166","10,197","10,227",
