Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"3,456","10,468","9,268","8,973","8,976","8,998","9,226","11,755","13,860","14,451","14,872","15,748","16,781","17,164","17,707","18,175","18,422","17,922","16,756","15,396","13,217","11,322","9,282","7,246","5,720","3,993","2,377",182,"-1,961","-4,001","-5,689","-7,431","-8,264","-8,879","-9,543","-10,397","-10,954","-11,960","-12,693","-13,503","-14,130","-14,467","-14,754","-14,692","-15,045","-15,098","-15,329","-14,685","-14,828","-14,298","-13,627","-13,460","-13,001","-12,056","-11,058","-9,410","-6,935","-5,345","-2,511",706,"3,779","7,328","10,789","14,431","17,224","19,742","21,411","22,182","22,570","22,693","22,700","22,717","22,693","22,518","22,790","22,955","23,153","23,124","23,504","23,602","23,718","23,908","24,114","24,246","24,595","24,782","25,521","25,742","26,172","26,688","26,712","27,030",
Consumption,"19,688","10,468","9,269","8,973","8,976","8,999","9,226","11,755","13,860","14,452","14,872","15,749","16,783","17,168","17,721","18,223","18,577","18,366","17,954","18,150","17,885","17,991","18,273","18,639","19,085","19,441","19,816","19,543","19,571","19,461","19,350","19,288","19,255","19,146","19,240","19,141","19,104","18,995","19,003","18,708","18,616","18,430","18,429","18,456","18,595","18,833","18,994","19,453","19,597","20,075","20,323","20,432","20,888","21,138","21,494","21,917","22,616","22,503","22,684","22,994","23,164","23,344","23,468","23,707","23,635","23,690","23,831","23,745","23,691","23,554","23,426","23,378","23,309","23,035","23,236","23,316","23,455","23,418","23,738","23,836","23,926","24,102","24,249","24,357","24,677","24,845","25,569","25,742","26,172","26,688","26,712","27,030",
Public Consumption,"5,432","4,839","3,846","3,592","3,244","3,226","3,302","5,572","7,390","7,601","7,473","8,002","8,676","8,682","8,811","8,892","8,757","8,058","7,073","6,627","5,916","5,535","5,391","5,195","5,088","5,102","5,089","4,615","4,438","4,245","4,007","3,906","3,830","3,747","3,852","3,833","3,908","3,924","4,087","3,927","3,969","3,870","3,907","3,906","3,957","4,020","3,967","4,188","4,103","4,349","4,351","4,217","4,419","4,395","4,460","4,587","5,009","4,735","4,795","5,006","5,121","5,285","5,399","5,640","5,572","5,669","5,875","5,886","5,961","5,986","6,032","6,166","6,289","6,193","6,539","6,765","7,043","7,142","7,606","7,851","8,109","8,435","8,710","8,947","9,347","9,628","10,591","11,272","12,253","13,186","13,607","14,479",
"Public Consumption, Education",855,0,0,0,0,0,88,"2,364","4,178","4,270","4,293","4,820","5,379","5,536","5,542","5,583","5,382","4,652","3,628","3,077","2,506","2,111","2,016","1,877","1,761","1,657","1,589","1,168",951,732,566,429,327,254,198,164,136,113,94,79,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health","1,926","2,328","1,436","1,207",893,876,864,859,861,965,832,833,934,802,911,946,"1,005","1,031","1,061","1,146","1,012","1,011",949,878,863,954,999,950,981,999,932,957,973,952,"1,081","1,084","1,167","1,194","1,350","1,219","1,257","1,235","1,267","1,265","1,312","1,373","1,330","1,529","1,461","1,682","1,693","1,581","1,764","1,750","1,810","1,925","2,300","2,057","2,108","2,293","2,397","2,542","2,636","2,834","2,760","2,830","3,005","3,008","3,070","3,088","3,132","3,248","3,358","3,271","3,579","3,779","4,026","4,118","4,529","4,752","4,979","5,259","5,503","5,705","6,042","6,279","7,124","7,739","8,615","9,464","9,833","10,594",
"Public Consumption, Other than health and education","2,651","2,511","2,410","2,386","2,351","2,350","2,350","2,350","2,351","2,366","2,348","2,349","2,363","2,345","2,359","2,363","2,370","2,375","2,383","2,404","2,398","2,413","2,426","2,440","2,463","2,491","2,501","2,497","2,506","2,513","2,509","2,520","2,530","2,542","2,573","2,585","2,606","2,617","2,644","2,629","2,634","2,635","2,640","2,641","2,645","2,647","2,637","2,659","2,642","2,667","2,659","2,636","2,655","2,645","2,650","2,662","2,709","2,678","2,687","2,713","2,724","2,742","2,763","2,806","2,812","2,839","2,870","2,878","2,891","2,897","2,899","2,918","2,931","2,922","2,959","2,987","3,017","3,024","3,077","3,099","3,131","3,176","3,207","3,243","3,305","3,349","3,467","3,532","3,639","3,722","3,774","3,885",
Private Consumption,"14,256","5,629","5,423","5,380","5,732","5,773","5,924","6,183","6,470","6,851","7,399","7,747","8,107","8,486","8,909","9,331","9,819","10,307","10,881","11,523","11,969","12,456","12,882","13,444","13,998","14,339","14,727","14,928","15,132","15,216","15,343","15,381","15,425","15,398","15,388","15,308","15,195","15,071","14,916","14,781","14,648","14,559","14,522","14,550","14,638","14,813","15,027","15,265","15,494","15,726","15,971","16,215","16,469","16,743","17,034","17,330","17,608","17,768","17,889","17,988","18,043","18,060","18,069","18,067","18,064","18,022","17,956","17,860","17,730","17,569","17,394","17,212","17,020","16,842","16,697","16,550","16,411","16,276","16,132","15,985","15,816","15,667","15,539","15,410","15,330","15,217","14,977","14,470","13,918","13,502","13,105","12,552",
"Private Consumption, Education",104,0,0,0,290,185,139,226,225,226,430,420,398,384,416,421,466,477,527,600,475,409,318,383,440,360,372,251,212,140,117,71,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",643,845,480,272,163,113,85,0,0,61,65,72,91,113,123,124,118,108,105,114,126,141,162,182,201,221,245,267,289,309,329,347,366,385,402,419,439,458,476,496,514,527,546,572,602,638,686,733,771,805,837,863,893,931,972,"1,009","1,044","1,070","1,092","1,109","1,128","1,145","1,159","1,168","1,178","1,184","1,188","1,196","1,206","1,209","1,210","1,217","1,228","1,245","1,283","1,339","1,399","1,446","1,471","1,456","1,401","1,344","1,284","1,236","1,190","1,154","1,078",894,710,568,454,0,
"Private Consumption, Other than health and education","13,508","4,784","4,943","5,108","5,279","5,475","5,700","5,957","6,245","6,565","6,904","7,254","7,618","7,989","8,370","8,786","9,235","9,722","10,249","10,809","11,368","11,906","12,402","12,879","13,357","13,757","14,110","14,410","14,631","14,767","14,898","14,963","14,993","15,013","14,987","14,889","14,756","14,613","14,440","14,285","14,134","14,032","13,976","13,979","14,036","14,175","14,342","14,532","14,723","14,921","15,135","15,351","15,575","15,812","16,062","16,321","16,564","16,699","16,797","16,879","16,915","16,914","16,910","16,900","16,886","16,837","16,768","16,664","16,524","16,360","16,184","15,995","15,791","15,598","15,415","15,211","15,012","14,830","14,661","14,529","14,416","14,323","14,255","14,174","14,139","14,063","13,900","13,576","13,208","12,934","12,651","12,552",
