Index,Variant,"Major area, region, country or area *",Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80+,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
4027,Estimates,Nigeria,,566,1950,  1 407,  1 328,  1 258,  1 196,  1 141,  1 092,  1 050,  1 012,   979,   949,   924,   901,   879,   854,   829,   805,   783,   761,   740,   720,   700,   680,   662,   643,   626,   608,   591,   575,   558,   541,   525,   510,   494,   476,   459,   442,   425,   410,   396,   384,   372,   361,   350,   338,   326,   314,   303,   293,   287,   282,   277,   272,   266,   257,   246,   236,   225,   215,   204,   193,   182,   171,   160,   150,   139,   129,   119,   110,   101,   92,   83,   75,   67,   59,   52,   45,   39,   33,   28,   23,   74,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4028,Estimates,Nigeria,,566,1951,  1 398,  1 356,  1 285,  1 222,  1 166,  1 116,  1 073,  1 035,  1 001,   970,   941,   915,   892,   870,   845,   819,   795,   772,   750,   729,   709,   689,   670,   651,   633,   616,   599,   582,   566,   549,   533,   517,   501,   485,   469,   451,   434,   418,   402,   389,   377,   365,   354,   343,   331,   319,   308,   296,   287,   280,   275,   270,   265,   258,   249,   238,   228,   217,   206,   195,   184,   173,   162,   151,   141,   130,   120,   111,   101,   92,   83,   75,   67,   60,   52,   46,   39,   33,   28,   24,   81,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4029,Estimates,Nigeria,,566,1952,  1 406,  1 334,  1 308,  1 245,  1 188,  1 139,  1 095,  1 057,  1 024,   993,   963,   934,   909,   886,   863,   838,   812,   788,   764,   742,   721,   700,   680,   661,   643,   625,   608,   591,   574,   558,   542,   526,   510,   495,   479,   462,   445,   428,   411,   396,   383,   371,   359,   348,   337,   326,   314,   302,   291,   281,   274,   269,   263,   258,   251,   242,   231,   220,   210,   199,   187,   176,   165,   154,   143,   132,   122,   112,   102,   93,   84,   75,   67,   60,   52,   46,   39,   34,   28,   23,   84,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4030,Estimates,Nigeria,,566,1953,  1 427,  1 354,  1 289,  1 263,  1 206,  1 157,  1 114,  1 076,  1 042,  1 014,   986,   958,   930,   904,   881,   857,   832,   806,   781,   757,   734,   713,   693,   673,   653,   635,   617,   600,   584,   568,   552,   535,   519,   504,   488,   473,   456,   439,   422,   406,   391,   377,   366,   354,   343,   332,   320,   308,   297,   285,   276,   269,   263,   257,   252,   245,   236,   224,   213,   202,   191,   180,   168,   157,   145,   134,   124,   114,   104,   94,   85,   76,   67,   60,   52,   45,   39,   33,   28,   23,   83,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4031,Estimates,Nigeria,,566,1954,  1 458,  1 381,  1 313,  1 253,  1 218,  1 169,  1 127,  1 089,  1 057,  1 029,  1 005,   980,   954,   926,   900,   876,   852,   826,   800,   775,   751,   727,   706,   685,   665,   646,   628,   610,   593,   577,   561,   545,   529,   513,   498,   483,   467,   450,   433,   417,   400,   385,   372,   360,   349,   338,   327,   315,   303,   292,   280,   271,   263,   258,   252,   246,   239,   229,   218,   206,   195,   184,   172,   161,   149,   137,   126,   115,   105,   95,   86,   76,   68,   60,   52,   45,   38,   32,   27,   22,   77,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4032,Estimates,Nigeria,,566,1955,  1 499,  1 415,  1 341,  1 277,  1 222,  1 174,  1 132,  1 097,  1 066,  1 039,  1 015,   996,   975,   950,   922,   896,   872,   847,   821,   795,   770,   745,   721,   699,   679,   659,   639,   621,   603,   587,   571,   555,   539,   524,   508,   492,   477,   462,   445,   428,   412,   395,   380,   367,   356,   344,   333,   322,   310,   298,   287,   275,   265,   258,   252,   246,   240,   233,   223,   211,   200,   188,   176,   165,   153,   141,   129,   118,   107,   97,   87,   77,   68,   60,   52,   44,   37,   31,   26,   21,   64,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4033,Estimates,Nigeria,,566,1956,  1 538,  1 451,  1 374,  1 307,  1 249,  1 199,  1 156,  1 119,  1 087,  1 058,  1 031,  1 008,   988,   966,   941,   913,   887,   862,   837,   811,   785,   760,   735,   711,   689,   669,   650,   630,   612,   595,   579,   563,   547,   532,   516,   500,   485,   470,   454,   438,   421,   405,   389,   374,   361,   349,   338,   327,   316,   304,   292,   280,   269,   259,   251,   245,   238,   232,   224,   214,   202,   191,   179,   167,   156,   144,   132,   120,   109,   99,   89,   79,   70,   61,   53,   46,   39,   32,   27,   22,   71,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4034,Estimates,Nigeria,,566,1957,  1 582,  1 482,  1 405,  1 334,  1 273,  1 221,  1 176,  1 139,  1 107,  1 079,  1 051,  1 024,  1 001,   981,   959,   933,   905,   879,   853,   828,   802,   776,   750,   725,   702,   680,   661,   641,   622,   605,   587,   571,   555,   540,   525,   509,   493,   478,   463,   448,   431,   415,   399,   383,   368,   355,   343,   332,   321,   310,   298,   286,   274,   262,   252,   244,   238,   231,   224,   216,   206,   194,   182,   170,   158,   146,   135,   123,   112,   100,   90,   80,   71,   62,   54,   46,   40,   33,   27,   22,   75,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4035,Estimates,Nigeria,,566,1958,  1 629,  1 520,  1 427,  1 361,  1 296,  1 242,  1 195,  1 156,  1 123,  1 097,  1 071,  1 045,  1 019,   995,   975,   952,   926,   898,   872,   845,   819,   793,   767,   742,   717,   694,   672,   653,   634,   615,   597,   581,   564,   549,   533,   518,   503,   487,   472,   457,   442,   425,   409,   393,   377,   362,   349,   337,   326,   315,   304,   292,   280,   268,   256,   246,   238,   231,   224,   217,   209,   198,   186,   174,   162,   150,   138,   126,   114,   103,   92,   82,   72,   63,   55,   47,   40,   34,   28,   23,   76,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
4036,Estimates,Nigeria,,566,1959,  1 677,  1 562,  1 462,  1 378,  1 318,  1 260,  1 211,  1 170,  1 136,  1 109,  1 087,  1 066,  1 041,  1 014,   991,   970,   947,   921,   893,   865,   839,   812,   786,   760,   735,   709,   686,   665,   646,   627,   609,   591,   574,   558,   543,   527,   512,   497,   481,   466,   451,   436,   420,   404,   388,   372,   357,   344,   332,   321,   310,   298,   286,   274,   262,   251,   240,   232,   224,   217,   210,   201,   190,   177,   165,   153,   141,   129,   117,   106,   94,   83,   74,   64,   56,   47,   40,   33,   28,   22,   72,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É,É
