Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"1,325","5,790","5,213","5,045","7,018","7,646","7,823","7,981","8,174","8,370","8,600","8,706","8,994","9,122","9,431","9,842","9,831","10,034","9,983","9,708","9,211","8,248","6,989","5,132","3,062","1,060",-816,"-2,445","-3,682","-4,490","-5,064","-5,527","-5,733","-5,882","-6,098","-6,408","-6,924","-7,144","-7,431","-7,644","-7,917","-8,099","-8,068","-7,935","-7,610","-7,335","-7,334","-7,187","-7,069","-6,781","-6,525","-6,375","-6,243","-6,054","-5,662","-5,105","-4,462","-3,494","-2,188",-593,"1,401","3,267","5,008","6,420","7,453","8,277","8,957","9,437","9,666","9,790","9,990","10,216","10,376","10,491","10,563","10,577","10,611","10,600","10,625","10,661","10,715","10,888",0,0,0,0,0,0,0,0,0,0,
Consumption,"10,037","5,790","5,213","5,045","7,018","7,646","7,823","7,981","8,174","8,370","8,600","8,706","8,994","9,122","9,431","9,842","9,847","10,088","10,167","10,205","10,300","10,286","10,341","10,121","9,939","9,909","9,940","9,986","10,057","10,186","10,206","10,067","10,059","10,049","9,975","9,925","9,665","9,590","9,518","9,438","9,463","9,552","9,584","9,594","9,633","9,717","9,641","9,761","9,878","10,032","10,199","10,349","10,492","10,695","10,858","10,993","11,137","11,275","11,399","11,471","11,582","11,594","11,601","11,544","11,438","11,357","11,309","11,268","11,181","11,075","11,061","11,077","11,045","11,032","11,036","10,993","10,969","10,911","10,879","10,854","10,858","10,965",0,0,0,0,0,0,0,0,0,0,
Public Consumption,"3,620","3,298","2,729","2,527","4,452","4,994","5,055","5,068","5,089","5,102","5,091","5,076","5,116","5,134","5,155","5,376","5,242","5,203","5,120","4,920","4,700","4,399","4,119","3,848","3,528","3,273","3,124","3,031","2,977","2,934","2,886","2,733","2,724","2,752","2,750","2,765","2,659","2,675","2,687","2,709","2,744","2,762","2,788","2,815","2,856","2,888","2,745","2,786","2,825","2,871","2,926","2,986","3,046","3,102","3,160","3,224","3,292","3,358","3,420","3,480","3,539","3,594","3,636","3,676","3,732","3,805","3,884","3,957","4,011","4,041","4,072","4,112","4,152","4,174","4,171","4,155","4,138","4,120","4,106","4,102","4,115","4,174",0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Education",699,0,0,0,"2,067","2,681","2,776","2,822","2,870","2,896","2,892","2,880","2,915","2,917","2,908","3,097","2,934","2,869","2,765","2,551","2,322","2,017","1,737","1,461","1,120",834,651,525,448,400,361,220,231,275,276,283,165,167,166,174,190,187,190,191,196,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health",854,"1,486",885,664,506,425,382,342,311,292,276,260,245,236,238,246,254,262,268,274,281,288,294,304,321,345,370,393,408,406,396,386,376,375,392,419,447,474,498,519,542,566,588,613,647,689,734,776,815,857,904,954,"1,001","1,043","1,083","1,127","1,173","1,216","1,255","1,294","1,336","1,380","1,422","1,467","1,532","1,612","1,697","1,777","1,839","1,875","1,903","1,932","1,960","1,980","1,985","1,985","1,985","1,985","1,995","2,024","2,073","2,162",0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Other than health and education","2,067","1,812","1,843","1,864","1,878","1,888","1,896","1,903","1,908","1,914","1,922","1,935","1,955","1,981","2,008","2,033","2,055","2,073","2,086","2,094","2,097","2,095","2,088","2,084","2,086","2,094","2,104","2,112","2,122","2,128","2,130","2,127","2,118","2,102","2,083","2,063","2,047","2,034","2,023","2,016","2,012","2,010","2,010","2,011","2,012","2,013","2,011","2,010","2,010","2,014","2,022","2,032","2,045","2,059","2,077","2,097","2,119","2,142","2,165","2,186","2,204","2,214","2,215","2,208","2,200","2,193","2,187","2,180","2,172","2,166","2,169","2,180","2,192","2,194","2,186","2,170","2,152","2,134","2,111","2,078","2,041","2,012",0,0,0,0,0,0,0,0,0,0,
Private Consumption,"6,417","2,492","2,484","2,517","2,567","2,653","2,768","2,913","3,085","3,269","3,509","3,631","3,878","3,988","4,277","4,466","4,604","4,885","5,047","5,285","5,600","5,887","6,222","6,274","6,412","6,636","6,817","6,955","7,080","7,252","7,320","7,335","7,335","7,297","7,225","7,160","7,005","6,915","6,832","6,729","6,718","6,789","6,796","6,779","6,777","6,829","6,896","6,975","7,053","7,161","7,273","7,362","7,447","7,592","7,698","7,769","7,845","7,917","7,979","7,991","8,043","8,000","7,965","7,868","7,706","7,551","7,426","7,312","7,170","7,034","6,989","6,964","6,894","6,858","6,865","6,838","6,831","6,791","6,773","6,752","6,743","6,790",0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Education",100,0,0,0,0,0,0,19,58,94,177,144,233,161,246,225,154,228,182,209,319,400,516,342,263,274,237,170,125,180,170,125,96,80,74,105,57,75,86,47,56,122,123,106,91,96,101,109,91,76,69,56,34,60,57,39,35,38,45,19,54,13,6,12,12,12,5,15,25,18,19,17,0,3,14,0,13,3,2,4,15,11,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",322,200,148,129,110,89,72,57,41,29,22,20,20,20,20,21,22,29,40,53,67,80,92,102,107,113,120,130,144,158,174,191,208,221,230,233,234,233,235,240,247,254,262,268,274,281,289,299,312,328,347,366,387,407,422,430,440,452,471,495,525,557,585,603,613,620,630,643,661,682,706,732,756,774,786,798,815,829,842,859,884,902,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Other than health and education","5,995","2,292","2,337","2,388","2,457","2,564","2,696","2,838","2,985","3,146","3,310","3,466","3,625","3,806","4,011","4,220","4,428","4,628","4,824","5,022","5,214","5,407","5,614","5,830","6,041","6,250","6,460","6,656","6,812","6,914","6,976","7,019","7,031","6,996","6,921","6,823","6,714","6,607","6,510","6,442","6,416","6,414","6,412","6,405","6,412","6,452","6,505","6,567","6,650","6,756","6,857","6,940","7,025","7,125","7,219","7,301","7,370","7,426","7,463","7,478","7,464","7,430","7,374","7,253","7,081","6,920","6,791","6,654","6,484","6,334","6,264","6,215","6,137","6,082","6,065","6,040","6,003","5,959","5,929","5,889","5,844","5,878",0,0,0,0,0,0,0,0,0,0,
