Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"3,566","9,543","7,897","8,082","8,822","9,642","9,859","15,075","14,682","14,857","15,426","15,738","16,359","17,293","18,006","18,793","19,113","19,233","20,617","17,009","15,517","13,778","12,094","7,820","4,998","2,539","1,168",-90,"-1,084","-1,849","-2,416","-3,182","-3,475","-3,805","-4,473","-5,183","-6,236","-7,171","-8,385","-8,949","-10,032","-10,795","-11,573","-12,313","-13,638","-14,071","-14,414","-15,139","-15,521","-15,325","-14,823","-14,407","-13,441","-12,672","-11,813","-11,280","-10,166","-9,038","-7,633","-4,923","-1,802","1,533","4,905","8,405","11,120","12,856","14,138","15,520","16,492","17,241","17,831","18,043","18,288","18,793","18,835","19,337","19,993","20,344","20,772","21,275","21,418","21,653","21,691","21,937","22,464","22,843","23,247","23,717","25,048","25,739","26,346","26,953",
Consumption,"17,575","9,543","7,897","8,082","8,822","9,642","9,859","15,075","14,682","14,857","15,426","15,738","16,359","17,293","18,006","18,793","19,113","19,238","20,647","17,597","17,783","17,751","18,171","16,055","15,449","15,070","15,440","15,674","15,759","15,723","15,830","15,709","15,736","15,895","15,970","15,883","15,918","15,814","15,562","15,655","15,604","15,537","15,459","15,403","15,334","15,431","15,684","15,809","16,083","16,179","16,322","16,426","16,858","17,114","17,606","18,149","18,590","18,978","19,372","19,603","19,902","20,152","20,301","20,464","20,721","20,745","20,738","20,932","20,957","21,104","21,232","21,455","21,397","21,676","21,674","21,862","22,028","22,204","22,338","22,434","22,428","22,468","22,394","22,686","23,210","23,432","23,727","24,049","25,209","25,816","26,426","27,035",
Public Consumption,"4,646","3,875","2,957","2,972","3,190","3,653","3,843","9,044","9,027","8,925","9,054","8,790","8,918","9,433","9,412","9,411","8,843","8,564","8,318","4,621","4,465","4,035","4,224","3,101","3,123","2,691","2,709","2,789","2,661","2,624","2,635","2,646","2,657","2,668","2,682","2,697","2,712","2,727","2,741","2,755","2,769","2,808","2,822","2,836","2,872","2,907","2,942","2,978","3,013","3,070","3,127","3,184","3,241","3,300","3,357","3,414","3,473","3,536","3,585","3,690","3,777","3,859","3,951","4,056","4,202","4,358","4,506","4,657","4,855","5,096","5,321","5,542","5,764","6,069","6,299","6,492","6,685","6,878","7,249","7,628","7,938","8,253","8,558","9,161","9,838","10,365","10,894","11,419","12,650","13,403","14,156","14,908",
"Public Consumption, Education",873,0,0,0,377,845,"1,033","6,325","6,397","6,325","6,485","6,252","6,410","6,955","6,943","6,951","6,392","6,121","5,884","2,173","2,003","1,559","1,734",597,597,143,140,198,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health","1,683","1,785",866,882,723,717,719,629,540,509,479,448,418,387,378,370,361,353,344,358,372,386,400,414,436,457,479,501,523,534,545,556,567,577,592,607,621,637,651,665,679,718,731,745,781,817,852,887,923,980,"1,036","1,094","1,151","1,209","1,267","1,324","1,383","1,446","1,495","1,600","1,687","1,769","1,860","1,966","2,112","2,267","2,416","2,566","2,764","3,006","3,230","3,452","3,673","3,979","4,209","4,402","4,595","4,788","5,159","5,538","5,848","6,162","6,467","7,071","7,748","8,274","8,804","9,329","10,560","11,313","12,065","12,818",
"Public Consumption, Other than health and education","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090",
Private Consumption,"12,929","5,668","4,940","5,110","5,632","5,989","6,016","6,031","5,654","5,932","6,371","6,947","7,441","7,860","8,594","9,382","10,269","10,674","12,328","12,975","13,318","13,716","13,947","12,954","12,326","12,379","12,731","12,885","13,098","13,099","13,195","13,063","13,079","13,228","13,288","13,186","13,206","13,087","12,821","12,900","12,835","12,729","12,637","12,567","12,462","12,525","12,742","12,831","13,070","13,109","13,195","13,242","13,617","13,814","14,249","14,735","15,117","15,442","15,787","15,913","16,125","16,293","16,350","16,408","16,519","16,387","16,232","16,276","16,102","16,008","15,912","15,913","15,633","15,607","15,375","15,369","15,343","15,326","15,089","14,806","14,489","14,215","13,836","13,525","13,372","13,067","12,833","12,630","12,559","12,413","12,270","12,127",
"Private Consumption, Education",332,0,0,0,799,"1,257","1,385",927,249,251,324,490,712,867,"1,167","1,518","1,805","1,944","3,073","3,367","2,911","3,093","2,860","1,488",450,186,80,6,20,5,1,7,1,5,16,9,4,1,11,0,1,0,0,0,3,2,2,13,0,0,0,0,8,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",616,"1,367",664,675,553,549,33,33,35,35,32,91,99,92,88,99,126,117,120,115,125,90,89,83,126,171,221,258,295,319,338,368,394,427,456,496,521,558,594,606,613,618,635,637,646,657,693,687,677,683,682,669,671,682,707,745,795,843,887,923,980,"1,005","1,086","1,149","1,175","1,164","1,159","1,134","1,096","1,063","1,041","1,022",986,990,"1,006","1,006",995,"1,024",993,972,996,"1,029",983,973,946,886,886,886,886,886,886,886,
"Private Consumption, Other than health and education","11,980","4,301","4,277","4,434","4,280","4,183","4,598","5,070","5,370","5,646","6,015","6,367","6,629","6,901","7,339","7,765","8,338","8,612","9,136","9,493","10,282","10,532","10,998","11,383","11,751","12,022","12,429","12,621","12,784","12,775","12,856","12,688","12,684","12,796","12,816","12,681","12,680","12,528","12,216","12,294","12,221","12,111","12,002","11,931","11,813","11,865","12,046","12,131","12,393","12,426","12,514","12,573","12,937","13,131","13,541","13,990","14,322","14,599","14,900","14,989","15,145","15,287","15,264","15,257","15,344","15,223","15,073","15,142","15,006","14,946","14,871","14,891","14,647","14,618","14,369","14,364","14,348","14,302","14,096","13,833","13,493","13,186","12,853","12,552","12,425","12,182","11,947","11,744","11,673","11,527","11,384","11,241",
