Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80+,,,,,,,,,,,
Lifecycle Deficit,9,340,341,338,339,346,369,395,427,432,459,467,473,481,504,510,526,532,535,502,492,399,314,154,39,-147,-421,-507,-608,-677,-719,-880,-994,-991,"-1,328","-1,331","-1,185","-1,372","-1,368","-1,666","-1,750","-1,709","-1,491","-1,220",-906,"-1,001","-1,078","-1,090","-1,213","-1,122","-1,038",-729,-658,-697,-478,-423,-475,-331,-156,-201,-71,113,196,179,354,351,322,391,406,400,359,432,461,487,507,566,578,634,726,734,711,701,0,0,0,0,0,0,0,0,0,0,
Consumption,576,340,341,338,339,346,369,395,427,432,459,468,474,483,507,523,551,587,620,632,678,687,720,733,765,787,815,824,839,842,842,846,837,826,809,800,782,764,733,725,708,689,676,664,653,648,645,652,635,642,650,659,665,670,690,683,693,698,692,700,704,709,709,709,724,734,735,749,740,740,745,753,753,757,748,747,751,759,793,760,759,762,0,0,0,0,0,0,0,0,0,0,
Public Consumption,103,83,84,79,78,82,97,112,130,132,139,136,139,134,136,134,137,146,152,137,134,121,114,100,97,84,82,79,82,77,76,75,78,77,76,76,74,77,75,79,75,75,83,77,79,80,74,82,74,77,78,77,80,79,83,79,78,77,79,74,76,76,76,76,81,77,76,84,81,80,85,76,73,75,73,83,75,79,112,78,77,79,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Education",27,0,0,0,2,6,22,37,56,58,65,63,65,61,62,60,63,71,76,63,60,46,41,23,20,9,9,5,5,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health",8,15,16,11,9,7,7,6,7,5,6,5,6,5,6,5,6,7,8,6,7,6,5,8,9,7,5,6,9,7,6,7,9,7,6,6,6,9,7,10,7,7,14,9,11,12,5,14,6,8,10,8,12,11,14,11,10,9,11,6,8,8,8,8,13,9,8,16,13,12,17,8,5,7,5,15,7,11,43,10,9,10,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Other than health and education",68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,
Private Consumption,473,256,257,259,260,265,272,283,297,300,320,332,335,349,370,389,413,441,468,494,543,566,606,633,668,703,733,745,757,765,767,771,759,750,733,724,708,687,657,646,632,613,594,586,575,568,571,571,561,565,572,582,585,591,608,604,615,621,613,627,627,633,633,634,642,657,659,664,659,661,660,677,681,682,675,664,676,681,681,682,682,683,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Education",7,0,0,0,0,3,8,13,20,13,22,20,8,9,13,11,17,18,19,14,23,10,17,7,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",4,9,8,7,6,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,4,6,6,6,5,5,6,5,6,7,5,6,6,6,6,7,7,7,8,8,7,9,10,10,9,10,9,9,9,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Other than health and education",462,247,250,252,254,257,261,267,274,285,297,309,324,338,356,376,394,421,447,478,518,554,587,623,660,696,726,741,754,762,764,768,756,747,729,720,704,683,653,642,628,609,589,582,570,563,566,566,557,559,567,577,580,586,602,599,609,614,608,621,621,628,627,627,635,650,651,656,652,652,650,667,671,673,665,656,667,669,670,671,671,672,0,0,0,0,0,0,0,0,0,0,
