Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"2,944","3,112","3,117","3,195","3,283","3,378","4,947","5,248","5,816","5,241","5,517","5,696","5,790","6,602","6,354","6,458","6,391","6,131","5,754","5,571","5,338","5,274","4,651","4,063","3,549","2,874","2,367","1,957","1,520","1,230",881,624,268,6,-310,-631,-875,-978,"-1,275","-1,358","-1,417","-1,416","-1,404","-1,328","-1,314","-1,215","-1,148",-860,-582,-253,111,406,596,696,858,"1,106","1,344","1,672","1,882","2,242","2,541","2,811","3,080","3,491","3,837","4,042","4,207","4,378","4,607","4,770","4,901","5,266","5,634","5,939","6,231","6,348","6,452","6,749","6,928","6,866","6,994","7,106","7,077","6,943","7,118","7,174","7,372","7,367","7,336","7,395","7,440","6,497",
Consumption,"7,217","3,112","3,117","3,195","3,283","3,378","4,947","5,251","5,820","5,247","5,527","5,719","5,842","6,715","6,576","6,854","7,039","7,110","7,145","7,435","7,727","8,219","8,188","8,191","8,281","8,200","8,250","8,304","8,302","8,373","8,352","8,395","8,406","8,462","8,525","8,505","8,544","8,619","8,546","8,542","8,552","8,587","8,642","8,655","8,599","8,649","8,590","8,641","8,631","8,675","8,732","8,796","8,781","8,723","8,753","8,814","8,782","8,899","8,863","8,858","8,766","8,664","8,509","8,446","8,418","8,329","8,204","8,107","8,140","8,048","7,842","7,887","7,950","7,962","8,030","7,975","7,911","8,025","8,022","7,795","7,788","7,777","7,655","7,472","7,583","7,584","7,752","7,730","7,623","7,608","7,585","6,516",
Public Consumption,"1,145",704,703,692,681,664,"1,699","1,757","1,745","1,792","1,791","1,792","1,791","1,967","1,982","1,916","1,753","1,559","1,446","1,442","1,431","1,458","1,347","1,247","1,134","1,048",941,881,877,859,821,818,800,799,830,774,790,769,770,776,776,775,753,759,765,772,780,787,794,801,808,814,822,831,840,852,864,876,886,896,906,914,923,933,944,956,970,984,998,"1,011","1,024","1,035","1,048","1,064","1,083","1,108","1,135","1,155","1,170","1,177","1,177","1,169","1,163","1,158","1,154","1,153","1,153","1,153","1,153","1,153","1,153",640,
"Public Consumption, Education",417,0,0,0,0,0,"1,054","1,130","1,132","1,189","1,195","1,200","1,201","1,376","1,387","1,314","1,143",937,812,793,765,773,646,530,403,304,186,118,109,89,53,55,41,45,80,28,49,30,32,36,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health",214,190,189,179,167,150,130,113,99,89,82,78,76,78,81,87,96,107,120,135,152,171,188,203,218,230,241,249,254,256,254,250,245,240,236,232,227,225,224,225,228,233,239,245,251,258,266,273,281,287,294,300,308,317,326,338,350,362,373,382,392,400,409,419,430,443,456,470,484,497,510,521,534,550,569,594,622,642,656,663,664,656,649,644,641,639,639,639,639,639,639,126,
"Public Consumption, Other than health and education",514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,
Private Consumption,"6,072","2,408","2,414","2,503","2,602","2,714","3,248","3,493","4,076","3,455","3,736","3,927","4,051","4,748","4,594","4,938","5,286","5,551","5,698","5,993","6,296","6,762","6,841","6,943","7,147","7,153","7,309","7,423","7,424","7,514","7,532","7,576","7,606","7,663","7,695","7,731","7,754","7,850","7,776","7,767","7,776","7,812","7,889","7,897","7,833","7,877","7,810","7,853","7,837","7,874","7,924","7,982","7,959","7,892","7,912","7,962","7,918","8,024","7,976","7,962","7,860","7,750","7,586","7,513","7,474","7,373","7,234","7,123","7,143","7,037","6,819","6,853","6,902","6,897","6,947","6,868","6,775","6,869","6,852","6,618","6,610","6,607","6,492","6,313","6,428","6,431","6,598","6,577","6,470","6,455","6,432","5,876",
"Private Consumption, Education",184,0,0,0,0,0,433,591,957,289,374,341,294,790,487,597,455,420,285,312,303,479,345,273,282,144,171,123,33,68,18,31,28,24,14,14,9,13,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",74,139,59,54,57,70,28,26,24,22,20,18,16,16,15,14,14,15,16,17,18,22,25,28,30,32,41,50,58,66,73,80,87,93,98,105,113,113,114,113,114,116,118,116,117,119,124,128,128,138,143,145,148,146,148,148,162,162,161,185,185,174,167,160,156,150,153,144,145,155,139,155,170,187,200,209,219,220,221,226,231,237,229,226,230,231,238,237,233,227,214,169,
"Private Consumption, Other than health and education","5,814","2,268","2,356","2,449","2,545","2,644","2,787","2,876","3,094","3,144","3,343","3,567","3,740","3,942","4,092","4,327","4,817","5,116","5,398","5,664","5,974","6,261","6,471","6,643","6,834","6,977","7,096","7,250","7,333","7,380","7,440","7,465","7,491","7,545","7,583","7,613","7,632","7,724","7,656","7,628","7,662","7,696","7,771","7,780","7,717","7,757","7,686","7,725","7,709","7,736","7,781","7,837","7,812","7,746","7,764","7,814","7,757","7,862","7,815","7,777","7,676","7,576","7,419","7,353","7,318","7,223","7,081","6,979","6,998","6,883","6,680","6,698","6,732","6,710","6,747","6,658","6,557","6,649","6,631","6,392","6,379","6,370","6,262","6,087","6,198","6,199","6,361","6,341","6,237","6,229","6,218","5,707",
