Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Argentina,,32,1950,413.113,400.532,388.678,377.573,367.237,357.69,348.958,341.056,334.008,327.839,322.384,317.491,314.074,312.51,312.285,312.277,312.44,313.142,314.365,315.742,317.056,318.504,318.145,315.036,310.02,305.06,299.97,294.307,288.117,281.657,274.979,267.872,262.165,258.702,256.643,254.286,251.962,249.065,245.116,240.422,235.783,231.07,225.94,220.31,214.279,208.083,201.742,195.1,188.12,180.921,173.662,166.323,159.159,152.313,145.709,139.071,132.402,126.045,120.128,114.489,108.899,103.48,97.695,91.271,84.493,77.926,71.473,65.344,59.715,54.487,49.401,44.506,39.919,35.668,31.734,28.046,24.585,21.5,18.842,16.537,13.7352,12.13858,10.59758,9.132801,7.752016,6.434149,5.173524,4.091761,3.244479,2.580762,1.984179,1.463486,1.049007,0.7378239,0.5129092,0.353669,0.2570222,0.1848614,0.1127006,0.0476748,0.1028089
,Estimates,Argentina,,32,1951,421.542,412.148,400.199,388.802,378.008,367.866,358.39,349.599,341.724,334.896,329.057,323.854,319.165,315.914,314.458,314.291,314.328,314.528,315.187,316.257,317.41,318.493,319.69,319.113,315.85,310.723,305.639,300.42,294.644,288.359,281.818,275.061,267.88,262.099,258.556,256.415,253.978,251.574,248.589,244.538,239.733,234.982,230.158,224.916,219.171,213.025,206.715,200.26,193.511,186.438,179.155,171.813,164.394,157.15,150.22,143.531,136.814,130.075,123.643,117.645,111.924,106.262,100.775,94.949,88.518,81.761,75.222,68.804,62.722,57.147,51.981,46.966,42.151,37.648,33.485,29.64,26.048,22.688,19.708,17.161,14.58534,12.8899,11.25352,9.698074,8.231825,6.832389,5.493738,4.345019,3.445296,2.740498,2.106989,1.554068,1.113935,0.7834914,0.5446557,0.3755593,0.2729305,0.1963033,0.1196762,0.0506256,
,Estimates,Argentina,,32,1952,429.471,419.796,411.098,399.787,388.85,378.367,368.423,359.021,350.169,342.325,335.719,330.212,325.259,320.779,317.693,316.345,316.237,316.319,316.556,317.17,318.088,319.017,319.868,320.815,320.018,316.602,311.366,306.157,300.812,294.922,288.544,281.922,275.089,267.836,261.979,258.36,256.135,253.618,251.137,248.063,243.911,238.994,234.135,229.2,223.845,217.988,211.728,205.305,198.735,191.882,184.717,177.352,169.928,162.431,155.108,148.095,141.321,134.528,127.719,121.215,115.136,109.334,103.6,98.049,92.18,85.745,79.011,72.499,66.12,60.085,54.565,49.461,44.519,39.785,35.368,31.292,27.538,24.042,20.785,17.912,15.26632,13.49172,11.77894,10.15087,8.616166,7.151391,5.750239,4.547887,3.606155,2.868451,2.205364,1.626627,1.165945,0.8200723,0.5700854,0.393094,0.2856735,0.2054687,0.1252638,0.0529893,
,Estimates,Argentina,,32,1953,436.297,427.766,418.634,409.897,399.226,388.753,378.587,368.843,359.518,350.612,342.799,336.418,331.244,326.546,322.274,319.356,318.115,318.067,318.193,318.467,319.038,319.802,320.506,321.126,321.821,320.805,317.237,311.893,306.564,301.091,295.092,288.622,281.922,275.014,267.692,261.764,258.067,255.761,253.165,250.605,247.446,243.193,238.167,233.199,228.157,222.692,216.722,210.352,203.818,197.137,190.181,182.927,175.482,167.98,160.407,153.006,145.914,139.059,132.191,125.315,118.74,112.584,106.703,100.898,95.284,89.377,82.939,76.229,69.749,63.409,57.425,51.961,46.923,42.054,37.404,33.074,29.086,25.424,22.028,18.873,15.77244,13.939,12.16944,10.4874,8.901812,7.388476,5.940873,4.69866,3.725708,2.963547,2.278477,1.680553,1.204598,0.8472596,0.5889851,0.406126,0.2951443,0.2122804,0.1294166,0.054746,
,Estimates,Argentina,,32,1954,441.689,434.35,426.19,417.372,408.536,398.51,388.504,378.66,369.12,359.875,350.917,343.14,336.986,332.146,327.706,323.642,320.894,319.762,319.771,319.944,320.254,320.78,321.392,321.87,322.258,322.7,321.468,317.749,312.298,306.849,301.254,295.147,288.588,281.812,274.833,267.444,261.446,257.673,255.288,252.613,249.977,246.731,242.381,237.248,232.173,227.025,221.452,215.373,208.894,202.252,195.462,188.407,181.067,173.544,165.966,158.321,150.847,143.677,136.743,129.803,122.862,116.22,109.989,104.03,98.159,92.483,86.539,80.101,73.419,66.973,60.674,54.743,49.339,44.366,39.574,35.008,30.767,26.87,23.302,20.005,16.12218,14.24809,12.43929,10.71995,9.099202,7.552309,6.072606,4.802849,3.808322,3.029261,2.329,1.717818,1.231309,0.8660469,0.6020453,0.4151315,0.3016889,0.2169876,0.1322863,0.05596,
,Estimates,Argentina,,32,1955,445.532,439.521,432.491,424.616,416.069,407.02,397.642,388.107,378.587,369.254,360.094,351.087,343.348,337.424,332.921,328.737,324.886,322.306,321.284,321.352,321.569,321.916,322.397,322.856,323.109,323.265,323.456,322.005,318.138,312.584,307.017,301.3,295.088,288.443,281.595,274.546,267.093,261.028,257.182,254.716,251.965,249.253,245.923,241.477,236.238,231.059,225.807,220.128,213.943,207.358,200.61,193.714,186.562,179.139,171.542,163.891,156.176,148.631,141.387,134.377,127.368,120.366,113.658,107.353,101.321,95.385,89.649,83.671,77.236,70.584,64.173,57.92,52.042,46.7,41.796,37.081,32.602,28.451,24.646,21.173,16.32832,14.43027,12.59834,10.85702,9.215549,7.648876,6.150253,4.86426,3.857017,3.067994,2.358779,1.739783,1.247053,0.8771205,0.6097433,0.4204395,0.3055464,0.2197621,0.1339777,0.0566755,0.1222186
,Estimates,Argentina,,32,1956,448.695,444.906,438.919,431.971,424.226,415.843,406.993,397.847,388.504,379.096,369.822,360.729,351.786,344.094,338.206,333.723,329.546,325.694,323.079,321.976,321.932,322.034,322.256,322.628,323.003,323.193,323.279,323.398,321.882,317.96,312.358,306.743,300.977,294.718,288.026,281.133,274.035,266.532,260.405,256.475,253.914,251.065,248.251,244.816,240.26,234.908,229.614,224.246,218.453,212.156,205.462,198.607,191.605,184.352,176.835,169.148,161.413,153.617,145.994,138.671,131.585,124.508,117.446,110.684,104.328,98.25,92.281,86.518,80.539,74.133,67.535,61.187,55.013,49.219,43.967,39.159,34.55,30.184,26.171,22.535,17.65431,15.60212,13.62142,11.73869,9.963922,8.270024,6.649701,5.259275,4.170236,3.317139,2.550331,1.881067,1.348324,0.9483495,0.6592592,0.4545825,0.3303591,0.2376084,0.1448578,0.061278,
,Estimates,Argentina,,32,1957,450.774,447.643,444.141,438.177,431.316,423.703,415.486,406.837,397.928,388.779,379.487,370.274,361.251,352.374,344.733,338.882,334.421,330.252,326.4,323.752,322.567,322.412,322.398,322.495,322.757,323.05,323.174,323.191,323.239,321.658,317.683,312.034,306.372,300.559,294.254,287.52,280.581,273.437,265.887,259.699,255.689,253.03,250.085,247.171,243.631,238.967,233.503,228.096,222.613,216.707,210.301,203.501,196.54,189.434,182.082,174.473,166.699,158.882,151.008,143.309,135.909,128.749,121.606,114.488,107.672,101.267,95.147,89.144,83.358,77.379,71.004,64.461,58.181,52.085,46.379,41.218,36.507,32.007,27.755,23.879,18.85469,16.66297,14.5476,12.53685,10.64141,8.832334,7.101839,5.616873,4.453786,3.542683,2.723737,2.008968,1.440001,1.012831,0.7040847,0.4854912,0.3528214,0.2537643,0.1547072,0.0654445,
,Estimates,Argentina,,32,1958,452.266,450.418,447.142,443.244,437.306,430.532,423.054,415.006,406.561,397.891,388.939,379.765,370.617,361.667,352.857,345.27,339.458,335.02,330.861,327.01,324.328,323.063,322.796,322.666,322.64,322.79,323.001,323.061,323.007,322.983,321.34,317.31,311.617,305.911,300.051,293.704,286.928,279.946,272.758,265.164,258.916,254.825,252.073,249.03,246.018,242.373,237.603,232.028,226.511,220.914,214.896,208.383,201.478,194.415,187.207,179.757,172.059,164.201,156.302,148.354,140.581,133.107,125.874,118.667,111.495,104.629,98.174,92.014,85.981,80.172,74.196,67.854,61.368,55.155,49.142,43.525,38.455,33.845,29.453,25.316,19.89836,17.58532,15.35286,13.2308,11.23044,9.321234,7.49495,5.927786,4.700319,3.738783,2.874505,2.120171,1.51971,1.068895,0.7430582,0.5123648,0.3723513,0.267811,0.1632708,0.0690671,
,Estimates,Argentina,,32,1959,453.794,452.839,450.465,446.821,442.229,436.32,429.635,422.293,414.417,406.177,397.749,388.995,379.943,370.862,361.986,353.248,345.715,339.943,335.531,331.381,327.533,324.819,323.473,323.094,322.85,322.699,322.738,322.865,322.862,322.739,322.642,320.935,316.856,311.117,305.368,299.466,293.075,286.259,279.239,272.007,264.37,258.065,253.895,251.048,247.91,244.8,241.052,236.175,230.494,224.865,219.157,213.029,206.411,199.403,192.238,184.931,177.386,169.6,161.66,153.683,145.661,137.816,130.27,122.967,115.699,108.473,101.558,95.058,88.858,82.796,76.966,70.993,64.687,58.26,52.117,46.186,40.66,35.683,31.174,26.893,20.78078,18.36516,16.0337,13.81754,11.72847,9.734597,7.827325,6.190662,4.908761,3.904585,3.001979,2.214193,1.587104,1.116297,0.7760101,0.5350863,0.3888638,0.2796875,0.1705112,0.0721299,
