Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Australia,,36,1950,195.139,186.089,177.38,169.037,161.096,153.592,146.556,140.021,134.023,128.591,123.776,119.627,116.098,113.195,110.993,109.301,107.829,108.214,111.14,115.698,120.221,124.966,128.947,131.479,132.912,134.527,136.371,136.587,134.477,130.925,127.29,123.027,120.464,120.806,122.872,124.401,126.008,126.146,123.875,120.042,116.466,112.813,109.393,106.548,104.092,101.479,98.804,96.382,94.307,92.496,90.715,88.947,87.431,86.255,85.267,84.221,83.13,81.847,80.26,78.396,76.467,74.516,71.989,68.662,64.803,60.923,56.927,53.103,49.644,46.434,43.177,39.941,36.804,33.774,30.863,28.053,25.335,22.819,20.556,18.493,15.65912,13.85108,12.144,10.60868,9.213865,7.854175,6.543164,5.389529,4.435588,3.64262,2.923223,2.282377,1.751611,1.334244,1.010917,0.7550762,0.5661688,0.4140473,0.2801803,0.1681635,0.2461604
,Estimates,Australia,,36,1951,188.064,197.235,188.994,180.716,172.493,164.426,156.553,148.907,141.91,135.794,130.461,125.637,121.431,117.89,115.035,112.926,111.332,109.958,110.485,113.611,118.399,123.141,128.106,132.229,134.784,136.152,137.703,139.478,139.573,137.28,133.508,129.64,125.119,122.367,122.641,124.711,126.226,127.823,127.906,125.503,121.486,117.74,113.919,110.33,107.326,104.717,101.947,99.112,96.552,94.378,92.49,90.631,88.79,87.191,85.912,84.808,83.653,82.456,81.063,79.36,77.378,75.334,73.271,70.642,67.226,63.29,59.34,55.282,51.402,47.895,44.646,41.358,38.096,34.957,31.959,29.099,26.351,23.707,21.25,19.017,16.44274,14.54423,12.75172,11.13957,9.674951,8.247218,6.8706,5.659235,4.657557,3.824906,3.069509,2.396593,1.839266,1.401013,1.061506,0.7928621,0.5945014,0.4347672,0.2942012,0.1765788,
,Estimates,Australia,,36,1952,183.481,188.512,198.693,191.296,183.48,175.404,167.237,159.018,150.782,143.344,137.129,131.915,127.096,122.846,119.305,116.508,114.5,113.01,111.74,112.407,115.725,120.728,125.675,130.846,135.099,137.668,138.966,140.447,142.146,142.12,139.65,135.668,131.579,126.812,123.881,124.084,126.15,127.647,129.229,129.257,126.727,122.54,118.634,114.655,110.911,107.755,104.999,102.082,99.093,96.405,94.136,92.179,90.247,88.338,86.661,85.281,84.066,82.803,81.505,80.006,78.191,76.095,73.943,71.775,69.051,65.557,61.557,57.548,53.442,49.519,45.975,42.697,39.388,36.111,32.981,30.023,27.228,24.548,21.988,19.6,17.00048,15.03757,13.18426,11.51742,10.00313,8.526964,7.103651,5.851196,4.815541,3.954647,3.173627,2.477885,1.901654,1.448536,1.097512,0.819756,0.6146669,0.4495146,0.3041805,0.1825684,
,Estimates,Australia,,36,1953,181.848,190.346,195.082,199.527,192.998,185.669,177.765,169.525,160.984,152.186,144.327,138.034,132.955,128.156,123.876,120.347,117.616,115.714,114.335,113.171,113.977,117.477,122.679,127.817,133.176,137.547,140.12,141.346,142.751,144.37,144.222,141.583,137.403,133.106,128.108,125.005,125.138,127.195,128.667,130.23,130.202,127.553,123.209,119.155,115.032,111.142,107.845,104.952,101.895,98.763,95.954,93.599,91.575,89.58,87.607,85.857,84.382,83.058,81.692,80.296,78.695,76.775,74.573,72.318,70.05,67.241,63.68,59.629,55.573,51.431,47.479,43.908,40.611,37.292,34.011,30.899,27.992,25.268,22.666,20.198,17.33992,15.33782,13.44751,11.74739,10.20286,8.69722,7.245489,5.968026,4.911692,4.033609,3.236994,2.527361,1.939624,1.477459,1.119426,0.8361239,0.6269398,0.4584899,0.310254,0.1862137,
,Estimates,Australia,,36,1954,183.43,192.978,198.661,200.912,199.975,194.323,187.493,179.776,171.477,162.635,153.291,145.03,138.671,133.734,128.968,124.663,121.154,118.494,116.702,115.434,114.38,115.322,118.996,124.388,129.704,135.242,139.72,142.295,143.444,144.773,146.308,146.039,143.236,138.867,134.372,129.153,125.885,125.948,127.991,129.437,130.976,130.893,128.132,123.639,119.446,115.186,111.16,107.727,104.704,101.513,98.246,95.32,92.883,90.801,88.741,86.712,84.892,83.325,81.895,80.429,78.938,77.238,75.217,72.913,70.561,68.198,65.31,61.689,57.593,53.501,49.33,45.355,41.765,38.456,35.134,31.854,28.766,25.915,23.267,20.748,17.48184,15.46335,13.55756,11.84353,10.28636,8.7684,7.304787,6.01687,4.95189,4.066621,3.263486,2.548045,1.955498,1.48955,1.128588,0.8429669,0.6320708,0.4622423,0.3127932,0.1877377,
,Estimates,Australia,,36,1955,188.164,196.623,201.703,203.777,203.201,200.342,195.564,189.231,181.704,173.351,164.211,154.329,145.672,139.249,134.457,129.722,125.398,121.907,119.32,117.638,116.481,115.536,116.614,120.459,126.037,131.528,137.242,141.825,144.4,145.473,146.725,148.176,147.787,144.823,140.268,135.576,130.141,126.711,126.702,128.732,130.151,131.667,131.529,128.657,124.017,119.688,115.295,111.133,107.569,104.415,101.095,97.692,94.654,92.136,89.994,87.875,85.788,83.899,82.242,80.707,79.142,77.558,75.761,73.639,71.236,68.787,66.332,63.365,59.686,55.548,51.42,47.223,43.227,39.62,36.299,32.975,29.698,26.636,23.841,21.27,17.43846,15.42498,13.52392,11.81414,10.26083,8.746642,7.286661,6.001939,4.939603,4.05653,3.255388,2.541722,1.950646,1.485854,1.125787,0.8408752,0.6305024,0.4610953,0.3120171,0.1872718,0.2741315
,Estimates,Australia,,36,1956,196.396,192.537,199.054,202.936,204.428,203.759,201.311,197.466,191.74,184.084,175.166,165.724,155.641,146.93,140.683,136.212,131.768,127.742,124.478,121.989,120.315,119.179,118.253,119.296,123.033,128.453,133.775,139.298,143.717,146.183,147.181,148.345,149.706,149.209,146.108,141.397,136.554,130.968,127.408,127.305,129.262,130.608,132.054,131.836,128.86,124.106,119.666,115.164,110.904,107.256,104.032,100.638,97.158,94.045,91.453,89.235,87.04,84.88,82.9,81.126,79.456,77.761,76.049,74.13,71.899,69.396,66.855,64.317,61.275,57.529,53.335,49.162,44.924,40.93,37.383,34.159,30.94,27.785,24.822,22.079,18.35361,16.23447,14.23365,12.43414,10.79931,9.205658,7.669059,6.316916,5.198829,4.269413,3.426228,2.67511,2.053014,1.563831,1.184867,0.8850036,0.6635906,0.4852932,0.3283914,0.1970997,
,Estimates,Australia,,36,1957,205.945,207.9,196.663,201.226,203.903,204.81,204.047,202.017,199.108,194.001,186.225,176.751,167.021,156.749,147.996,141.933,137.79,133.645,129.921,126.888,124.501,122.839,121.723,120.82,121.824,125.448,130.704,135.85,141.173,145.422,147.776,148.698,149.771,151.041,150.436,147.201,142.341,137.354,131.623,127.938,127.739,129.623,130.892,132.268,131.968,128.894,124.03,119.487,114.88,110.526,106.802,103.51,100.046,96.495,93.31,90.648,88.356,86.089,83.858,81.791,79.899,78.098,76.275,74.435,72.399,70.059,67.462,64.831,62.213,59.1,55.291,51.048,46.835,42.562,38.575,35.091,31.97,28.861,25.832,22.971,19.11291,16.9061,14.8225,12.94855,11.24609,9.586501,7.986332,6.57825,5.413907,4.446041,3.567973,2.78578,2.137948,1.628527,1.233886,0.9216167,0.6910437,0.50537,0.3419772,0.2052538,
,Estimates,Australia,,36,1958,215.664,213.624,211.673,200.688,203.295,204.764,205.086,204.231,202.617,200.65,196.162,188.269,178.246,168.231,157.777,148.985,143.112,139.296,135.452,132.034,129.233,126.95,125.298,124.205,123.324,124.291,127.798,132.888,137.854,142.975,147.053,149.293,150.138,151.12,152.298,151.587,148.218,143.211,138.084,132.21,128.401,128.109,129.916,131.11,132.413,132.032,128.862,123.89,119.246,114.537,110.093,106.292,102.935,99.402,95.782,92.528,89.795,87.433,85.093,82.793,80.638,78.632,76.7,74.749,72.784,70.629,68.185,65.493,62.773,60.077,56.894,53.026,48.733,44.484,40.179,36.199,32.782,29.765,26.766,23.866,19.73107,17.45288,15.3019,13.36733,11.60981,9.896553,8.24463,6.791007,5.589007,4.589837,3.68337,2.87588,2.207095,1.681198,1.273793,0.9514241,0.7133938,0.521715,0.3530376,0.2118922,
,Estimates,Australia,,36,1959,224.164,218.796,214.574,211.29,204.659,205.308,205.574,205.308,204.363,203.165,202.138,198.27,190.263,179.695,169.397,158.763,149.936,144.251,140.766,137.223,134.111,131.543,129.363,127.725,126.653,125.794,126.723,130.114,135.035,139.821,144.74,148.644,150.771,151.538,152.429,153.515,152.696,149.197,144.044,138.777,132.763,128.832,128.444,130.177,131.292,132.525,132.063,128.795,123.719,118.974,114.165,109.631,105.755,102.334,98.734,95.045,91.722,88.921,86.487,84.075,81.708,79.466,77.346,75.282,73.206,71.115,68.843,66.294,63.507,60.701,57.927,54.677,50.747,46.41,42.122,37.786,33.817,30.466,27.553,24.666,20.1988,17.8666,15.66463,13.68421,11.88502,10.13115,8.440069,6.951988,5.721494,4.698639,3.770685,2.944052,2.259414,1.721051,1.303988,0.9739776,0.7303048,0.5340822,0.3614063,0.2169152,
