Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Austria,,40,1950,79.622,94.76,105.976,113.687,118.316,120.287,120.021,117.94,114.467,110.024,104.54,97.949,93.126,91.482,91.96,92.014,92.043,92.58,93.598,94.963,96.262,97.209,98.807,101.387,104.22,107.121,111.188,110.391,102.057,89.44,77.683,64.809,58.878,64.124,76.406,87.537,99.371,107.933,110.493,109.168,108.77,108.277,108.042,108.704,109.759,110.127,110.109,109.287,107.373,104.676,101.879,98.943,95.76,92.378,88.9,85.313,81.52,78.403,76.359,74.99,73.509,72.083,70.348,68.054,65.385,62.771,60.1,57.449,54.882,52.325,49.689,47.06,44.065,40.53,36.668,32.89,29.136,25.576,22.337,19.371,12.83795,11.34139,9.914754,8.725893,7.695838,6.577784,5.42214,4.390628,3.539777,2.833744,2.168215,1.549599,1.060359,0.7249723,0.50818,0.342089,0.2325273,0.1529785,0.0810058,0.0212713,0.0609
,Estimates,Austria,,40,1951,87.561,81.559,94.337,104.253,111.53,116.394,119.299,120.698,119.684,116.029,110.642,104.578,97.54,92.383,90.612,91.102,91.138,91.162,91.684,92.651,93.957,95.206,96.061,97.748,100.69,104.036,107.425,112.056,111.45,102.711,89.33,76.871,63.228,56.87,62.269,75.062,86.632,98.933,107.792,110.339,108.808,108.258,107.611,107.284,107.968,109.115,109.544,109.58,108.783,106.849,104.102,101.256,98.272,95.02,91.542,87.952,84.248,80.328,77.106,74.996,73.585,72.055,70.584,68.78,66.372,63.567,60.826,58.036,55.274,52.606,49.963,47.251,44.556,41.526,38,34.18,30.457,26.771,23.31,20.208,13.9259,12.30251,10.75498,9.465366,8.348019,7.135216,5.881638,4.762711,3.839754,3.073889,2.35196,1.68092,1.150219,0.7864099,0.5512455,0.3710793,0.2522328,0.1659426,0.0878706,0.0230739,
,Estimates,Austria,,40,1952,95.086,93.513,83.375,93.773,102.376,109.207,114.298,118.134,121.196,121.248,117.419,111.095,104.46,96.987,91.502,89.608,90.107,90.127,90.146,90.652,91.567,92.812,94.007,94.772,96.542,99.845,103.696,107.57,112.757,112.342,103.212,89.088,75.945,61.552,54.779,60.321,73.608,85.597,98.348,107.49,110.021,108.286,107.585,106.786,106.366,107.073,108.308,108.799,108.886,108.117,106.168,103.372,100.483,97.455,94.138,90.57,86.874,83.059,79.017,75.694,73.521,72.071,70.495,68.98,67.109,64.593,61.654,58.791,55.888,53.016,50.253,47.528,44.742,41.986,38.928,35.414,31.642,27.979,24.366,21.009,14.78698,13.0632,11.41998,10.05063,8.864198,7.576404,6.245314,5.057201,4.077175,3.263955,2.497387,1.784855,1.22134,0.8350355,0.5853304,0.394024,0.2678289,0.1762032,0.0933038,0.0245006,
,Estimates,Austria,,40,1953,101.974,95.108,91.386,85.229,93.259,100.551,106.941,112.263,117.03,121.753,122.872,118.865,111.603,104.394,96.483,90.667,88.65,89.16,89.162,89.176,89.667,90.529,91.714,92.859,93.53,95.387,99.05,103.409,107.767,113.514,113.289,103.764,88.89,75.058,59.91,52.718,58.405,72.192,84.608,97.813,107.242,109.758,107.819,106.967,106.015,105.502,106.231,107.557,108.109,108.248,107.507,105.539,102.696,99.76,96.687,93.306,89.645,85.84,81.911,77.748,74.321,72.087,70.594,68.971,67.414,65.474,62.848,59.774,56.789,53.769,50.788,47.928,45.119,42.26,39.44,36.352,32.849,29.123,25.519,21.976,15.42357,13.62559,11.91163,10.48333,9.245813,7.902578,6.514183,5.27492,4.252703,3.404473,2.604903,1.861695,1.27392,0.8709849,0.6105296,0.4109872,0.2793593,0.183789,0.0973207,0.0255554,
,Estimates,Austria,,40,1954,107.998,97.709,91.4,88.502,87.142,92.806,98.795,104.749,110.304,116.005,122.392,124.578,120.393,112.185,104.4,96.044,89.895,87.751,88.273,88.257,88.268,88.742,89.553,90.679,91.772,92.353,94.297,98.321,103.192,108.039,114.346,114.313,104.386,88.753,74.222,58.308,50.694,56.529,70.825,83.675,97.344,107.068,109.569,107.425,106.421,105.316,104.711,105.461,106.879,107.491,107.685,106.968,104.983,102.089,99.105,95.986,92.535,88.781,84.865,80.82,76.53,73,70.7,69.166,67.495,65.892,63.884,61.146,57.936,54.824,51.687,48.595,45.636,42.741,39.806,36.922,33.8,30.307,26.624,23.076,15.84915,14.00155,12.2403,10.77259,9.500926,8.120628,6.693924,5.420467,4.370045,3.49841,2.676778,1.913064,1.309071,0.8950174,0.6273756,0.4223274,0.2870675,0.1888602,0.100006,0.0262606,
,Estimates,Austria,,40,1955,112.978,100.947,93.099,88.877,87.719,89.068,92.366,97.052,102.57,108.359,114.995,123.049,126.304,121.937,112.785,104.419,95.619,89.134,86.865,87.398,87.364,87.37,87.829,88.589,89.656,90.698,91.187,93.219,97.607,102.989,108.325,115.196,115.354,105.023,88.628,73.396,56.713,48.674,54.661,69.467,82.753,96.889,106.907,109.396,107.046,105.89,104.631,103.933,104.706,106.215,106.889,107.135,106.445,104.44,101.496,98.464,95.297,91.778,87.928,83.901,79.739,75.323,71.688,69.322,67.747,66.026,64.38,62.301,59.451,56.104,52.866,49.611,46.408,43.348,40.367,37.357,34.407,31.251,27.767,24.127,16.06337,14.19081,12.40575,10.91819,9.629347,8.230392,6.784404,5.493734,4.429113,3.545697,2.712959,1.938922,1.326765,0.9071151,0.6358556,0.4280358,0.2909477,0.1914129,0.1013577,0.0266155,0.0762006
,Estimates,Austria,,40,1956,116.675,110.246,100.033,93.313,89.645,88.583,89.567,92.034,96.14,101.684,107.862,114.653,122.748,126.017,121.614,112.396,103.969,95.109,88.562,86.233,86.709,86.62,86.57,86.993,87.748,88.832,89.892,90.403,92.465,96.893,102.321,107.701,114.615,114.818,104.536,88.19,73,56.363,48.33,54.26,68.971,82.161,96.188,106.125,108.579,106.222,105.049,103.776,103.036,103.725,105.122,105.692,105.829,105.05,102.99,100.012,96.939,93.728,90.168,86.278,82.211,78.009,73.558,69.858,67.383,65.674,63.824,62.05,59.856,56.915,53.496,50.193,46.889,43.643,40.539,37.526,34.503,31.549,28.453,25.117,17.44,15.40696,13.46892,11.85388,10.45458,8.935735,7.365826,5.964545,4.808687,3.849562,2.945459,2.105087,1.440469,0.9848546,0.6903482,0.4647184,0.3158818,0.207817,0.110044,0.0288965,
,Estimates,Austria,,40,1957,119.604,108.035,107.656,99.246,93.643,90.523,89.556,90.177,91.818,95.349,100.927,107.502,114.454,122.602,125.886,121.444,112.148,103.65,94.718,88.102,85.71,86.131,85.986,85.879,86.268,87.018,88.12,89.199,89.733,91.829,96.302,101.781,107.213,114.178,114.427,104.181,87.862,72.697,56.084,48.046,53.928,68.562,81.672,95.61,105.476,107.899,105.533,104.342,103.052,102.27,102.874,104.164,104.628,104.658,103.789,101.671,98.655,95.539,92.279,88.674,84.739,80.628,76.38,71.886,68.119,65.534,63.686,61.705,59.803,57.491,54.456,50.958,47.588,44.232,40.937,37.787,34.738,31.696,28.737,25.696,18.58383,16.41744,14.35229,12.63133,11.14026,9.521797,7.848924,6.355739,5.124072,4.102041,3.138642,2.243152,1.534944,1.049448,0.7356257,0.4951976,0.3365994,0.221447,0.1172614,0.0307917,
,Estimates,Austria,,40,1958,121.97,111.871,104.138,105.147,98.53,94.041,91.467,90.596,90.853,91.667,94.629,100.244,107.219,114.339,122.545,125.849,121.361,111.983,103.406,94.397,87.706,85.249,85.616,85.413,85.252,85.605,86.352,87.473,88.572,89.128,91.26,95.781,101.315,106.804,113.825,114.118,103.903,87.598,72.446,55.847,47.797,53.635,68.203,81.244,95.1,104.906,107.297,104.92,103.711,102.403,101.578,102.1,103.28,103.642,103.563,102.604,100.427,97.37,94.208,90.897,87.244,83.263,79.103,74.807,70.268,66.43,63.731,61.745,59.632,57.598,55.168,52.036,48.459,45.018,41.606,38.261,35.063,31.974,28.914,25.945,19.39687,17.13571,14.9802,13.18395,11.62764,9.938375,8.192313,6.633801,5.348249,4.281505,3.275957,2.34129,1.602097,1.095361,0.7678092,0.5168624,0.3513255,0.2311352,0.1223916,0.0321388,
,Estimates,Austria,,40,1959,124.049,115.736,108.89,103.414,102.666,97.846,94.468,92.442,91.663,91.558,91.546,93.936,99.591,106.97,114.259,122.526,125.85,121.318,111.851,103.194,94.105,87.336,84.816,85.125,84.868,84.65,84.968,85.713,86.851,87.972,88.551,90.718,95.289,100.881,106.427,113.506,113.845,103.656,87.361,72.219,55.626,47.563,53.359,67.864,80.84,94.62,104.366,106.729,104.34,103.111,101.785,100.918,101.355,102.429,102.685,102.499,101.45,99.213,96.114,92.905,89.542,85.841,81.81,77.601,73.255,68.67,64.759,61.947,59.821,57.575,55.41,52.859,49.629,45.972,42.459,38.991,35.595,32.346,29.217,26.137,19.81091,17.50148,15.29997,13.46538,11.87585,10.15052,8.367186,6.775406,5.462413,4.372898,3.345885,2.391267,1.636296,1.118742,0.7841988,0.5278953,0.3588249,0.236069,0.1250042,0.0328248,
