Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Brazil,,76,1950,2083.461,1912.664,1770.772,1654.829,1561.873,1488.947,1433.095,1391.355,1360.769,1338.381,1325.945,1325.215,1309.666,1266.908,1208.129,1155.066,1101.181,1061.433,1044.742,1042.118,1036.768,1033.403,1019,985.808,940.876,899.156,857.85,819.956,788.53,761.806,734.305,706.325,683.136,666.562,654.282,642.273,631.487,618.165,600.077,578.911,559.028,540.082,519.818,497.721,474.864,452.151,428.567,409.893,398.834,392.43,385.507,379.68,369.509,351.951,329.841,308.941,287.965,269.201,254.322,242.027,229.322,216.801,204.412,191.83,179.258,167.275,155.817,144.52,133.275,122.231,111.59,101.271,91.675,83.013,75.08,67.518,60.47,53.491,46.35,39.296,24.8382,21.61938,18.65598,16.02828,13.68953,11.49119,9.435294,7.68606,6.300989,5.204433,4.252061,3.460861,2.7729,2.14026,1.578188,1.1391,0.8006373,0.5405826,0.349208,0.2164944,0.4733546
,Estimates,Brazil,,76,1951,2087.983,2044.951,1890.636,1760.265,1651.627,1562.502,1490.024,1431.332,1387.459,1357.496,1337.274,1325.299,1323.986,1307.974,1265.142,1206.508,1153.395,1099.358,1059.439,1042.564,1039.752,1034.213,1030.649,1016.118,982.908,938.031,896.356,855.096,817.258,785.897,759.235,731.795,703.883,680.694,664.018,651.567,639.389,628.426,614.928,596.673,575.35,555.297,536.165,515.758,493.586,470.696,447.945,424.341,405.577,394.314,387.638,380.461,374.369,364.016,346.407,324.333,303.454,282.51,263.741,248.789,236.377,223.577,210.978,198.498,185.812,173.134,161.058,149.511,138.185,126.996,116.067,105.56,95.406,85.968,77.433,69.622,62.211,55.322,48.594,41.838,27.3903,23.84075,20.57286,17.67517,15.09612,12.6719,10.40476,8.475795,6.94841,5.739183,4.688956,3.816461,3.057813,2.36017,1.740345,1.256142,0.882902,0.596127,0.3850887,0.238739,
,Estimates,Brazil,,76,1952,2140.931,2033.128,2008.664,1870.68,1751.701,1650.255,1564.865,1492.758,1431.154,1385.1,1355.726,1337.65,1326.124,1324.225,1307.733,1264.777,1206.225,1153.003,1098.753,1058.619,1041.541,1038.538,1032.802,1029.037,1014.36,981.096,936.223,894.548,853.288,815.465,784.133,757.503,730.095,702.219,679.006,662.208,649.571,637.212,626.06,612.368,593.928,572.424,552.178,532.838,512.266,489.995,467.045,444.23,420.581,401.707,390.226,383.271,375.831,369.468,358.919,341.242,319.177,298.298,277.362,258.568,243.525,230.983,218.074,205.38,192.799,179.993,167.195,155.011,143.364,131.996,120.85,110.025,99.639,89.64,80.349,71.933,64.235,56.966,50.229,43.746,29.65379,25.81092,22.27297,19.13582,16.34364,13.71909,11.26459,9.176221,7.522615,6.21346,5.076443,4.131848,3.310505,2.55521,1.884164,1.359947,0.9558636,0.6453899,0.4169118,0.258468,
,Estimates,Brazil,,76,1953,2215.201,2114.909,2017.569,1970.471,1848.967,1741.505,1647.355,1565.787,1494.114,1429.655,1381.455,1352.701,1336.79,1325.725,1323.24,1306.282,1263.243,1204.826,1151.545,1097.132,1056.82,1039.553,1036.362,1030.436,1026.47,1011.663,978.374,933.547,891.911,850.689,812.915,781.642,755.069,727.716,699.905,676.687,659.784,646.972,634.442,623.112,609.24,590.63,568.963,548.544,529.015,508.295,485.945,462.958,440.1,416.428,397.46,385.771,378.544,370.847,364.217,353.484,335.754,313.72,292.859,271.95,253.148,238.029,225.368,212.361,199.586,186.913,173.999,161.093,148.813,137.076,125.677,114.583,103.872,93.62,83.782,74.649,66.358,58.78,51.662,45.082,31.39683,27.32808,23.58218,20.26062,17.30432,14.52549,11.92673,9.715599,7.964794,6.578687,5.374837,4.374718,3.505097,2.705405,1.994915,1.439885,1.012049,0.6833259,0.4414179,0.2736607,
,Estimates,Brazil,,76,1954,2293.904,2195.45,2098.143,2002.677,1930.682,1825.753,1729.891,1643.112,1565.429,1494.251,1426.988,1376.686,1348.572,1334.84,1324.243,1321.175,1303.767,1260.678,1202.444,1149.148,1094.615,1054.158,1036.718,1033.341,1027.228,1023.067,1008.141,974.855,930.111,888.546,847.396,809.703,778.513,752.019,724.746,697.02,673.816,656.822,643.847,631.154,619.656,605.616,586.85,565.041,544.464,524.761,503.91,481.501,458.494,435.612,411.935,392.89,381.003,373.509,365.563,358.672,347.762,329.994,308.008,287.183,266.318,247.524,232.34,219.571,206.477,193.631,180.876,167.866,154.861,142.496,130.678,119.257,108.225,97.637,87.525,77.859,68.889,60.732,53.279,46.317,32.50231,28.29029,24.4125,20.97399,17.91359,15.03693,12.34666,10.05768,8.245232,6.81032,5.564083,4.52875,3.62851,2.800662,2.065155,1.490583,1.047683,0.7073856,0.4569601,0.2832962,
,Estimates,Brazil,,76,1955,2367.112,2269.641,2172.478,2076.38,1982.109,1890.418,1802.068,1717.816,1638.422,1564.64,1493.976,1423.932,1371.543,1344.077,1332.524,1322.399,1318.749,1300.894,1257.77,1199.734,1146.436,1091.801,1051.209,1033.601,1030.039,1023.743,1019.386,1004.346,971.071,926.423,884.942,843.874,806.272,775.174,748.767,721.579,693.946,670.765,653.682,640.548,627.699,616.034,601.829,582.915,560.967,540.24,520.368,499.393,476.93,453.91,431.01,407.336,388.218,376.137,368.379,360.184,353.036,341.953,324.151,302.22,281.435,260.621,241.839,226.596,213.721,200.545,187.631,174.798,161.695,148.596,136.148,124.254,112.813,101.847,91.384,81.414,71.923,63.119,55.096,47.772,32.958,28.68693,24.75477,21.26805,18.16475,15.24775,12.51977,10.19869,8.360832,6.905803,5.642093,4.592244,3.679383,2.839928,2.09411,1.511481,1.062372,0.7173033,0.4633668,0.2872681,0.628098
,Estimates,Brazil,,76,1956,2431.649,2342.339,2247.677,2153.575,2060.667,1969.581,1881.158,1796.246,1714.403,1635.836,1561.811,1490.924,1420.486,1367.72,1340.105,1328.527,1318.182,1314.168,1296.038,1252.807,1194.767,1141.432,1086.768,1046.1,1028.337,1024.577,1018.103,1013.57,998.422,965.148,920.571,879.152,838.15,800.602,769.531,743.129,715.953,688.338,665.136,647.973,634.72,621.754,609.968,595.657,576.668,554.667,533.876,513.93,492.907,470.441,447.438,424.555,400.915,381.756,369.514,361.524,353.114,345.739,334.51,316.688,294.82,274.093,253.353,234.614,219.348,206.417,193.211,180.284,167.472,154.444,141.459,129.143,117.401,106.132,95.351,85.093,75.352,66.107,57.603,49.954,35.89844,31.24631,26.96333,23.16554,19.78537,16.60812,13.63675,11.1086,9.106767,7.521923,6.145467,5.001954,4.007649,3.0933,2.280941,1.646332,1.157154,0.7812995,0.5047073,0.3128975,
,Estimates,Brazil,,76,1957,2488.193,2397.6,2318.036,2226.163,2135.104,2045.363,1957.442,1872.269,1790.776,1711.324,1633.569,1559.286,1488.163,1417.317,1364.163,1336.395,1324.792,1314.221,1309.845,1291.437,1248.089,1190.034,1136.655,1081.948,1041.197,1023.275,1019.317,1012.665,1007.953,992.696,959.416,914.902,873.536,832.591,795.091,764.041,737.639,710.469,682.868,659.639,642.393,629.019,615.935,604.024,589.604,570.538,548.478,527.62,507.595,486.522,464.047,441.057,418.187,394.577,375.371,362.967,354.744,346.117,338.515,327.136,309.292,287.482,266.809,246.141,227.439,212.148,199.156,185.921,172.976,160.185,147.227,134.355,122.167,110.577,99.475,88.878,78.823,69.309,60.308,52.103,38.37212,33.39943,28.82132,24.76183,21.14873,17.75255,14.57643,11.87407,9.734294,8.040242,6.568938,5.346628,4.283807,3.306452,2.438116,1.759777,1.236891,0.8351372,0.5394856,0.3344586,
,Estimates,Brazil,,76,1958,2543.322,2457.109,2369.746,2294.53,2205.413,2117.365,2030.761,1945.975,1864.022,1785.917,1708.832,1631.86,1557.295,1485.91,1414.634,1361.073,1333.143,1321.508,1310.712,1305.97,1287.277,1243.8,1185.709,1132.265,1077.499,1036.651,1018.565,1014.405,1007.574,1002.683,987.309,954.012,909.546,868.221,827.317,789.854,758.812,732.402,705.229,677.632,654.37,637.032,623.534,610.327,598.287,583.755,564.603,542.478,521.546,501.434,480.304,457.814,434.828,411.962,388.374,369.118,356.544,348.087,339.239,331.408,319.875,302.003,280.244,259.617,239.013,220.343,205.022,191.966,178.694,165.729,152.953,140.062,127.299,115.234,103.791,92.854,82.437,72.581,63.291,54.53,40.31739,35.09261,30.28241,26.01713,22.22087,18.65252,15.31538,12.47602,10.22777,8.447842,6.90195,5.617674,4.500975,3.474073,2.561716,1.848989,1.299595,0.8774744,0.5668348,0.351414,
,Estimates,Brazil,,76,1959,2606.485,2521.541,2435.885,2349.916,2271.484,2185.107,2100.05,2016.569,1934.901,1856.152,1781.423,1706.686,1630.484,1555.621,1483.961,1412.237,1358.261,1330.161,1318.494,1307.469,1302.359,1283.38,1239.762,1181.625,1128.105,1073.268,1032.315,1014.06,1009.7,1002.686,997.615,982.123,948.802,904.374,863.079,822.212,784.774,753.737,727.313,700.131,672.532,649.232,631.801,618.174,604.842,592.67,578.022,558.781,536.587,515.576,495.374,474.182,451.67,428.686,405.82,382.248,362.936,350.193,341.497,332.429,324.366,312.677,294.772,273.061,252.475,231.932,213.289,197.935,184.812,171.502,158.513,145.75,132.923,120.265,108.322,97.024,86.249,76.01,66.352,57.283,41.73929,36.33025,31.3504,26.93469,23.00454,19.31035,15.85552,12.91602,10.58848,8.745777,7.145366,5.815797,4.659713,3.596595,2.652062,1.914199,1.345429,0.9084209,0.5868257,0.3638075,
