Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Cambodia,,116,1950,163.279,154.688,147.05,140.28,134.305,129.043,124.411,120.335,116.732,113.523,110.701,108.26,105.756,102.978,100.053,97.339,94.769,92.212,89.642,87.078,84.571,82.112,79.698,77.33,75.007,72.729,70.492,68.308,66.176,64.097,62.06,60.066,58.125,56.243,54.41,52.62,50.874,49.16,47.466,45.802,44.177,42.584,41.045,39.574,38.15,36.757,35.401,34.05,32.692,31.338,30.016,28.715,27.456,26.242,25.067,23.906,22.761,21.64,20.546,19.471,18.419,17.409,16.349,15.203,14.016,12.868,11.732,10.717,9.88,9.169,8.472,7.811,7.154,6.474,5.789,5.151,4.564,3.979,3.387,2.809,1.844509,1.568503,1.321674,1.106355,0.9207955,0.7530333,0.6048191,0.4779034,0.3737449,0.2876757,0.2167779,0.1604682,0.1149536,0.0799423,0.0533921,0.0361783,0.0271337,0.0204232,0.0128375,0.0049599,0.0099199
,Estimates,Cambodia,,116,1951,184.9,160.714,152.074,144.509,137.91,132.175,127.23,122.997,119.206,115.68,112.415,109.572,107.114,104.599,101.83,98.927,96.219,93.648,91.091,88.53,85.981,83.487,81.039,78.641,76.292,73.991,71.735,69.52,67.359,65.245,63.183,61.163,59.187,57.265,55.403,53.591,51.822,50.094,48.398,46.721,45.07,43.458,41.877,40.343,38.869,37.437,36.035,34.667,33.303,31.928,30.555,29.213,27.894,26.617,25.394,24.214,23.048,21.901,20.778,19.682,18.606,17.555,16.549,15.497,14.368,13.205,12.081,10.972,9.983,9.167,8.475,7.799,7.162,6.532,5.887,5.239,4.64,4.091,3.548,3.008,2.058373,1.750366,1.474917,1.234633,1.027558,0.8403448,0.6749457,0.5333145,0.4170793,0.3210306,0.2419125,0.1790739,0.128282,0.0892113,0.0595828,0.040373,0.0302798,0.0227912,0.0143259,0.005535,
,Estimates,Cambodia,,116,1952,202.366,182.787,158.028,149.345,141.861,135.437,129.946,125.319,121.487,117.985,114.538,111.218,108.358,105.885,103.361,100.604,97.723,95.026,92.453,89.901,87.351,84.817,82.338,79.906,77.523,75.196,72.918,70.686,68.496,66.357,64.264,62.221,60.222,58.262,56.361,54.521,52.732,50.985,49.277,47.599,45.939,44.305,42.707,41.138,39.612,38.135,36.696,35.285,33.909,32.532,31.14,29.751,28.39,27.052,25.761,24.529,23.344,22.175,21.026,19.902,18.806,17.73,16.681,15.678,14.637,13.525,12.386,11.287,10.207,9.245,8.449,7.777,7.123,6.509,5.909,5.296,4.688,4.128,3.615,3.118,2.237915,1.903042,1.603568,1.342324,1.117188,0.9136443,0.7338181,0.5798331,0.4534592,0.3490326,0.2630134,0.1946937,0.1394715,0.0969928,0.0647799,0.0438946,0.0329209,0.0247792,0.0155755,0.0060178,
,Estimates,Cambodia,,116,1953,215.41,193.357,174.727,155.678,146.934,139.514,133.253,127.992,123.673,120.235,117.01,113.636,110.256,107.372,104.879,102.341,99.588,96.726,94.033,91.454,88.9,86.355,83.834,81.363,78.94,76.571,74.258,71.999,69.786,67.618,65.496,63.42,61.39,59.406,57.462,55.576,53.755,51.985,50.255,48.564,46.902,45.256,43.633,42.047,40.486,38.964,37.483,36.033,34.612,33.222,31.831,30.42,29.009,27.629,26.269,24.961,23.717,22.526,21.35,20.198,19.071,17.971,16.892,15.845,14.843,13.808,12.713,11.595,10.521,9.465,8.527,7.752,7.096,6.464,5.873,5.298,4.719,4.148,3.626,3.149,2.365606,2.011626,1.695064,1.418915,1.180932,0.965775,0.7756884,0.6129173,0.4793327,0.3689478,0.2780205,0.2058025,0.1474294,0.1025271,0.0684761,0.0463991,0.0347993,0.026193,0.0164642,0.0063612,
,Estimates,Cambodia,,116,1954,223.869,201.683,182.804,166.945,153.702,144.876,137.501,131.388,126.347,122.325,119.271,116.318,113.008,109.56,106.644,104.126,101.567,98.813,95.962,93.266,90.676,88.112,85.568,83.051,80.584,78.165,75.801,73.5,71.254,69.055,66.9,64.793,62.728,60.707,58.734,56.799,54.926,53.117,51.363,49.647,47.967,46.317,44.681,43.067,41.487,39.932,38.41,36.92,35.457,34.021,32.616,31.205,29.773,28.338,26.932,25.55,24.219,22.961,21.761,20.577,19.417,18.285,17.178,16.095,15.046,14.042,13.013,11.931,10.831,9.777,8.746,7.829,7.072,6.433,5.819,5.25,4.7,4.152,3.617,3.132,2.420779,2.058543,1.734598,1.452008,1.208475,0.9882997,0.7937797,0.6272123,0.4905122,0.3775527,0.2845047,0.2106024,0.1508679,0.1049183,0.0700732,0.0474813,0.035611,0.0268039,0.0168482,0.0065095,
,Estimates,Cambodia,,116,1955,227.745,207.688,190.291,175.336,162.613,151.899,142.981,135.644,129.671,124.843,121.117,118.445,115.762,112.513,108.99,106.041,103.493,100.911,98.153,95.309,92.607,90.001,87.427,84.879,82.364,79.898,77.479,75.119,72.825,70.59,68.402,66.26,64.164,62.107,60.094,58.129,56.201,54.337,52.54,50.799,49.095,47.426,45.784,44.157,42.549,40.974,39.423,37.899,36.399,34.92,33.468,32.045,30.614,29.158,27.697,26.265,24.857,23.503,22.23,21.018,19.824,18.656,17.516,16.403,15.313,14.26,13.255,12.229,11.158,10.077,9.042,8.033,7.137,6.398,5.773,5.178,4.63,4.105,3.588,3.088,2.382952,2.026376,1.707493,1.429319,1.189591,0.9728564,0.7813759,0.6174114,0.4828474,0.371653,0.280059,0.2073115,0.1485104,0.1032788,0.0689782,0.0467393,0.0350545,0.0263851,0.0165849,0.0064078,0.0128156
,Estimates,Cambodia,,116,1956,226.111,221.066,203.331,187.538,173.581,161.356,150.653,141.269,133.6,127.739,123.281,119.677,116.983,114.285,111.052,107.563,104.625,102.075,99.496,96.755,93.933,91.252,88.666,86.115,83.592,81.103,78.666,76.275,73.943,71.674,69.462,67.298,65.179,63.108,61.079,59.096,57.157,55.255,53.416,51.639,49.916,48.228,46.574,44.941,43.316,41.704,40.126,38.569,37.036,35.523,34.03,32.562,31.123,29.681,28.221,26.761,25.33,23.925,22.574,21.305,20.096,18.91,17.751,16.621,15.519,14.439,13.4,12.409,11.406,10.37,9.332,8.34,7.378,6.524,5.822,5.23,4.67,4.156,3.668,3.191,2.570429,2.185799,1.841829,1.541769,1.283181,1.049395,0.8428501,0.6659858,0.520835,0.4008925,0.3020925,0.2236216,0.1601944,0.1114042,0.074405,0.0504165,0.0378124,0.0284609,0.0178897,0.0069119,
,Estimates,Cambodia,,116,1957,222.681,211.857,215.208,199.725,185.474,172.459,160.687,149.958,140.073,132.046,126.277,122.169,118.675,115.95,113.228,109.998,106.529,103.592,101.032,98.446,95.71,92.903,90.232,87.657,85.118,82.612,80.14,77.723,75.352,73.037,70.786,68.59,66.441,64.338,62.284,60.275,58.315,56.395,54.513,52.69,50.928,49.217,47.539,45.893,44.263,42.634,41.015,39.424,37.858,36.309,34.779,33.266,31.778,30.317,28.859,27.389,25.924,24.491,23.081,21.73,20.46,19.251,18.066,16.914,15.79,14.692,13.622,12.591,11.611,10.627,9.622,8.622,7.671,6.751,5.938,5.269,4.707,4.18,3.699,3.245,2.716941,2.310388,1.946812,1.629649,1.356322,1.10921,0.890892,0.7039465,0.5505223,0.4237431,0.3193115,0.2363679,0.1693253,0.1177542,0.078646,0.0532902,0.0399677,0.0300832,0.0189094,0.0073059,
,Estimates,Cambodia,,116,1958,218.801,213.197,206.485,209.631,196.382,183.655,171.568,160.234,149.462,139.065,130.666,124.982,121.221,117.83,115.072,112.32,109.09,105.637,102.698,100.122,97.527,94.794,91.995,89.332,86.763,84.235,81.741,79.284,76.882,74.528,72.23,69.991,67.809,65.672,63.582,61.542,59.552,57.609,55.709,53.843,52.034,50.285,48.582,46.912,45.273,43.644,42.009,40.378,38.776,37.195,35.631,34.081,32.545,31.034,29.551,28.073,26.593,25.121,23.683,22.268,20.914,19.641,18.429,17.247,16.096,14.979,13.885,12.82,11.799,10.826,9.862,8.886,7.923,7.011,6.132,5.357,4.723,4.19,3.695,3.246,2.799608,2.380686,2.006046,1.679234,1.39759,1.142959,0.9179987,0.7253651,0.5672727,0.4366362,0.329027,0.2435597,0.1744773,0.121337,0.081039,0.0549116,0.0411837,0.0309985,0.0194848,0.0075282,
,Estimates,Cambodia,,116,1959,216.241,214.827,211.284,205.915,203.97,192.965,181.772,170.62,159.727,148.916,138.009,129.242,123.643,120.23,116.946,114.153,111.374,108.144,104.709,101.767,99.178,96.574,93.844,91.055,88.4,85.84,83.322,80.84,78.4,76.015,73.678,71.396,69.173,67.003,64.879,62.803,60.779,58.806,56.886,55.001,53.154,51.359,49.623,47.931,46.269,44.637,43.008,41.369,39.726,38.113,36.52,34.939,33.369,31.812,30.278,28.773,27.277,25.785,24.309,22.864,21.446,20.088,18.813,17.6,16.419,15.273,14.159,13.072,12.012,11,10.036,9.091,8.145,7.219,6.347,5.51,4.774,4.173,3.671,3.206,2.796287,2.377861,2.003666,1.677241,1.395932,1.141603,0.9169096,0.7245046,0.5665997,0.4361181,0.3286367,0.2432708,0.1742703,0.1211931,0.0809428,0.0548465,0.0411349,0.0309617,0.0194617,0.0075193,
,Estimates,Cambodia,,116,1960,216.808,217.536,215.704,211.64,205.682,198.16,189.41,179.761,169.552,159.11,148.268,136.856,127.725,122.217,119.156,115.979,113.155,110.349,107.123,103.707,100.765,98.164,95.553,92.827,90.051,87.407,84.855,82.35,79.884,77.46,75.093,72.776,70.512,68.305,66.15,64.041,61.98,59.972,58.02,56.12,54.256,52.426,50.649,48.926,47.245,45.592,43.969,42.342,40.699,39.047,37.422,35.818,34.222,32.633,31.056,29.501,27.974,26.46,24.959,23.477,22.029,20.607,19.248,17.971,16.757,15.578,14.437,13.33,12.247,11.195,10.192,9.238,8.312,7.397,6.51,5.677,4.883,4.186,3.619,3.148,2.694429,2.291245,1.930681,1.616146,1.345084,1.100019,0.8835102,0.6981137,0.5459607,0.4202321,0.3166658,0.2344094,0.1679224,0.1167785,0.0779944,0.0528487,0.0396365,0.0298339,0.0187528,0.0072454,0.0144908
,Estimates,Cambodia,,116,1961,222.102,215.955,215.323,212.756,208.473,202.699,195.77,188.03,179.111,169.006,158.285,147.364,135.961,126.832,121.33,118.278,115.094,112.251,109.433,106.208,102.805,99.87,97.275,94.674,91.958,89.195,86.565,84.027,81.538,79.084,76.674,74.319,72.016,69.766,67.578,65.444,63.353,61.311,59.318,57.377,55.487,53.631,51.807,50.03,48.299,46.607,44.94,43.303,41.658,39.994,38.321,36.674,35.047,33.432,31.827,30.24,28.674,27.138,25.617,24.114,22.632,21.186,19.769,18.416,17.145,15.937,14.768,13.64,12.548,11.486,10.459,9.484,8.558,7.665,6.793,5.954,5.168,4.422,3.772,3.244,2.869174,2.439842,2.055893,1.72096,1.432318,1.17136,0.9408095,0.7433893,0.5813686,0.4474859,0.3372028,0.2496118,0.1788128,0.1243521,0.0830527,0.0562761,0.0422071,0.0317688,0.0199689,0.0077153,
,Estimates,Cambodia,,116,1962,230.935,228.428,214.705,212.709,209.411,204.915,199.336,193.016,186.302,178.132,168.15,157.167,146.189,134.814,125.704,120.221,117.18,113.996,111.139,108.313,105.098,101.711,98.791,96.206,93.617,90.919,88.174,85.561,83.045,80.573,78.138,75.745,73.408,71.12,68.892,66.725,64.616,62.548,60.526,58.554,56.629,54.75,52.905,51.091,49.318,47.583,45.882,44.204,42.554,40.896,39.215,37.523,35.855,34.21,32.578,30.962,29.365,27.792,26.249,24.726,23.221,21.743,20.302,18.893,17.548,16.284,15.087,13.928,12.814,11.741,10.702,9.702,8.756,7.86,7.003,6.174,5.385,4.648,3.953,3.349,2.984133,2.537599,2.138267,1.789913,1.489706,1.218293,0.9785048,0.7731746,0.6046622,0.4654152,0.3507135,0.259613,0.1859773,0.1293345,0.0863803,0.0585309,0.0438982,0.0330416,0.020769,0.0080244,
,Estimates,Cambodia,,116,1963,241.393,234.829,228.165,213.156,209.8,205.774,201.072,195.696,189.994,184.315,176.905,167.06,155.832,144.809,133.481,124.401,118.943,115.921,112.739,109.872,107.044,103.841,100.476,97.573,95.004,92.432,89.752,87.03,84.44,81.945,79.498,77.083,74.71,72.395,70.127,67.92,65.78,63.698,61.656,59.658,57.708,55.801,53.937,52.106,50.305,48.536,46.802,45.092,43.407,41.747,40.077,38.381,36.672,34.988,33.325,31.678,30.053,28.45,26.872,25.324,23.799,22.297,20.824,19.39,17.99,16.655,15.401,14.215,13.07,11.971,10.917,9.903,8.932,8.015,7.151,6.332,5.547,4.808,4.121,3.478,3.036538,2.582162,2.175817,1.821346,1.515867,1.239688,0.9956886,0.7867525,0.6152808,0.4735885,0.3568725,0.2641721,0.1892433,0.1316057,0.0878973,0.0595588,0.0446691,0.0336219,0.0211338,0.0081653,
,Estimates,Cambodia,,116,1964,250.723,240.479,231.268,222.95,211.52,206.808,202.056,197.152,191.981,186.896,182.254,175.605,165.902,154.432,143.372,132.093,123.048,117.618,114.614,111.437,108.561,105.732,102.542,99.201,96.317,93.763,91.209,88.55,85.852,83.284,80.814,78.389,75.999,73.646,71.352,69.105,66.923,64.808,62.755,60.739,58.767,56.839,54.951,53.104,51.286,49.498,47.737,46,44.286,42.592,40.924,39.243,37.532,35.807,34.107,32.429,30.766,29.134,27.524,25.942,24.39,22.864,21.365,19.898,18.47,17.082,15.757,14.514,13.338,12.207,11.125,10.09,9.101,8.16,7.272,6.441,5.658,4.918,4.231,3.595,3.027312,2.574316,2.169206,1.815812,1.511262,1.235921,0.9926633,0.784362,0.6134113,0.4721495,0.3557881,0.2633694,0.1886683,0.1312059,0.0876302,0.0593778,0.0445334,0.0335197,0.0210696,0.0081405,
