Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Canada,,124,1950,358.488,341.944,326.288,311.544,297.736,284.888,273.024,262.168,252.344,243.576,235.76,228.792,223.336,219.672,217.44,215.828,214.795,214.7,215.571,217.106,218.877,220.862,222.55,223.607,224.104,224.604,225.181,224.445,221.821,217.949,213.938,209.436,205.661,203.285,201.68,199.648,197.555,194.492,189.923,184.382,178.974,173.528,168.255,163.393,158.85,154.235,149.54,145.443,142.219,139.563,136.936,134.489,131.714,128.314,124.547,120.921,117.281,113.963,111.161,108.674,106.062,103.383,100.583,97.582,94.39,91.138,87.85,84.13,79.809,75.073,70.323,65.535,60.654,55.715,50.773,45.888,41.076,36.498,32.242,28.296,21.663,19.14189,16.83141,14.86373,13.15114,11.47586,9.879042,8.417488,7.09762,5.912544,4.838011,3.867366,3.041973,2.376809,1.845248,1.396654,1.03079,0.7390977,0.5075502,0.3311557,0.5886156
,Estimates,Canada,,124,1951,346.547,361.472,345.967,330.833,316.181,302.12,288.699,275.962,264.336,254.056,245.043,236.859,229.443,223.76,220.2,218.297,217.003,216.304,216.571,217.814,219.712,221.86,224.254,226.183,227.222,227.533,227.847,228.196,227.293,224.63,220.789,216.766,212.242,208.371,205.783,203.894,201.584,199.202,195.882,191.115,185.413,179.832,174.205,168.762,163.741,159.046,154.282,149.45,145.183,141.734,138.823,135.958,133.282,130.302,126.736,122.834,119.078,115.3,111.92,109.166,106.792,104.285,101.721,98.972,95.918,92.6,89.242,85.871,81.998,77.421,72.38,67.338,62.239,57.212,52.384,47.72,43.101,38.586,34.236,30.077,22.84606,20.18727,17.7506,15.67547,13.86934,12.10258,10.41855,8.877182,7.485234,6.235438,5.102224,4.07857,3.208101,2.506611,1.94602,1.472928,1.087084,0.7794611,0.5352684,0.3492407,
,Estimates,Canada,,124,1952,347.317,349.314,364.845,350.364,335.738,321.162,306.834,292.821,279.199,266.788,256.041,246.773,238.212,230.338,224.421,220.962,219.388,218.411,218.045,218.676,220.292,222.555,225.084,227.891,230.062,231.086,231.209,231.338,231.459,230.388,227.682,223.869,219.829,215.278,211.306,208.505,206.328,203.737,201.065,197.482,192.511,186.644,180.882,175.068,169.449,164.263,159.411,154.493,149.517,145.076,141.399,138.229,135.122,132.214,129.027,125.288,121.249,117.356,113.438,109.992,107.283,105.02,102.616,100.162,97.464,94.353,90.904,87.436,83.98,79.948,75.112,69.758,64.419,59.002,53.825,49.102,44.712,40.353,36.132,32.007,24.02301,21.22724,18.66505,16.48301,14.58384,12.72607,10.95528,9.334504,7.870847,6.556667,5.365073,4.288684,3.373371,2.635743,2.046273,1.548809,1.143087,0.8196163,0.5628436,0.3672324,
,Estimates,Canada,,124,1953,356.475,361.717,362.54,367.82,354.382,340.279,325.796,311.216,296.629,282.132,268.95,257.745,248.233,239.302,230.98,224.835,221.482,220.236,219.581,219.546,220.543,222.531,225.157,228.065,231.281,233.694,234.701,234.637,234.578,234.472,233.233,230.488,226.706,222.655,218.082,214.013,211,208.538,205.669,202.708,198.866,193.697,187.67,181.733,175.739,169.949,164.605,159.599,154.533,149.42,144.808,140.906,137.481,134.134,130.998,127.606,123.699,119.526,115.502,111.446,107.939,105.278,103.127,100.83,98.491,95.843,92.681,89.105,85.53,81.992,77.806,72.714,67.054,61.423,55.695,50.37,45.76,41.649,37.557,33.633,25.15009,22.22316,19.54076,17.25634,15.26807,13.32313,11.46927,9.772448,8.240121,6.864284,5.616784,4.489895,3.531638,2.759403,2.142277,1.621474,1.196716,0.85807,0.5892504,0.3844617,
,Estimates,Canada,,124,1954,370.833,376.447,377.579,374.76,370.34,357.96,344.399,330.027,315.212,300.068,284.716,270.778,259.131,249.386,240.097,231.337,224.972,221.727,220.813,220.478,220.777,222.136,224.495,227.48,230.763,234.385,237.035,238.025,237.773,237.529,237.193,235.789,233.009,229.262,225.204,220.615,216.455,213.233,210.491,207.346,204.1,200.004,194.644,188.463,182.36,176.193,170.24,164.742,159.591,154.383,149.138,144.362,140.239,136.564,132.981,129.621,126.028,121.958,117.657,113.506,109.317,105.754,103.143,101.109,98.92,96.698,94.107,90.894,87.197,83.519,79.903,75.57,70.228,64.269,58.352,52.319,46.857,42.363,38.535,34.715,26.14123,23.09895,20.31084,17.9364,15.86977,13.84818,11.92126,10.15757,8.564856,7.134798,5.838136,4.666837,3.670816,2.868148,2.226702,1.685374,1.243878,0.8918856,0.6124721,0.399613,
,Estimates,Canada,,124,1955,387.912,391.875,391.875,388.365,381.798,372.629,361.314,348.301,334.047,319.008,303.317,287.122,272.438,260.357,250.385,240.745,231.552,224.972,221.838,221.255,221.239,221.872,223.591,226.317,229.66,233.315,237.34,240.226,241.196,240.758,240.328,239.765,238.197,235.382,231.673,227.611,223.009,218.76,215.333,212.31,208.894,205.365,201.019,195.47,189.141,182.875,176.539,170.426,164.78,159.486,154.139,148.767,143.829,139.489,135.566,131.751,128.168,124.377,120.148,115.72,111.446,107.128,103.509,100.951,99.034,96.954,94.852,92.316,89.057,85.24,81.463,77.771,73.292,67.705,61.451,55.254,48.92,43.322,38.948,35.405,26.8836,23.75492,20.88764,18.44576,16.32045,14.24145,12.25981,10.44603,8.808085,7.337416,6.00393,4.799368,3.775062,2.949599,2.289937,1.733236,1.279202,0.9172139,0.6298654,0.4109614,0.7304669
,Estimates,Canada,,124,1956,407.534,396.04,397.711,396.132,391.639,384.566,375.391,364.593,351.793,337.045,321.111,304.82,288.162,273.229,261.212,251.525,242.166,233.26,227.068,224.438,224.414,224.961,226.194,228.288,231.033,234.159,237.599,241.349,244.022,244.923,244.487,244.005,243.393,241.611,238.335,234.017,229.37,224.159,219.459,215.843,212.801,209.342,205.781,201.393,195.76,189.32,182.966,176.556,170.351,164.584,159.147,153.667,148.175,143.087,138.548,134.405,130.375,126.554,122.639,118.459,114.185,110.039,105.858,102.286,99.63,97.514,95.261,93.01,90.244,86.635,82.412,78.242,74.131,69.434,63.94,57.98,52.067,46.065,40.699,36.367,28.59167,25.26421,22.21475,19.61773,17.35738,15.14629,13.03874,11.10973,9.367713,7.803604,6.385394,5.104299,4.014913,3.137004,2.43543,1.843359,1.360477,0.9754897,0.6698844,0.4370721,
,Estimates,Canada,,124,1957,425.538,423.332,403.434,402.8,399.64,394.169,386.601,377.438,367.18,354.618,339.402,322.601,305.74,288.65,273.494,261.565,252.182,243.124,234.523,228.734,226.614,227.152,228.263,230.096,232.561,235.321,238.224,241.44,244.906,247.362,248.19,247.758,247.226,246.563,244.572,240.839,235.917,230.693,224.88,219.737,215.936,212.882,209.388,205.801,201.378,195.672,189.134,182.703,176.233,169.945,164.068,158.499,152.896,147.295,142.065,137.335,132.98,128.74,124.69,120.657,116.534,112.422,108.415,104.377,100.861,98.111,95.8,93.375,90.982,87.989,84.036,79.412,74.857,70.334,65.426,60.036,54.383,48.767,43.11,37.986,30.02931,26.53454,23.33174,20.60414,18.23014,15.90787,13.69435,11.66834,9.838738,8.195982,6.706463,5.360952,4.21679,3.294738,2.557887,1.936046,1.428884,1.024539,0.7035673,0.4590488,
,Estimates,Canada,,124,1958,440.836,435.596,429.471,410.323,407.382,402.644,396.201,388.147,379.008,369.303,356.995,341.332,323.683,306.272,288.771,273.413,261.586,252.52,243.775,235.49,230.11,228.504,229.604,231.278,233.709,236.543,239.314,241.989,244.979,248.155,250.39,251.145,250.718,250.135,249.423,247.225,243.039,237.52,231.724,225.317,219.735,215.755,212.695,209.167,205.56,201.108,195.335,188.708,182.209,175.685,169.325,163.343,157.65,151.929,146.228,140.862,135.947,131.384,126.942,122.666,118.519,114.46,110.516,106.651,102.763,99.307,96.467,93.962,91.37,88.837,85.621,81.328,76.31,71.374,66.444,61.333,56.053,50.713,45.403,40.098,31.27881,27.63862,24.30256,21.46147,18.98868,16.56979,14.26417,12.15385,10.24812,8.537012,6.985514,5.584018,4.392248,3.43183,2.664319,2.016603,1.488339,1.067169,0.7328423,0.4781496,
,Estimates,Canada,,124,1959,452.613,445.285,437.91,430.403,416.777,411.539,405.228,397.821,389.292,380.185,371.042,359.002,342.905,324.431,306.489,288.594,273.051,261.337,252.598,244.173,236.213,231.248,230.156,231.815,234.05,237.076,240.275,243.054,245.5,248.259,251.144,253.155,253.838,253.414,252.782,252.023,249.619,244.986,238.875,232.515,225.52,219.508,215.353,212.287,208.731,205.108,200.633,194.797,188.088,181.528,174.956,168.531,162.452,156.639,150.809,145.011,139.515,134.422,129.655,125.015,120.519,116.264,112.271,108.498,104.781,101.045,97.653,94.725,92.031,89.274,86.603,83.168,78.542,73.133,67.823,62.492,57.182,52.018,46.998,41.997,32.38262,28.61398,25.16019,22.21883,19.65879,17.15453,14.76754,12.58276,10.60977,8.83828,7.232031,5.781076,4.547249,3.552938,2.758342,2.087769,1.540862,1.104829,0.758704,0.4950233,
