Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Chile,,152,1950,179.185,177.195,174.204,170.364,165.829,160.755,155.293,149.599,143.826,138.127,132.359,126.374,121.825,119.469,118.558,117.553,116.722,115.667,114.027,111.982,110.174,108.594,106.424,103.363,99.775,96.274,92.678,89.689,87.699,86.363,84.971,83.702,82.24,80.368,78.282,76.316,74.298,72.757,71.949,71.565,71.108,70.774,69.777,67.71,64.978,62.357,59.654,57.358,55.783,54.661,53.4,52.109,50.741,49.22,47.577,45.957,44.368,42.573,40.484,38.207,35.958,33.722,31.511,29.362,27.287,25.225,23.145,21.368,20.035,18.992,17.971,17.063,15.959,14.491,12.821,11.258,9.72,8.405,7.435,6.699,4.315568,3.90677,3.488884,3.046951,2.600474,2.181073,1.778903,1.436377,1.177162,0.9806215,0.7997963,0.6413139,0.5072572,0.3928924,0.2970834,0.2222919,0.1664349,0.1215599,0.0844482,0.0550996,0.1130394
,Estimates,Chile,,152,1951,180.987,178.736,176.055,172.704,168.775,164.359,159.622,154.716,149.412,143.67,137.782,131.931,125.906,121.317,118.935,118.004,116.972,116.103,115.018,113.356,111.296,109.473,107.877,105.698,102.639,99.057,95.564,91.979,88.996,87.01,85.675,84.283,83.014,81.552,79.682,77.596,75.63,73.612,72.065,71.24,70.834,70.355,69.996,68.98,66.906,64.173,61.548,58.842,56.538,54.945,53.801,52.517,51.206,49.815,48.271,46.604,44.963,43.351,41.539,39.439,37.157,34.902,32.663,30.452,28.312,26.249,24.202,22.142,20.377,19.041,17.986,16.959,16.046,14.952,13.52,11.902,10.393,8.914,7.653,6.727,4.723591,4.276143,3.818747,3.335031,2.846341,2.387287,1.947093,1.572182,1.288459,1.073336,0.8754145,0.7019482,0.5552167,0.4300391,0.3251717,0.2433089,0.1821708,0.1330531,0.0924325,0.0603091,
,Estimates,Chile,,152,1952,187.37,182.483,178.496,175.122,171.406,167.382,163.084,158.675,154.32,149.399,143.683,137.599,131.657,125.584,120.951,118.54,117.59,116.526,115.621,114.505,112.817,110.741,108.899,107.286,105.097,102.034,98.456,94.967,91.386,88.409,86.423,85.086,83.694,82.423,80.961,79.088,77.002,75.032,73.014,71.456,70.615,70.186,69.684,69.3,68.266,66.18,63.442,60.813,58.099,55.783,54.173,53.003,51.697,50.362,48.948,47.378,45.687,44.021,42.386,40.554,38.441,36.15,33.888,31.641,29.431,27.295,25.242,23.208,21.166,19.409,18.069,17.002,15.968,15.048,13.963,12.565,10.998,9.541,8.118,6.911,5.033305,4.556519,4.069133,3.5537,3.032968,2.543815,2.074759,1.675265,1.37294,1.143712,0.9328132,0.7479731,0.5916209,0.4582357,0.3464924,0.259262,0.1941152,0.141777,0.0984931,0.0642634,
,Estimates,Chile,,152,1953,196.76,189.918,183.738,178.263,174.195,170.115,165.998,161.813,157.735,153.93,149.394,143.702,137.42,131.389,125.269,120.59,118.15,117.18,116.086,115.143,113.995,112.284,110.189,108.33,106.7,104.499,101.434,97.858,94.374,90.797,87.825,85.839,84.501,83.108,81.836,80.371,78.499,76.41,74.438,72.417,70.85,69.993,69.541,69.016,68.606,67.553,65.457,62.714,60.079,57.358,55.031,53.402,52.207,50.878,49.52,48.083,46.487,44.771,43.08,41.421,39.571,37.444,35.143,32.875,30.621,28.409,26.278,24.236,22.214,20.19,18.442,17.097,16.018,14.977,14.049,12.974,11.611,10.093,8.688,7.322,5.258883,4.760729,4.2515,3.712967,3.168897,2.657822,2.167744,1.750346,1.434472,1.19497,0.9746193,0.7814952,0.6181357,0.4787725,0.3620212,0.2708814,0.202815,0.1481311,0.1029072,0.0671435,
,Estimates,Chile,,152,1954,207.898,198.995,191.152,184.246,177.978,173.216,168.773,164.562,160.495,156.747,153.495,149.343,143.678,137.202,131.081,124.916,120.193,117.725,116.734,115.611,114.631,113.452,111.716,109.605,107.729,106.082,103.87,100.803,97.231,93.751,90.182,87.214,85.23,83.89,82.497,81.224,79.759,77.884,75.796,73.821,71.799,70.223,69.35,68.874,68.327,67.892,66.819,64.715,61.967,59.326,56.6,54.263,52.613,51.396,50.044,48.663,47.202,45.582,43.841,42.126,40.444,38.574,36.436,34.126,31.851,29.591,27.378,25.254,23.221,21.213,19.208,17.469,16.12,15.028,13.981,13.046,11.98,10.652,9.185,7.832,5.425477,4.911542,4.386181,3.830588,3.269283,2.742018,2.236414,1.805794,1.479913,1.232825,1.005494,0.8062517,0.6377173,0.4939393,0.3734895,0.2794625,0.2092398,0.1528236,0.1061672,0.0692705,
,Estimates,Chile,,152,1955,219.796,208.897,199.379,191.1,183.908,177.658,172.205,167.398,163.095,159.145,155.73,153.03,149.264,143.627,136.957,130.749,124.539,119.773,117.277,116.267,115.114,114.097,112.886,111.128,109,107.107,105.443,103.221,100.153,96.586,93.111,89.549,86.586,84.604,83.264,81.87,80.597,79.13,77.256,75.167,73.189,71.167,69.583,68.693,68.195,67.625,67.165,66.073,63.959,61.208,58.563,55.831,53.483,51.816,50.574,49.2,47.797,46.313,44.668,42.902,41.164,39.459,37.571,35.42,33.103,30.821,28.555,26.342,24.224,22.203,20.208,18.221,16.493,15.139,14.036,12.982,12.04,10.985,9.691,8.275,5.538418,5.013785,4.477488,3.910329,3.337339,2.799098,2.282969,1.843385,1.510721,1.258488,1.026425,0.8230354,0.6509926,0.5042216,0.3812644,0.2852801,0.2135955,0.1560049,0.1083773,0.0707125,0.14507
,Estimates,Chile,,152,1956,231.664,217.856,207.43,198.285,190.289,183.302,177.187,171.801,167.034,162.761,158.829,155.396,152.647,148.837,143.181,136.503,130.276,124.039,119.248,116.729,115.698,114.526,113.488,112.262,110.494,108.359,106.463,104.792,102.571,99.504,95.943,92.474,88.919,85.957,83.973,82.625,81.223,79.942,78.466,76.583,74.486,72.499,70.466,68.868,67.954,67.43,66.832,66.342,65.226,63.098,60.339,57.685,54.943,52.578,50.884,49.606,48.201,46.765,45.251,43.572,41.773,40.005,38.272,36.364,34.207,31.893,29.617,27.357,25.162,23.072,21.088,19.134,17.193,15.503,14.168,13.073,12.032,11.104,10.084,8.856,6.072644,5.497405,4.909378,4.287513,3.659253,3.069094,2.503181,2.021195,1.656442,1.37988,1.125432,0.9024239,0.7137861,0.5528579,0.4180405,0.3127977,0.2341986,0.1710529,0.1188311,0.0775333,
,Estimates,Chile,,152,1957,242.833,228.8,215.852,205.901,197.131,189.42,182.642,176.662,171.346,166.619,162.378,158.466,155.015,152.217,148.366,142.692,136.008,129.763,123.502,118.687,116.146,115.096,113.902,112.846,111.604,109.826,107.687,105.786,104.111,101.889,98.827,95.271,91.809,88.261,85.305,83.316,81.961,80.553,79.262,77.778,75.888,73.783,71.787,69.744,68.132,67.196,66.645,66.019,65.499,64.36,62.219,59.453,56.788,54.039,51.659,49.936,48.625,47.187,45.721,44.175,42.463,40.633,38.835,37.074,35.148,32.983,30.675,28.403,26.153,23.975,21.914,19.968,18.053,16.161,14.51,13.192,12.106,11.08,10.166,9.179,6.559163,5.937838,5.3027,4.631013,3.952419,3.314979,2.703726,2.183126,1.78915,1.490431,1.215598,0.9747229,0.7709721,0.5971509,0.4515324,0.3378579,0.2529617,0.184757,0.1283515,0.083745,
,Estimates,Chile,,152,1958,252.997,238.145,225.074,213.903,204.423,196.026,188.599,182.027,176.18,170.933,166.245,162.034,158.142,154.672,151.825,147.932,142.237,135.547,129.283,122.995,118.156,115.591,114.521,113.307,112.233,110.973,109.186,107.042,105.135,103.456,101.232,98.174,94.623,91.167,87.626,84.672,82.681,81.318,79.902,78.603,77.109,75.212,73.099,71.092,69.041,67.413,66.455,65.876,65.223,64.674,63.509,61.355,58.582,55.908,53.148,50.752,49.002,47.656,46.186,44.688,43.111,41.365,39.503,37.675,35.886,33.941,31.769,29.465,27.198,24.956,22.794,20.762,18.853,16.979,15.134,13.52,12.22,11.144,10.131,9.23,6.971149,6.310798,5.635767,4.921891,4.200674,3.523195,2.87355,2.32025,1.901528,1.584046,1.29195,1.035946,0.8193975,0.6346584,0.4798935,0.359079,0.2688505,0.1963618,0.1364133,0.0890051,
,Estimates,Chile,,152,1959,261.952,246.965,233.621,221.797,212.059,203.047,195.019,187.871,181.502,175.787,170.605,165.953,161.772,157.896,154.406,151.509,147.571,141.853,135.154,128.866,122.55,117.683,115.094,114.004,112.769,111.674,110.398,108.6,106.449,104.537,102.852,100.627,97.569,94.023,90.57,87.035,84.081,82.086,80.717,79.29,77.983,76.479,74.574,72.45,70.434,68.37,66.728,65.747,65.14,64.46,63.88,62.691,60.522,57.74,55.054,52.285,49.87,48.093,46.71,45.207,43.678,42.068,40.289,38.392,36.534,34.716,32.75,30.572,28.268,26.007,23.771,21.625,19.62,17.748,15.913,14.114,12.537,11.255,10.186,9.188,7.252665,6.565648,5.863356,5.120652,4.37031,3.665473,2.989592,2.413949,1.978318,1.648015,1.344123,1.077781,0.8524873,0.6602878,0.4992731,0.3735797,0.2797075,0.2042915,0.1419221,0.0925994,
