Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,China,,156,1950,17863.74,16200.43,14818.72,13692.99,12797.66,12107.11,11595.73,11237.94,11008.11,10880.65,10849.4,10908.25,10934.25,10862.89,10726.95,10631.45,10564.66,10431.67,10198.61,9900.914,9613.834,9329.44,9050.515,8788.35,8545.309,8300.046,8041.925,7870.434,7828.208,7866.122,7897.767,7946.838,7930.438,7800.614,7598.247,7412.484,7225.869,7051.17,6903.809,6774.022,6632.214,6479.01,6343.368,6235.043,6140.177,6043.72,5958.941,5821.342,5600.589,5331.156,5069.177,4793.011,4584.4,4486.356,4455.736,4411.181,4374.699,4287.534,4114.076,3886.038,3667.713,3442.617,3241.103,3083.569,2951.382,2810.562,2673.974,2506.015,2287.506,2039.661,1801.376,1563.089,1354.498,1193.747,1066.262,940.7,824.985,709.832,588.007,466.633,267.5823,232.4699,200.1279,170.8884,144.4842,120.2161,98.10209,78.60288,61.83826,47.55973,35.13817,24.38574,16.07579,10.42808,6.859789,4.502151,3.311878,2.394133,1.404977,0.4654292,0.6900865
,Estimates,China,,156,1951,20972.44,17587.99,16025.66,14718.43,13644.36,12781.49,12105,11590.11,11229.11,11005.78,10889.58,10860.3,10914.83,10936.95,10864.12,10728.13,10630.9,10561.3,10426.28,10192.63,9895.308,9608.273,9323.643,9045.121,8784.261,8542.952,8299.143,8042.374,7871.061,7827.247,7862.251,7890.83,7936.608,7915.981,7780.813,7572.328,7380.308,7187.299,7006.229,6852.705,6717.018,6569.33,6410.179,6269.749,6158.336,6061.538,5962.925,5875.701,5736.341,5514.75,5244.765,4982.067,4705.596,4493.508,4387.139,4345.148,4289.731,4242.29,4145.412,3964.557,3730.863,3507.112,3277.266,3071.9,2911.42,2777.389,2635.656,2498.688,2333.37,2121.606,1883.288,1655.057,1427.982,1229.332,1075.873,954.198,835.096,725.564,618.798,508.854,293.1026,254.6414,219.2149,187.1866,158.2642,131.6816,107.4584,86.09952,67.736,52.09567,38.48943,26.7115,17.609,11.42264,7.514032,4.931538,3.627744,2.62247,1.538975,0.5098189,
,Estimates,China,,156,1952,23183.98,20764.63,17158.21,15710.74,14489.59,13476.67,12653.87,11997.39,11483.44,11122.39,10907.51,10803.63,10776.57,10826.3,10844.32,10770.67,10635.8,10537.69,10465.86,10330,10097.8,9803.436,9518.949,9236.562,8960.873,8703.595,8466.126,8225.9,7972.724,7803.083,7758.06,7789.839,7815.096,7857.173,7832.488,7693.138,7480.338,7283.719,7085.98,6900.1,6741.735,6601.317,6449.019,6285.293,6141.286,6027.749,5929.856,5829.941,5741.026,5601.116,5380.614,5112.432,4851.301,4576.935,4363.208,4249.42,4196.393,4130.57,4072.552,3966.782,3780.086,3542.758,3315.516,3082.912,2875.474,2713.438,2578.727,2437.314,2301.159,2139.931,1936.774,1710.085,1493.925,1280.071,1093.12,948.309,833.52,721.934,619.555,522.131,309.2419,268.6629,231.2856,197.4938,166.9787,138.9324,113.3755,90.84046,71.46579,54.96424,40.60879,28.18233,18.57861,12.05161,7.927781,5.203085,3.8275,2.766872,1.623716,0.5378913,
,Estimates,China,,156,1953,24392.68,21800.21,19526.6,16712.91,15381.05,14246.7,13295.58,12513.46,11877.55,11365.1,11004.38,10798.14,10706.6,10681.77,10726.68,10740.61,10666.22,10532.61,10433.74,10359.78,10223.23,9992.71,9701.606,9419.956,9140.103,8867.525,8614.08,8380.683,8144.274,7894.939,7727.143,7680.965,7709.511,7731.441,7769.799,7741.11,7597.761,7380.905,7179.932,6977.713,6787.257,6624.258,6479.293,6322.584,6154.493,6007.089,5891.567,5792.694,5691.594,5601.095,5460.792,5241.61,4975.505,4716.216,4444.235,4229.114,4108.083,4044.154,3968.072,3899.616,3785.13,3592.837,3352.158,3121.698,2886.605,2677.335,2513.93,2378.689,2237.747,2102.547,1945.553,1751.163,1536.266,1332.324,1131.827,956.696,820.627,712.8,608.797,513.632,311.2895,270.4418,232.817,198.8014,168.0844,139.8524,114.1262,91.44195,71.93899,55.32818,40.87767,28.36893,18.70163,12.13141,7.980273,5.237537,3.852844,2.785193,1.634467,0.5414529,
,Estimates,China,,156,1954,24615.46,22174.51,20018.38,18130.59,16321.42,15100.47,14048.96,13156.41,12412.34,11794.94,11282.41,10920.9,10722.61,10643.06,10620.38,10660.64,10670.55,10595.18,10462.43,10362.48,10286.18,10148.52,9918.967,9630.205,9350.512,9072.315,8801.991,8551.582,8321.512,8088.174,7841.892,7675.412,7627.946,7653.361,7672.05,7706.825,7674.065,7526.294,7304.736,7098.812,6891.51,6695.918,6527.803,6377.869,6216.288,6043.336,5892.099,5774.245,5674.092,5571.501,5479.149,5338.019,5119.477,4854.62,4596.361,4325.916,4108.744,3980.133,3905.163,3818.638,3739.587,3616.077,3417.624,3172.869,2938.494,2700.202,2488.465,2323.194,2187.008,2046.099,1911.434,1758.168,1571.901,1368.072,1175.658,987.832,823.919,696.13,594.894,498.117,295.283,256.5357,220.8456,188.5791,159.4415,132.6612,108.2578,86.74002,68.23989,52.48321,38.77575,26.91021,17.73999,11.50762,7.569929,4.968223,3.654731,2.641978,1.550423,0.5136115,
,Estimates,China,,156,1955,23921.81,21997.11,20247.97,18667.67,17249.49,15986.68,14872.52,13900.29,13063.25,12354.67,11753.64,11239.22,10875.67,10684.64,10616.82,10596.2,10631.94,10637.86,10561.26,10428.89,10327.52,10248.6,10109.34,9879.955,9592.526,9313.808,9036.294,8767.279,8519.027,8291.485,8060.401,7816.311,7650.565,7601.642,7624.011,7639.519,7670.828,7633.876,7481.159,7254.112,7042.507,6829.388,6627.962,6454.136,6298.698,6131.67,5953.242,5797.636,5677.032,5575.245,5470.802,5376.268,5233.817,5015.146,4750.608,4492.474,4222.618,4002.629,3865.975,3779.685,3682.397,3592.458,3459.477,3254.156,3004.46,2765.343,2523.01,2308.056,2140.337,2002.727,1861.358,1726.752,1576.683,1397.897,1204.436,1022.89,847.096,693.84,573.894,478.906,258.4752,224.5578,193.3166,165.0722,139.5667,116.1246,94.76321,75.92765,59.73361,45.94104,33.94225,23.55578,15.52866,10.07316,6.626318,4.348921,3.199159,2.312649,1.357159,0.4495885,0.6665996
,Estimates,China,,156,1956,22243.55,23052.26,21424.64,19886.52,18443.95,17103.02,15858.48,14705.07,13705.43,12888.25,12225.66,11640.6,11123.89,10757.86,10567.77,10502.62,10481.16,10513.67,10517.31,10440.54,10309.43,10208.66,10129.83,9992.024,9766.104,9483.337,9208.912,8935.52,8669.809,8423.528,8196.805,7966.414,7723.065,7555.813,7502.217,7517.888,7526.728,7550.987,7508.103,7351.528,7122.056,6907.681,6691.589,6488.184,6313.733,6158.481,5991.654,5813.701,5657.522,5534.592,5429.338,5321.481,5223.209,5077.525,4856.613,4590.305,4330.386,4059.46,3835.97,3691.971,3596.314,3490.495,3391.843,3254.341,3051.011,2807.654,2574.961,2340.269,2131.694,1967.52,1832.054,1694.133,1563.384,1419.841,1251.533,1071.152,902.526,739.887,599.425,491.286,285.9759,248.4498,213.8847,182.6352,154.416,128.4798,104.8456,84.00602,66.08901,50.82897,37.55356,26.06201,17.18084,11.1449,7.331329,4.811628,3.539536,2.558705,1.501555,0.4974227,
,Estimates,China,,156,1957,20303.1,20230.02,22349.58,21006.12,19667.14,18351.47,17077.95,15842.8,14642.19,13608.22,12805.04,12183.53,11610.24,11087.61,10716.53,10526.03,10463.08,10440.63,10470.16,10471.56,10394.08,10263.29,10162.42,10083.11,9945.78,9721.719,9441.596,9169.505,8898.286,8633.99,8387.93,8160.424,7929.097,7684.767,7514.837,7456.212,7465.327,7467.595,7485.008,7435.918,7274.4,7040.894,6822.251,6601.673,6394.867,6218.559,6062.399,5894.595,5715.856,5558.007,5431.896,5322.446,5210.433,5107.746,4957.816,4733.115,4463.167,4199.638,3925.735,3697.183,3544.86,3439.205,3324.149,3216.131,3073.159,2870.375,2631.609,2403.669,2174.922,1971.224,1809.421,1675.132,1539.67,1411.836,1273.774,1114.706,946.07,789.112,638.415,509.694,303.9741,264.0863,227.3457,194.1295,164.1343,136.5658,111.4442,89.29303,70.24839,54.02795,39.91703,27.70225,18.26213,11.84632,7.792734,5.114453,3.7623,2.71974,1.596057,0.5287286,
,Estimates,China,,156,1958,18457.32,19345.51,19809.06,21701.88,20640.46,19498.08,18306.48,17097.39,15868.44,14617.26,13546.1,12754.88,12173.04,11610.08,11080.13,10703.01,10511.6,10450.68,10427.19,10453.81,10452.95,10374.55,10243.75,10142.5,10062.51,9925.302,9702.523,9424.323,9153.868,8884.126,8620.558,8374.078,8145.19,7912.319,7666.365,7493.299,7429.467,7432.02,7427.689,7438.268,7382.814,7215.905,6977.738,6754.233,6528.572,6317.806,6139.174,5981.693,5812.467,5632.474,5472.532,5342.894,5228.944,5112.461,5005.071,4850.481,4621.386,4347.075,4079.228,3801.62,3567.383,3406.297,3290.32,3165.682,3047.969,2899.128,2696.363,2461.586,2237.824,2014.458,1815.126,1655.282,1521.825,1388.48,1263.241,1130.326,980.127,822.853,677.208,538.12,310.3486,269.6244,232.1134,198.2006,167.5763,139.4297,113.7812,91.16557,71.72155,55.16095,40.75412,28.28319,18.6451,12.09475,7.956154,5.221707,3.841199,2.776775,1.629527,0.5398164,
,Estimates,China,,156,1959,17173.72,18711.17,19697.97,20195.52,21016.01,20239.97,19297.16,18232.25,17089.87,15869.11,14569.05,13462.16,12684.24,12143.21,11591.54,11055.06,10672.46,10480.45,10421.67,10397.17,10420.8,10417.68,10338.49,10207.88,10106.42,10025.87,9888.989,9667.85,9392.028,9123.646,8855.814,8593.398,8346.886,8116.972,7882.913,7635.716,7459.77,7390.803,7386.748,7375.787,7379.475,7317.708,7145.64,6903.161,6675.119,6444.704,6230.288,6049.6,5891.039,5720.651,5539.682,5377.888,5244.908,5126.611,5005.817,4893.863,4734.833,4501.681,4223.415,3951.649,3670.753,3431.169,3261.523,3135.347,3001.266,2873.99,2719.479,2517.055,2286.661,2067.459,1849.855,1655.233,1497.613,1365.204,1234.198,1111.77,984.242,843.202,697.606,563.571,302.9542,263.2003,226.583,193.4782,163.5836,136.1076,111.0703,88.99345,70.0127,53.84668,39.78311,27.60931,18.20086,11.80657,7.766589,5.097293,3.749678,2.710615,1.590702,0.5269546,
