Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Colombia,,170,1950,494.405,458.291,426.442,398.535,374.235,353.222,335.167,319.743,306.621,295.476,286.2,278.691,271.511,263.896,256.183,249.487,243.609,237.605,231.122,224.425,218.031,211.722,205.953,200.966,196.437,191.979,187.87,182.807,176.171,168.652,161.432,154.108,148.129,144.288,141.824,139.209,136.78,133.868,130,125.532,121.317,117.2,113.1,109.068,105.091,101.106,97.123,93.252,89.539,85.949,82.407,78.941,75.488,72.017,68.564,65.208,61.926,58.793,55.851,53.064,50.339,47.665,45.145,42.802,40.586,38.449,36.442,34.279,31.826,29.233,26.735,24.226,22.109,20.587,19.446,18.305,17.295,15.991,14.164,12.039,7.855815,6.841289,5.896021,5.045175,4.277937,3.55188,2.867418,2.284035,1.824607,1.463138,1.147217,0.8791308,0.6619999,0.4879207,0.3525258,0.2551913,0.1930053,0.14413,0.0973346,0.0561546,0.1270757
,Estimates,Colombia,,170,1951,508.362,484.907,451.626,421.88,395.443,372.08,351.492,333.371,317.874,304.92,294.055,284.799,277.133,269.778,262.013,254.161,247.286,241.201,235.022,228.423,221.656,215.195,208.822,203.044,198.122,193.712,189.379,185.406,180.488,173.997,166.623,159.552,152.384,146.53,142.763,140.338,137.762,135.366,132.481,128.643,124.203,120.007,115.904,111.813,107.79,103.819,99.837,95.854,91.978,88.258,84.655,81.101,77.618,74.151,70.671,67.212,63.847,60.554,57.408,54.445,51.634,48.884,46.187,43.639,41.26,39.003,36.827,34.779,32.591,30.136,27.555,25.074,22.597,20.489,18.936,17.746,16.569,15.524,14.245,12.538,8.524532,7.423646,6.397913,5.47464,4.642092,3.85423,3.111504,2.47846,1.979925,1.587686,1.244872,0.9539658,0.7183518,0.5294544,0.3825342,0.2769141,0.2094347,0.1563989,0.1056201,0.0609347,
,Estimates,Colombia,,170,1952,523.218,494.911,475.665,445.198,417.535,392.554,370.115,349.941,331.746,316.166,303.375,292.786,283.541,275.718,268.183,260.263,252.271,245.211,238.917,232.56,225.844,219.003,212.469,206.03,200.242,195.382,191.088,186.878,183.038,178.262,171.914,164.68,157.755,150.74,145.006,141.311,138.925,136.387,134.02,131.163,127.352,122.938,118.761,114.667,110.585,106.567,102.601,98.619,94.635,90.752,87.022,83.407,79.836,76.336,72.854,69.362,65.895,62.52,59.215,56.054,53.068,50.231,47.455,44.735,42.157,39.74,37.442,35.225,33.137,30.921,28.463,25.892,23.429,20.981,18.882,17.296,16.057,14.845,13.761,12.509,9.0097,7.846157,6.762045,5.786225,4.906293,4.07359,3.288593,2.61952,2.092611,1.678048,1.315723,1.00826,0.7592363,0.5595879,0.4043059,0.2926745,0.2213545,0.1653003,0.1116314,0.0644027,
,Estimates,Colombia,,170,1953,537.651,511.311,485.589,466.562,438.896,413.311,389.776,368.255,348.489,330.215,314.548,301.916,291.597,282.366,274.379,266.664,258.589,250.45,243.208,236.7,230.166,223.328,216.412,209.805,203.298,197.497,192.698,188.519,184.43,180.723,176.088,169.879,162.784,156.004,149.137,143.524,139.901,137.552,135.049,132.713,129.883,126.097,121.709,117.547,113.464,109.387,105.376,101.412,97.43,93.442,89.554,85.811,82.182,78.595,75.076,71.577,68.073,64.598,61.21,57.894,54.715,51.707,48.843,46.041,43.296,40.687,38.232,35.892,33.634,31.504,29.262,26.798,24.239,21.79,19.372,17.28,15.663,14.372,13.125,12.005,9.198508,8.010582,6.903751,5.907482,5.00911,4.158957,3.357509,2.674415,2.136464,1.713214,1.343296,1.029389,0.775147,0.5713147,0.4127785,0.2988078,0.2259932,0.1687643,0.1139707,0.0657523,
,Estimates,Colombia,,170,1954,551.059,526.423,501.962,477.817,457.688,432.812,409.292,387.191,366.579,347.211,328.847,313.087,300.607,290.554,281.33,273.178,265.278,257.042,248.755,241.324,234.602,227.885,220.923,213.929,207.245,200.667,194.848,190.11,186.043,182.073,178.498,174.001,167.929,160.969,154.329,147.61,142.113,138.559,136.246,133.78,131.472,128.667,124.905,120.539,116.392,112.317,108.244,104.236,100.274,96.29,92.295,88.399,84.643,80.997,77.393,73.853,70.336,66.818,63.332,59.931,56.601,53.404,50.371,47.479,44.648,41.879,39.237,36.743,34.359,32.06,29.887,27.615,25.147,22.596,20.162,17.772,15.687,14.036,12.696,11.411,9.013092,7.849112,6.764592,5.788404,4.908141,4.075124,3.289831,2.620507,2.093399,1.67868,1.316219,1.00864,0.7595222,0.5597987,0.4044581,0.2927847,0.2214378,0.1653625,0.1116734,0.064427,
,Estimates,Colombia,,170,1955,563.268,540.476,517.496,494.49,471.625,449.06,426.964,405.496,384.822,365.106,346.126,327.663,311.8,299.465,289.674,280.451,272.128,264.04,255.637,247.198,239.574,232.633,225.729,218.639,211.562,204.799,198.144,192.307,187.625,183.668,179.816,176.37,172.008,166.071,159.242,152.739,146.163,140.78,137.294,135.016,132.583,130.304,127.521,123.782,119.436,115.301,111.231,107.161,103.153,99.19,95.202,91.2,87.291,83.521,79.857,76.233,72.67,69.132,65.599,62.1,58.684,55.338,52.121,49.062,46.139,43.28,40.482,37.808,35.272,32.844,30.501,28.284,25.983,23.507,20.964,18.543,16.18,14.1,12.416,11.023,8.44565,7.354951,6.338709,5.42398,4.599136,3.818564,3.082711,2.455526,1.961603,1.572994,1.233353,0.9451382,0.7117045,0.5245551,0.3789944,0.2743517,0.2074966,0.1549517,0.1046427,0.0603708,0.1366169
,Estimates,Colombia,,170,1956,573.081,556.956,534.93,512.709,490.433,468.253,446.345,424.891,403.867,383.356,363.605,344.565,326,309.988,297.479,287.492,278.047,269.477,261.178,252.625,244.085,236.363,229.325,222.403,215.399,208.482,201.886,195.414,189.757,185.237,181.428,177.733,174.449,170.228,164.397,157.651,151.226,144.72,139.391,135.935,133.672,131.245,128.964,126.178,122.443,118.105,113.968,109.895,105.815,101.789,97.803,93.791,89.761,85.83,82.044,78.371,74.734,71.159,67.606,64.053,60.53,57.091,53.725,50.485,47.403,44.457,41.579,38.767,36.079,33.524,31.08,28.727,26.504,24.221,21.795,19.326,16.983,14.706,12.717,11.124,9.029038,7.862999,6.77656,5.798645,4.916824,4.082334,3.295652,2.625143,2.097102,1.68165,1.318548,1.010424,0.760866,0.5607891,0.4051737,0.2933027,0.2218296,0.1656551,0.111871,0.0645409,
,Estimates,Colombia,,170,1957,583.042,564.542,551.221,529.938,508.451,486.882,465.365,444.089,423.254,402.653,382.285,362.475,343.359,324.673,308.496,295.798,285.607,275.929,267.106,258.586,249.874,241.226,233.397,226.257,219.308,212.383,205.618,199.183,192.886,187.405,183.042,179.375,175.835,172.709,168.623,162.895,156.222,149.869,143.428,138.144,134.717,132.466,130.044,127.757,124.966,121.231,116.895,112.754,108.673,104.578,100.531,96.518,92.477,88.416,84.458,80.654,76.966,73.314,69.722,66.151,62.574,59.023,55.559,52.168,48.903,45.795,42.823,39.922,37.094,34.388,31.814,29.349,26.984,24.754,22.485,20.107,17.71,15.442,13.25,11.348,9.42294,8.206031,7.072195,6.051617,5.131326,4.26043,3.439428,2.739668,2.188591,1.755014,1.376071,1.054505,0.7940596,0.5852541,0.4228498,0.3060984,0.2315072,0.172882,0.1167515,0.0673566,
,Estimates,Colombia,,170,1958,594.093,577.344,559.568,545.773,525.224,504.459,483.585,462.72,442.066,421.839,401.65,381.414,361.538,342.331,323.516,307.165,294.273,283.872,273.955,264.874,256.13,247.254,238.491,230.553,223.306,216.328,209.478,202.862,196.583,190.459,185.15,180.941,177.418,174.028,171.059,167.107,161.476,154.876,148.589,142.211,136.971,133.569,131.329,128.91,126.617,123.819,120.083,115.746,111.599,107.507,103.397,99.325,95.283,91.21,87.118,83.13,79.305,75.601,71.932,68.322,64.73,61.127,57.547,54.056,50.638,47.346,44.211,41.21,38.285,35.441,32.715,30.118,27.634,25.256,23.015,20.761,18.429,16.103,13.909,11.799,9.628204,8.384786,7.226251,6.183442,5.243104,4.353237,3.51435,2.799347,2.236266,1.793244,1.406046,1.077476,0.8113569,0.5980029,0.4320609,0.3127662,0.2365502,0.1766479,0.1192947,0.0688239,
,Estimates,Colombia,,170,1959,607.41,591.411,574.424,556.587,540.348,520.531,500.489,480.31,460.096,440.065,420.444,400.666,380.562,360.617,341.321,322.374,305.849,292.76,282.15,271.994,262.654,253.683,244.644,235.767,227.718,220.365,213.355,206.58,200.114,193.991,188.04,182.902,178.849,175.466,172.229,169.416,165.598,160.064,153.537,147.317,140.999,135.803,132.427,130.198,127.782,125.482,122.678,118.939,114.602,110.449,106.345,102.22,98.123,94.052,89.948,85.821,81.806,77.959,74.24,70.551,66.925,63.31,59.683,56.072,52.554,49.11,45.788,42.628,39.598,36.65,33.787,31.042,28.423,25.918,23.527,21.277,19.036,16.751,14.494,12.375,9.666712,8.418321,7.255152,6.208173,5.264074,4.370648,3.528406,2.810543,2.24521,1.800416,1.41167,1.081785,0.8146019,0.6003946,0.433789,0.3140171,0.2374963,0.1773544,0.1197718,0.0690991,
