Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Costa Rica,,188,1950,35.686,33.037,30.722,28.716,26.986,25.511,24.258,23.202,22.316,21.567,20.966,20.516,20.024,19.398,18.709,18.095,17.502,17.043,16.789,16.65,16.527,16.492,16.209,15.523,14.609,13.754,12.835,12.313,12.419,12.909,13.332,13.812,13.987,13.646,12.976,12.378,11.771,11.253,10.913,10.687,10.425,10.157,9.896,9.635,9.376,9.132,8.886,8.686,8.555,8.461,8.364,8.28,8.124,7.854,7.511,7.178,6.831,6.524,6.284,6.086,5.874,5.661,5.426,5.152,4.855,4.565,4.275,3.993,3.722,3.463,3.204,2.949,2.7,2.462,2.232,2.011,1.8,1.594,1.394,1.202,0.7917775,0.7044747,0.6213904,0.5428912,0.4686105,0.3996486,0.3350886,0.2785986,0.2305454,0.1907456,0.1547974,0.123251,0.0962898,0.0739139,0.0553896,0.0409003,0.0289787,0.020175,0.0133889,0.0082534,0.0188911
,Estimates,Costa Rica,,188,1951,37.485,35.249,32.718,30.495,28.558,26.877,25.433,24.192,23.144,22.269,21.532,20.932,20.476,19.98,19.352,18.666,18.051,17.454,16.994,16.737,16.597,16.471,16.433,16.15,15.464,14.552,13.699,12.782,12.261,12.364,12.85,13.268,13.743,13.916,13.574,12.906,12.308,11.702,11.184,10.843,10.616,10.353,10.083,9.82,9.558,9.297,9.051,8.803,8.599,8.464,8.362,8.26,8.169,8.007,7.732,7.385,7.047,6.697,6.384,6.14,5.935,5.717,5.5,5.26,4.981,4.681,4.388,4.095,3.812,3.54,3.282,3.024,2.771,2.526,2.292,2.067,1.851,1.647,1.449,1.26,0.8580382,0.7634294,0.6733921,0.5883236,0.5078267,0.4330937,0.3631308,0.3019134,0.2498388,0.2067083,0.1677517,0.1335654,0.1043479,0.0800995,0.0600249,0.044323,0.0314038,0.0218634,0.0145093,0.0089441,
,Estimates,Costa Rica,,188,1952,40.114,37.268,34.825,32.412,30.28,28.411,26.78,25.364,24.135,23.097,22.23,21.505,20.907,20.444,19.942,19.315,18.629,18.014,17.415,16.951,16.692,16.549,16.422,16.381,16.096,15.411,14.501,13.649,12.735,12.213,12.314,12.796,13.209,13.681,13.85,13.508,12.84,12.243,11.637,11.12,10.777,10.55,10.284,10.013,9.749,9.484,9.222,8.973,8.723,8.517,8.375,8.268,8.158,8.061,7.894,7.613,7.262,6.919,6.565,6.248,5.997,5.786,5.564,5.34,5.096,4.813,4.509,4.212,3.917,3.632,3.36,3.102,2.846,2.595,2.353,2.123,1.902,1.692,1.494,1.305,0.9133317,0.8126261,0.7167866,0.6262362,0.5405519,0.4610029,0.3865316,0.3213692,0.2659388,0.2200289,0.1785619,0.1421725,0.1110723,0.0852612,0.063893,0.0471793,0.0334275,0.0232723,0.0154443,0.0095205,
,Estimates,Costa Rica,,188,1953,42.896,39.742,36.885,34.397,32.102,30.062,28.261,26.679,25.292,24.076,23.045,22.19,21.475,20.878,20.41,19.903,19.275,18.59,17.975,17.372,16.907,16.644,16.5,16.37,16.327,16.042,15.356,14.448,13.597,12.686,12.164,12.262,12.74,13.149,13.616,13.783,13.44,12.773,12.176,11.572,11.053,10.711,10.481,10.216,9.941,9.676,9.409,9.146,8.895,8.642,8.432,8.286,8.172,8.057,7.952,7.779,7.493,7.138,6.791,6.432,6.11,5.854,5.638,5.409,5.18,4.932,4.644,4.336,4.036,3.739,3.452,3.18,2.921,2.668,2.418,2.179,1.954,1.737,1.534,1.341,0.9538497,0.8486766,0.7485853,0.6540179,0.5645323,0.4814544,0.4036793,0.3356261,0.2777366,0.2297901,0.1864835,0.1484797,0.1159998,0.0890436,0.0667275,0.0492723,0.0349104,0.0243047,0.0161295,0.0099428,
,Estimates,Costa Rica,,188,1954,45.405,42.076,39.055,36.321,33.987,31.809,29.858,28.125,26.591,25.233,24.028,23.006,22.16,21.456,20.861,20.385,19.874,19.245,18.561,17.945,17.338,16.871,16.605,16.46,16.326,16.281,15.995,15.309,14.402,13.553,12.643,12.122,12.216,12.691,13.095,13.559,13.722,13.378,12.712,12.116,11.512,10.993,10.649,10.419,10.151,9.875,9.608,9.34,9.074,8.821,8.565,8.353,8.2,8.081,7.958,7.848,7.668,7.378,7.017,6.666,6.302,5.976,5.714,5.492,5.257,5.023,4.77,4.477,4.166,3.862,3.562,3.274,3.001,2.743,2.49,2.243,2.007,1.786,1.573,1.376,0.9777645,0.8699545,0.7673537,0.6704153,0.5786862,0.4935253,0.4138003,0.3440408,0.2847,0.2355513,0.191159,0.1522024,0.1189081,0.0912761,0.0684005,0.0505076,0.0357857,0.0249141,0.0165339,0.0101921,
,Estimates,Costa Rica,,188,1955,47.388,44.127,41.134,38.387,35.88,33.601,31.538,29.677,28.009,26.522,25.193,23.998,22.983,22.146,21.453,20.858,20.376,19.859,19.228,18.546,17.927,17.317,16.847,16.578,16.431,16.295,16.247,15.959,15.273,14.367,13.518,12.61,12.087,12.18,12.65,13.051,13.511,13.672,13.326,12.661,12.064,11.46,10.941,10.595,10.364,10.094,9.816,9.547,9.276,9.009,8.753,8.495,8.279,8.121,7.995,7.866,7.748,7.563,7.267,6.902,6.546,6.177,5.846,5.578,5.349,5.109,4.869,4.611,4.314,3.998,3.691,3.388,3.098,2.824,2.566,2.315,2.068,1.837,1.618,1.411,0.9840098,0.8755111,0.772255,0.6746974,0.5823824,0.4966776,0.4164433,0.3462383,0.2865185,0.2370559,0.1923799,0.1531746,0.1196676,0.0918591,0.0688374,0.0508302,0.0360143,0.0250732,0.0166395,0.0102572,0.0234776
,Estimates,Costa Rica,,188,1956,48.61,46.708,43.683,40.856,38.222,35.777,33.516,31.426,29.545,27.892,26.439,25.121,23.922,22.904,22.068,21.379,20.783,20.3,19.781,19.151,18.469,17.851,17.242,16.771,16.503,16.354,16.217,16.167,15.88,15.195,14.292,13.445,12.541,12.018,12.109,12.573,12.969,13.424,13.582,13.236,12.571,11.976,11.372,10.854,10.507,10.273,10.002,9.722,9.451,9.177,8.906,8.646,8.385,8.163,7.998,7.866,7.728,7.602,7.411,7.11,6.741,6.382,6.01,5.675,5.401,5.166,4.92,4.674,4.414,4.116,3.801,3.497,3.198,2.911,2.641,2.389,2.143,1.903,1.679,1.472,1.059715,0.9428685,0.8316685,0.7266053,0.627188,0.5348895,0.4484824,0.3728762,0.3085618,0.2552937,0.2071807,0.164959,0.1288742,0.0989263,0.0741334,0.0547409,0.038785,0.0270022,0.0179197,0.0110464,
,Estimates,Costa Rica,,188,1957,49.445,47.055,46.118,43.323,40.658,38.128,35.743,33.495,31.373,29.469,27.829,26.406,25.096,23.892,22.868,22.033,21.345,20.749,20.261,19.742,19.109,18.428,17.81,17.199,16.728,16.458,16.308,16.171,16.118,15.83,15.146,14.244,13.399,12.495,11.973,12.06,12.52,12.913,13.363,13.517,13.17,12.507,11.91,11.306,10.787,10.439,10.203,9.928,9.648,9.372,9.095,8.821,8.556,8.29,8.063,7.892,7.75,7.606,7.471,7.273,6.966,6.594,6.23,5.855,5.515,5.235,4.993,4.74,4.49,4.224,3.926,3.613,3.31,3.014,2.73,2.464,2.216,1.976,1.741,1.527,1.126128,1.001959,0.8837897,0.7721421,0.6664943,0.5684114,0.4765891,0.3962446,0.3278995,0.2712932,0.2201649,0.1752971,0.1369509,0.1051261,0.0787794,0.0581715,0.0412157,0.0286945,0.0190427,0.0117386,
,Estimates,Costa Rica,,188,1958,50.157,48.351,46.425,45.576,43.007,40.502,38.076,35.746,33.509,31.352,29.425,27.794,26.401,25.098,23.887,22.856,22.021,21.333,20.736,20.245,19.723,19.087,18.407,17.786,17.175,16.702,16.43,16.28,16.141,16.087,15.796,15.114,14.21,13.367,12.463,11.939,12.025,12.48,12.869,13.316,13.467,13.119,12.454,11.858,11.252,10.731,10.381,10.143,9.866,9.582,9.305,9.022,8.744,8.475,8.205,7.971,7.793,7.644,7.49,7.349,7.142,6.83,6.454,6.084,5.706,5.361,5.074,4.825,4.566,4.309,4.04,3.74,3.428,3.126,2.832,2.553,2.289,2.046,1.809,1.583,1.178984,1.048987,0.9252715,0.8083836,0.6977771,0.5950905,0.4989584,0.4148428,0.3432899,0.2840267,0.2304986,0.1835249,0.1433789,0.1100603,0.082477,0.0609019,0.0431502,0.0300413,0.0199365,0.0122896,
,Estimates,Costa Rica,,188,1959,51.112,49.759,48.179,46.407,45.033,42.691,40.344,38.023,35.749,33.522,31.332,29.38,27.759,26.396,25.1,23.882,22.844,22.007,21.322,20.723,20.229,19.702,19.067,18.385,17.762,17.151,16.675,16.403,16.251,16.111,16.055,15.763,15.08,14.178,13.334,12.43,11.907,11.988,12.44,12.826,13.268,13.417,13.067,12.402,11.805,11.197,10.676,10.323,10.083,9.803,9.517,9.236,8.95,8.668,8.393,8.119,7.879,7.694,7.537,7.375,7.226,7.011,6.694,6.312,5.938,5.557,5.206,4.913,4.657,4.391,4.129,3.854,3.554,3.243,2.942,2.651,2.373,2.115,1.875,1.644,1.215998,1.08192,0.9543208,0.8337631,0.719684,0.6137736,0.5146234,0.4278669,0.3540676,0.2929438,0.2377352,0.1892868,0.1478803,0.1135157,0.0850664,0.0628139,0.0445049,0.0309844,0.0205624,0.0126755,
