Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Ethiopia,,231,1950,758.334,706.139,659.98,619.386,583.881,552.986,526.231,503.136,483.228,466.031,451.437,439.34,427.423,414.476,401.127,389.213,378.36,367.576,356.543,345.467,334.861,324.608,314.625,304.922,295.473,286.274,277.334,268.56,259.909,251.427,243.182,235.136,227.432,220.136,213.172,206.383,199.798,193.344,186.967,180.698,174.505,168.258,162.482,157.392,152.657,147.98,143.725,138.068,130.174,121.019,112.254,103.359,96.276,92.072,89.771,87.311,85.105,82.608,79.347,75.632,72.243,69.007,65.825,62.721,59.653,56.587,53.559,50.37,46.927,43.335,39.808,36.33,32.908,29.576,26.346,23.214,20.202,17.342,14.652,12.152,8.853305,7.120121,5.647613,4.543164,3.714157,2.950117,2.279233,1.723519,1.266867,0.9012234,0.6247086,0.4276583,0.2808101,0.164835,0.079196,0.0499337,0.0432222,0.037853,0.0236246,0.0048323,0.0110069
,Estimates,Ethiopia,,231,1951,741.594,726.265,679.889,638.751,602.425,570.484,542.536,518.195,496.839,477.967,461.265,446.832,434.541,422.466,409.617,396.506,384.626,373.676,362.826,351.808,340.798,330.227,319.991,310.047,300.413,291.053,281.942,273.093,264.402,255.817,247.391,239.204,231.218,223.568,216.319,209.398,202.65,196.103,189.691,183.365,177.149,171.01,164.821,159.09,154.028,149.31,144.651,140.401,134.784,126.985,117.954,109.303,100.523,93.504,89.283,86.91,84.383,82.103,79.536,76.224,72.467,69.033,65.754,62.523,59.357,56.226,53.109,50.04,46.84,43.423,39.89,36.435,33.041,29.738,26.567,23.53,20.6,17.794,15.163,12.729,9.749347,7.840748,6.219207,5.002978,4.090066,3.248698,2.509914,1.897956,1.395087,0.9924361,0.6879353,0.4709415,0.3092309,0.1815179,0.0872114,0.0549875,0.0475967,0.0416841,0.0260156,0.0053214,
,Estimates,Ethiopia,,231,1952,737.921,701.995,696.602,655.876,619.608,587.42,558.929,533.827,511.813,492.123,474.223,457.962,443.644,431.122,418.85,406.06,393.145,381.262,370.181,359.231,348.193,337.215,326.644,316.396,306.458,296.863,287.562,278.51,269.724,261.088,252.543,244.145,235.992,228.039,220.419,213.196,206.294,199.567,193.037,186.647,180.351,174.17,168.065,161.913,156.211,151.159,146.445,141.787,137.531,131.936,124.206,115.271,106.706,98.014,91.035,86.785,84.334,81.731,79.37,76.726,73.352,69.542,66.052,62.721,59.43,56.193,52.989,49.811,46.694,43.471,40.07,36.583,33.189,29.869,26.675,23.654,20.8,18.06,15.453,13.04,10.40074,8.364617,6.634736,5.337245,4.363339,3.465756,2.677611,2.024766,1.488298,1.058744,0.7338988,0.5024069,0.3298918,0.1936458,0.0930383,0.0586614,0.0507768,0.0444692,0.0277538,0.0056769,
,Estimates,Ethiopia,,231,1953,743.21,709.147,677.246,667.76,632.637,601.198,573.108,548.033,525.749,506.037,487.989,471.041,455.201,440.982,428.212,415.73,402.984,390.249,378.349,367.123,356.061,344.991,334.03,323.449,313.173,303.233,293.663,284.412,275.408,266.673,258.083,249.567,241.188,233.059,225.13,217.532,210.324,203.435,196.719,190.199,183.824,177.549,171.397,165.319,159.197,153.515,148.47,143.752,139.092,134.822,129.244,121.575,112.724,104.234,95.621,88.675,84.389,81.856,79.176,76.73,74.008,70.565,66.7,63.148,59.762,56.407,53.096,49.814,46.573,43.401,40.153,36.763,33.321,29.982,26.732,23.642,20.769,18.094,15.542,13.129,10.6745,8.584789,6.809374,5.477731,4.47819,3.556981,2.748091,2.078062,1.527472,1.086613,0.7532164,0.5156312,0.3385751,0.198743,0.0954873,0.0602055,0.0521134,0.0456397,0.0284843,0.0058263,
,Estimates,Ethiopia,,231,1954,754.984,719.867,687.25,656.988,639.329,609.796,583.171,559.171,537.501,518.024,500.605,484.189,468.183,452.755,438.623,425.598,412.897,400.184,387.62,375.697,364.317,353.135,342.025,331.073,320.475,310.164,300.213,290.664,281.455,272.493,263.804,255.253,246.761,238.395,230.282,222.375,214.791,207.594,200.712,194.005,187.489,181.123,174.869,168.738,162.683,156.587,150.923,145.879,141.155,136.489,132.203,126.637,119.023,110.251,101.831,93.29,86.372,82.048,79.431,76.671,74.14,71.335,67.823,63.899,60.283,56.838,53.418,50.029,46.668,43.36,40.133,36.856,33.477,30.074,26.79,23.608,20.62,17.892,15.395,13.03,10.46831,8.418961,6.677841,5.371921,4.391687,3.488273,2.695007,2.037921,1.497967,1.065623,0.7386669,0.505671,0.3320351,0.1949039,0.0936428,0.0590426,0.0511067,0.0447581,0.0279341,0.0057138,
,Estimates,Ethiopia,,231,1955,771.692,733.381,698.435,666.604,637.644,611.312,587.363,565.551,545.634,527.363,510.689,495.556,480.766,465.691,450.664,436.609,423.317,410.385,397.697,385.295,373.336,361.795,350.482,339.323,328.373,317.747,307.395,297.424,287.888,278.714,269.786,261.138,252.618,244.143,235.784,227.682,219.787,212.213,205.022,198.142,191.436,184.92,178.56,172.318,166.206,160.168,154.094,148.443,143.396,138.663,133.986,129.681,124.123,116.558,107.858,99.502,91.025,84.13,79.765,77.062,74.219,71.599,68.71,65.127,61.138,57.457,53.95,50.461,46.992,43.548,40.171,36.885,33.578,30.205,26.84,23.609,20.491,17.604,15.02,12.699,9.696549,7.798286,6.185527,4.975884,4.067917,3.231105,2.496322,1.887678,1.387532,0.9870615,0.6842098,0.4683911,0.3075563,0.1805349,0.0867391,0.0546897,0.047339,0.0414583,0.0258747,0.0052926,0.0120553
,Estimates,Ethiopia,,231,1956,787.717,745.647,709.93,677.863,649.074,623.194,600.054,579.487,560.115,541.169,522.877,506.216,490.942,476.031,461.048,446.223,432.191,418.797,405.797,393.118,380.775,368.845,357.317,346.038,334.948,324.087,313.55,303.29,293.401,283.927,274.8,265.925,257.328,248.858,240.431,232.12,224.064,216.21,208.68,201.537,194.705,188.046,181.572,175.252,169.048,162.97,156.965,150.928,145.295,140.236,135.476,130.771,126.427,120.868,113.366,104.763,96.495,88.111,81.262,76.868,74.088,71.178,68.491,65.541,61.915,57.895,54.187,50.661,47.168,43.716,40.31,36.982,33.757,30.547,27.321,24.138,21.097,18.176,15.499,13.136,10.6367,8.554385,6.785257,5.458331,4.46233,3.544383,2.738358,2.070702,1.522063,1.082764,0.7505487,0.513805,0.337376,0.1980391,0.0951491,0.0599923,0.0519288,0.045478,0.0283834,0.0058057,
,Estimates,Ethiopia,,231,1957,806.975,759.114,720.62,687.44,658.203,632.408,609.563,589.574,572.349,555.384,537.381,519.047,502.377,486.946,471.895,456.986,442.346,428.316,414.808,401.721,389.037,376.737,364.823,353.292,342.035,330.998,320.214,309.752,299.572,289.753,280.328,271.238,262.402,253.848,245.416,237.029,228.754,220.733,212.911,205.416,198.311,191.521,184.899,178.459,172.172,165.997,159.945,153.967,147.959,142.336,137.261,132.467,127.729,123.341,117.774,110.325,101.808,93.618,85.316,78.506,74.077,71.217,68.235,65.479,62.466,58.791,54.736,50.997,47.447,43.947,40.507,37.134,33.852,30.682,27.566,24.482,21.478,18.621,15.892,13.422,11.28917,9.079128,7.201479,5.793156,4.736058,3.761803,2.906334,2.197723,1.615429,1.149183,0.7965889,0.5453228,0.3580713,0.2101872,0.1009857,0.0636723,0.0551142,0.0482677,0.0301245,0.0061618,
,Estimates,Ethiopia,,231,1958,829.401,776.121,730.06,696.691,665.997,639.541,616.698,596.85,579.978,566.066,551.479,534.389,515.988,499.285,483.672,468.462,453.603,439.125,425.079,411.434,398.245,385.535,373.261,361.344,349.793,338.541,327.543,316.817,306.417,296.301,286.536,277.147,268.081,259.273,250.746,242.342,233.979,225.731,217.732,209.931,202.46,195.382,188.623,182.028,175.614,169.35,163.195,157.162,151.2,145.212,139.592,134.491,129.659,124.879,120.44,114.859,107.451,99.008,90.883,82.651,75.869,71.399,68.455,65.397,62.569,59.487,55.759,51.662,47.887,44.307,40.796,37.362,34.017,30.776,27.658,24.629,21.684,18.852,16.176,13.636,11.57533,9.309261,7.384018,5.939998,4.856105,3.857155,2.980002,2.253429,1.656376,1.178312,0.8167804,0.5591453,0.3671475,0.2155149,0.1035454,0.0652863,0.0565112,0.0494912,0.0308881,0.006318,
,Estimates,Ethiopia,,231,1959,855.099,796.585,746.449,703.89,673.756,645.508,621.798,601.876,585.002,571.226,560.61,548.383,532.186,513.687,496.926,481.11,465.716,450.886,436.549,422.466,408.665,395.352,382.599,370.331,358.394,346.807,335.544,324.566,313.886,303.529,293.463,283.739,274.372,265.315,256.522,248.011,239.622,231.272,223.036,215.049,207.258,199.797,192.739,186,179.423,173.024,166.774,160.631,154.605,148.653,142.677,137.05,131.917,127.037,122.21,117.714,112.109,104.731,96.35,88.278,80.105,73.341,68.823,65.789,62.652,59.746,56.592,52.805,48.661,44.842,41.229,37.699,34.268,30.947,27.741,24.67,21.724,18.914,16.251,13.751,11.43649,9.197602,7.295451,5.868751,4.797859,3.810891,2.944259,2.226401,1.636509,1.164179,0.8069836,0.5524387,0.3627438,0.2129299,0.1023035,0.0645032,0.0558334,0.0488976,0.0305176,0.0062422,
