Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Finland,,246,1950,119.63,108.169,98.484,90.425,83.84,78.581,74.489,71.42,69.217,67.734,66.992,67.015,66.775,65.76,64.355,63.34,62.445,62.127,62.655,63.69,64.629,65.605,66.106,65.817,64.969,64.245,63.689,62.504,60.414,57.855,55.368,52.655,51.278,52.016,54.084,55.913,57.803,59.158,59.519,59.172,58.934,58.724,57.983,56.542,54.631,52.628,50.443,48.471,46.94,45.676,44.307,42.949,41.438,39.673,37.777,35.938,34.073,32.528,31.479,30.747,29.98,29.265,28.374,27.162,25.747,24.393,23.049,21.732,20.485,19.281,18.059,16.829,15.62,14.443,13.288,12.163,11.096,9.946,8.649,7.292,4.728664,4.281993,3.817271,3.338276,2.858441,2.384483,1.912414,1.508353,1.205255,0.977302,0.7625727,0.5686235,0.4120369,0.292393,0.2042343,0.1383252,0.0944557,0.061921,0.034214,0.0125941,0.0291763
,Estimates,Finland,,246,1951,97.604,116.349,106.939,98.561,91.183,84.78,79.202,74.294,70.636,68.432,67.3,66.659,66.655,66.381,65.33,63.886,62.832,61.894,61.541,62.046,63.067,63.992,64.956,65.456,65.183,64.362,63.665,63.138,61.98,59.914,57.374,54.906,52.215,50.848,51.583,53.638,55.453,57.327,58.668,59.019,58.665,58.417,58.196,57.446,55.998,54.082,52.073,49.883,47.901,46.356,45.074,43.686,42.307,40.778,38.996,37.086,35.232,33.35,31.783,30.706,29.94,29.14,28.392,27.469,26.228,24.786,23.405,22.038,20.699,19.431,18.208,16.973,15.735,14.526,13.357,12.219,11.115,10.07,8.968,7.752,5.10411,4.621974,4.120354,3.603327,3.085394,2.573805,2.064255,1.628113,1.30095,1.054898,0.8231192,0.613771,0.4447517,0.3156083,0.22045,0.1493079,0.1019553,0.0668374,0.0369305,0.013594,
,Estimates,Finland,,246,1952,82.365,91.711,113.809,106.39,99.264,92.523,86.259,80.327,74.572,70.301,68.083,67.295,66.749,66.719,66.409,65.317,63.824,62.722,61.737,61.347,61.832,62.845,63.763,64.72,65.223,64.965,64.164,63.489,62.989,61.851,59.794,57.258,54.795,52.106,50.742,51.479,53.532,55.346,57.216,58.552,58.894,58.532,58.272,58.038,57.273,55.811,53.877,51.85,49.64,47.637,46.067,44.758,43.343,41.935,40.376,38.569,36.631,34.748,32.839,31.242,30.128,29.323,28.485,27.7,26.74,25.46,23.982,22.567,21.166,19.799,18.501,17.25,15.994,14.742,13.525,12.356,11.227,10.137,9.109,8.046,5.455611,4.940272,4.404108,3.851475,3.297874,2.751054,2.206413,1.740235,1.390541,1.127545,0.8798044,0.6560391,0.4753801,0.3373431,0.2356316,0.1595902,0.1089766,0.0714402,0.0394737,0.0145302,
,Estimates,Finland,,246,1953,72.619,86.985,96.859,111.14,105.73,99.871,93.776,87.659,81.377,74.777,69.892,67.665,67.22,66.774,66.715,66.371,65.237,63.697,62.549,61.517,61.09,61.554,62.558,63.468,64.417,64.924,64.678,63.901,63.249,62.776,61.658,59.614,57.083,54.627,51.944,50.585,51.321,53.373,55.182,57.047,58.375,58.71,58.338,58.067,57.821,57.043,55.565,53.617,51.573,49.346,47.323,45.73,44.395,42.954,41.518,39.933,38.099,36.136,34.229,32.292,30.665,29.516,28.674,27.798,26.976,25.979,24.663,23.149,21.701,20.27,18.873,17.546,16.271,14.994,13.727,12.505,11.337,10.219,9.144,8.132,5.694095,5.15623,4.596627,4.019837,3.442036,2.871312,2.302863,1.816307,1.451327,1.176834,0.9182638,0.684717,0.4961607,0.3520896,0.2459319,0.1665664,0.1137404,0.0745631,0.0411993,0.0151654,
,Estimates,Finland,,246,1954,67.648,83.805,95.219,102.426,108.174,104.791,100.217,94.784,88.831,82.215,74.785,69.301,67.066,66.97,66.622,66.536,66.159,64.985,63.403,62.211,61.134,60.672,61.114,62.107,63.006,63.945,64.451,64.223,63.469,62.842,62.396,61.304,59.276,56.759,54.315,51.646,50.293,51.029,53.073,54.873,56.727,58.045,58.371,57.991,57.709,57.452,56.661,55.174,53.215,51.16,48.922,46.883,45.272,43.916,42.452,40.991,39.383,37.529,35.546,33.617,31.659,30.007,28.826,27.948,27.037,26.18,25.148,23.8,22.254,20.776,19.318,17.896,16.545,15.246,13.952,12.676,11.449,10.287,9.182,8.125,5.771674,5.226481,4.659254,4.074605,3.488932,2.910432,2.334239,1.841053,1.471101,1.192867,0.9307747,0.6940459,0.5029207,0.3568866,0.2492826,0.1688358,0.11529,0.075579,0.0417606,0.015372,
,Estimates,Finland,,246,1955,66.755,81.954,92.928,100.128,104.021,105.06,103.704,100.418,95.654,89.874,82.933,74.686,68.61,66.373,66.624,66.375,66.263,65.851,64.641,63.018,61.785,60.665,60.168,60.587,61.567,62.454,63.382,63.889,63.675,62.947,62.346,61.929,60.861,58.855,56.353,53.926,51.274,49.931,50.664,52.697,54.486,56.327,57.632,57.949,57.561,57.27,57,56.2,54.704,52.738,50.675,48.428,46.378,44.75,43.374,41.89,40.406,38.779,36.905,34.906,32.959,30.983,29.307,28.096,27.183,26.239,25.348,24.284,22.904,21.329,19.824,18.34,16.896,15.521,14.202,12.894,11.608,10.38,9.224,8.134,5.680367,5.143798,4.585545,4.010146,3.433738,2.86439,2.297311,1.811928,1.447828,1.173996,0.91605,0.6830662,0.4949645,0.3512407,0.245339,0.1661649,0.1134661,0.0743834,0.0411,0.0151288,0.0350484
,Estimates,Finland,,246,1956,69.471,70.267,83.008,92.444,98.876,102.613,104.109,103.82,101.295,96.532,90.291,83.194,74.95,68.845,66.534,66.682,66.337,66.128,65.643,64.397,62.767,61.526,60.397,59.91,60.36,61.385,62.32,63.302,63.849,63.657,62.933,62.342,61.932,60.868,58.866,56.364,53.935,51.277,49.928,50.654,52.68,54.459,56.289,57.578,57.873,57.459,57.14,56.841,56.012,54.488,52.496,50.405,48.131,46.048,44.385,42.971,41.447,39.923,38.259,36.357,34.333,32.361,30.363,28.654,27.397,26.429,25.433,24.494,23.387,21.975,20.376,18.85,17.35,15.9,14.53,13.227,11.941,10.683,9.489,8.373,6.115992,5.538274,4.937209,4.317682,3.69707,3.084059,2.473491,1.950884,1.558861,1.26403,0.9863015,0.7354502,0.5329232,0.3781773,0.264154,0.178908,0.1221678,0.0800878,0.0442519,0.016289,
,Estimates,Finland,,246,1957,73.964,81.84,73.469,83.684,91.534,97.166,100.729,102.676,103.459,101.711,96.97,90.295,83.076,74.87,68.765,66.389,66.436,65.994,65.69,65.131,63.857,62.228,60.983,59.85,59.375,59.856,60.921,61.9,62.93,63.517,63.346,62.631,62.051,61.65,60.597,58.606,56.117,53.696,51.044,49.696,50.411,52.421,54.183,55.992,57.26,57.531,57.093,56.748,56.419,55.566,54.022,52.012,49.903,47.611,45.506,43.815,42.368,40.813,39.254,37.561,35.64,33.601,31.612,29.601,27.868,26.57,25.55,24.508,23.523,22.38,20.94,19.326,17.786,16.277,14.826,13.469,12.187,10.929,9.706,8.551,6.418966,5.812629,5.181788,4.531571,3.880215,3.236837,2.596023,2.047527,1.636084,1.326647,1.035161,0.771883,0.5593231,0.3969114,0.2772396,0.1877707,0.1282198,0.0840552,0.046444,0.017096,
,Estimates,Finland,,246,1958,79.18,82.238,85.107,76.541,84.219,90.473,95.295,98.68,101.075,102.926,101.955,97.244,90.148,82.817,74.665,68.57,66.134,66.078,65.542,65.141,64.513,63.21,61.585,60.339,59.205,58.742,59.252,60.355,61.377,62.455,63.078,62.929,62.224,61.657,61.266,60.224,58.249,55.776,53.368,50.727,49.379,50.085,52.075,53.816,55.603,56.845,57.094,56.631,56.262,55.904,55.027,53.466,51.443,49.318,47.012,44.89,43.172,41.696,40.111,38.522,36.802,34.864,32.813,30.813,28.791,27.036,25.7,24.631,23.543,22.517,21.336,19.875,18.245,16.695,15.178,13.73,12.388,11.13,9.902,8.713,6.590886,5.968309,5.320572,4.652941,3.984139,3.323529,2.665552,2.102366,1.679904,1.362179,1.062886,0.7925564,0.5743035,0.4075419,0.284665,0.1927998,0.1316539,0.0863064,0.047688,0.0175539,
,Estimates,Finland,,246,1959,84.025,82.743,82.604,83.388,79.642,84.796,89.463,93.483,96.69,99.532,102.45,102.252,97.568,90.049,82.603,74.501,68.411,65.915,65.755,65.126,64.63,63.93,62.599,60.977,59.73,58.594,58.142,58.68,59.825,60.887,62.014,62.674,62.548,61.852,61.296,60.916,59.884,57.924,55.465,53.069,50.437,49.092,49.786,51.757,53.479,55.243,56.464,56.688,56.201,55.806,55.422,54.519,52.94,50.902,48.762,46.44,44.299,42.554,41.049,39.433,37.812,36.065,34.11,32.046,30.032,27.999,26.222,24.847,23.727,22.595,21.525,20.309,18.821,17.179,15.616,14.093,12.645,11.316,10.083,8.882,6.640211,6.012975,5.360391,4.687763,4.013956,3.348402,2.685501,2.1181,1.692476,1.372373,1.07084,0.7984877,0.5786015,0.4105919,0.2867953,0.1942427,0.1326392,0.0869523,0.0480449,0.0176852,
