Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,France,,250,1950,995.434,872.918,772.231,691.545,629.02,582.827,551.127,532.091,523.883,524.668,533.747,550.421,567.187,579.937,590.246,604.113,620.738,633.124,638.507,639.286,638.464,632.859,634.203,647.799,666.522,683.696,707.565,698.906,639.742,551.653,469.446,380.464,335.075,360.052,429.634,492.113,558.813,607.657,622.76,616.077,615.296,614.703,614.381,617.082,620.722,620.833,618.736,612.73,601.664,586.899,571.516,555.572,537.897,518.443,498.177,477.588,455.941,439.055,429.682,425.101,419.87,415.11,408.592,398.665,386.473,374.667,362.548,350.41,338.605,326.666,314.031,301.121,285.971,267.638,247.183,226.861,206.528,186.062,165.739,145.8,93.25846,85.29464,77.18156,69.56686,62.27098,54.51108,46.49855,39.07745,32.6119,26.93359,21.45294,16.21368,11.9006,8.774159,6.557043,4.662814,3.145494,2.004148,1.15977,0.5761379,1.045167
,Estimates,France,,250,1951,825.453,964.916,862.467,774.502,700.403,639.541,590.097,550.244,525.358,517.208,521.578,531.777,548.322,564.921,577.486,587.595,601.239,617.618,629.801,635.057,635.762,634.872,629.231,630.51,643.986,662.572,679.616,703.306,694.69,635.913,548.402,466.722,378.306,333.158,357.857,426.824,488.723,554.799,603.114,617.886,610.998,609.956,609.094,608.472,610.815,614.07,613.818,611.368,605.054,593.748,578.793,563.212,547.049,529.228,509.729,489.469,468.863,447.203,430.162,420.41,415.299,409.535,404.212,397.127,386.656,373.931,361.59,348.979,336.237,323.65,310.856,297.456,283.84,268.218,249.754,229.439,209.325,189.284,169.35,149.848,99.15129,90.68426,82.05852,73.96266,66.20578,57.95553,49.4367,41.54669,34.67259,28.63547,22.80851,17.23819,12.65258,9.328582,6.97137,4.957449,3.344253,2.130787,1.233054,0.612543,
,Estimates,France,,250,1952,713.233,768.133,941.123,857.978,782.094,714.054,654.431,601.405,553.149,522.257,514.112,522.083,533.472,549.999,566.548,579.014,588.994,602.51,618.755,630.819,635.986,636.621,635.658,629.941,631.165,644.613,663.191,680.223,703.897,695.265,636.469,548.932,467.217,378.757,333.539,358.128,426.959,488.705,554.613,602.731,617.277,610.135,608.829,607.691,606.763,608.768,611.662,611.046,608.226,601.562,589.938,574.692,558.805,542.314,524.224,504.545,484.153,463.388,441.567,424.253,414.056,408.382,402.047,396.125,388.425,377.342,363.997,351.036,337.849,324.417,310.965,297.229,282.974,268.56,252.361,233.639,213.322,193.28,173.39,153.85,104.2805,95.37542,86.30347,77.7888,69.63065,60.95362,51.9941,43.69593,36.46623,30.11681,23.98841,18.12993,13.30711,9.811156,7.332005,5.213901,3.517253,2.241014,1.296841,0.6442303,
,Estimates,France,,250,1953,646.961,745.51,808.537,917.448,853.671,789.901,727.931,669.538,612.903,556.196,519.266,511.121,522.713,535.299,551.813,568.314,580.685,590.536,603.927,620.042,631.99,637.067,637.632,636.596,630.802,631.97,645.395,663.967,680.991,704.656,696.006,637.176,549.592,467.824,379.299,333.998,358.486,427.193,488.801,554.556,602.488,616.81,609.412,607.838,606.424,605.191,606.854,609.386,608.405,605.212,598.196,586.251,570.707,554.511,537.685,519.321,499.458,478.927,457.998,436.01,418.417,407.773,401.53,394.62,388.097,379.777,368.077,354.104,340.52,326.751,312.622,298.298,283.613,268.496,253.278,236.495,217.509,197.186,177.211,157.469,107.7861,98.58165,89.20473,80.40383,71.97142,63.00269,53.74198,45.16485,37.69211,31.12924,24.79483,18.73941,13.75445,10.14098,7.578484,5.389176,3.635492,2.31635,1.340437,0.6658874,
,Estimates,France,,250,1954,619.551,735.456,812.614,855.752,892.286,848.034,796.514,740.725,683.658,623.488,558.393,515.465,507.333,522.539,536.305,552.781,569.209,581.464,591.172,604.416,620.376,632.189,637.169,637.662,636.555,630.691,631.803,645.183,663.721,680.712,704.328,695.675,636.903,549.407,467.71,379.256,333.944,358.291,426.77,488.143,553.643,601.315,615.39,607.746,605.906,604.217,602.68,603.999,606.163,604.816,601.257,593.897,581.647,565.831,549.347,532.213,513.602,493.586,472.946,451.885,429.763,411.919,400.841,394.039,386.563,379.445,370.518,358.215,343.636,329.447,315.115,300.31,285.133,269.518,253.561,237.559,220.217,200.995,180.699,160.82,109.3531,100.0149,90.50162,81.57277,73.01777,63.91865,54.52331,45.82147,38.2401,31.58181,25.15531,19.01185,13.95442,10.28841,7.688663,5.467526,3.688347,2.350026,1.359925,0.6755683,
,Estimates,France,,250,1955,624.599,735.637,811.127,855.275,872.28,866.341,841.663,802.444,752.89,697.196,633.544,560.111,511.217,503.106,521.914,536.85,553.273,569.614,581.743,591.3,604.385,620.175,631.844,636.722,637.144,635.965,630.038,631.091,644.415,662.904,679.845,703.395,694.744,636.081,548.748,467.194,378.887,333.602,357.788,425.978,487.065,552.252,599.623,613.439,605.556,603.452,601.489,599.648,600.621,602.417,600.705,596.781,589.083,576.541,560.463,543.708,526.28,507.437,487.284,466.555,445.38,423.143,405.062,393.56,386.203,378.168,370.462,360.934,348.039,332.867,318.084,303.2,287.732,271.715,255.184,238.398,221.627,203.739,184.299,164.046,109.011,99.70202,90.21853,81.31761,72.78937,63.71871,54.35276,45.67814,38.12048,31.48302,25.07662,18.95238,13.91077,10.25623,7.664613,5.450424,3.67681,2.342675,1.355671,0.6734551,1.22171
,Estimates,France,,250,1956,656.142,655.987,746.812,809.691,847.55,863.314,861.208,845.466,812.477,762.548,702.524,637.109,563.164,513.928,505.752,524.684,539.714,556.216,572.716,585.102,594.962,608.377,624.583,636.403,641.012,640.923,639.242,632.667,633.564,647.532,667.115,685.039,709.696,701.373,641.791,552.775,469.653,379.636,333.258,357.408,426.213,487.753,553.436,600.941,614.263,605.491,602.599,599.839,597.334,597.894,599.432,597.414,593.175,585.139,572.214,555.722,538.56,520.709,501.481,481.005,459.978,438.482,415.929,397.416,385.313,377.242,368.512,360.127,349.894,336.276,320.384,304.929,289.427,273.42,256.964,240.105,223.084,206.173,188.346,169.221,116.5049,106.5559,96.42049,86.90768,77.79318,68.09897,58.08917,48.81823,40.74102,33.64728,26.80048,20.25523,14.86705,10.96128,8.191507,5.825106,3.929567,2.503719,1.448864,0.7197509,
,Estimates,France,,250,1957,702.043,758.653,685.341,755.651,805.709,837.157,851.627,853.365,846.618,819.964,769.82,705.649,638.676,564.451,515.026,506.811,525.808,540.884,557.414,574.023,586.625,596.758,610.462,627.031,638.967,643.292,642.692,640.514,633.31,634.048,648.618,669.234,688.085,713.774,705.803,645.49,555.069,470.638,379.194,331.866,355.904,425.11,486.91,552.881,600.373,613.157,603.524,599.853,596.303,593.142,593.284,594.563,592.243,587.701,579.355,566.084,549.232,531.714,513.499,493.945,473.208,451.95,430.202,407.4,388.516,375.848,367.088,357.691,348.65,337.746,323.445,306.886,290.804,274.733,258.236,241.393,224.258,207.057,190.057,172.348,122.2079,111.7719,101.1403,91.16188,81.60121,71.43247,60.93268,51.20792,42.73533,35.29434,28.11239,21.24674,15.5948,11.49784,8.592488,6.11025,4.121922,2.626278,1.519788,0.7549833,
,Estimates,France,,250,1958,754.473,774.367,790.004,714.14,763.946,801.189,826.222,839.392,844.96,847.187,826.87,776.543,708.282,639.801,565.348,515.768,507.521,526.569,541.682,558.227,574.933,587.743,598.14,612.122,629.044,641.086,645.125,644.016,641.344,633.519,634.097,649.256,670.889,690.652,717.35,709.739,648.736,556.977,471.299,378.492,330.252,354.162,423.718,485.737,551.95,599.395,611.635,601.151,596.704,592.37,588.555,588.284,589.301,586.682,581.842,573.191,559.586,542.384,524.526,505.958,486.093,465.111,443.636,421.652,398.619,379.376,366.154,356.712,346.657,336.969,325.404,310.431,293.216,276.522,259.895,242.92,225.703,208.305,190.935,173.859,126.0917,115.3241,104.3547,94.05907,84.19456,73.70264,62.86916,52.83534,44.09349,36.41602,29.00582,21.92198,16.09042,11.86325,8.865562,6.304437,4.25292,2.709743,1.568087,0.7789772,
,Estimates,France,,250,1959,805.639,792.047,784.876,782.798,743.802,773.219,797.724,816.389,828.282,837.678,848.859,834.837,784.263,711.834,641.757,566.98,517.183,508.891,528.014,543.184,559.766,576.591,589.624,600.3,614.577,631.872,644.037,647.795,646.177,643.009,634.552,634.974,650.74,673.415,694.113,721.855,714.59,652.821,559.606,472.573,378.287,329.071,352.886,422.883,485.199,551.741,599.202,610.915,599.566,594.341,589.219,584.747,584.063,584.819,581.9,576.755,567.788,553.833,536.261,518.038,499.094,478.893,457.641,435.92,413.671,390.379,370.752,356.96,346.827,336.099,325.756,313.514,297.852,279.961,262.634,245.43,227.958,210.344,192.66,175.1,128.2195,117.2702,106.1157,95.64633,85.61536,74.94639,63.93009,53.72695,44.83757,37.03055,29.4953,22.29192,16.36195,12.06345,9.015171,6.410826,4.324689,2.75547,1.594549,0.7921226,
