Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Germany,,276,1950,1100.129,976.002,899.907,865.283,865.574,894.217,944.655,1010.326,1084.675,1161.138,1247.018,1349.611,1393.068,1343.111,1234.758,1134.578,1025.989,952.537,941.559,970.296,986.863,999.498,1010.796,1016.157,1015.677,1021.217,1038.99,1021.601,949.405,847.422,753.135,650.427,609.211,665.319,782.888,891.178,1005.486,1092.249,1127.993,1129.964,1139.057,1147.305,1151.42,1153.907,1153.398,1146.743,1135.472,1117.694,1092.45,1061.626,1028.812,994.176,957.94,920.87,883.687,845.602,805.873,772.702,749.81,733.466,716.424,700.38,681.293,656.492,628.102,600.494,572.29,545.866,522.675,501.051,478.449,456.066,429.154,395.316,357.107,319.925,283.224,247.236,212.798,180.093,96.17386,86.09411,76.07594,67.07775,58.78188,49.90949,40.7132,32.61704,26.20543,21.08417,16.18948,11.629,8.021641,5.535223,3.911872,2.6829,1.892933,1.307929,0.7479649,0.2637263,0.5494634
,Estimates,Germany,,276,1951,1102.801,1070.065,967.525,905.02,877.312,879.168,904.043,945.394,1004.523,1078.813,1159.102,1246.139,1348.522,1391.86,1341.951,1233.742,1133.677,1025.21,951.789,940.692,969.215,985.594,998.034,1009.196,1014.514,1014.057,1019.591,1037.319,1019.964,947.916,846.13,752.021,649.515,608.269,663.984,780.931,888.614,1002.258,1088.509,1124.017,1125.915,1134.878,1142.994,1146.871,1148.944,1147.907,1140.742,1128.949,1110.677,1084.997,1053.772,1020.522,985.41,948.733,911.276,873.723,835.234,795.09,761.362,737.709,720.458,702.496,685.491,665.437,639.697,610.374,581.859,552.853,525.403,500.834,477.68,453.738,430.15,402.465,368.475,330.625,293.912,257.752,222.981,190.661,109.3428,97.88281,86.49287,76.26257,66.83077,56.7435,46.28798,37.08323,29.79368,23.97118,18.40628,13.22133,9.120028,6.29315,4.447518,3.050264,2.152128,1.487021,0.8503822,0.2998378,
,Estimates,Germany,,276,1952,1124.927,1029.674,1040.293,959.323,910.399,889.602,893.024,914.136,946.408,999.008,1073.26,1157.399,1245.622,1347.822,1391.055,1341.178,1233.083,1133.102,1024.728,951.317,940.096,968.415,984.608,996.86,1007.886,1013.165,1012.728,1018.259,1035.949,1018.621,946.699,845.084,751.123,648.792,607.502,662.84,779.2,886.304,999.318,1085.083,1120.363,1122.19,1131.025,1139.011,1142.651,1144.312,1142.745,1135.068,1122.749,1103.977,1077.854,1046.219,1012.522,976.925,939.794,901.94,864.007,825.102,784.53,750.236,725.814,707.652,688.763,670.791,649.765,623.076,592.813,563.382,533.564,505.081,479.126,454.432,429.145,404.342,375.877,341.726,304.222,267.969,232.339,198.777,120.7014,108.051,95.47787,84.18483,73.77324,62.63809,51.09643,40.93549,32.88869,26.46134,20.31834,14.59478,10.06743,6.946891,4.909531,3.36713,2.375694,1.641495,0.9387211,0.3309853,
,Estimates,Germany,,276,1953,1146.924,1058.275,991.882,1010.152,950.792,915.47,901.596,906.585,923.924,947.101,993.15,1067.339,1155.303,1244.681,1346.664,1389.776,1339.95,1232.004,1132.143,1023.898,950.52,939.181,967.285,983.288,995.345,1006.235,1011.469,1011.056,1016.58,1034.226,1016.931,945.161,843.749,749.97,647.847,606.529,661.47,777.203,883.693,996.037,1081.286,1116.327,1118.081,1126.785,1134.64,1138.041,1139.287,1137.193,1129.005,1116.165,1096.898,1070.341,1038.306,1004.173,968.104,930.531,892.293,853.993,814.683,773.698,738.85,713.665,694.599,674.788,655.856,633.863,606.236,575.041,544.704,514.082,484.577,457.242,431.019,404.392,378.383,349.147,314.846,277.703,241.92,206.834,129.4416,115.8752,102.3916,90.28081,79.11529,67.17383,54.79642,43.8997,35.27022,28.37746,21.78963,15.65162,10.79643,7.449928,5.26504,3.61095,2.547723,1.760358,1.006696,0.3549526,
,Estimates,Germany,,276,1954,1156.45,1079.967,1019.277,973.372,979.733,941.997,920.288,913.34,919.893,933.456,947.531,987.018,1061.123,1152.886,1243.395,1345.134,1388.113,1338.35,1230.585,1130.87,1022.783,949.461,938.006,965.888,981.695,993.555,1004.304,1009.494,1009.104,1014.62,1032.216,1014.959,943.362,842.18,748.609,646.724,605.387,659.918,774.99,880.838,992.48,1077.19,1111.982,1113.663,1122.234,1129.954,1133.117,1133.947,1131.326,1122.629,1109.272,1089.517,1062.531,1030.107,995.548,959.015,921.011,882.399,843.742,804.041,762.652,727.259,701.321,681.354,660.628,640.739,617.788,589.229,557.11,525.876,494.461,463.94,435.234,407.487,379.529,352.323,322.322,287.88,251.108,215.807,135.3742,121.186,107.0844,94.41856,82.7413,70.25254,57.30785,45.91171,36.88673,29.67805,22.78829,16.36896,11.29125,7.791373,5.506347,3.776447,2.66449,1.841039,1.052834,0.3712208,
,Estimates,Germany,,276,1955,1147.556,1092.328,1044.796,1005.023,973.073,949.011,932.896,924.797,924.773,932.888,942.671,947.647,980.562,1054.56,1150.089,1241.698,1343.158,1385.991,1336.308,1228.758,1129.223,1021.331,948.088,936.52,964.171,979.778,991.437,1002.042,1007.186,1006.818,1012.325,1029.865,1012.653,941.25,840.334,747.001,645.386,604.046,658.148,772.522,877.692,988.597,1072.739,1107.272,1108.879,1117.314,1124.897,1127.819,1128.236,1125.088,1115.886,1102.016,1081.778,1054.376,1021.571,986.598,949.614,911.193,872.22,833.218,793.139,751.362,715.435,688.752,667.893,646.258,625.421,601.518,572.038,539.008,506.887,474.689,443.163,413.096,383.837,354.558,326.162,295.409,260.838,224.449,138.5653,124.0426,109.6086,96.64423,84.69172,71.90856,58.65873,46.99396,37.75624,30.37763,23.32547,16.75482,11.55741,7.975034,5.636145,3.865467,2.727298,1.884437,1.077652,0.3799714,0.7916555
,Estimates,Germany,,276,1956,1121.3,1147.881,1096.462,1049.501,1007.866,972.424,942.505,917.441,905.785,911.476,930.774,950.164,965.357,1003.008,1072.774,1158.505,1241.4,1333.613,1370.364,1320.181,1215.701,1118.463,1013.071,941.528,929.964,956.668,971.705,982.529,993.822,1002.077,1006.116,1015.76,1038.043,1022.342,947.333,839.728,740.203,631.755,586.71,642.335,761.475,870.711,985.931,1072.683,1106.802,1106.075,1112.65,1118.334,1119.798,1119.668,1116.521,1107.069,1092.903,1072.129,1043.791,1009.816,973.72,935.55,896.251,856.899,817.816,777.58,735.675,699.328,671.743,649.67,626.914,605.023,579.995,549.313,515.082,481.871,448.692,416.465,386.078,356.841,327.725,299.604,269.652,236.575,152.6515,136.6525,120.7512,106.4688,93.30127,79.21861,64.62183,51.77125,41.59444,33.46575,25.69668,18.45807,12.73231,8.785757,6.209101,4.25842,3.004549,2.076004,1.187204,0.4185983,
,Estimates,Germany,,276,1957,1086.685,1096.333,1149.423,1101.758,1055.318,1011.777,972.806,937.005,902.967,887.744,899.155,929.649,958.661,984.081,1026.508,1092.117,1168.145,1242.421,1325.488,1356.2,1305.464,1203.941,1108.896,1005.89,935.973,924.398,950.183,964.669,974.669,986.66,998.035,1006.482,1020.272,1047.318,1033.111,954.417,840.015,734.193,618.803,570.007,627.211,751.243,864.657,984.313,1073.767,1107.506,1104.446,1109.171,1112.962,1112.969,1112.293,1109.143,1099.432,1084.954,1063.624,1034.319,999.139,961.883,922.487,882.268,842.497,803.29,762.854,720.778,683.973,655.456,632.146,608.245,585.278,559.101,527.183,491.715,457.38,423.186,390.223,359.485,330.238,301.254,273.378,244.196,165.0212,147.7257,130.5359,115.0963,100.8617,85.63787,69.85829,55.96639,44.96493,36.17755,27.77894,19.95377,13.76404,9.497687,6.712239,4.60349,3.248014,2.244227,1.283406,0.4525183,
,Estimates,Germany,,276,1958,1055.548,1098.017,1118.361,1151.199,1107.28,1061.351,1015.895,973.386,931.688,888.666,869.869,887.007,928.71,967.358,1003.018,1050.23,1111.694,1178.029,1243.692,1317.626,1342.299,1291,1192.415,1099.546,998.908,930.6,919.015,943.886,957.822,967,979.692,994.191,1007.052,1024.993,1056.811,1044.097,961.698,840.471,728.328,605.966,553.406,612.203,741.155,858.773,982.893,1075.067,1108.435,1103.039,1105.913,1107.809,1106.361,1105.138,1101.982,1092.013,1077.218,1055.326,1025.05,988.656,950.231,909.601,868.453,828.253,788.916,748.272,706.016,668.744,639.289,614.737,589.686,565.637,538.304,505.143,468.432,432.963,397.747,364.04,332.945,303.683,274.825,247.188,174.5883,156.2901,138.1038,121.769,106.7091,90.60274,73.90833,59.21105,47.57178,38.27495,29.38943,21.11059,14.56201,10.04832,7.101382,4.870378,3.436318,2.374337,1.357811,0.4787531,
,Estimates,Germany,,276,1959,1043.67,1107.985,1144.054,1156.017,1152.59,1112.434,1067.033,1019.674,973.639,926.057,874.057,851.693,874.553,927.459,975.737,1021.628,1073.616,1130.91,1187.523,1244.547,1309.317,1327.94,1276.094,1180.483,1089.821,991.586,924.914,913.321,937.268,950.65,959.002,972.392,990.011,1007.285,1029.372,1065.956,1054.738,968.662,840.645,722.215,592.919,536.609,596.982,730.812,852.598,981.142,1076.008,1108.993,1101.261,1102.281,1102.284,1099.377,1097.606,1094.45,1084.221,1069.118,1046.67,1015.431,977.835,938.254,896.402,854.338,813.724,774.269,733.43,691.008,653.282,622.899,597.111,570.919,545.795,517.313,482.922,444.977,408.388,372.158,337.721,306.278,277.01,248.288,180.403,161.4954,142.7033,125.8245,110.2631,93.62024,76.36983,61.18306,49.15614,39.54969,30.36823,21.81367,15.047,10.38297,7.337891,5.032584,3.550764,2.453413,1.403033,0.4946978,
,Estimates,Germany,,276,1960,1065.454,1132.781,1171.19,1184.767,1177.602,1153.783,1117.397,1072.532,1023.28,973.725,920.266,859.298,833.369,861.948,926.05,983.948,1040.066,1096.818,1149.934,1196.814,1245.189,1300.783,1313.352,1260.968,1168.348,1079.909,984.094,919.068,907.469,930.49,943.314,950.839,964.924,985.662,1007.344,1033.576,1074.918,1065.2,975.461,840.675,715.977,579.769,519.72,581.656,720.343,846.277,979.223,1076.764,1109.36,1099.295,1098.46,1096.568,1092.205,1089.887,1086.728,1076.244,1060.832,1037.834,1005.638,966.846,926.114,883.049,840.076,799.054,759.488,718.461,675.881,637.706,606.401,579.382,552.052,525.857,496.233,460.615,421.444,383.74,346.505,311.341,279.556,250.288,182.1742,163.081,144.1044,127.0599,111.3457,94.53944,77.11966,61.78378,49.63878,39.93801,30.6664,22.02785,15.19473,10.48492,7.409938,5.081997,3.585627,2.477502,1.416808,0.499555,1.040803
,Estimates,Germany,,276,1961,1128.507,1088.696,1137.945,1165.216,1173.425,1165.491,1145.559,1117.773,1078.914,1029.451,975.977,920.946,859.442,833.54,863.04,928.601,987.875,1045.502,1103.159,1156.172,1202.338,1250.102,1304.948,1317.342,1265.754,1174.499,1087.261,992.699,928.346,916.471,938.612,950.607,957.148,970.616,991.4,1013.495,1039.983,1081.623,1071.617,980.668,844.103,717.696,579.659,518.252,579.639,718.277,844.027,976.808,1073.919,1105.625,1094.372,1092.416,1089.402,1083.953,1080.642,1076.55,1065.104,1048.725,1024.766,991.616,951.886,910.215,866.193,822.358,780.615,740.406,698.769,655.696,616.741,584.183,555.671,526.998,499.521,469.034,433.186,394.256,356.893,320.186,285.688,254.651,194.8968,174.4702,154.1683,135.9334,119.1218,101.1418,82.50551,66.09861,53.10543,42.72718,32.80807,23.56622,16.2559,11.21716,7.92743,5.436911,3.836038,2.650525,1.515755,0.5344427,
