Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Ghana,,288,1950,208.402,195.39,183.771,173.437,164.282,156.199,149.077,142.814,137.298,132.423,128.162,124.488,120.891,117.111,113.273,109.78,106.555,103.342,100.055,96.755,93.582,90.505,87.527,84.661,81.894,79.193,76.573,73.984,71.406,68.86,66.39,63.976,61.674,59.511,57.456,55.453,53.508,51.605,49.727,47.88,46.093,44.361,42.659,40.984,39.34,37.739,36.174,34.676,33.26,31.906,30.584,29.299,28.029,26.761,25.5,24.275,23.079,21.909,20.763,19.643,18.546,17.475,16.427,15.403,14.4,13.425,12.476,11.548,10.639,9.749,8.893,8.066,7.27,6.507,5.773,5.079,4.424,3.808,3.233,2.703,2.152943,1.728757,1.364312,1.069611,0.8332222,0.6262744,0.4507689,0.3121368,0.2103779,0.1386322,0.0897536,0.0634564,0.0443051,0.0240105,0.0051451,0.005431,0.0042876,0.0031442,0.0020009,0.0008575,0.0005717
,Estimates,Ghana,,288,1951,191.625,201.03,189.663,179.328,169.962,161.503,153.86,146.937,140.822,135.509,130.846,126.665,122.973,119.353,115.58,111.765,108.262,105,101.768,98.494,95.227,92.082,89.03,86.084,83.257,80.535,77.88,75.308,72.762,70.222,67.708,65.272,62.891,60.618,58.482,56.45,54.468,52.544,50.662,48.806,46.982,45.217,43.505,41.821,40.161,38.53,36.941,35.388,33.897,32.487,31.137,29.818,28.534,27.263,25.991,24.726,23.496,22.293,21.117,19.963,18.834,17.731,16.654,15.6,14.573,13.57,12.596,11.651,10.73,9.831,8.956,8.118,7.31,6.542,5.814,5.124,4.473,3.864,3.298,2.779,2.33829,1.877586,1.481765,1.161694,0.9049541,0.6801902,0.4895755,0.3390085,0.2284893,0.150567,0.0974805,0.0689193,0.0481193,0.0260776,0.0055881,0.0058985,0.0046567,0.0034149,0.0021731,0.0009313,
,Estimates,Ghana,,288,1952,183.905,182.827,195.823,185.965,176.794,168.288,160.432,153.145,146.345,140.314,135.147,130.646,126.501,122.751,119.071,115.266,111.436,107.884,104.553,101.268,97.972,94.705,91.555,88.496,85.55,82.733,80.028,77.389,74.837,72.31,69.78,67.273,64.842,62.47,60.205,58.07,56.041,54.06,52.136,50.255,48.401,46.583,44.82,43.109,41.426,39.764,38.129,36.536,34.976,33.479,32.06,30.7,29.369,28.073,26.788,25.5,24.217,22.968,21.747,20.552,19.379,18.23,17.108,16.013,14.945,13.903,12.888,11.906,10.955,10.032,9.134,8.265,7.433,6.639,5.889,5.189,4.533,3.921,3.349,2.828,2.471051,1.984189,1.565895,1.227652,0.9563346,0.7188093,0.5173721,0.3582564,0.2414622,0.1591157,0.1030151,0.0728323,0.0508514,0.0275582,0.0059053,0.0062334,0.0049211,0.0036088,0.0022965,0.0009842,
,Estimates,Ghana,,288,1953,183.352,184.461,183.9,191.225,182.851,174.817,167.15,159.871,152.918,146.222,140.255,135.217,130.865,126.742,122.922,119.171,115.321,111.462,107.851,104.441,101.09,97.763,94.486,91.319,88.243,85.289,82.474,79.774,77.146,74.606,72.088,69.56,67.051,64.62,62.249,59.981,57.845,55.81,53.824,51.893,50.008,48.151,46.331,44.565,42.85,41.163,39.494,37.849,36.245,34.676,33.167,31.734,30.36,29.012,27.701,26.398,25.088,23.783,22.512,21.27,20.05,18.855,17.682,16.538,15.422,14.334,13.275,12.246,11.252,10.292,9.364,8.463,7.596,6.772,5.985,5.252,4.578,3.956,3.379,2.844,2.512317,2.017325,1.592046,1.248153,0.9723055,0.7308135,0.5260123,0.3642393,0.2454946,0.161773,0.1047355,0.0740487,0.0517006,0.0280184,0.0060039,0.0063375,0.0050033,0.0036691,0.0023349,0.0010007,
,Estimates,Ghana,,288,1954,188.853,189.601,188.781,186.572,186.605,179.725,172.837,166.011,159.316,152.698,146.105,140.203,135.296,131.093,126.991,123.101,119.278,115.383,111.494,107.825,104.332,100.918,97.558,94.269,91.087,87.995,85.03,82.217,79.523,76.905,74.377,71.868,69.343,66.831,64.401,62.029,59.76,57.62,55.581,53.589,51.652,49.761,47.902,46.08,44.311,42.592,40.9,39.223,37.57,35.955,34.376,32.854,31.407,30.019,28.655,27.328,26.006,24.675,23.348,22.054,20.789,19.547,18.328,17.131,15.965,14.827,13.72,12.644,11.6,10.594,9.624,8.692,7.788,6.924,6.105,5.328,4.612,3.963,3.375,2.833,2.433321,1.953893,1.541986,1.208907,0.9417327,0.7078341,0.5094726,0.3527863,0.2377754,0.1566862,0.1014422,0.0717203,0.050075,0.0271374,0.0058152,0.0061382,0.004846,0.0035537,0.0022615,0.0009692,
,Estimates,Ghana,,288,1955,199.49,197.569,194.733,191.095,186.767,181.859,176.486,170.755,164.781,158.675,152.398,145.913,140.079,135.305,131.254,127.177,123.219,119.324,115.386,111.47,107.742,104.17,100.692,97.302,94.003,90.806,87.699,84.727,81.915,79.231,76.622,74.109,71.61,69.088,66.576,64.146,61.776,59.507,57.365,55.321,53.325,51.383,49.488,47.626,45.804,44.032,42.311,40.614,38.931,37.268,35.645,34.056,32.522,31.063,29.66,28.281,26.938,25.598,24.247,22.898,21.582,20.295,19.03,17.788,16.568,15.38,14.221,13.095,12.002,10.943,9.926,8.948,8.01,7.105,6.244,5.431,4.664,3.964,3.342,2.788,2.21614,1.779503,1.40436,1.101009,0.8576804,0.6446579,0.4640007,0.3212991,0.2165533,0.1427015,0.0923882,0.0653191,0.0456056,0.0247153,0.0052961,0.0055904,0.0044134,0.0032365,0.0020596,0.0008827,0.0005885
,Estimates,Ghana,,288,1956,214.067,198.793,195.752,192.405,188.752,184.788,180.638,176.426,171.518,165.663,159.235,152.83,146.287,140.386,135.558,131.462,127.312,123.263,119.293,115.316,111.385,107.635,104.04,100.55,97.156,93.86,90.669,87.571,84.604,81.79,79.098,76.484,73.965,71.461,68.932,66.413,63.973,61.595,59.317,57.168,55.119,53.116,51.166,49.262,47.389,45.552,43.766,42.03,40.317,38.616,36.937,35.295,33.686,32.131,30.646,29.216,27.81,26.439,25.073,23.694,22.318,20.977,19.666,18.378,17.118,15.883,14.682,13.513,12.382,11.289,10.233,9.224,8.257,7.338,6.465,5.644,4.872,4.149,3.495,2.924,2.448413,1.966012,1.55155,1.216405,0.9475735,0.7122242,0.5126324,0.3549744,0.2392501,0.157658,0.1020714,0.0721651,0.0503856,0.0273057,0.0058512,0.0061763,0.004876,0.0035757,0.0022755,0.0009752,
,Estimates,Ghana,,288,1957,230.657,218.727,197.53,193.377,189.529,185.87,182.283,178.903,175.866,171.796,166.076,159.346,152.829,146.247,140.295,135.429,131.296,127.088,122.956,118.925,114.92,110.982,107.223,103.617,100.121,96.734,93.451,90.275,87.194,84.241,81.434,78.74,76.129,73.613,71.109,68.58,66.06,63.62,61.239,58.958,56.81,54.76,52.756,50.804,48.896,47.016,45.172,43.376,41.628,39.905,38.192,36.5,34.844,33.221,31.648,30.142,28.688,27.259,25.866,24.475,23.073,21.674,20.311,18.98,17.674,16.399,15.151,13.941,12.766,11.633,10.542,9.493,8.495,7.541,6.645,5.805,5.027,4.298,3.621,3.017,2.604283,2.091172,1.650324,1.293843,1.007898,0.7575656,0.5452675,0.3775726,0.2544812,0.1676948,0.1085694,0.0767593,0.0535932,0.029044,0.0062237,0.0065695,0.0051864,0.0038034,0.0024203,0.0010373,
,Estimates,Ghana,,288,1958,247.968,230.435,215.776,196.109,190.85,186.503,182.843,179.634,177.026,175.163,171.933,166.354,159.326,152.703,146.088,140.09,135.189,131.025,126.759,122.551,118.46,114.43,110.492,106.724,103.108,99.613,96.234,92.967,89.807,86.748,83.81,81.011,78.32,75.712,73.2,70.701,68.173,65.655,63.215,60.832,58.554,56.405,54.356,52.355,50.401,48.491,46.606,44.755,42.951,41.195,39.461,37.737,36.034,34.366,32.729,31.14,29.615,28.138,26.687,25.272,23.859,22.434,21.014,19.63,18.28,16.957,15.667,14.409,13.19,12.01,10.876,9.788,8.748,7.76,6.821,5.947,5.142,4.407,3.722,3.091,2.668188,2.142485,1.69082,1.325592,1.03263,0.7761549,0.5586474,0.3868376,0.2607257,0.1718097,0.1112335,0.0786428,0.0549083,0.0297567,0.0063764,0.0067307,0.0053137,0.0038967,0.0024797,0.0010627,
,Estimates,Ghana,,288,1959,264.637,242.441,224.164,209.394,194.846,188.478,183.632,179.966,177.133,175.292,174.6,172.207,166.762,159.432,152.698,146.045,139.996,135.055,130.858,126.532,122.243,118.089,114.033,110.088,106.311,102.683,99.184,95.811,92.557,89.412,86.37,83.447,80.653,77.961,75.357,72.847,70.348,67.821,65.302,62.861,60.476,58.194,56.046,53.998,51.994,50.04,48.124,46.234,44.374,42.561,40.795,39.049,37.314,35.597,33.917,32.263,30.658,29.113,27.611,26.137,24.699,23.263,21.815,20.372,18.965,17.596,16.255,14.949,13.679,12.452,11.266,10.129,9.043,8.01,7.033,6.108,5.255,4.485,3.791,3.151,2.629043,2.111053,1.666015,1.306144,1.01748,0.7647681,0.5504516,0.3811624,0.2569007,0.1692892,0.1096016,0.0774891,0.0541027,0.0293202,0.0062829,0.0066319,0.0052357,0.0038395,0.0024433,0.0010471,
,Estimates,Ghana,,288,1960,279.297,254.262,233.655,217.016,203.886,193.808,186.323,180.972,177.296,174.836,173.76,174.238,172.677,167.362,159.721,152.869,146.169,140.063,135.078,130.841,126.45,122.075,117.855,113.765,109.812,106.02,102.375,98.87,95.498,92.253,89.12,86.092,83.179,80.388,77.693,75.088,72.576,70.077,67.547,65.024,62.579,60.189,57.903,55.751,53.701,51.694,49.735,47.814,45.915,44.044,42.22,40.441,38.683,36.932,35.202,33.506,31.835,30.212,28.643,27.116,25.618,24.154,22.694,21.221,19.753,18.323,16.932,15.571,14.249,12.966,11.727,10.534,9.394,8.309,7.282,6.314,5.402,4.57,3.833,3.18,2.473409,1.986083,1.56739,1.228823,0.9572473,0.7194953,0.5178658,0.3585983,0.2416926,0.1592676,0.1031134,0.0729019,0.0508999,0.0275845,0.005911,0.0062393,0.0049258,0.0036123,0.0022987,0.0009852,0.0006568
,Estimates,Ghana,,288,1961,290.503,272.081,249.585,230.801,215.37,202.939,193.067,185.31,179.755,176.226,174.102,173.111,173.518,171.89,166.552,158.912,152.027,145.272,139.128,134.134,129.908,125.524,121.155,116.948,112.88,108.956,105.192,101.58,98.102,94.75,91.517,88.399,85.384,82.484,79.703,77.016,74.418,71.91,69.418,66.897,64.383,61.946,59.563,57.282,55.13,53.078,51.069,49.105,47.178,45.273,43.392,41.559,39.769,37.998,36.232,34.484,32.77,31.082,29.44,27.85,26.303,24.785,23.302,21.827,20.342,18.865,17.429,16.036,14.677,13.364,12.094,10.872,9.7,8.59,7.547,6.572,5.656,4.798,4.024,3.349,2.745062,2.204213,1.739535,1.363784,1.062381,0.798517,0.5747427,0.3979829,0.2682376,0.1767598,0.1144383,0.0809086,0.0564902,0.0306141,0.0065602,0.0069246,0.0054668,0.004009,0.0025512,0.0010934,
,Estimates,Ghana,,288,1962,298.995,275.186,265.335,245.342,228.349,214.101,202.349,192.665,184.621,178.853,175.464,173.673,172.766,173.103,171.404,166.035,158.38,151.452,144.63,138.436,133.424,129.203,124.817,120.447,116.246,112.193,108.29,104.549,100.963,97.505,94.167,90.941,87.832,84.827,81.934,79.156,76.474,73.877,71.371,68.88,66.363,63.855,61.422,59.04,56.761,54.606,52.548,50.531,48.562,46.625,44.708,42.818,40.97,39.166,37.379,35.594,33.825,32.091,30.383,28.719,27.106,25.535,23.994,22.491,20.997,19.497,18.009,16.565,15.167,13.809,12.5,11.243,10.035,8.882,7.801,6.798,5.871,5.007,4.202,3.486,2.948094,2.367243,1.868196,1.464653,1.140958,0.8575775,0.6172522,0.4274188,0.2880771,0.1898334,0.1229025,0.0868928,0.0606684,0.0328784,0.0070454,0.0074368,0.0058711,0.0043055,0.0027399,0.0011742,
,Estimates,Ghana,,288,1963,305.359,284.569,266.123,258.61,241.127,225.927,212.862,201.789,192.292,183.961,177.977,174.729,173.27,172.449,172.714,170.945,165.541,157.874,150.898,144.009,137.765,132.735,128.515,124.129,119.756,115.561,111.522,107.639,103.921,100.36,96.923,93.597,90.379,87.278,84.281,81.394,78.622,75.942,73.347,70.841,68.352,65.838,63.336,60.905,58.527,56.247,54.089,52.025,50.001,48.024,46.077,44.15,42.247,40.386,38.568,36.764,34.96,33.171,31.415,29.687,27.999,26.364,24.769,23.204,21.682,20.167,18.654,17.153,15.701,14.297,12.941,11.636,10.39,9.198,8.064,7.009,6.047,5.171,4.357,3.604,3.055151,2.453207,1.936038,1.517841,1.182391,0.8887197,0.6396673,0.4429402,0.2985384,0.1967271,0.1273656,0.0900483,0.0628715,0.0340723,0.0073012,0.0077068,0.0060843,0.0044619,0.0028394,0.0012169,
,Estimates,Ghana,,288,1964,310.691,292.94,276.456,261.211,251.419,236.478,223.101,211.246,200.871,191.58,182.973,176.785,173.683,172.562,171.825,172.018,170.183,164.755,157.087,150.078,143.132,136.849,131.809,127.6,123.22,118.853,114.67,110.652,106.797,103.108,99.578,96.17,92.86,89.656,86.568,83.585,80.711,77.947,75.275,72.686,70.187,67.7,65.198,62.703,60.28,57.909,55.633,53.475,51.409,49.381,47.401,45.447,43.513,41.601,39.731,37.9,36.083,34.263,32.457,30.682,28.937,27.231,25.573,23.958,22.373,20.831,19.302,17.776,16.265,14.809,13.401,12.048,10.751,9.517,8.343,7.229,6.205,5.285,4.46,3.698,3.041239,2.442036,1.927221,1.510929,1.177006,0.8846726,0.6367543,0.4409231,0.2971789,0.1958312,0.1267856,0.0896382,0.0625852,0.0339172,0.007268,0.0076717,0.0060566,0.0044415,0.0028264,0.0012113,
,Estimates,Ghana,,288,1965,316.006,300.34,285.207,270.675,256.799,243.645,231.275,219.748,209.127,199.474,190.409,181.55,175.172,172.224,171.44,170.791,170.913,169.014,163.576,155.925,148.9,141.915,135.607,130.569,126.382,122.018,117.666,113.507,109.52,105.701,102.05,98.56,95.186,91.904,88.719,85.653,82.691,79.835,77.088,74.429,71.853,69.364,66.89,64.401,61.922,59.513,57.153,54.888,52.735,50.671,48.645,46.665,44.71,42.773,40.857,38.981,37.144,35.317,33.487,31.666,29.878,28.12,26.398,24.724,23.092,21.49,19.934,18.392,16.857,15.342,13.882,12.476,11.128,9.842,8.625,7.47,6.38,5.388,4.512,3.74,2.887726,2.318769,1.829941,1.434662,1.117595,0.8400171,0.6046129,0.4186667,0.2821783,0.1859463,0.1203858,0.0851136,0.0594261,0.0322051,0.0069011,0.0072845,0.0057509,0.0042173,0.0026838,0.0011502,0.0007668
,Estimates,Ghana,,288,1966,323.139,308.727,293.707,279.263,265.435,252.26,239.813,228.176,217.189,206.817,197.212,188.194,179.351,172.967,170.024,169.248,168.571,168.637,166.712,161.302,153.715,146.744,139.812,133.561,128.588,124.467,120.173,115.893,111.798,107.865,104.088,100.482,97.035,93.7,90.455,87.304,84.271,81.337,78.511,75.792,73.162,70.613,68.149,65.697,63.228,60.767,58.374,56.028,53.775,51.63,49.574,47.552,45.576,43.621,41.682,39.76,37.877,36.035,34.201,32.364,30.536,28.741,26.979,25.254,23.577,21.945,20.346,18.796,17.266,15.75,14.26,12.829,11.455,10.15,8.918,7.767,6.678,5.656,4.735,3.936,3.211729,2.578935,2.035261,1.595631,1.242989,0.9342669,0.6724505,0.465641,0.3138386,0.2068094,0.1338931,0.0946633,0.0660937,0.0358185,0.0076754,0.0081018,0.0063962,0.0046905,0.0029849,0.0012792,
,Estimates,Ghana,,288,1967,330.172,315.159,300.917,286.57,272.837,259.739,247.284,235.568,224.681,214.254,204.148,194.609,185.654,176.839,170.463,167.53,166.762,166.06,166.07,164.121,158.749,151.239,144.335,137.466,131.285,126.383,122.338,118.12,113.919,109.898,106.022,102.297,98.74,95.341,92.053,88.849,85.739,82.742,79.843,77.051,74.365,71.77,69.251,66.815,64.392,61.946,59.507,57.134,54.807,52.568,50.437,48.391,46.378,44.408,42.458,40.519,38.594,36.71,34.864,33.027,31.185,29.353,27.556,25.792,24.066,22.391,20.76,19.168,17.627,16.112,14.616,13.154,11.755,10.416,9.154,7.981,6.896,5.875,4.922,4.076,3.439757,2.762036,2.179761,1.708918,1.331239,1.000599,0.7201935,0.4987009,0.3361207,0.2214926,0.1433993,0.1013842,0.0707863,0.0383616,0.0082203,0.008677,0.0068503,0.0050235,0.0031968,0.0013701,
,Estimates,Ghana,,288,1968,337.47,321.748,306.574,293.066,279.391,266.371,254.003,242.27,231.284,221.148,211.282,201.443,191.971,183.08,174.298,167.93,165.006,164.248,163.52,163.474,161.502,156.169,148.738,141.902,135.098,128.986,124.159,120.188,116.047,111.927,107.977,104.163,100.488,96.982,93.633,90.39,87.23,84.159,81.199,78.337,75.578,72.928,70.365,67.878,65.471,63.076,60.654,58.238,55.886,53.577,51.355,49.237,47.2,45.198,43.234,41.289,39.35,37.424,35.537,33.69,31.848,30.004,28.167,26.369,24.603,22.878,21.203,19.575,17.988,16.457,14.958,13.483,12.049,10.681,9.377,8.161,7.044,6.026,5.074,4.19,3.547286,2.848379,2.247902,1.76234,1.372854,1.031878,0.7427072,0.5142906,0.3466281,0.2284166,0.1478821,0.1045536,0.0729991,0.0395608,0.0084773,0.0089483,0.0070644,0.0051806,0.0032967,0.0014129,
,Estimates,Ghana,,288,1969,345.455,328.957,313.296,298.454,285.736,272.709,260.378,248.717,237.684,227.409,218.004,208.681,199.091,189.671,180.827,172.064,165.691,162.774,162.022,161.268,161.166,159.168,153.864,146.499,139.718,132.968,126.916,122.152,118.25,114.18,110.132,106.248,102.487,98.856,95.395,92.089,88.888,85.763,82.728,79.802,76.968,74.239,71.618,69.085,66.626,64.243,61.871,59.47,57.072,54.736,52.443,50.232,48.123,46.095,44.096,42.137,40.194,38.252,36.32,34.429,32.575,30.727,28.876,27.033,25.229,23.458,21.731,20.054,18.425,16.843,15.318,13.831,12.374,10.967,9.628,8.356,7.183,6.121,5.168,4.282,3.518989,2.825657,2.22997,1.748282,1.361903,1.023647,0.7367825,0.510188,0.343863,0.2265945,0.1467024,0.1037195,0.0724168,0.0392452,0.0084097,0.0088769,0.0070081,0.0051393,0.0032704,0.0014016,
,Estimates,Ghana,,288,1970,354.273,337.312,321.373,306.402,292.339,279.13,266.719,255.048,244.064,233.706,224.115,215.421,206.616,197.253,187.858,179.041,170.271,163.879,160.959,160.214,159.43,159.271,157.243,151.954,144.635,137.893,131.179,125.17,120.46,116.615,112.605,108.619,104.791,101.074,97.477,94.053,90.781,87.612,84.517,81.509,78.607,75.797,73.09,70.491,67.982,65.543,63.179,60.825,58.437,56.052,53.726,51.442,49.237,47.132,45.106,43.108,41.147,39.2,37.25,35.309,33.406,31.543,29.683,27.82,25.966,24.151,22.372,20.637,18.954,17.321,15.738,14.215,12.737,11.296,9.91,8.597,7.354,6.22,5.212,4.321,3.334114,2.677207,2.112816,1.656433,1.290354,0.9698679,0.6980747,0.4833846,0.3257977,0.2146901,0.1389952,0.0982705,0.0686123,0.0371834,0.0079679,0.0084105,0.0066399,0.0048693,0.0030986,0.001328,0.0008853
,Estimates,Ghana,,288,1971,361.53,346.961,331.005,315.973,301.811,288.46,275.88,264.032,252.776,242.031,231.78,222.248,213.554,204.745,195.415,186.069,177.264,168.48,162.075,159.148,158.402,157.612,157.44,155.425,150.184,142.939,136.266,129.626,123.682,119.017,115.206,111.233,107.285,103.491,99.804,96.234,92.834,89.585,86.437,83.364,80.38,77.497,74.705,72.014,69.425,66.926,64.492,62.134,59.782,57.397,55.014,52.686,50.401,48.19,46.076,44.035,42.023,40.049,38.086,36.119,34.162,32.243,30.365,28.493,26.621,24.761,22.944,21.168,19.439,17.767,16.152,14.591,13.093,11.654,10.268,8.951,7.708,6.538,5.481,4.558,3.711174,2.979976,2.351757,1.843762,1.436282,1.079552,0.7770209,0.5380513,0.3626426,0.2389697,0.1547144,0.1093841,0.0763717,0.0413886,0.008869,0.0093617,0.0073908,0.0054199,0.003449,0.0014782,
,Estimates,Ghana,,288,1972,370.019,353.35,340.704,325.703,311.533,298.136,285.457,273.467,262.144,251.272,240.73,230.556,221.055,212.334,203.495,194.17,184.845,176.023,167.201,160.762,157.819,157.07,156.272,156.088,154.077,148.871,141.675,135.054,128.465,122.568,117.935,114.148,110.198,106.277,102.505,98.837,95.283,91.896,88.66,85.525,82.465,79.493,76.623,73.84,71.156,68.571,66.072,63.638,61.277,58.921,56.532,54.142,51.807,49.513,47.29,45.159,43.099,41.066,39.072,37.088,35.099,33.119,31.177,29.28,27.391,25.504,23.632,21.808,20.028,18.3,16.636,15.032,13.488,12.012,10.607,9.273,8.02,6.843,5.741,4.76,4.004993,3.215905,2.537949,1.989735,1.549994,1.165021,0.8385388,0.5806496,0.3913536,0.2578892,0.1669633,0.1180441,0.0824182,0.0446654,0.0095711,0.0101029,0.007976,0.005849,0.0037221,0.0015952,
,Estimates,Ghana,,288,1973,378.668,362.383,347.031,334.742,320.685,307.365,294.724,282.706,271.299,260.492,249.993,239.648,229.541,220.062,211.305,202.429,193.098,183.787,174.942,166.07,159.593,156.633,155.878,155.072,154.874,152.867,147.69,140.538,133.962,127.42,121.564,116.958,113.19,109.263,105.363,101.61,97.957,94.417,91.041,87.814,84.687,81.639,78.678,75.816,73.041,70.36,67.778,65.277,62.839,60.474,58.111,55.715,53.318,50.973,48.668,46.43,44.281,42.199,40.145,38.129,36.121,34.107,32.103,30.138,28.218,26.31,24.406,22.522,20.687,18.904,17.175,15.516,13.922,12.396,10.938,9.565,8.284,7.093,5.982,4.947,4.178549,3.355266,2.647931,2.07596,1.617163,1.215507,0.8748768,0.605812,0.4083128,0.2690648,0.1741987,0.1231596,0.0859898,0.0466009,0.0099859,0.0105407,0.0083216,0.0061025,0.0038834,0.0016643,
,Estimates,Ghana,,288,1974,386.135,370.214,355.153,340.887,328.289,315.199,302.752,290.886,279.549,268.74,258.467,248.357,238.224,228.198,218.754,209.976,201.072,191.752,182.465,173.61,164.702,158.195,155.221,154.463,153.649,153.438,151.438,146.297,139.2,132.676,126.192,120.385,115.813,112.07,108.169,104.299,100.569,96.936,93.415,90.054,86.842,83.728,80.695,77.749,74.899,72.136,69.464,66.886,64.386,61.95,59.583,57.217,54.819,52.415,50.065,47.751,45.503,43.338,41.237,39.164,37.128,35.101,33.065,31.039,29.052,27.114,25.19,23.27,21.377,19.535,17.749,16.023,14.37,12.791,11.282,9.846,8.509,7.279,6.153,5.11,4.198593,3.371361,2.660633,2.085918,1.62492,1.221338,0.8790734,0.6087179,0.4102714,0.2703555,0.1750343,0.1237504,0.0864023,0.0468245,0.0100338,0.0105912,0.0083615,0.0061318,0.003902,0.0016723,
,Estimates,Ghana,,288,1975,391.693,376.007,361.155,347.082,333.726,321.034,308.942,297.396,286.335,275.704,265.521,255.807,246.11,236.212,226.294,216.907,208.129,199.221,189.933,180.695,171.851,162.929,156.408,153.427,152.668,151.848,151.625,149.637,144.544,137.519,131.066,124.653,118.91,114.384,110.674,106.81,102.977,99.281,95.678,92.183,88.846,85.656,82.564,79.553,76.629,73.799,71.054,68.396,65.83,63.339,60.908,58.546,56.183,53.787,51.385,49.034,46.718,44.464,42.289,40.175,38.087,36.038,33.994,31.943,29.899,27.897,25.944,24.008,22.079,20.18,18.336,16.552,14.833,13.191,11.628,10.142,8.731,7.432,6.258,5.2,4.040365,3.244308,2.560364,2.007308,1.563683,1.175311,0.8459446,0.5857778,0.3948099,0.2601669,0.1684379,0.1190867,0.0831461,0.0450598,0.0096557,0.0101921,0.0080464,0.0059007,0.003755,0.0016093,0.0010729
,Estimates,Ghana,,288,1976,396.274,382.059,367.249,353.245,339.981,327.384,315.414,304.023,293.012,282.252,271.758,261.688,252.043,242.408,232.605,222.797,213.481,204.742,195.893,186.701,177.578,168.84,160.021,153.589,150.67,149.957,149.184,149.006,147.073,142.052,135.111,128.737,122.402,116.731,112.268,108.616,104.807,101.029,97.383,93.83,90.381,87.087,83.937,80.881,77.903,75.007,72.205,69.482,66.845,64.297,61.821,59.402,57.051,54.695,52.304,49.905,47.556,45.242,42.986,40.807,38.687,36.595,34.542,32.496,30.445,28.403,26.407,24.463,22.543,20.637,18.767,16.958,15.214,13.546,11.97,10.485,9.079,7.751,6.542,5.468,4.492884,3.607669,2.847123,2.232126,1.738815,1.306945,0.9406901,0.6513846,0.4390285,0.2893054,0.1873029,0.1324243,0.0924584,0.0501065,0.0107371,0.0113336,0.0089476,0.0065616,0.0041755,0.0017895,
,Estimates,Ghana,,288,1977,399.212,383.496,371.805,357.892,344.757,332.322,320.502,309.271,298.599,288.14,277.698,267.358,257.419,247.857,238.303,228.611,218.929,209.7,201.016,192.24,183.158,174.167,165.549,156.85,150.516,147.663,146.998,146.273,146.141,144.264,139.325,132.48,126.194,119.949,114.359,109.968,106.378,102.632,98.913,95.326,91.827,88.429,85.185,82.08,79.065,76.125,73.263,70.492,67.797,65.186,62.658,60.202,57.8,55.462,53.119,50.737,48.346,46.002,43.693,41.441,39.26,37.139,35.044,32.993,30.949,28.9,26.864,24.877,22.946,21.045,19.165,17.328,15.557,13.854,12.241,10.734,9.329,8.005,6.761,5.644,4.817122,3.868024,3.052592,2.393212,1.8643,1.401263,1.008577,0.6983932,0.4707119,0.3101838,0.20082,0.141981,0.0991309,0.0537226,0.011512,0.0121515,0.0095933,0.0070351,0.0044769,0.0019187,
,Estimates,Ghana,,288,1978,402.334,386.428,371.591,361.834,348.806,336.528,324.909,313.854,303.351,293.39,283.47,273.34,263.147,253.332,243.847,234.366,224.779,215.217,206.069,197.434,188.725,179.749,170.881,162.378,153.792,147.552,144.764,144.144,143.469,143.38,141.561,136.698,129.944,123.744,117.582,112.071,107.748,104.217,100.532,96.869,93.338,89.892,86.543,83.346,80.282,77.308,74.404,71.573,68.832,66.163,63.574,61.068,58.629,56.242,53.917,51.583,49.21,46.824,44.485,42.179,39.929,37.747,35.621,33.524,31.473,29.428,27.382,25.349,23.371,21.451,19.568,17.712,15.908,14.173,12.51,10.95,9.51,8.185,6.942,5.781,4.98101,3.999621,3.156447,2.474633,1.927728,1.448937,1.042891,0.7221538,0.4867264,0.3207368,0.2076523,0.1468115,0.1025035,0.0555503,0.0119036,0.0125649,0.0099197,0.0072744,0.0046292,0.0019839,
