Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Hungary,,348,1950,168.977,167.164,165.12,162.907,160.595,158.246,155.925,153.699,151.633,149.791,148.075,146.389,145.612,146.139,147.544,148.978,150.576,152.064,153.21,154.117,154.678,154.381,155.203,157.945,161.328,164.598,169.483,167.14,153.598,133.697,115.003,94.495,84.582,91.723,109.519,125.475,142.508,153.919,155.249,150.052,146.407,142.767,139.343,137.07,135.42,132.849,129.569,126.627,124.364,122.416,120.255,118.188,115.02,110.164,104.293,98.584,92.709,87.823,84.593,82.446,80.087,77.711,75.361,72.907,70.347,67.871,65.514,62.622,58.909,54.672,50.508,46.327,42.272,38.477,34.895,31.33,27.824,24.549,21.569,18.848,15.19613,12.70067,10.49673,8.922171,7.770421,6.486448,5.168251,4.04948,3.186756,2.523458,1.936383,1.436731,1.03477,0.7183657,0.4772512,0.2980487,0.201914,0.1294241,0.0693788,0.0224003,0.053823
,Estimates,Hungary,,348,1951,201.72,168.907,166.708,164.555,162.454,160.41,158.514,156.86,155.01,152.796,150.485,148.402,146.355,145.36,145.92,147.518,149.114,150.9,152.493,153.593,154.373,154.812,154.32,155.175,158.322,162.301,166.138,171.708,169.498,155.215,134.059,114.197,92.387,81.856,89.499,108.484,125.495,143.674,155.738,156.873,150.952,146.702,142.424,138.59,136.324,134.937,132.545,129.438,126.568,124.197,122.027,119.676,117.428,114.087,109.086,103.092,97.246,91.219,86.237,82.992,80.88,78.551,76.221,73.846,71.25,68.475,65.804,63.255,60.207,56.405,52.126,47.923,43.716,39.649,35.852,32.283,28.749,25.286,22.101,19.272,16.18898,13.53048,11.18254,9.505112,8.278111,6.910248,5.505925,4.314057,3.394967,2.688331,2.062899,1.530602,1.102378,0.765301,0.508433,0.317522,0.2151063,0.1378801,0.0739117,0.0238639,
,Estimates,Hungary,,348,1952,219.021,199.32,168.145,165.566,163.315,161.332,159.566,158.133,157.152,155.688,153.335,150.561,148.122,145.72,144.51,145.103,146.885,148.639,150.605,152.297,153.347,153.996,154.31,153.625,154.511,158.049,162.612,166.998,173.233,171.166,156.197,133.871,112.922,89.896,78.788,86.902,107.001,125,144.254,156.921,157.857,151.233,146.397,141.495,137.267,135.016,133.899,131.697,128.776,125.989,123.519,121.136,118.605,116.184,112.685,107.558,101.463,95.506,89.353,84.293,81.047,78.979,76.688,74.416,72.025,69.295,66.318,63.463,60.731,57.54,53.665,49.36,45.136,40.92,36.857,33.073,29.533,26.045,22.64,19.556,16.75665,14.00492,11.57466,9.838406,8.568381,7.152553,5.698989,4.465328,3.51401,2.782597,2.135234,1.584272,1.141033,0.7921361,0.526261,0.3286559,0.2226489,0.1427149,0.0765034,0.0247006,
,Estimates,Hungary,,348,1953,224.443,203.272,186.244,167.376,164.418,162.069,160.206,158.717,157.744,157.438,156.357,153.866,150.631,147.834,145.08,143.656,144.279,146.248,148.157,150.305,152.093,153.095,153.614,153.802,152.924,153.841,157.77,162.913,167.85,174.747,172.823,157.171,133.677,111.643,87.406,75.722,84.307,105.515,124.502,144.825,158.095,158.832,151.507,146.084,140.562,135.94,133.706,132.857,130.844,128.108,125.406,122.838,120.241,117.531,114.936,111.28,106.028,99.835,93.765,87.485,82.349,79.103,77.077,74.827,72.61,70.203,67.343,64.162,61.124,58.208,54.876,50.927,46.599,42.35,38.129,34.068,30.3,26.786,23.344,19.998,16.91818,14.13993,11.68624,9.933248,8.65098,7.221504,5.753927,4.508374,3.547885,2.809421,2.155818,1.599545,1.152032,0.7997723,0.5313342,0.3318241,0.2247952,0.1440906,0.0772409,0.0249388,
,Estimates,Hungary,,348,1954,220.802,202.122,187.072,175.289,166.704,163.368,160.918,159.174,157.961,157.448,157.812,157.117,154.484,150.787,147.634,144.524,142.886,143.541,145.695,147.762,150.091,151.979,152.931,153.32,153.384,152.313,153.261,157.582,163.308,168.798,176.36,174.577,158.234,133.561,110.43,84.97,72.705,81.764,104.093,124.075,145.479,159.36,159.896,151.868,145.857,139.712,134.694,132.473,131.893,130.068,127.517,124.895,122.229,119.417,116.525,113.758,109.941,104.562,98.265,92.081,85.671,80.455,77.207,75.224,73.01,70.849,68.426,65.431,62.046,58.823,55.724,52.247,48.223,43.867,39.595,35.362,31.304,27.547,24.059,20.662,16.70182,13.9591,11.53679,9.806217,8.540347,7.129152,5.680343,4.450719,3.502514,2.773493,2.128248,1.579089,1.1373,0.7895445,0.5245393,0.3275806,0.2219205,0.1422479,0.0762531,0.0246198,
,Estimates,Hungary,,348,1955,210.372,197.254,186.497,177.858,171.098,165.982,162.267,159.718,158.093,157.155,157.102,158.138,157.825,155.053,150.897,147.386,143.923,142.072,142.758,145.098,147.321,149.83,151.817,152.719,152.978,152.918,151.654,152.634,157.344,163.652,169.691,177.915,176.274,159.246,133.404,109.184,82.509,69.669,79.198,102.64,123.609,146.087,160.572,160.909,152.182,145.584,138.818,133.406,131.201,130.889,129.252,126.885,124.347,121.581,118.556,115.485,112.545,108.569,103.064,96.667,90.37,83.832,78.538,75.289,73.348,71.173,69.068,66.628,63.501,59.914,56.506,53.225,49.605,45.506,41.125,36.83,32.588,28.533,24.789,21.328,16.12114,13.47378,11.13568,9.46528,8.243421,6.88129,5.482852,4.295979,3.38074,2.677066,2.054254,1.524188,1.097759,0.762094,0.5063024,0.3161915,0.2142049,0.1373023,0.073602,0.0237639,0.0570993
,Estimates,Hungary,,348,1956,195.267,205.907,195.455,186.373,178.578,171.998,166.391,161.511,158.128,156.499,156.049,156.149,157.193,156.788,153.769,149.282,145.456,141.662,139.62,140.343,142.866,145.259,147.959,150.091,151.048,151.306,151.27,150.038,151.074,155.884,162.317,168.469,176.796,175.252,158.308,132.535,108.38,81.773,68.942,78.393,101.705,122.542,144.874,159.255,159.565,150.859,144.269,137.507,132.084,129.832,129.452,127.753,125.327,122.724,119.887,116.79,113.643,110.619,106.578,101.043,94.632,88.316,81.765,76.422,73.07,70.991,68.691,66.468,63.914,60.674,56.984,53.487,50.124,46.475,42.421,38.14,33.954,29.835,25.934,22.375,17.4532,14.5871,12.0558,10.24738,8.92456,7.449878,5.93589,4.650948,3.660085,2.898267,2.223994,1.650129,1.188464,0.8250645,0.5481372,0.3423178,0.2319042,0.1486474,0.0796836,0.0257274,
,Estimates,Hungary,,348,1957,178.221,181.187,201.894,194.082,186.649,179.682,173.267,167.159,161.104,156.882,155.246,155.28,155.534,156.589,156.09,152.82,147.99,143.844,139.709,137.474,138.234,140.947,143.513,146.409,148.693,149.704,149.963,149.952,148.747,149.844,154.761,161.335,167.612,176.061,174.608,157.713,131.954,107.811,81.214,68.364,77.759,100.99,121.742,143.974,158.284,158.568,149.864,143.266,136.496,131.048,128.745,128.297,126.533,124.041,121.367,118.455,115.279,112.049,108.934,104.822,99.242,92.804,86.456,79.877,74.476,71.012,68.791,66.361,64.017,61.34,57.983,54.182,50.589,47.136,43.451,39.433,35.241,31.157,27.151,23.395,18.58963,15.5369,12.84079,10.91461,9.505661,7.934959,6.322391,4.953783,3.898402,3.08698,2.368804,1.757573,1.265848,0.8787865,0.5838279,0.364607,0.2470041,0.1583262,0.084872,0.0274026,
,Estimates,Hungary,,348,1958,160.731,171.858,179.59,197.981,192.807,187.024,180.879,174.627,168.013,160.781,155.715,154.072,154.591,155,156.064,155.474,151.948,146.774,142.305,137.826,135.396,136.196,139.098,141.84,144.933,147.37,148.438,148.696,148.71,147.532,148.689,153.719,160.434,166.841,175.415,174.056,157.198,131.44,107.298,80.696,67.822,77.164,100.327,121.004,143.148,157.394,157.652,148.945,142.336,135.555,130.078,127.724,127.208,125.376,122.818,120.073,117.083,113.825,110.512,107.304,103.117,97.491,91.023,84.639,78.029,72.565,68.989,66.625,64.063,61.595,58.798,55.318,51.407,47.713,44.17,40.446,36.462,32.358,28.373,24.479,19.45945,16.26389,13.44162,11.42532,9.950441,8.306244,6.618222,5.185576,4.080812,3.231423,2.479642,1.839812,1.325079,0.9199058,0.6111458,0.3816673,0.2585617,0.1657344,0.0888432,0.0286848,
,Estimates,Hungary,,348,1959,144.295,162.027,174.925,183.512,194.005,191.475,187.344,182.027,175.938,168.82,160.41,154.502,152.852,153.856,154.42,155.494,154.811,151.031,145.514,140.722,135.903,133.276,134.115,137.207,140.124,143.414,146.002,147.127,147.384,147.424,146.273,147.489,152.63,159.487,166.02,174.719,173.452,156.637,130.888,106.752,80.156,67.258,76.547,99.634,120.229,142.281,156.456,156.689,147.982,141.364,134.573,129.07,126.665,126.08,124.181,121.559,118.742,115.674,112.339,108.94,105.641,101.38,95.71,89.213,82.796,76.156,70.631,66.943,64.437,61.744,59.153,56.235,52.634,48.612,44.82,41.188,37.427,33.476,29.462,25.577,20.03298,16.74323,13.83779,11.76206,10.24371,8.551054,6.813281,5.33841,4.201086,3.326663,2.552725,1.894036,1.364133,0.9470182,0.6291581,0.3929162,0.2661823,0.1706191,0.0914617,0.0295302,
