Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,India,,356,1950,12172.59,11380.49,10717.46,10170.98,9728.565,9377.731,9105.98,8900.82,8749.761,8640.308,8573.529,8550.485,8490.903,8355.18,8171.49,8008.287,7852.683,7694.161,7534.576,7373.808,7210.724,7046.567,6881.518,6715.897,6550.901,6386.503,6221.625,6065.684,5923.027,5789.248,5656.513,5527.482,5393.908,5251.252,5104.06,4958.538,4809.981,4676.497,4566.609,4469.822,4372.084,4282.175,4161.703,3992.058,3793.932,3600.301,3396.983,3237.564,3149.612,3104.205,3052.806,3014.647,2923.38,2744.148,2513.421,2294.309,2064.332,1897.935,1835.362,1836.092,1826.943,1831.649,1779.171,1629.706,1422.426,1231.772,1037.407,891.727,826.554,813.107,792.05,776.768,745.815,683.036,601.311,529.755,462.64,401.369,349.583,304.99,241.3545,207.7809,177.0014,148.7798,123.2166,100.3241,79.71454,62.71851,49.87456,40.28849,32.41406,26.42562,21.24603,16.13591,11.40192,7.996828,5.627189,3.838795,2.46723,1.477427,4.154725
,Estimates,India,,356,1951,13563.41,11823.82,11075.87,10456.45,9952.091,9549.3,9236.738,9003.053,8824.11,8682.165,8570.136,8499.937,8470.696,8405.906,8269.008,8086.471,7921.98,7763.583,7602.943,7442.528,7281.783,7118.495,6954.062,6789.036,6623.796,6459.416,6295.709,6131.648,5976.314,5833.874,5700.068,5567.361,5438.321,5304.854,5162.509,5015.734,4870.599,4722.501,4589.13,4478.811,4381.285,4282.823,4191.999,4071.285,3902.484,3705.822,3513.591,3311.979,3153.083,3063.729,3015.82,2962.098,2921.212,2829.06,2651.929,2425.067,2209.643,1984.071,1819.518,1754.57,1750.512,1737.188,1737.195,1683.532,1538.538,1339.218,1156,969.707,829.449,765.12,749.723,727.516,711.035,680.425,620.645,543.649,476.46,413.695,356.811,309.244,255.5737,220.0221,187.4293,157.545,130.4758,106.2346,84.41085,66.41352,52.81288,42.66205,34.32371,27.98247,22.49772,17.08654,12.07366,8.467954,5.95871,4.064954,2.612584,1.564468,
,Estimates,India,,356,1952,14596.12,13089.62,11467.94,10764.48,10188.93,9726.852,9363.789,9089.542,8893.909,8741.186,8608.418,8493.907,8420.36,8384.974,8315.047,8177.085,7995.833,7830.181,7669.122,7506.498,7345.374,7184.774,7021.403,6856.82,6691.94,6527.202,6363.557,6200.662,6037.535,5882.92,5740.804,5607.072,5474.489,5345.539,5212.277,5070.349,4924.097,4779.457,4631.925,4498.767,4388.101,4289.913,4190.803,4099.138,3978.273,3810.438,3615.38,3424.683,3224.922,3066.664,2975.982,2925.619,2869.627,2826.057,2733.093,2558.184,2335.339,2123.746,1902.723,1740.13,1672.867,1664.048,1646.579,1641.911,1587.108,1446.672,1255.421,1079.74,901.618,766.859,703.419,686.092,662.757,645.096,614.852,558.097,485.868,423.072,364.683,312.208,263.6482,226.9735,193.3509,162.5225,134.598,109.591,87.07773,68.51178,54.48144,44.00991,35.40813,28.86654,23.20851,17.62637,12.45511,8.73549,6.146969,4.193382,2.695126,1.613896,
,Estimates,India,,356,1953,15320.86,13680.8,12316.75,11138.3,10477.64,9944.553,9523.603,9199.335,8962.672,8804.533,8677.603,8553.691,8436.458,8359.413,8317.826,8242.631,8103.305,7922.938,7755.77,7591.708,7426.749,7264.57,7103.764,6939.955,6774.863,6609.769,6445.172,6281.905,6119.46,5956.912,5802.676,5660.571,5526.622,5393.875,5264.733,5131.384,4989.563,4843.514,4699.051,4551.762,4418.525,4307.273,4208.212,4108.24,4015.536,3894.258,3727.019,3533.134,3343.553,3145.199,2987.232,2895.029,2842.111,2783.734,2737.395,2643.42,2470.344,2251.015,2042.779,1825.809,1664.813,1595.097,1581.513,1559.878,1550.539,1494.482,1358.281,1174.655,1006.1,835.733,706.16,643.467,624.181,599.67,580.795,550.848,496.987,429.346,370.795,316.638,265.4705,228.5422,194.6873,163.6458,135.5283,110.3484,87.67957,68.98531,54.858,44.31409,35.65286,29.06606,23.36892,17.7482,12.5412,8.795866,6.189454,4.222365,2.713754,1.62505,
,Estimates,India,,356,1954,15773.31,14146.1,12780.37,11653.32,10837.61,10218.05,9726.081,9345.205,9058.927,8859.273,8738.257,8636.823,8521.449,8401.182,8320.431,8272.526,8191.856,8050.799,7870.841,7701.714,7534.214,7366.482,7202.818,7041.381,6876.703,6710.664,6544.923,6380.031,6216.712,6054.291,5891.892,5737.629,5595.163,5460.641,5327.381,5197.705,5063.918,4921.828,4775.6,4630.931,4483.499,4349.831,4237.699,4137.501,4036.403,3942.416,3820.403,3653.32,3460.098,3271.134,3073.666,2915.574,2821.606,2765.989,2705.07,2655.837,2560.601,2388.903,2172.518,1967.094,1753.608,1593.789,1521.432,1503.043,1477.176,1463.138,1405.676,1273.357,1096.882,935.018,771.965,647.244,585.135,563.834,538.083,517.942,488.213,437.107,373.885,319.426,260.5536,224.3094,191.0814,160.6148,133.0182,108.3046,86.05564,67.70762,53.84196,43.49334,34.99253,28.52772,22.9361,17.41948,12.30892,8.632956,6.074819,4.144162,2.663492,1.594952,
,Estimates,India,,356,1955,15981.9,14500.06,13233.87,12165.77,11278.18,10553.54,9974.277,9522.818,9181.596,8933.04,8770.266,8686.379,8610.411,8503.43,8379.908,8295.294,8240.954,8154.643,8011.605,7831.756,7660.372,7489.13,7318.328,7152.893,6990.549,6824.718,6657.447,6490.773,6325.309,6161.659,5998.989,5836.464,5681.915,5538.842,5403.519,5269.516,5139.085,5004.632,4862.032,4715.374,4570.256,4422.428,4288.103,4174.895,4073.386,3970.984,3875.546,3752.589,3585.381,3392.5,3203.835,3006.925,2848.441,2752.537,2694.113,2630.535,2578.308,2481.643,2311.042,2097.25,1894.306,1683.966,1525.057,1449.923,1426.67,1396.505,1377.717,1318.745,1190.107,1020.523,865.115,709.144,589.09,527.462,504.1,477.058,455.609,426.05,377.629,318.742,247.3522,212.9443,181.4,152.477,126.2786,102.8172,81.69548,64.2771,51.11397,41.28968,33.21957,27.08231,21.774,16.53689,11.68527,8.195553,5.767027,3.934191,2.528541,1.514141,4.257972
,Estimates,India,,356,1956,15853.14,15405,14105.55,12971.7,11993.02,11159.09,10453.58,9860.153,9397.962,9068.411,8843.335,8686.532,8597.269,8516.642,8408.92,8286.858,8200.969,8143.578,8055.047,7911.423,7732.047,7560.789,7389.566,7218.976,7053.935,6892.119,6726.901,6560.328,6394.284,6229.292,6066.006,5903.733,5741.614,5587.388,5444.527,5309.331,5175.42,5045.015,4910.629,4768.19,4621.726,4476.796,4329.254,4194.849,4080.994,3978.533,3875.198,3778.607,3655.374,3489.288,3298.338,3111.547,2916.925,2759.256,2661.77,2600.396,2534.178,2478.953,2381.417,2213.373,2004.235,1805.777,1600.657,1444.687,1368.626,1342.259,1309.648,1288.029,1229.436,1106.311,945.42,798.229,650.997,537.454,478.461,455.326,429.108,408.34,380.593,336.008,263.9435,227.2277,193.5675,162.7045,134.7488,109.7137,87.17525,68.58851,54.54246,44.0592,35.44779,28.89887,23.23451,17.64611,12.46906,8.745273,6.153853,4.198079,2.698145,1.615703,
,Estimates,India,,356,1957,15656.63,14750.13,14891.42,13768.4,12761.79,11868.27,11084.47,10395.23,9785.372,9310.678,8991.447,8788.858,8637.379,8542.414,8456.834,8347.948,8226.86,8139.364,8078.709,7987.62,7842.847,7663.237,7491.429,7319.553,7148.5,6983.202,6821.275,6656.016,6489.484,6323.41,6158.241,5994.675,5832.156,5669.804,5515.294,5372.079,5236.479,5102.131,4971.24,4836.391,4693.552,4546.703,4401.391,4253.553,4118.539,4003.59,3899.78,3795.109,3696.991,3572.996,3407.375,3217.595,3031.934,2838.821,2681.345,2581.901,2517.346,2448.243,2389.814,2291.028,2124.868,1919.538,1724.766,1524.033,1370.375,1293.092,1263.52,1228.347,1203.825,1145.379,1027.256,874.385,734.795,595.68,488.172,431.57,408.57,383.067,362.896,336.845,277.9111,239.2524,203.8108,171.3146,141.8795,115.5196,91.78848,72.21815,57.42879,46.39077,37.32365,30.42817,24.46405,18.57993,13.12891,9.208064,6.479509,4.420237,2.840928,1.701204,
,Estimates,India,,356,1958,15451.37,14862.57,14250.4,14404.22,13455.8,12574.78,11764.88,11029.85,10355.65,9728.235,9240.163,8930.686,8750.243,8603.819,8502.974,8412.279,8302.031,8181.7,8092.435,8028.402,7934.589,7788.403,7608.232,7435.563,7262.721,7090.896,6925.041,6762.709,6597.109,6430.316,6263.914,6098.266,5934.123,5771.065,5608.184,5453.109,5309.283,5173.031,5038.003,4906.387,4770.831,4627.333,4479.832,4333.875,4185.471,4049.604,3933.354,3828.002,3721.804,3621.98,3496.998,3331.543,3142.589,2957.723,2765.772,2608.203,2506.619,2438.764,2366.644,2304.905,2204.686,2040.113,1838.223,1646.787,1450.083,1298.46,1219.816,1186.981,1149.179,1121.706,1063.301,949.973,804.854,672.619,541.38,439.718,385.408,362.5,337.669,318.057,284.983,245.3405,208.9971,175.674,145.4899,118.4592,94.12416,74.05584,58.89015,47.57125,38.2734,31.20246,25.08657,19.05272,13.46299,9.442376,6.644389,4.532716,2.913219,1.744494,
,Estimates,India,,356,1959,15313.38,14986.6,14571.54,14083.4,13918.78,13145.29,12390.04,11663.87,10977.59,10318.31,9673.146,9171.543,8871.779,8713.51,8572.126,8465.358,8369.51,8257.873,8138.271,8047.212,7979.778,7883.208,7735.571,7554.796,7381.225,7207.373,7034.734,6868.282,6705.508,6539.528,6372.433,6205.665,6039.499,5874.739,5711.102,5547.655,5391.977,5247.504,5110.567,4974.826,4842.453,4706.156,4561.964,4413.776,4267.137,4118.133,3981.378,3863.794,3756.874,3649.121,3547.56,3421.56,3256.232,3068.065,2883.955,2693.125,2535.426,2431.671,2360.492,2285.329,2220.252,2118.575,1955.556,1757.07,1568.938,1376.23,1226.615,1146.585,1110.471,1070.023,1039.582,981.206,872.661,735.286,610.4,487.03,391.212,339.186,316.367,292.204,280.86,241.791,205.9734,173.1324,143.385,116.7454,92.76241,72.98443,58.03815,46.88301,37.71968,30.75103,24.72363,18.77707,13.26822,9.305768,6.548261,4.467138,2.871072,1.719255,
