Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Indonesia,,360,1950,2251.27,2148.191,2063.337,1994.653,1940.087,1897.584,1865.093,1840.56,1821.932,1807.159,1796.874,1791.72,1776.184,1742.831,1697.681,1654.125,1609.4,1564.993,1522.961,1481.815,1439.136,1396.754,1349.36,1294.505,1235.693,1178.76,1122.42,1072.71,1033.192,1001.323,969.882,938.982,914.788,899.221,889.146,879.638,871.821,859.446,838.941,812.883,787.925,763.341,736.103,705.568,672.997,640.632,608.402,577.339,548.298,521.24,494.652,468.102,446.755,432.802,423.763,414.961,407.324,398.147,385.603,370.9,357.098,343.63,329.661,315.098,300.062,284.861,269.527,253.835,237.729,221.383,205.085,188.857,172.808,157.04,141.602,126.587,112.183,97.962,83.789,70.036,51.05407,42.92969,35.58119,29.27288,23.84075,18.78205,14.11161,10.31672,7.563601,5.622,4.052571,2.890008,2.004996,1.269484,0.695141,0.4074964,0.3683869,0.3400009,0.2128948,0.0416328,0.0968277
,Estimates,Indonesia,,360,1951,2406.809,2188.314,2089.96,2011.135,1949.36,1902.159,1867.703,1844.164,1825.827,1808.921,1792.914,1781.712,1775.338,1758.821,1725.33,1680.535,1636.878,1591.799,1547.114,1504.956,1463.804,1421.106,1378.685,1331.457,1277.054,1218.881,1162.583,1106.906,1057.78,1018.69,987.138,956.039,925.494,901.563,886.129,876.105,866.642,858.84,846.542,826.218,800.411,775.677,751.304,724.281,693.959,661.595,629.417,597.347,566.436,537.55,510.624,484.135,457.668,436.263,422.049,412.612,403.405,395.342,385.731,372.768,357.661,343.454,329.588,315.264,300.403,285.125,269.727,254.254,238.481,222.352,206.054,189.883,173.86,158.139,142.851,128.023,113.666,99.932,86.611,73.649,56.14944,47.21422,39.13232,32.19442,26.22014,20.65657,15.52,11.34637,8.318475,6.183095,4.457032,3.178441,2.205102,1.396183,0.7645185,0.448166,0.4051532,0.3739342,0.2341425,0.0457879,
,Estimates,Indonesia,,360,1952,2539.122,2312.67,2128.331,2034.558,1961.637,1906.66,1866.731,1840.24,1825.579,1813.385,1798.171,1780.918,1768.789,1761.195,1743.679,1710.011,1665.517,1621.705,1576.218,1531.204,1488.868,1447.66,1404.892,1362.382,1315.259,1261.242,1203.634,1147.897,1092.815,1044.209,1005.497,974.223,943.426,913.198,889.498,874.179,864.194,854.762,846.968,834.729,814.563,788.973,764.433,740.24,713.396,683.251,651.053,619.024,587.072,556.276,527.507,500.682,474.258,447.843,426.353,411.863,402.018,392.396,383.901,373.844,360.45,344.923,330.295,316.018,301.321,286.146,270.609,254.997,239.367,223.492,207.321,191.053,174.988,159.149,143.736,128.906,114.668,100.947,87.864,75.421,60.06762,50.50889,41.86302,34.44098,28.04981,22.09801,16.60301,12.13813,8.898948,6.614559,4.768049,3.400236,2.358976,1.49361,0.8178675,0.4794396,0.4334253,0.4000278,0.2504812,0.048983,
,Estimates,Indonesia,,360,1953,2661.5,2407.421,2203.332,2073.178,1983.772,1916.581,1868.272,1835.513,1816.915,1811.086,1804.997,1791.441,1772.904,1759.822,1750.993,1732.443,1698.523,1654.227,1610.165,1564.17,1518.726,1476.119,1434.764,1391.83,1349.136,1302.014,1248.261,1191.089,1135.79,1081.178,1032.983,994.563,963.496,932.932,902.955,879.431,864.193,854.224,844.804,837,824.792,804.739,779.308,754.908,730.841,704.117,674.079,641.978,610.023,578.121,547.37,518.654,491.87,465.452,439.029,417.407,402.61,392.334,382.279,373.331,362.81,348.953,332.972,317.892,303.172,288.071,272.548,256.718,240.857,225.036,209.024,192.777,176.499,160.507,144.815,129.675,115.271,101.587,88.474,76.011,62.27177,52.36229,43.39916,35.70478,29.07909,22.90888,17.21225,12.58354,9.225491,6.857277,4.94301,3.525006,2.445538,1.548417,0.8478788,0.4970324,0.4493296,0.4147066,0.2596725,0.0507804,
,Estimates,Indonesia,,360,1954,2780.487,2513.505,2296.161,2123.64,2021.325,1936.149,1874.591,1832.883,1807.258,1796.541,1799.553,1799.576,1787.656,1767.804,1753.745,1743.663,1724.045,1689.815,1645.648,1601.26,1554.681,1508.731,1465.781,1424.211,1381.038,1338.09,1290.891,1237.315,1180.485,1125.533,1071.301,1023.44,985.247,954.338,923.957,894.179,870.797,855.612,845.644,836.219,828.392,816.198,796.222,770.911,746.608,722.628,695.981,666.002,633.942,602.01,570.105,539.348,510.639,483.85,457.396,430.921,409.131,394.001,383.277,372.77,363.355,352.349,338.006,321.545,305.985,290.798,275.267,259.37,243.218,227.084,211.043,194.869,178.517,162.204,146.257,130.687,115.797,101.794,88.646,76.117,62.29553,52.38226,43.41572,35.7184,29.09018,22.91762,17.21881,12.58834,9.22901,6.859893,4.944896,3.526351,2.446471,1.549008,0.8482022,0.497222,0.449501,0.4148648,0.2597716,0.0507998,
,Estimates,Indonesia,,360,1955,2898.623,2629.282,2406.026,2224.65,2080.945,1970.703,1889.713,1833.77,1798.665,1780.188,1777.381,1789.28,1795.441,1785.158,1763.968,1748.918,1737.57,1716.865,1682.3,1638.228,1593.482,1546.281,1499.788,1456.464,1414.646,1371.204,1327.968,1280.658,1227.219,1170.691,1116.049,1062.159,1014.598,976.607,945.832,915.614,886.015,862.756,847.615,837.641,828.204,820.348,808.157,788.247,763.035,738.814,714.904,688.314,658.372,626.331,594.4,562.466,531.682,502.958,476.146,449.635,423.089,401.115,385.638,374.458,363.488,353.596,342.096,327.255,310.298,294.246,278.577,262.604,246.318,229.834,213.41,197.139,180.79,164.32,147.96,132.046,116.589,101.937,88.328,75.708,59.83982,50.31733,41.70425,34.31036,27.94344,22.0142,16.54004,12.0921,8.865199,6.589474,4.749966,3.387341,2.35003,1.487946,0.8147658,0.4776213,0.4317815,0.3985107,0.2495313,0.0487972,0.1134905
,Estimates,Indonesia,,360,1956,3000.01,2813.349,2570.196,2366.25,2198.251,2062.93,1956.3,1874.362,1817.503,1783.914,1768.146,1765.639,1776.202,1781.188,1770.445,1749.216,1733.692,1721.601,1700.352,1665.589,1621.559,1576.83,1529.666,1483.29,1440.172,1398.625,1355.493,1312.594,1265.659,1212.63,1156.528,1102.312,1048.849,1001.655,963.936,933.356,903.324,873.898,850.731,835.576,825.513,815.978,808.002,795.706,775.726,750.473,726.195,702.213,675.599,645.704,613.757,581.9,550.024,519.292,490.612,463.823,437.325,410.802,388.711,372.913,361.282,349.881,339.555,327.677,312.561,295.407,279.182,263.385,247.333,231.022,214.577,198.263,182.164,166.133,150.169,134.466,119.251,104.531,90.74,78.14,64.90413,54.57575,45.23373,37.21409,30.30832,23.87729,17.93984,13.11547,9.615471,7.147149,5.151961,3.674015,2.548916,1.613872,0.8837204,0.518043,0.4683237,0.4322371,0.2706494,0.052927,
,Estimates,Indonesia,,360,1957,3104.524,2853.027,2733.873,2516.351,2331.255,2176.259,2049.032,1945.792,1862.748,1804.862,1772.721,1759.622,1757.408,1766.66,1770.485,1759.262,1737.952,1721.927,1709.069,1687.236,1652.208,1608.132,1563.335,1516.111,1469.764,1426.764,1385.407,1342.498,1299.852,1253.197,1200.472,1144.685,1090.787,1037.646,990.723,953.2,922.756,892.849,863.539,840.419,825.218,815.048,805.394,797.285,784.859,764.771,739.428,715.044,690.942,664.252,634.348,602.429,570.584,538.702,507.963,479.27,452.451,425.913,399.361,377.111,360.96,348.858,337.005,326.226,313.948,298.526,281.144,264.714,248.757,232.597,216.226,199.79,183.554,167.592,151.848,136.359,121.277,106.73,92.716,79.756,68.59775,57.68159,47.80793,39.3319,32.03313,25.23612,18.96078,13.86186,10.16268,7.553885,5.445154,3.883099,2.693972,1.705716,0.9340119,0.5475242,0.4949754,0.4568352,0.2860517,0.055939,
,Estimates,Indonesia,,360,1958,3206.78,2970.452,2759.394,2657.351,2465.224,2298.776,2156.617,2037.346,1937.384,1853.144,1794.171,1763.441,1752.996,1751.074,1759.026,1761.693,1749.979,1728.564,1712.019,1698.383,1675.942,1640.61,1596.442,1551.526,1504.194,1457.824,1414.897,1373.684,1330.953,1288.511,1242.089,1189.611,1134.077,1080.44,1027.562,980.861,943.493,913.152,883.339,854.112,831.013,815.752,805.462,795.681,787.429,774.858,754.643,729.18,704.665,680.418,653.623,623.675,591.752,559.885,527.961,497.182,468.446,441.568,414.961,388.351,365.918,349.399,336.81,324.492,313.249,300.558,284.814,267.185,250.533,234.398,218.111,201.665,185.218,169.043,153.203,137.727,122.695,108.22,94.325,81.001,70.47786,59.26251,49.11824,40.4099,32.91109,25.92778,19.48045,14.24178,10.44121,7.760919,5.594393,3.989526,2.767807,1.752466,0.959611,0.5625306,0.5085416,0.469356,0.2938918,0.0574722,
,Estimates,Indonesia,,360,1959,3300.69,3083.153,2883.031,2699.958,2582.219,2415.417,2267.556,2138.171,2026.801,1930.067,1844.581,1784.484,1755.15,1747.36,1745.727,1752.382,1753.89,1741.677,1720.146,1703.071,1688.647,1665.585,1629.928,1585.642,1540.583,1493.114,1446.695,1403.816,1362.726,1320.147,1277.887,1231.67,1179.41,1124.098,1070.691,1018.048,971.542,934.309,904.052,874.316,845.157,822.065,806.735,796.32,786.405,778.005,765.284,744.927,719.331,694.671,670.265,643.349,613.34,581.395,549.487,517.504,486.668,457.87,430.918,404.229,377.544,354.916,338.016,324.935,312.144,300.431,287.317,271.242,253.354,236.471,220.15,203.727,187.195,170.729,154.604,138.877,123.662,109.079,95.204,81.953,70.27523,59.09213,48.97702,40.29372,32.81647,25.85324,19.42444,14.20083,10.41119,7.738606,5.578309,3.978056,2.75985,1.747427,0.9568521,0.5609133,0.5070795,0.4680066,0.2930468,0.0573069,
