Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Italy,,380,1950,1002.552,919.582,856.318,810.627,780.372,763.417,757.63,760.87,771.004,785.897,806.452,833.581,849.933,847.286,832.637,820.938,808.892,800.175,798.012,799.828,798.1,792.271,790.553,795.61,802.807,810.072,824.099,809.892,751.844,669.076,591.076,505.633,463.484,490.847,561.476,624.468,691.85,734.851,734.609,706.267,684.325,662.467,640.71,622.71,606.841,587.666,566.07,546.871,531.862,519.57,506.868,494.554,481.567,467.122,451.983,437.362,422.613,409.965,400.513,392.965,385.063,377.407,367.842,355.117,340.276,325.587,310.566,295.637,281.23,267.013,252.428,237.83,222.199,205.052,187.046,169.396,151.939,135.316,119.991,105.769,78.39473,68.878,59.84039,52.16311,45.45076,38.38637,31.18381,24.99731,20.25535,16.60332,13.21085,10.18695,7.677275,5.653419,4.055202,2.818315,1.915122,1.237404,0.7128437,0.3324021,0.6180561
,Estimates,Italy,,380,1951,859.687,978.913,911.387,857.939,817.346,788.382,768.969,757.03,755.601,765.161,781.931,802.536,828.731,844.422,841.584,827.062,815.449,803.506,794.968,793.051,795.165,793.776,788.318,786.975,792.388,799.923,807.535,821.928,807.996,750.082,667.359,589.398,503.953,461.878,489.45,560.36,623.591,691.208,734.324,734.012,705.477,683.341,661.259,639.308,621.178,605.216,585.916,564.178,544.8,529.559,516.999,504.018,491.4,478.13,463.444,448.08,433.211,418.205,405.234,395.365,387.334,378.945,370.783,360.713,347.5,332.176,317.015,301.563,286.121,271.071,256.155,240.944,225.762,209.735,192.466,174.55,157.042,139.797,123.537,108.748,83.57967,73.43352,63.79816,55.61312,48.45682,40.92521,33.24628,26.6506,21.59502,17.70144,14.0846,10.8607,8.185041,6.02733,4.323409,3.004716,2.041786,1.319244,0.7599904,0.3543868,
,Estimates,Italy,,380,1952,766.921,812.09,957.503,905.308,861.578,826.005,798.267,776.342,758.206,752.09,761.099,779.788,800.493,825.813,840.877,837.841,823.412,811.859,799.99,791.613,789.936,792.356,791.303,786.205,785.234,791.018,798.907,806.888,821.681,807.99,750.076,667.205,589.098,503.451,461.352,489.198,560.556,624.177,692.187,735.519,735.136,706.341,683.958,661.602,639.401,621.101,605.008,585.535,563.605,544.002,528.494,515.634,502.342,489.391,475.805,460.843,445.219,430.065,414.765,401.44,391.13,382.598,373.697,365.01,354.411,340.675,324.833,309.163,293.241,277.249,261.517,245.868,229.991,214.188,197.728,180.294,162.427,145.021,127.948,112.013,87.63262,76.99447,66.89187,58.30992,50.8066,42.90976,34.85846,27.94295,22.6422,18.55982,14.7676,11.38736,8.581951,6.319608,4.53306,3.150421,2.140796,1.383217,0.7968439,0.3715718,
,Estimates,Italy,,380,1953,713.975,787.303,839.158,934.431,897.708,863.807,833.328,806.868,782.458,758.133,747.323,755.762,776.349,797.119,821.518,835.928,832.698,818.388,806.913,795.139,786.936,785.505,788.225,787.512,782.785,782.187,788.334,796.568,804.903,820.073,806.65,748.829,665.946,587.824,502.115,460.061,488.135,559.826,623.732,692.025,735.503,735.048,706.04,683.447,660.851,638.438,619.996,603.798,584.185,562.098,542.302,526.55,513.412,499.829,486.565,472.685,457.471,441.61,426.196,410.627,396.969,386.233,377.21,367.813,358.612,347.499,333.264,316.925,300.77,284.404,267.886,251.497,235.135,218.619,202.218,185.349,167.781,149.99,132.716,115.844,90.1019,79.16398,68.77672,59.95295,52.2382,44.11885,35.84068,28.73031,23.28021,19.08279,15.18371,11.70823,8.82377,6.497679,4.660791,3.239192,2.201119,1.422193,0.8192971,0.3820418,
,Estimates,Italy,,380,1954,693.696,775.009,832.989,870.425,909.227,888.057,864.058,838.742,813.619,786.782,756.324,740.846,748.698,771.133,791.922,815.343,829.068,825.652,811.491,800.122,788.469,780.459,779.277,782.292,781.92,777.573,777.352,783.846,792.405,801.077,816.59,803.462,745.869,663.164,585.204,499.63,457.717,485.956,557.815,621.86,690.279,733.802,733.279,704.123,681.372,658.586,636.015,617.471,601.208,581.499,559.304,539.361,523.402,510.014,496.173,482.626,468.485,453.052,436.992,421.353,405.55,391.59,380.453,370.962,361.088,351.396,339.794,325.09,308.295,291.692,274.919,257.912,240.904,223.868,206.749,189.789,172.55,154.886,137.214,120.112,91.05075,79.99765,69.501,60.58431,52.78832,44.58346,36.21812,29.03287,23.52537,19.28375,15.34361,11.83153,8.916692,6.566105,4.709873,3.273303,2.224298,1.43717,0.827925,0.386065,
,Estimates,Italy,,380,1955,699.731,772.61,824.947,859.163,877.672,882.893,877.242,863.138,843.001,819.243,790.024,753.499,733.393,740.648,764.895,785.673,808.091,821.113,817.516,803.524,792.275,780.759,772.951,772.019,775.324,775.292,771.33,771.484,778.316,787.187,796.182,812.015,799.201,741.911,659.495,581.803,496.479,454.763,483.128,555.058,619.153,687.606,731.116,730.524,701.261,678.383,655.441,632.74,614.122,597.813,578.036,555.765,535.702,519.558,505.941,491.86,478.05,463.667,448.038,431.8,415.959,399.945,385.703,374.181,364.235,353.902,343.732,331.66,316.51,299.281,282.254,265.099,247.629,230.027,212.342,194.647,177.151,159.568,141.833,124.303,90.61458,79.61443,69.16807,60.29409,52.53544,44.36989,36.04462,28.89379,23.41267,19.19138,15.27011,11.77485,8.873978,6.534651,4.687311,3.257623,2.213643,1.430285,0.8239589,0.3842156,0.7143963
,Estimates,Italy,,380,1956,729.202,717.415,776.736,820.636,850.668,868.372,876.186,876.539,866.545,845.976,819.037,788.357,751.236,730.444,736.903,760.313,780.29,801.913,814.38,810.584,796.656,785.494,774.108,766.581,766.1,769.972,770.544,767.231,767.979,775.288,784.551,793.944,810.162,797.669,740.615,658.364,580.805,495.587,453.891,482.171,553.941,617.848,686.078,729.388,728.663,699.301,676.29,653.195,630.322,611.509,594.981,574.975,552.465,532.127,515.661,501.686,487.231,473.017,458.257,442.302,425.761,409.595,393.26,378.6,366.509,355.902,344.934,334.143,321.47,305.76,288.016,270.523,252.966,235.15,217.256,199.359,181.536,163.971,146.578,129.391,97.50163,85.66543,74.4251,64.87667,56.52833,47.74217,38.78415,31.08983,25.19212,20.64999,16.43069,12.66978,9.548433,7.031309,5.043564,3.505215,2.381888,1.538992,0.8865829,0.4134175,
,Estimates,Italy,,380,1957,770.115,795.226,733.383,778.98,814.324,840.092,856.947,867.337,873.705,867.851,846.899,816.84,784.77,747.144,725.714,731.362,753.876,773.001,793.777,805.656,801.671,787.84,776.792,765.567,758.337,758.309,762.74,763.914,761.261,762.601,770.371,780.004,789.772,806.338,794.195,737.516,655.631,578.395,493.488,451.915,480.04,551.475,615.041,682.878,725.885,725.028,695.637,672.55,649.357,626.37,607.405,590.698,570.51,547.818,527.253,510.504,496.205,481.41,466.827,451.724,435.482,418.677,402.224,385.61,370.564,357.935,346.692,335.113,323.725,310.483,294.249,276.034,258.115,240.2,222.08,203.936,185.87,167.965,150.371,133.212,102.9207,90.42662,78.56157,68.48244,59.67012,50.39563,40.93973,32.81777,26.59228,21.7977,17.34389,13.37396,10.07913,7.422102,5.323881,3.700031,2.514271,1.624528,0.9358582,0.4363948,
,Estimates,Italy,,380,1958,816.709,812.026,809.909,748.783,780.643,807.419,828.909,844.905,857.861,870.227,868.511,847.194,814.041,780.608,742.504,720.455,725.286,746.891,765.15,785.065,796.351,792.177,778.454,767.529,756.47,749.545,749.969,754.954,756.73,754.736,756.667,764.89,774.886,785.022,801.922,790.137,733.877,652.416,575.559,491.028,449.607,477.556,548.604,611.782,679.178,721.85,720.861,691.463,668.318,645.045,621.958,602.857,585.985,565.63,542.772,521.997,504.976,490.364,475.243,460.3,444.867,428.35,411.293,394.569,377.685,362.267,349.108,337.239,325.06,313.085,299.283,282.539,263.866,245.536,227.275,208.866,190.486,172.266,154.289,136.682,106.7552,93.79568,81.48856,71.03392,61.89327,52.27323,42.46503,34.04047,27.58303,22.60982,17.99008,13.87223,10.45465,7.69863,5.522234,3.837884,2.607946,1.685053,0.9707258,0.4526537,
,Estimates,Italy,,380,1959,863.471,831.995,810.595,797.877,764.54,782.707,800.943,818.175,833.321,848.844,867.205,869.619,847.925,811.667,776.857,738.256,715.576,719.597,740.304,757.71,776.774,787.472,783.11,769.487,758.68,747.78,741.155,742.031,747.573,749.948,748.613,751.134,759.815,770.177,780.686,797.928,786.495,730.622,649.545,573.025,488.825,447.535,475.324,546.022,608.844,675.836,718.194,717.074,687.655,664.438,641.074,617.875,598.63,581.581,561.052,538.015,517.019,499.719,484.789,469.331,454.023,438.252,421.452,404.136,387.13,369.97,354.172,340.478,327.977,315.193,302.625,288.258,270.996,251.856,233.106,214.492,195.784,177.158,158.775,140.719,109.0616,95.82206,83.24906,72.56855,63.23042,53.40256,43.38246,34.77589,28.17894,23.09829,18.37874,14.17193,10.68051,7.864952,5.641538,3.920799,2.664289,1.721458,0.9916976,0.4624329,
