Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Jamaica,,388,1950,39.568,38.658,37.74,36.821,35.913,35.021,34.154,33.318,32.526,31.781,31.043,30.266,29.716,29.501,29.474,29.432,29.473,29.153,28.25,26.992,25.816,24.616,23.656,23.098,22.814,22.492,22.186,21.911,21.636,21.375,21.132,20.875,20.685,20.587,20.521,20.444,20.421,20.094,19.306,18.235,17.186,16.043,15.234,14.979,15.058,15.059,15.112,14.839,14.019,12.871,11.793,10.688,9.8,9.293,9.026,8.722,8.459,8.094,7.541,6.884,6.285,5.686,5.256,5.088,5.085,5.061,5.059,4.98,4.757,4.443,4.152,3.873,3.558,3.199,2.818,2.438,2.063,1.708,1.39,1.101,0.4947487,0.4564119,0.4133826,0.3626505,0.3085539,0.2563167,0.2031055,0.1626438,0.1413947,0.1328951,0.124484,0.1195259,0.1093441,0.0885377,0.0619764,0.0177961,0.014166,0.010536,0.007083,0.003453,0.0069945
,Estimates,Jamaica,,388,1951,41.4,39.766,38.735,37.74,36.781,35.861,34.985,34.153,33.359,32.604,31.891,31.195,30.478,29.935,29.651,29.508,29.357,29.281,28.888,27.987,26.779,25.645,24.497,23.563,22.988,22.664,22.307,21.957,21.679,21.468,21.307,21.159,21.014,20.858,20.665,20.429,20.195,19.995,19.591,18.889,18.003,17.121,16.161,15.448,15.146,15.09,14.973,14.897,14.555,13.769,12.714,11.717,10.699,9.852,9.305,8.95,8.569,8.222,7.82,7.306,6.736,6.211,5.689,5.306,5.127,5.081,5.019,4.984,4.866,4.6,4.241,3.906,3.577,3.241,2.902,2.57,2.235,1.911,1.596,1.298,0.5800844,0.5351351,0.484684,0.4252014,0.3617742,0.3005269,0.2381377,0.190697,0.1657829,0.1558172,0.1459554,0.1401421,0.128204,0.1038089,0.0726663,0.0208656,0.0166094,0.0123533,0.0083047,0.0040485,
,Estimates,Jamaica,,388,1952,43.57,41.606,39.831,38.682,37.612,36.614,35.688,34.829,34.036,33.287,32.572,31.894,31.243,30.587,30.056,29.702,29.442,29.181,28.987,28.521,27.627,26.472,25.386,24.292,23.389,22.8,22.435,22.044,21.65,21.37,21.226,21.165,21.114,21.084,20.962,20.673,20.266,19.876,19.496,19.016,18.403,17.707,16.997,16.224,15.613,15.264,15.07,14.835,14.63,14.219,13.468,12.513,11.599,10.674,9.872,9.284,8.843,8.386,7.955,7.516,7.043,6.563,6.115,5.674,5.337,5.151,5.058,4.96,4.892,4.734,4.425,4.023,3.643,3.265,2.91,2.593,2.309,2.024,1.749,1.477,0.6761755,0.6237803,0.5649719,0.4956361,0.4217021,0.3503092,0.2775853,0.222286,0.1932448,0.1816284,0.1701329,0.1633566,0.1494411,0.1210049,0.0847034,0.024322,0.0193608,0.0143996,0.0096804,0.0047192,
,Estimates,Jamaica,,388,1953,45.899,43.532,41.481,39.748,38.482,37.343,36.311,35.38,34.542,33.792,33.091,32.418,31.777,31.174,30.584,30.064,29.642,29.265,28.896,28.583,28.047,27.161,26.067,25.03,23.996,23.126,22.525,22.122,21.697,21.263,20.98,20.902,20.945,20.99,21.075,20.987,20.605,20.027,19.481,18.923,18.367,17.846,17.344,16.808,16.228,15.719,15.325,14.994,14.642,14.306,13.829,13.116,12.264,11.438,10.609,9.854,9.23,8.702,8.171,7.656,7.183,6.754,6.364,5.995,5.638,5.349,5.154,5.017,4.883,4.78,4.584,4.233,3.789,3.366,2.941,2.565,2.273,2.04,1.802,1.582,0.7770782,0.7168643,0.6492802,0.5695977,0.4846309,0.4025843,0.3190081,0.2554568,0.2220819,0.208732,0.1955211,0.1877336,0.1717415,0.1390619,0.0973434,0.0279515,0.0222499,0.0165484,0.011125,0.0054234,
,Estimates,Jamaica,,388,1954,48.233,45.565,43.226,41.195,39.512,38.137,36.931,35.869,34.937,34.124,33.419,32.768,32.14,31.54,30.986,30.461,29.957,29.469,28.978,28.5,28.071,27.467,26.593,25.561,24.58,23.609,22.776,22.165,21.725,21.269,20.793,20.512,20.5,20.644,20.786,20.986,20.932,20.457,19.712,19.013,18.278,17.65,17.223,16.916,16.556,16.17,15.764,15.327,14.861,14.392,13.93,13.385,12.716,11.968,11.235,10.503,9.798,9.141,8.528,7.925,7.33,6.823,6.439,6.142,5.854,5.579,5.34,5.139,4.956,4.787,4.651,4.417,4.025,3.541,3.077,2.606,2.212,1.946,1.763,1.576,0.8665179,0.7993736,0.7240107,0.635157,0.5404107,0.4489208,0.3557251,0.2848592,0.247643,0.2327565,0.2180251,0.2093413,0.1915085,0.1550676,0.1085473,0.0311686,0.0248108,0.018453,0.0124054,0.0060476,
,Estimates,Jamaica,,388,1955,50.449,47.58,45.039,42.799,40.838,39.134,37.656,36.388,35.301,34.371,33.586,32.927,32.328,31.748,31.189,30.686,30.23,29.741,29.189,28.587,28.005,27.462,26.792,25.934,24.968,24.044,23.14,22.346,21.728,21.252,20.767,20.254,19.973,20.027,20.271,20.508,20.82,20.801,20.236,19.329,18.479,17.574,16.877,16.543,16.431,16.246,16.052,15.752,15.273,14.674,14.093,13.506,12.899,12.272,11.633,10.991,10.361,9.707,9.018,8.325,7.653,6.98,6.443,6.104,5.9,5.692,5.501,5.312,5.104,4.879,4.674,4.506,4.235,3.806,3.282,2.78,2.265,1.856,1.614,1.483,0.9217101,0.8502891,0.770126,0.6756128,0.5748317,0.4775144,0.3783828,0.3030031,0.2634164,0.2475818,0.231912,0.2226751,0.2037065,0.1649445,0.1154612,0.0331539,0.0263911,0.0196284,0.0131956,0.0064328,0.0130306
,Estimates,Jamaica,,388,1956,53.151,50.297,47.518,45.022,42.787,40.798,39.034,37.466,36.116,34.972,34.002,33.163,32.448,31.783,31.127,30.488,29.908,29.375,28.841,28.291,27.721,27.173,26.674,26.037,25.19,24.222,23.302,22.393,21.626,21.082,20.704,20.315,19.913,19.671,19.651,19.753,19.86,20.024,19.944,19.464,18.731,18.033,17.287,16.691,16.359,16.184,15.951,15.712,15.36,14.821,14.162,13.518,12.858,12.221,11.629,11.065,10.497,9.948,9.353,8.677,7.971,7.292,6.61,6.084,5.795,5.662,5.519,5.396,5.241,5.012,4.732,4.478,4.256,3.953,3.531,3.037,2.562,2.073,1.686,1.459,1.009452,0.9312317,0.8434376,0.7399273,0.6295524,0.5229711,0.4144026,0.3318473,0.2884921,0.2711501,0.2539887,0.2438725,0.2230982,0.1806463,0.1264524,0.0363099,0.0289034,0.0214969,0.0144517,0.0070452,
,Estimates,Jamaica,,388,1957,55.648,52.613,50.02,47.34,44.894,42.67,40.658,38.838,37.184,35.753,34.558,33.548,32.658,31.887,31.159,30.428,29.709,29.055,28.446,27.867,27.32,26.784,26.273,25.818,25.216,24.381,23.415,22.5,21.59,20.85,20.382,20.104,19.812,19.521,19.321,19.225,19.185,19.161,19.176,19.037,18.642,18.084,17.541,16.957,16.464,16.135,15.896,15.615,15.334,14.928,14.332,13.614,12.907,12.178,11.51,10.955,10.47,9.975,9.51,8.973,8.313,7.597,6.914,6.221,5.71,5.471,5.409,5.331,5.278,5.157,4.907,4.573,4.27,3.995,3.661,3.246,2.785,2.336,1.875,1.513,1.069597,0.9867166,0.8936915,0.7840138,0.6670625,0.5541308,0.4390937,0.3516195,0.3056812,0.2873058,0.2691219,0.258403,0.2363909,0.1914096,0.1339867,0.0384733,0.0306255,0.0227777,0.0153128,0.007465,
,Estimates,Jamaica,,388,1958,57.913,54.934,52.164,49.673,47.095,44.703,42.492,40.46,38.588,36.85,35.34,34.094,33.048,32.106,31.282,30.492,29.686,28.888,28.162,27.477,26.856,26.311,25.81,25.336,24.926,24.36,23.539,22.576,21.666,20.757,20.046,19.654,19.476,19.28,19.103,18.943,18.772,18.591,18.435,18.303,18.102,17.795,17.412,17.026,16.603,16.213,15.888,15.587,15.257,14.933,14.476,13.823,13.047,12.279,11.481,10.784,10.266,9.859,9.44,9.058,8.583,7.938,7.212,6.525,5.825,5.327,5.14,5.149,5.136,5.152,5.066,4.796,4.407,4.056,3.729,3.363,2.957,2.529,2.108,1.674,1.110637,1.024577,0.9279824,0.8140963,0.6926576,0.5753928,0.4559416,0.3651111,0.3174101,0.2983297,0.2794481,0.2683179,0.2454612,0.198754,0.1391278,0.0399496,0.0318006,0.0236517,0.0159003,0.0077514,
,Estimates,Jamaica,,388,1959,59.959,57.114,54.397,51.814,49.313,46.838,44.5,42.305,40.252,38.327,36.507,34.92,33.622,32.539,31.549,30.67,29.818,28.938,28.063,27.263,26.503,25.839,25.298,24.832,24.395,24.029,23.5,22.693,21.732,20.83,19.919,19.24,18.922,18.844,18.746,18.68,18.561,18.316,17.993,17.707,17.426,17.166,16.943,16.739,16.506,16.246,15.959,15.638,15.273,14.897,14.53,14.021,13.311,12.479,11.648,10.782,10.057,9.577,9.247,8.904,8.606,8.189,7.563,6.825,6.136,5.429,4.944,4.808,4.888,4.94,5.025,4.973,4.684,4.241,3.842,3.462,3.066,2.667,2.274,1.878,1.145451,1.056693,0.9570705,0.8396146,0.7143694,0.5934288,0.4702334,0.3765557,0.3273595,0.3076811,0.2882076,0.2767285,0.2531553,0.204984,0.1434888,0.0412018,0.0327974,0.0243931,0.0163987,0.0079944,
