Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Japan,,392,1950,2361.171,2273.832,2193.065,2118.754,2050.784,1989.043,1933.411,1883.778,1840.029,1802.046,1767.655,1734.674,1713.309,1707.564,1711.14,1713.718,1717.36,1711.076,1688.343,1653.505,1619.452,1586.028,1540.947,1480.167,1409.744,1340.283,1270.252,1207.273,1156.413,1115.116,1073.654,1031.442,1003.503,995.534,1000.223,1005.429,1014.61,1013.428,993.841,962.644,934.308,905.503,880.228,861.778,847.355,831.04,814.235,795.078,772.124,746.638,721.658,696.948,671.507,645.255,618.766,592.294,565.318,541.531,522.649,506.876,490.873,475.499,458.308,437.797,415.241,393.175,370.813,349.736,330.887,313.254,295.354,278.065,257.991,233.482,206.441,180.46,154.858,131.651,112.214,95.686,57.14098,50.49635,44.26089,38.77566,33.86476,29.0109,24.31626,20.07534,16.38277,13.1737,10.24434,7.584622,5.432493,3.870223,2.771637,1.902054,1.275859,0.8138142,0.4423616,0.1650339,0.3559333
,Estimates,Japan,,392,1951,2015.462,2336.369,2270.049,2202.506,2134.906,2068.412,2002.925,1938.337,1882.17,1838.132,1803.575,1770.022,1736.61,1714.633,1708.032,1710.633,1712.27,1714.93,1708.066,1685.377,1650.997,1617.361,1584.381,1539.737,1479.317,1409.19,1340.066,1270.42,1207.608,1156.583,1114.905,1073.073,1030.449,1002.185,994.064,998.705,1003.815,1012.87,1011.573,991.881,960.575,932.127,903.219,877.749,858.97,844.13,827.389,810.115,790.576,767.398,741.771,716.602,691.695,665.924,639.138,611.977,584.844,557.209,532.718,513.082,496.536,479.764,463.609,445.761,424.779,401.883,379.52,356.969,335.599,316.262,298.067,279.726,262.04,241.941,217.944,191.792,166.724,142.103,119.934,101.543,63.41653,56.04215,49.12188,43.03422,37.58398,32.19704,26.98681,22.28013,18.18202,14.62051,11.36944,8.417608,6.029121,4.295272,3.076033,2.110948,1.415981,0.9031919,0.4909443,0.1831589,
,Estimates,Japan,,392,1952,1764.607,1979.732,2313.556,2268.311,2214.001,2153.085,2088.017,2018.704,1945.052,1882.265,1837.896,1806.753,1774.011,1740.134,1717.524,1710.056,1711.678,1712.371,1714.047,1706.593,1683.928,1649.976,1616.731,1584.165,1539.92,1479.809,1409.915,1341.065,1271.745,1209.043,1157.805,1115.708,1073.463,1030.388,1001.773,993.488,998.088,1003.104,1012.043,1010.627,990.812,959.37,930.781,901.744,876.056,856.927,841.656,824.47,806.709,786.769,763.344,737.552,712.17,687.043,660.916,633.571,605.707,577.886,549.563,524.341,503.93,486.592,469.031,452.078,433.551,412.077,388.818,366.137,343.374,321.692,301.845,283.07,264.268,246.167,226.023,202.521,177.239,153.064,129.409,108.264,68.94257,60.92558,53.40229,46.78417,40.859,35.00265,29.33841,24.22159,19.76638,15.89452,12.36015,9.151108,6.554491,4.669557,3.344075,2.294894,1.539368,0.9818948,0.5337245,0.1991191,
,Estimates,Japan,,392,1953,1588.144,1867.218,2070.945,2284.152,2260.181,2219.304,2165.268,2101.812,2028.856,1946.315,1877.062,1832.486,1804.856,1773.021,1738.773,1715.589,1707.274,1707.909,1707.652,1708.336,1700.311,1677.733,1644.308,1611.547,1579.49,1535.769,1476.136,1406.674,1338.294,1269.494,1207.08,1155.773,1113.371,1070.834,1027.427,998.537,990.116,994.659,999.567,1008.363,1006.834,986.951,955.459,926.81,897.725,871.891,852.466,836.803,819.222,801.019,780.735,757.126,731.243,705.718,680.441,654.031,626.199,597.711,569.276,540.344,514.459,493.328,475.244,456.94,439.234,420.077,398.171,374.613,351.677,328.766,306.829,286.529,267.223,248.013,229.546,209.414,186.473,162.136,138.926,116.307,73.3996,64.86433,56.85467,49.80869,43.50048,37.26552,31.23509,25.78748,21.04425,16.92207,13.15922,9.742713,6.978228,4.971437,3.560264,2.443255,1.638885,1.045373,0.568229,0.2119919,
,Estimates,Japan,,392,1954,1474.204,1769.844,1990.826,2144.941,2248.727,2246.052,2218.69,2171.664,2109.986,2033.588,1942.396,1866.873,1822.21,1798.159,1767.314,1732.787,1709.093,1699.953,1699.602,1698.399,1698.088,1689.517,1667.085,1634.275,1602.084,1570.621,1527.539,1468.542,1399.695,1331.966,1263.869,1201.909,1150.668,1108.077,1065.36,1021.736,992.653,984.113,988.59,993.377,1002.007,1000.369,980.47,949.013,920.382,891.325,865.413,845.744,829.734,811.802,793.21,772.634,748.907,722.999,697.401,672.041,645.418,617.177,588.14,559.168,529.705,503.228,481.433,462.653,443.657,425.246,405.514,383.233,359.439,336.31,313.31,291.181,270.479,250.697,231.13,212.347,192.28,169.961,146.632,124.447,76.86569,67.92737,59.53947,52.16077,45.55467,39.02528,32.71008,27.00523,22.038,17.72117,13.78063,10.20279,7.307756,5.206199,3.728388,2.558631,1.716277,1.094738,0.5950621,0.2220026,
,Estimates,Japan,,392,1955,1412.904,1687.566,1898.435,2051.797,2153.924,2211.101,2229.602,2215.708,2175.702,2115.857,2036.119,1936.423,1854.747,1810.044,1789.578,1759.75,1724.983,1700.807,1690.857,1689.525,1687.382,1686.085,1676.977,1654.717,1622.552,1590.962,1560.123,1517.723,1459.421,1391.26,1324.251,1256.925,1195.481,1144.363,1101.628,1058.779,1014.986,985.739,977.094,981.498,986.161,994.616,992.871,972.978,941.59,913.005,884.009,858.047,838.157,821.817,803.558,784.597,763.754,739.933,714.03,688.386,662.97,636.165,607.545,577.995,548.521,518.56,491.522,469.092,449.64,429.976,410.883,390.599,367.97,343.968,320.67,297.609,275.31,254.233,233.997,214.095,195.019,175.039,153.362,131.059,79.36859,70.13922,61.4782,53.85923,47.03802,40.29602,33.77519,27.88457,22.7556,18.29821,14.22935,10.53501,7.545711,5.375723,3.849792,2.641945,1.772163,1.130385,0.6144385,0.2292315,0.4943899
,Estimates,Japan,,392,1956,1401.706,1467.374,1704.402,1891.78,2033.394,2133.118,2197.308,2232.312,2229.654,2188.274,2119.461,2035.568,1934.107,1850.777,1804.653,1782.998,1752.023,1716.105,1691.44,1681.954,1681.725,1680.698,1680.609,1672.679,1651.424,1620.127,1589.47,1559.623,1517.881,1459.743,1391.407,1324.206,1256.614,1194.916,1143.632,1100.775,1057.727,1013.679,984.175,975.276,979.427,983.816,991.982,989.933,969.723,938.002,909.07,879.703,853.379,833.152,816.479,797.868,778.548,757.274,732.914,706.4,680.143,654.096,626.68,597.491,567.399,537.377,506.878,479.275,456.229,436.142,415.889,396.26,375.452,352.302,327.817,304.128,280.769,258.311,237.241,217.178,197.538,178.774,159.451,138.897,88.04123,77.80336,68.19595,59.74445,52.17788,44.69918,37.46582,30.93153,25.24212,20.29766,15.7842,11.68617,8.370234,5.963131,4.27046,2.930632,1.965807,1.253902,0.6815784,0.2542797,
,Estimates,Japan,,392,1957,1417.948,1580.403,1517.862,1716.533,1879.857,2009.309,2106.348,2177.385,2228.825,2237.431,2194.787,2117.183,2029.359,1926.413,1841.658,1794.238,1771.453,1739.414,1702.444,1677.358,1668.361,1669.24,1669.331,1670.455,1663.725,1643.537,1613.197,1583.56,1554.787,1513.823,1456.01,1387.687,1320.482,1252.812,1191.03,1139.722,1096.862,1053.733,1009.555,979.872,970.746,974.631,978.733,986.587,984.241,963.767,931.802,902.602,872.944,846.332,825.824,808.863,789.951,770.326,748.677,723.847,696.794,669.996,643.389,615.437,585.759,555.208,524.72,493.768,465.674,442.077,421.408,400.621,380.511,359.235,335.627,310.727,286.711,263.121,240.564,219.56,199.726,180.403,162.004,143.392,95.32917,84.24382,73.84112,64.69002,56.4971,48.39932,40.56719,33.492,27.33163,21.97788,17.09079,12.65354,9.063111,6.456751,4.623963,3.173226,2.128534,1.357698,0.7379986,0.2753286,
,Estimates,Japan,,392,1958,1454.83,1544.563,1633.945,1567.156,1727.391,1866.586,1983.802,2078.089,2155.911,2223.719,2243.562,2199.691,2113.365,2021.683,1917.329,1831.212,1782.534,1758.637,1725.56,1687.565,1662.078,1653.576,1655.56,1656.768,1659.1,1653.576,1634.466,1605.103,1576.505,1548.827,1508.669,1451.222,1382.963,1315.803,1248.102,1186.283,1134.988,1092.158,1048.978,1004.701,974.863,965.516,969.133,972.947,980.482,977.84,957.12,924.934,895.487,865.561,838.682,817.905,800.672,781.471,761.557,739.551,714.267,686.697,659.379,632.232,603.764,573.622,542.633,511.702,480.322,451.758,427.626,406.394,385.088,364.511,342.785,318.737,293.441,269.116,245.311,222.673,201.749,182.16,163.165,145.145,100.7242,89.01146,78.02003,68.35104,59.69445,51.1384,42.86302,35.38742,28.87842,23.22168,18.05802,13.36964,9.576022,6.82216,4.885648,3.352809,2.248995,1.434535,0.7797644,0.2909104,
,Estimates,Japan,,392,1959,1505.612,1525.127,1565.184,1621.682,1617.245,1739.207,1854.396,1959.468,2051.063,2135.698,2219.884,2250.953,2205.83,2110.753,2015.167,1909.348,1821.824,1771.862,1746.842,1712.709,1673.671,1647.769,1639.757,1642.844,1645.168,1648.707,1644.382,1626.338,1597.934,1570.357,1543.757,1504.379,1447.265,1379.031,1311.878,1244.109,1182.217,1130.907,1088.079,1044.827,1000.427,970.416,960.843,964.194,967.723,974.945,972.006,951.027,918.603,888.893,858.683,831.52,810.467,792.948,773.452,753.235,730.861,705.111,677.009,649.154,621.455,592.457,561.831,530.39,499,467.172,438.125,413.446,391.637,369.803,348.75,326.56,302.06,276.352,251.708,227.674,204.942,184.088,164.729,146.054,103.8775,91.79815,80.46261,70.49091,61.56332,52.73939,44.20494,36.4953,29.78252,23.94868,18.62336,13.78821,9.87582,7.035742,5.038604,3.457776,2.319405,1.479446,0.8041766,0.3000179,
