Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Kenya,,404,1950,262.654,232.164,206.68,185.763,168.972,155.87,146.018,138.976,134.307,131.571,130.628,131.335,131.767,130.891,129.159,128.18,127.773,126.197,122.789,118.189,113.734,109.196,104.869,101.041,97.579,94.019,90.431,87.203,84.474,82.119,79.852,77.725,75.702,73.744,71.859,70.093,68.414,66.851,65.416,64.07,62.763,61.513,60.185,58.71,57.141,55.596,54.042,52.53,51.097,49.702,48.288,46.883,45.375,43.71,41.948,40.199,38.435,36.746,35.194,33.726,32.239,30.755,29.259,27.734,26.192,24.677,23.205,21.664,20.01,18.308,16.643,14.982,13.5,12.289,11.262,10.263,9.35,8.351,7.166,5.901,3.740944,3.251251,2.793602,2.371084,1.984647,1.626456,1.294851,1.012856,0.7892538,0.6131256,0.4609717,0.3330295,0.2328595,0.1571386,0.1025436,0.0664635,0.0477113,0.0344186,0.0192269,0.00451,0.0130553
,Estimates,Kenya,,404,1951,271.607,253.193,225.713,202.44,183.045,167.201,154.492,144.5,137.35,132.892,130.531,129.682,130.296,130.649,129.761,128.057,127.056,126.597,124.987,121.578,117,112.559,108.034,103.725,99.922,96.486,92.955,89.397,86.195,83.481,81.137,78.88,76.762,74.747,72.793,70.912,69.147,67.469,65.906,64.47,63.124,61.816,60.562,59.232,57.758,56.189,54.644,53.089,51.573,50.131,48.723,47.296,45.877,44.355,42.678,40.905,39.144,37.368,35.664,34.092,32.6,31.093,29.59,28.075,26.531,24.97,23.442,21.956,20.414,18.778,17.106,15.475,13.855,12.412,11.231,10.234,9.268,8.388,7.447,6.354,4.130931,3.590188,3.08483,2.618266,2.191543,1.796011,1.429837,1.118444,0.8715321,0.6770428,0.5090271,0.3677472,0.2571347,0.1735201,0.1132336,0.0733922,0.0526851,0.0380067,0.0212313,0.0049802,
,Estimates,Kenya,,404,1952,281.381,257.118,244.32,219.78,198.659,180.739,165.803,153.459,143.306,136.031,131.774,129.781,129.024,129.549,129.821,128.921,127.239,126.217,125.703,124.056,120.639,116.071,111.636,107.114,102.813,99.026,95.609,92.099,88.564,85.379,82.676,80.336,78.085,75.971,73.959,72.006,70.124,68.357,66.675,65.109,63.67,62.32,61.007,59.748,58.413,56.935,55.365,53.815,52.256,50.733,49.279,47.854,46.412,44.974,43.436,41.744,39.955,38.179,36.386,34.665,33.067,31.551,30.019,28.494,26.957,25.39,23.808,22.261,20.76,19.214,17.592,15.945,14.345,12.762,11.354,10.203,9.23,8.297,7.449,6.561,4.472348,3.886913,3.339788,2.834663,2.372671,1.94445,1.548011,1.210883,0.9435632,0.7329996,0.5510977,0.3981411,0.2783866,0.1878613,0.1225923,0.079458,0.0570395,0.0411479,0.0229861,0.0053918,
,Estimates,Kenya,,404,1953,291.197,268.867,247.975,235.694,214.068,195.077,178.614,164.572,152.578,142.255,134.848,130.788,129.162,128.495,128.93,129.124,128.209,126.55,125.502,124.936,123.249,119.82,115.26,110.824,106.301,102.004,98.228,94.829,91.335,87.819,84.649,81.953,79.616,77.368,75.256,73.246,71.291,69.405,67.636,65.948,64.376,62.934,61.578,60.26,58.993,57.653,56.17,54.595,53.041,51.476,49.943,48.475,47.034,45.574,44.117,42.561,40.851,39.046,37.251,35.442,33.699,32.077,30.533,28.975,27.427,25.865,24.275,22.67,21.103,19.585,18.033,16.423,14.801,13.229,11.682,10.309,9.183,8.238,7.333,6.517,4.699483,4.084316,3.509405,2.978625,2.493171,2.043202,1.626629,1.272379,0.9914836,0.7702262,0.579086,0.4183613,0.2925249,0.1974021,0.1288183,0.0834934,0.0599363,0.0432376,0.0241534,0.0056656,
,Estimates,Kenya,,404,1954,300.723,279.959,260.071,241.146,227.226,208.504,191.633,176.616,163.459,151.809,141.307,133.762,129.896,128.636,128.06,128.406,128.52,127.589,125.952,124.88,124.259,122.531,119.087,114.531,110.093,105.565,101.268,97.502,94.117,90.637,87.136,83.98,81.29,78.952,76.707,74.595,72.586,70.626,68.737,66.963,65.268,63.691,62.242,60.88,59.555,58.281,56.934,55.444,53.864,52.305,50.731,49.19,47.706,46.247,44.767,43.291,41.716,39.987,38.164,36.349,34.522,32.758,31.108,29.535,27.952,26.377,24.792,23.175,21.547,19.959,18.422,16.864,15.264,13.665,12.121,10.609,9.269,8.17,7.249,6.375,4.756802,4.134132,3.552209,3.014956,2.52358,2.068122,1.646469,1.287898,1.003577,0.7796206,0.5861491,0.4234641,0.2960928,0.1998098,0.1303895,0.0845117,0.0606673,0.043765,0.024448,0.0057347,
,Estimates,Kenya,,404,1955,309.872,290.475,271.561,253.247,235.646,218.879,203.057,188.302,174.726,162.448,151.134,140.447,132.759,129.085,128.191,127.706,127.961,127.997,127.051,125.433,124.335,123.659,121.89,118.429,113.874,109.43,104.894,100.596,96.836,93.462,89.995,86.509,83.362,80.677,78.338,76.092,73.981,71.969,70.006,68.111,66.33,64.629,63.043,61.589,60.219,58.887,57.604,56.249,54.752,53.166,51.599,50.018,48.465,46.965,45.487,43.988,42.49,40.895,39.146,37.303,35.469,33.621,31.834,30.157,28.554,26.942,25.342,23.731,22.088,20.433,18.825,17.267,15.702,14.112,12.535,11.018,9.54,8.232,7.158,6.262,4.619664,4.014946,3.449799,2.928035,2.450826,2.008499,1.599002,1.250768,0.9746436,0.7571442,0.5692505,0.4112556,0.2875565,0.1940493,0.1266304,0.0820753,0.0589183,0.0425033,0.0237432,0.0055694,0.0161219
,Estimates,Kenya,,404,1956,317.376,302.374,283.966,266.034,248.673,231.977,216.086,201.132,187.009,173.725,161.503,150.222,139.51,131.788,128.126,127.261,126.756,126.955,126.941,125.97,124.339,123.221,122.519,120.74,117.294,112.769,108.355,103.852,99.583,95.845,92.488,89.039,85.574,82.443,79.767,77.434,75.192,73.084,71.075,69.116,67.226,65.447,63.747,62.16,60.701,59.324,57.984,56.691,55.326,53.818,52.22,50.641,49.047,47.478,45.958,44.456,42.934,41.412,39.794,38.024,36.162,34.309,32.445,30.64,28.94,27.315,25.685,24.071,22.452,20.811,19.167,17.574,16.032,14.501,12.965,11.456,10.01,8.608,7.374,6.368,4.96876,4.318344,3.710491,3.149298,2.636028,2.160275,1.719834,1.345285,1.048295,0.8143595,0.6122672,0.4423331,0.3092864,0.2087131,0.1361995,0.0882775,0.0633706,0.0457151,0.0255374,0.0059903,
,Estimates,Kenya,,404,1957,325.206,308.192,295.334,277.886,260.909,244.473,228.655,213.615,199.504,185.992,172.979,160.796,149.531,138.776,131.013,127.355,126.52,125.993,126.135,126.073,125.074,123.429,122.29,121.56,119.769,116.331,111.831,107.442,102.962,98.718,94.996,91.651,88.216,84.766,81.645,78.976,76.644,74.404,72.296,70.287,68.329,66.44,64.662,62.96,61.37,59.903,58.518,57.168,55.863,54.485,52.964,51.354,49.759,48.15,46.563,45.019,43.493,41.945,40.398,38.753,36.961,35.076,33.202,31.319,29.493,27.77,26.118,24.468,22.838,21.21,19.568,17.932,16.35,14.825,13.325,11.839,10.396,9.019,7.691,6.529,5.209287,4.527386,3.890108,3.301749,2.763633,2.26485,1.803088,1.410408,1.099041,0.853781,0.6419058,0.4637455,0.3242583,0.2188165,0.1427926,0.0925508,0.0664382,0.0479281,0.0267736,0.0062802,
,Estimates,Kenya,,404,1958,333.732,317.445,301.167,288.576,272.072,256.032,240.507,225.55,211.346,198.067,185.151,172.398,160.242,148.982,138.176,130.362,126.705,125.898,125.35,125.435,125.326,124.297,122.636,121.475,120.717,118.911,115.481,110.999,106.63,102.172,97.945,94.238,90.901,87.477,84.038,80.925,78.26,75.928,73.687,71.577,69.565,67.607,65.718,63.938,62.233,60.638,59.164,57.767,56.406,55.088,53.696,52.162,50.536,48.924,47.299,45.692,44.124,42.571,40.996,39.422,37.75,35.932,34.023,32.128,30.222,28.375,26.626,24.947,23.274,21.627,19.988,18.344,16.715,15.142,13.632,12.16,10.726,9.346,8.037,6.782,5.332854,4.634778,3.982383,3.380069,2.829187,2.318573,1.845858,1.443864,1.12511,0.8740332,0.6571322,0.4747458,0.3319499,0.2240069,0.1461798,0.0947461,0.0680142,0.049065,0.0274087,0.0064292,
,Estimates,Kenya,,404,1959,343.466,327.346,311.341,295.515,281.967,266.399,251.288,236.666,222.566,209.19,196.735,184.41,171.911,159.774,148.513,137.651,129.78,126.124,125.345,124.774,124.804,124.645,123.586,121.91,120.725,119.939,118.118,114.691,110.227,105.875,101.436,97.226,93.531,90.198,86.785,83.356,80.249,77.585,75.252,73.009,70.896,68.88,66.921,65.032,63.247,61.54,59.938,58.455,57.047,55.674,54.342,52.935,51.387,49.744,48.116,46.473,44.844,43.252,41.672,40.068,38.465,36.766,34.922,32.988,31.069,29.142,27.27,25.494,23.788,22.092,20.427,18.774,17.128,15.505,13.942,12.444,11.002,9.616,8.3,7.057,5.342318,4.643003,3.989451,3.386067,2.834208,2.322688,1.849134,1.446426,1.127107,0.8755843,0.6582984,0.4755884,0.332539,0.2244045,0.1464392,0.0949143,0.0681349,0.049152,0.0274573,0.0064406,
