Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Mexico,,484,1950,1048.302,1011.749,974.266,936.255,898.118,860.258,823.08,786.984,752.374,719.655,688.032,656.71,632.076,616.919,608.057,599.548,592.622,583.541,569.861,553.268,537.771,522.41,507.232,492.605,478.068,463.598,450.197,433.096,410.24,384.379,359.49,333.785,315.396,308.456,308.835,308.634,309.866,307.411,298.064,284.564,272.543,260.48,251.009,245.881,243.382,240.193,237.148,232.274,224.313,214.337,204.785,195.295,185.717,176.26,166.959,157.586,148.122,139.492,132.113,125.62,119.221,113.066,107.038,101.008,95.045,89.308,83.688,78.404,73.555,68.969,64.577,60.63,55.82,49.566,42.583,35.98,29.306,24.446,22.375,22.125,26.1282,23.08124,20.30976,17.97378,15.95911,13.99514,12.14228,10.399,8.737905,7.186389,5.779783,4.492741,3.424857,2.624009,2.031565,1.531034,1.13189,0.8180025,0.565305,0.3699573,0.8410448
,Estimates,Mexico,,484,1951,1178.504,1037.607,997.958,959.378,921.879,885.472,850.622,817.792,784.733,750.55,716.615,684.41,652.701,627.716,612.401,603.494,594.825,587.678,578.416,564.626,547.984,532.441,517.026,501.922,487.553,473.389,459.287,446.271,429.494,406.851,381.121,356.377,330.82,312.52,305.588,305.921,305.664,306.815,304.315,294.991,281.556,269.58,257.561,248.1,242.93,240.354,237.094,233.975,229.041,221.048,211.056,201.484,191.971,182.379,172.919,163.622,154.254,144.8,136.165,128.755,122.217,115.779,109.587,103.527,97.471,91.489,85.741,80.123,74.843,70.002,65.433,61.062,57.125,52.4,46.34,39.616,33.269,26.879,22.187,20.089,25.10679,22.17894,19.5158,17.27114,15.33523,13.44803,11.66761,9.992478,8.396319,6.905455,5.553837,4.317109,3.290971,2.52143,1.952146,1.471183,1.087642,0.7860248,0.5432058,0.3554948,
,Estimates,Mexico,,484,1952,1278.415,1168.724,1025.574,982.893,943.272,906.334,871.699,839.891,811.436,781.444,747.732,712.633,679.89,647.837,622.538,607.086,598.144,589.329,581.969,572.542,558.659,541.992,526.424,510.975,495.965,481.871,468.098,454.381,441.766,425.335,402.932,377.369,352.802,327.426,309.239,302.325,302.611,302.298,303.368,300.826,291.538,278.184,266.27,254.311,244.874,239.666,237.018,233.691,230.503,225.518,217.501,207.508,197.927,188.405,178.811,169.362,160.081,150.731,141.299,132.669,125.24,118.665,112.197,105.976,99.893,93.818,87.827,82.075,76.464,71.198,66.37,61.825,57.481,53.558,48.924,43.067,36.608,30.524,24.428,19.907,23.59256,20.8413,18.33878,16.2295,14.41034,12.63697,10.96392,9.389819,7.889926,6.488978,5.218878,4.056738,3.092489,2.369359,1.83441,1.382454,1.022045,0.7386186,0.5104444,0.3340544,
,Estimates,Mexico,,484,1953,1355.157,1230.002,1124.138,1015.755,969.963,929.222,892.764,859.82,830.978,806.822,779.824,746.51,710.175,676.827,644.364,618.697,603.075,594.082,585.1,577.516,567.9,553.899,537.169,521.543,506.027,491.08,477.231,463.817,450.456,438.213,422.092,399.882,374.429,349.987,324.739,306.624,299.713,299.955,299.585,300.575,297.988,288.715,275.413,263.536,251.611,242.177,236.923,234.195,230.796,227.532,222.484,214.427,204.411,194.804,185.25,175.635,166.175,156.892,147.539,138.109,129.467,122.002,115.377,108.865,102.603,96.482,90.378,84.362,78.596,72.981,67.715,62.892,58.359,54.034,50.118,45.563,39.895,33.689,27.853,22.037,21.88812,19.33562,17.01389,15.057,13.36927,11.72401,10.17183,8.711451,7.319918,6.020181,4.84184,3.763659,2.869071,2.198184,1.701882,1.282578,0.948207,0.685257,0.4735673,0.3099206,
,Estimates,Mexico,,484,1954,1412.951,1284.61,1175.726,1084.436,1008.381,959.366,917.402,881.337,850.007,824.064,804.154,780.087,747.092,709.431,675.398,642.446,616.348,600.518,591.452,582.282,574.452,564.628,550.471,533.64,517.918,502.298,487.377,473.739,460.654,447.615,435.716,419.865,397.796,372.392,348.014,322.834,304.748,297.824,298.021,297.592,298.507,295.866,286.586,273.307,261.435,249.517,240.063,234.749,231.936,228.456,225.107,219.984,211.87,201.805,192.146,182.541,172.879,163.387,154.078,144.701,135.25,126.574,119.055,112.365,105.792,99.473,93.302,87.151,81.098,75.303,69.67,64.393,59.562,55.03,50.713,46.795,42.309,36.817,30.848,25.246,20.25397,17.89203,15.74365,13.93285,12.37113,10.8487,9.41241,8.061061,6.773418,5.570719,4.480352,3.482667,2.654869,2.03407,1.574821,1.186822,0.8774146,0.6340963,0.4382111,0.2867822,
,Estimates,Mexico,,484,1955,1454.383,1333.379,1229.219,1140.347,1065.213,1002.263,949.943,906.699,870.983,841.234,818.171,802.502,781.35,748.632,709.592,674.825,641.34,614.776,598.718,589.565,580.195,572.11,562.062,547.731,530.777,514.937,499.194,484.279,470.837,458.064,445.334,433.764,418.165,396.208,370.821,346.478,321.332,303.254,296.306,296.458,295.972,296.81,294.113,284.814,271.539,259.659,247.732,238.245,232.865,229.963,226.396,222.959,217.754,209.57,199.445,189.723,180.051,170.332,160.794,151.448,142.033,132.55,123.829,116.247,109.481,102.84,96.456,90.225,84.021,77.922,72.089,66.433,61.137,56.291,51.757,47.441,43.515,39.093,33.771,28.032,18.74571,16.55966,14.57126,12.89531,11.44989,10.04083,8.711495,7.460776,6.269021,5.155884,4.146713,3.223323,2.457168,1.882598,1.457549,1.098443,0.812076,0.5868769,0.4055788,0.2654263,0.6034087
,Estimates,Mexico,,484,1956,1473.493,1421.509,1312.904,1217.386,1133.965,1061.655,998.972,944.432,899.515,864.228,836.089,813.354,797.232,775.727,742.955,704.036,669.26,635.707,609.069,592.935,583.717,574.289,566.133,556.148,542.083,525.519,510.061,494.727,480.121,466.816,454.069,441.385,429.844,414.317,392.512,367.321,343.147,318.168,300.188,293.234,293.314,292.755,293.501,290.749,281.462,268.238,256.39,244.498,235.002,229.545,226.525,222.848,219.299,214.005,205.776,195.635,185.893,176.202,166.474,156.938,147.6,138.2,128.742,120.038,112.459,105.689,99.052,92.674,86.467,80.312,74.281,68.524,62.967,57.744,52.929,48.409,44.119,40.212,35.909,30.861,20.06607,17.72605,15.59759,13.8036,12.25636,10.74806,9.325092,7.986278,6.710582,5.51904,4.438788,3.450359,2.63024,2.0152,1.560212,1.175812,0.8692749,0.6282138,0.4341459,0.2841217,
,Estimates,Mexico,,484,1957,1488.461,1403.993,1392.972,1296.407,1209.223,1130.989,1061.28,998.676,941.757,895.039,860.073,833.457,810.982,794.358,772.438,739.512,700.6,665.709,631.989,605.199,588.94,579.628,570.116,561.864,551.912,538.069,521.847,506.722,491.75,477.409,464.201,451.442,438.765,427.22,411.717,389.999,364.928,340.851,315.963,298.028,291.047,291.054,290.421,291.079,288.262,278.961,265.747,253.897,242.003,232.47,226.92,223.773,219.976,216.304,210.906,202.607,192.419,182.629,172.89,163.124,153.561,144.204,134.79,125.329,116.616,109.018,102.223,95.569,89.18,82.977,76.854,70.871,65.174,59.697,54.534,49.734,45.214,40.939,37.037,32.841,21.50621,18.99825,16.71703,14.79428,13.136,11.51945,9.994353,8.559454,7.1922,5.915141,4.757359,3.697991,2.819012,2.159831,1.672188,1.2602,0.9316627,0.6733007,0.4653045,0.3045131,
,Estimates,Mexico,,484,1958,1502.298,1439.162,1375.981,1365.902,1281.291,1202.357,1129.234,1062.053,999.459,940.098,891.526,856.843,831.723,809.484,792.341,769.979,736.866,697.917,662.874,628.95,601.977,585.577,576.162,566.553,558.197,548.268,534.633,518.733,503.927,489.301,475.211,462.084,449.3,436.616,425.054,409.56,387.904,362.927,338.921,314.097,296.187,289.172,289.106,288.398,288.968,286.085,276.758,263.54,251.676,239.766,230.186,224.537,221.26,217.337,213.538,208.032,199.653,189.407,179.558,169.76,159.946,150.345,140.959,131.523,122.046,113.316,105.689,98.863,92.186,85.776,79.573,73.473,67.533,61.89,56.489,51.377,46.589,42.063,37.799,33.898,22.85263,20.18765,17.76362,15.72049,13.95839,12.24063,10.62006,9.095324,7.642473,6.285463,5.055197,3.929506,2.995498,2.295048,1.776877,1.339095,0.9899901,0.7154532,0.4944352,0.3235774,
,Estimates,Mexico,,484,1959,1518.935,1474.107,1424.206,1370.188,1338.463,1265.85,1195.204,1127.218,1062.587,1000.018,938.223,887.803,853.412,829.797,807.799,790.139,767.341,734.047,695.069,659.883,625.761,598.613,582.073,572.557,562.854,554.396,544.491,531.068,515.495,501.011,486.736,472.9,459.858,447.052,434.364,422.786,407.305,385.717,360.839,336.909,312.156,294.276,287.227,287.088,286.306,286.787,283.837,274.488,261.267,249.393,237.47,227.845,222.098,218.69,214.644,210.718,205.104,196.646,186.347,176.438,166.586,156.725,147.088,137.674,128.217,118.73,109.981,102.33,95.473,88.773,82.347,76.142,70.068,64.174,58.584,53.259,48.202,43.426,38.897,34.641,23.91276,21.12415,18.58767,16.44976,14.60592,12.80847,11.11272,9.517256,7.997007,6.577045,5.289707,4.111796,3.134459,2.401515,1.859306,1.401216,1.035916,0.748643,0.517372,0.3385881,
