Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Mozambique,,508,1950,250.076,233.034,218.098,205.096,193.856,184.211,175.987,169.016,163.125,158.144,154.037,150.765,147.492,143.781,139.859,136.396,133.261,130.087,126.761,123.363,120.086,116.897,113.753,110.655,107.607,104.608,101.655,98.773,95.976,93.249,90.568,87.94,85.349,82.787,80.261,77.783,75.354,72.968,70.625,68.327,66.07,63.855,61.691,59.581,57.521,55.497,53.511,51.563,49.651,47.771,45.923,44.103,42.313,40.562,38.837,37.134,35.457,33.775,32.075,30.367,28.687,27.027,25.384,23.762,22.162,20.59,19.056,17.536,16.02,14.528,13.088,11.697,10.377,9.14,7.982,6.889,5.858,4.925,4.103,3.38,2.36411,1.930957,1.55603,1.252116,1.005883,0.7887622,0.6021148,0.4497495,0.3292178,0.2361661,0.1670576,0.1208039,0.0848892,0.0535999,0.0277522,0.0157807,0.0125157,0.0108832,0.0065299,0.0010883,0.0029929
,Estimates,Mozambique,,508,1951,253.081,238.84,223.487,210.117,198.547,188.593,180.121,172.987,166.795,161.275,156.376,152.284,148.924,145.573,141.873,138.011,134.534,131.336,128.113,124.773,121.385,118.106,114.909,111.77,108.695,105.682,102.716,99.803,96.954,94.185,91.481,88.825,86.222,83.657,81.119,78.616,76.16,73.754,71.391,69.073,66.803,64.572,62.382,60.241,58.153,56.114,54.109,52.14,50.205,48.301,46.423,44.576,42.757,40.965,39.208,37.474,35.763,34.077,32.388,30.684,28.975,27.296,25.641,24.001,22.384,20.789,19.228,17.709,16.212,14.734,13.291,11.902,10.567,9.31,8.15,7.076,6.066,5.123,4.274,3.537,2.605048,2.127751,1.714613,1.379725,1.108397,0.8691488,0.6634792,0.4955857,0.3627699,0.260235,0.1840833,0.1331156,0.0935407,0.0590625,0.0305806,0.017389,0.0137913,0.0119924,0.0071954,0.0011992,
,Estimates,Mozambique,,508,1952,257.122,238.694,228.269,214.556,202.711,192.536,183.835,176.508,170.439,165.008,159.843,155.012,150.924,147.469,144.031,140.334,136.522,133.021,129.753,126.473,123.112,119.723,116.434,113.223,110.08,107.02,104.033,101.095,98.212,95.39,92.642,89.953,87.315,84.732,82.186,79.664,77.178,74.739,72.348,70.003,67.706,65.456,63.245,61.073,58.951,56.881,54.855,52.865,50.909,48.982,47.079,45.2,43.35,41.527,39.727,37.959,36.214,34.489,32.791,31.091,29.378,27.665,25.982,24.326,22.687,21.07,19.477,17.922,16.413,14.937,13.493,12.093,10.753,9.47,8.274,7.185,6.192,5.265,4.403,3.639,2.770036,2.262509,1.823206,1.467108,1.178596,0.9241954,0.7055,0.5269731,0.3857456,0.2767167,0.195742,0.1415463,0.099465,0.0628032,0.0325174,0.0184903,0.0146647,0.0127519,0.0076512,0.0012752,
,Estimates,Mozambique,,508,1953,262.108,243.114,226.7,218.176,206.075,195.727,186.924,179.459,173.258,168.244,163.559,158.739,153.966,149.874,146.317,142.785,139.084,135.313,131.782,128.436,125.094,121.703,118.308,115.003,111.77,108.617,105.566,102.598,99.683,96.822,94.024,91.289,88.61,85.987,83.416,80.884,78.374,75.899,73.473,71.091,68.759,66.478,64.244,62.049,59.892,57.783,55.725,53.711,51.73,49.782,47.86,45.956,44.07,42.214,40.382,38.573,36.79,35.028,33.288,31.573,29.858,28.134,26.413,24.722,23.062,21.421,19.8,18.206,16.655,15.152,13.694,12.28,10.923,9.627,8.392,7.255,6.237,5.323,4.474,3.694,2.828178,2.309999,1.861475,1.497903,1.203335,0.9435941,0.7203083,0.5380342,0.3938423,0.2825249,0.1998506,0.1445173,0.1015527,0.0641214,0.0331999,0.0188784,0.0149725,0.0130196,0.0078117,0.001302,
,Estimates,Mozambique,,508,1954,267.926,248.397,231.518,217.053,208.396,197.89,189.029,181.588,175.349,170.27,166.302,162.36,157.877,153.157,149.054,145.388,141.758,138.045,134.311,130.743,127.315,123.905,120.48,117.072,113.746,110.485,107.319,104.271,101.32,98.42,95.581,92.798,90.074,87.402,84.787,82.227,79.703,77.203,74.735,72.316,69.942,67.619,65.349,63.129,60.946,58.8,56.701,54.653,52.647,50.673,48.73,46.809,44.9,43.007,41.14,39.297,37.475,35.675,33.893,32.136,30.4,28.669,26.931,25.197,23.498,21.831,20.185,18.558,16.959,15.41,13.912,12.468,11.084,9.766,8.513,7.326,6.245,5.296,4.459,3.688,2.750083,2.246212,1.810073,1.456541,1.170107,0.9175382,0.7004181,0.5231772,0.382967,0.2747234,0.194332,0.1405267,0.0987485,0.0623508,0.0322832,0.0183571,0.0145591,0.0126601,0.007596,0.001266,
,Estimates,Mozambique,,508,1955,274.46,254.409,237.048,222.148,209.477,198.8,189.887,182.509,176.429,171.416,167.458,164.539,161.338,157.19,152.515,148.398,144.619,140.885,137.157,133.455,129.848,126.332,122.849,119.386,115.963,112.611,109.319,106.135,103.087,100.149,97.262,94.44,91.672,88.955,86.286,83.677,81.124,78.607,76.112,73.649,71.235,68.866,66.549,64.288,62.079,59.906,57.769,55.678,53.637,51.637,49.667,47.728,45.806,43.89,41.985,40.107,38.251,36.414,34.594,32.792,31.013,29.256,27.506,25.751,24.005,22.293,20.619,18.965,17.33,15.726,14.176,12.68,11.251,9.894,8.614,7.403,6.262,5.237,4.355,3.596,2.501421,2.04311,1.646407,1.324841,1.064306,0.8345747,0.6370865,0.4758717,0.3483392,0.249883,0.1767606,0.1278203,0.0898197,0.0567131,0.0293641,0.0166973,0.0132426,0.0115153,0.0069092,0.0011515,0.0031667
,Estimates,Mozambique,,508,1956,279.527,263.1,244.998,229.358,215.957,204.568,194.99,187.023,180.319,174.597,169.709,165.775,162.76,159.476,155.337,150.722,146.591,142.751,138.969,135.228,131.533,127.924,124.401,120.923,117.482,114.095,110.778,107.525,104.375,101.354,98.438,95.576,92.778,90.035,87.34,84.691,82.102,79.569,77.073,74.601,72.164,69.774,67.428,65.131,62.892,60.699,58.544,56.422,54.343,52.306,50.306,48.335,46.395,44.467,42.546,40.632,38.745,36.881,35.035,33.21,31.402,29.62,27.863,26.115,24.361,22.62,20.918,19.257,17.626,16.026,14.469,12.968,11.526,10.16,8.881,7.688,6.565,5.514,4.576,3.78,2.777759,2.268818,1.828289,1.471199,1.181882,0.9267723,0.7074671,0.5284424,0.3868212,0.2774882,0.1962878,0.141941,0.0997423,0.0629783,0.0326081,0.0185418,0.0147056,0.0127875,0.0076725,0.0012787,
,Estimates,Mozambique,,508,1957,285.397,264.605,252.333,236.136,222.175,210.239,200.102,191.599,184.557,178.509,173.133,168.359,164.44,161.324,157.949,153.813,149.246,145.093,141.185,137.349,133.584,129.891,126.273,122.734,119.253,115.83,112.47,109.181,105.959,102.839,99.837,96.937,94.093,91.316,88.59,85.912,83.278,80.703,78.185,75.704,73.251,70.835,68.463,66.135,63.854,61.63,59.451,57.308,55.198,53.125,51.088,49.085,47.109,45.163,43.228,41.294,39.369,37.469,35.593,33.736,31.899,30.083,28.295,26.534,24.783,23.03,21.288,19.591,17.94,16.33,14.762,13.247,11.793,10.4,9.096,7.892,6.782,5.744,4.78,3.928,2.980293,2.434243,1.961595,1.578468,1.268057,0.9943457,0.7590504,0.5669726,0.4150253,0.2977206,0.2105996,0.1522903,0.1070148,0.0675702,0.0349856,0.0198938,0.0157778,0.0137198,0.0082319,0.001372,
,Estimates,Mozambique,,508,1958,291.9,270.76,252.309,241.999,227.676,215.372,204.877,195.977,188.53,182.402,177,171.96,167.291,163.382,160.158,156.69,152.546,148.022,143.84,139.856,135.959,132.166,128.468,124.834,121.274,117.786,114.372,111.034,107.769,104.573,101.475,98.489,95.599,92.77,90.007,87.296,84.628,82.005,79.442,76.932,74.463,72.025,69.625,67.268,64.953,62.685,60.473,58.305,56.169,54.067,51.997,49.958,47.947,45.963,44.007,42.061,40.113,38.173,36.257,34.366,32.494,30.644,28.816,27.018,25.251,23.494,21.737,19.993,18.3,16.655,15.061,13.524,12.049,10.638,9.294,8.047,6.916,5.889,4.934,4.055,3.081775,2.517131,2.028389,1.632216,1.311235,1.028204,0.7848967,0.5862785,0.4291573,0.3078583,0.2177707,0.1574759,0.1106587,0.0698711,0.0361769,0.0205712,0.0163151,0.014187,0.0085122,0.0014187,
,Estimates,Mozambique,,508,1959,298.867,277.447,258.68,242.36,231.97,219.506,208.844,199.78,192.105,185.711,180.487,175.726,171.014,166.447,162.541,159.206,155.638,151.482,146.994,142.778,138.712,134.75,130.923,127.214,123.56,119.974,116.473,113.066,109.744,106.499,103.324,100.245,97.271,94.388,91.569,88.816,86.115,83.456,80.84,78.284,75.781,73.32,70.893,68.506,66.161,63.857,61.598,59.395,57.233,55.104,53.006,50.938,48.892,46.871,44.876,42.909,40.948,38.984,37.026,35.091,33.183,31.293,29.427,27.586,25.774,23.999,22.235,20.471,18.722,17.029,15.39,13.812,12.3,10.865,9.496,8.197,7.008,5.947,5.001,4.13,3.059247,2.498731,2.013561,1.620285,1.30165,1.020688,0.7791592,0.5819928,0.4260201,0.3056078,0.2161788,0.1563247,0.1098498,0.0693603,0.0359124,0.0204208,0.0161958,0.0140833,0.00845,0.0014083,
