Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Nigeria,,566,1950,1406.901,1328.15,1258.007,1195.771,1140.746,1092.235,1049.541,1011.964,978.811,949.379,923.614,901.456,879.011,854.302,828.552,804.925,782.749,761.196,740.152,719.643,699.742,680.376,661.593,643.413,625.736,608.406,591.41,574.634,557.992,541.478,525.325,509.663,493.502,476.421,458.949,441.941,425.124,409.646,396.137,384.032,372.24,361.102,349.822,337.938,325.923,314.426,302.955,293.431,286.762,281.841,276.75,271.98,265.674,256.748,246.073,235.686,225.266,214.605,203.831,192.977,181.981,170.888,160.019,149.541,139.386,129.339,119.459,109.879,100.646,91.752,83.167,74.934,67.009,59.381,52.104,45.232,38.74,32.853,27.686,23.139,18.3207,14.48554,11.23461,8.63202,6.568382,4.831719,3.415222,2.319289,1.505454,0.9324441,0.5842301,0.4459864,0.348214,0.1967469,0.0328579,0.0328579,0.0260459,0.0196346,0.0128226,0.0064113,0.0028049
,Estimates,Nigeria,,566,1951,1398.323,1355.578,1284.54,1221.501,1165.718,1116.454,1073.148,1035.238,1001.095,969.63,940.631,914.978,892.479,869.645,844.808,819.063,795.128,772.421,750.488,729.364,708.972,689.135,669.811,651.152,633.192,615.803,598.775,582.109,565.624,549.201,532.857,516.888,501.41,485.428,468.525,451.228,434.382,417.713,402.377,389.003,377.026,365.343,354.294,343.092,331.279,319.318,307.857,296.411,286.849,280.058,274.954,269.675,264.704,258.198,249.088,238.24,227.677,217.085,206.26,195.329,184.335,173.217,162.023,151.088,140.583,130.44,120.436,110.637,101.181,92.118,83.441,75.109,67.152,59.585,52.424,45.687,39.367,33.438,28.124,23.524,20.03178,15.83843,12.28388,9.438215,7.181841,5.282982,3.73419,2.535902,1.646058,1.019531,0.6387948,0.4876397,0.3807357,0.2151223,0.0359267,0.0359267,0.0284785,0.0214684,0.0140202,0.0070101,
,Estimates,Nigeria,,566,1952,1406.126,1333.991,1308.131,1244.581,1188.445,1138.939,1095.279,1057.039,1023.789,992.974,963.105,934.46,908.847,885.951,862.665,837.634,811.825,787.52,764.221,741.852,720.59,700.261,680.431,661.1,642.512,624.725,607.573,590.801,574.418,558.18,541.93,525.71,509.881,494.545,478.699,461.928,444.758,428.027,411.46,396.225,382.95,371.066,359.462,348.471,337.318,325.541,313.603,302.146,290.695,281.07,274.138,268.838,263.357,258.174,251.451,242.133,231.082,220.316,209.525,198.507,187.391,176.226,164.957,153.634,142.603,132.041,121.883,111.898,102.151,92.791,83.874,75.392,67.287,59.583,52.355,45.637,39.42,33.633,28.249,23.491,20.89934,16.52438,12.81588,9.846974,7.492879,5.511782,3.895913,2.645729,1.717347,1.063685,0.6664603,0.5087588,0.397225,0.224439,0.0374827,0.0374827,0.0297119,0.0223982,0.0146274,0.0073137,
,Estimates,Nigeria,,566,1953,1426.997,1353.76,1288.861,1262.55,1206.397,1157.085,1113.783,1075.665,1042.434,1013.799,986.268,957.951,929.619,904.012,880.683,856.914,831.654,805.743,781.033,757.109,734.273,712.843,692.547,672.698,653.329,634.788,617.147,600.209,583.67,567.544,551.532,535.43,519.313,503.601,488.385,472.651,455.989,438.92,422.282,405.795,390.636,377.444,365.635,354.092,343.145,332.023,320.269,308.335,296.866,285.392,275.692,268.608,263.106,257.415,252.011,245.063,235.522,224.255,213.269,202.264,191.037,179.72,168.369,156.933,145.464,134.32,123.689,113.501,103.518,93.811,84.535,75.751,67.449,59.562,52.101,45.198,38.916,33.211,27.946,23.102,20.65012,16.32733,12.66305,9.729552,7.403529,5.446056,3.849456,2.614179,1.696868,1.051001,0.658513,0.502692,0.3924882,0.2217626,0.0370357,0.0370357,0.0293576,0.0221311,0.014453,0.0072265,
,Estimates,Nigeria,,566,1954,1458.463,1381.253,1313.119,1253.246,1217.88,1169.095,1126.583,1089.464,1056.867,1028.633,1004.597,980.336,953.552,925.511,899.888,876.108,851.835,826.325,800.293,775.155,750.588,727.264,705.648,685.37,665.486,646.065,627.555,610.045,593.31,576.988,561.111,545.309,529.345,513.317,497.709,482.602,466.969,450.401,433.422,416.862,400.44,385.35,372.225,360.486,348.994,338.081,326.983,315.24,303.302,291.812,280.307,270.522,263.281,257.572,251.665,246.037,238.856,229.087,217.592,206.378,195.148,183.704,172.177,160.629,149.017,137.393,126.128,115.418,105.19,95.204,85.528,76.329,67.67,59.544,51.868,44.643,38.064,32.211,27.014,22.271,19.0359,15.05102,11.67318,8.968995,6.824797,5.020339,3.548544,2.409829,1.564224,0.9688447,0.6070372,0.4633967,0.3618075,0.2044275,0.0341406,0.0341406,0.0270627,0.0204011,0.0133232,0.0066616,
,Estimates,Nigeria,,566,1955,1498.54,1414.841,1341.436,1277.405,1221.831,1173.795,1132.375,1096.659,1065.723,1038.649,1015.41,995.977,974.98,949.72,921.953,896.299,872.052,847.259,821.482,795.311,769.731,744.502,720.673,698.86,678.586,658.654,639.169,620.679,603.291,586.748,570.636,554.997,539.397,523.561,507.613,492.101,477.093,461.551,445.069,428.168,411.678,395.312,380.278,367.217,355.537,344.091,333.206,322.125,310.386,298.436,286.918,275.375,265.499,258.096,252.175,246.05,240.191,232.774,222.767,211.039,199.588,188.127,176.457,164.711,152.96,141.164,129.377,117.984,107.187,96.916,86.917,77.268,68.14,59.603,51.647,44.178,37.187,30.926,25.503,20.812,15.79385,12.48764,9.685092,7.441461,5.662447,4.165311,2.944182,1.999405,1.297817,0.8038381,0.503651,0.3844743,0.3001871,0.1696109,0.0283261,0.0283261,0.0224536,0.0169265,0.0110541,0.005527,0.0024181
,Estimates,Nigeria,,566,1956,1537.869,1451.037,1373.847,1306.711,1248.61,1198.524,1155.672,1119.259,1087.12,1057.771,1030.887,1007.644,987.833,966.402,940.955,913.125,887.111,862.282,837.085,811.231,785.203,759.709,734.551,710.866,689.28,669.289,649.656,630.498,612.285,595.087,578.674,562.707,547.216,531.746,516.026,500.18,484.762,469.828,454.387,438.05,421.316,404.977,388.754,373.823,360.811,349.135,337.682,326.764,315.648,303.886,291.906,280.338,268.741,258.729,251.071,244.818,238.375,232.195,224.486,214.238,202.313,190.68,179.058,167.284,155.507,143.788,132.063,120.388,109.164,98.596,88.61,78.932,69.632,60.929,52.915,45.547,38.673,32.285,26.625,21.786,17.52524,13.8566,10.74681,8.257228,6.28319,4.621932,3.266937,2.218588,1.440089,0.8919584,0.5588635,0.4266221,0.3330949,0.1882044,0.0314313,0.0314313,0.024915,0.0187821,0.0122659,0.0061329,
,Estimates,Nigeria,,566,1957,1582.005,1481.682,1405.11,1334.334,1273.38,1221.131,1176.468,1138.738,1107.281,1078.678,1050.879,1024.159,1000.891,980.682,958.798,933.139,905.22,878.821,853.389,827.762,801.808,775.896,750.465,725.352,701.787,680.405,660.677,641.324,622.472,604.518,587.493,571.193,555.355,539.995,524.641,509.02,493.262,477.92,463.048,447.692,431.482,414.9,398.693,382.598,367.756,354.778,343.097,331.623,320.664,309.502,297.704,285.683,274.054,262.392,252.235,244.314,237.727,230.957,224.453,216.445,205.947,193.815,181.988,170.194,158.305,146.485,134.787,123.121,111.547,100.48,90.131,80.418,71.051,62.089,53.802,46.3,39.513,33.224,27.43,22.365,18.61426,14.71765,11.41463,8.770335,6.67363,4.90914,3.469946,2.356453,1.529577,0.9473851,0.5935915,0.4531326,0.3537936,0.1998995,0.0333844,0.0333844,0.0264633,0.0199492,0.0130281,0.006514,
,Estimates,Nigeria,,566,1958,1629.084,1520.385,1426.719,1360.833,1296.382,1241.533,1195.07,1155.773,1123.117,1096.575,1071.468,1045.189,1018.6,995.281,974.652,952.292,926.391,898.351,871.538,845.474,819.391,793.306,767.48,742.083,716.986,693.515,672.314,652.825,633.729,615.162,597.446,580.574,564.37,548.641,533.396,518.14,502.6,486.912,471.629,456.801,441.512,425.412,408.961,392.871,376.882,362.114,349.155,337.455,325.949,314.934,303.714,291.867,279.792,268.09,256.348,246.035,237.842,230.912,223.811,216.976,208.66,197.899,185.546,173.513,161.534,149.516,137.641,125.95,114.329,102.844,91.92,81.777,72.328,63.259,54.626,46.745,39.747,33.529,27.819,22.614,18.82607,14.88512,11.54451,8.870132,6.749568,4.965001,3.50943,2.383266,1.546982,0.9581653,0.600346,0.4582888,0.3578194,0.2021741,0.0337643,0.0337643,0.0267644,0.0201762,0.0131763,0.0065882,
,Estimates,Nigeria,,566,1959,1677.182,1561.764,1462.419,1377.712,1318.139,1259.942,1211.14,1170.414,1136.441,1108.826,1087.17,1065.536,1040.746,1014.258,990.858,969.785,946.919,920.748,892.552,865.292,838.564,811.994,785.745,759.976,734.582,709.471,686.066,665.019,645.748,626.885,608.582,591.084,574.343,558.216,542.578,527.428,512.254,496.776,481.139,465.897,451.094,435.854,419.846,403.507,387.512,371.613,356.9,343.944,332.212,320.659,309.575,298.285,286.374,274.23,262.439,250.605,240.123,231.649,224.367,216.925,209.75,201.115,190.081,177.49,165.237,153.058,140.897,128.951,117.255,105.664,94.253,83.462,73.512,64.315,55.535,47.22,39.736,33.233,27.58,22.441,17.92904,14.17587,10.99443,8.447484,6.427962,4.728426,3.342211,2.269707,1.473271,0.9125102,0.5717404,0.436452,0.3407698,0.1925408,0.0321555,0.0321555,0.0254891,0.0192149,0.0125485,0.0062742,
