Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Peru,,604,1950,291.855,271.51,253.952,238.934,226.207,215.528,206.648,199.32,193.296,188.331,184.378,181.398,178.126,173.906,169.107,164.794,160.825,156.448,151.419,145.997,140.702,135.457,130.398,125.656,121.18,116.793,112.541,108.543,104.844,101.427,98.164,95.006,92.331,90.299,88.698,87.155,85.736,84.161,82.249,80.108,78.086,76.182,74.005,71.424,68.621,65.859,63.005,60.663,59.134,58.106,57.002,55.96,54.603,52.695,50.428,48.237,46.025,43.883,41.902,40.008,38.086,36.218,34.155,31.781,29.253,26.79,24.295,22.211,20.763,19.724,18.674,17.728,16.571,15.02,13.239,11.591,10.005,8.566,7.356,6.322,4.578416,3.952301,3.366699,2.83491,2.352843,1.899625,1.474235,1.121687,0.8626476,0.6750176,0.5139874,0.3852859,0.2823657,0.1960191,0.1270646,0.082459,0.0595423,0.0425595,0.0243489,0.0075707,0.0184152
,Estimates,Peru,,604,1951,300.223,283.967,265.292,249.131,235.258,223.447,213.479,205.131,198.164,192.348,187.466,183.492,180.386,177.009,172.771,168.003,163.67,159.646,155.235,150.205,144.804,139.525,134.296,129.259,124.547,120.104,115.752,111.537,107.572,103.897,100.498,97.255,94.115,91.453,89.425,87.823,86.277,84.853,83.275,81.364,79.227,77.205,75.298,73.122,70.544,67.745,64.986,62.133,59.785,58.234,57.177,56.041,54.967,53.579,51.643,49.35,47.132,44.895,42.724,40.709,38.779,36.823,34.919,32.835,30.462,27.947,25.5,23.028,20.952,19.483,18.408,17.334,16.364,15.211,13.701,11.99,10.412,8.899,7.544,6.43,4.908472,4.23722,3.609403,3.039278,2.522458,2.036568,1.580512,1.202549,0.9248354,0.7236793,0.5510404,0.413061,0.3027213,0.21015,0.1362246,0.0884034,0.0638347,0.0456276,0.0261042,0.0081164,
,Estimates,Peru,,604,1952,310.625,290.116,276.459,259.427,244.638,231.889,220.976,211.706,203.878,197.262,191.646,186.84,182.841,179.605,176.119,171.858,167.115,162.755,158.673,154.222,149.184,143.797,138.529,133.307,128.287,123.598,119.183,114.861,110.677,106.738,103.084,99.7,96.47,93.346,90.693,88.667,87.061,85.51,84.081,82.497,80.584,78.447,76.424,74.513,72.333,69.755,66.958,64.197,61.343,58.984,57.411,56.322,55.154,54.047,52.625,50.658,48.338,46.09,43.824,41.622,39.571,37.602,35.61,33.668,31.561,29.184,26.68,24.245,21.794,19.722,18.231,17.12,16.018,15.025,13.873,12.403,10.76,9.249,7.807,6.535,5.099285,4.401939,3.749716,3.157427,2.620517,2.115738,1.641953,1.249297,0.9607877,0.7518118,0.5724617,0.4291184,0.3144893,0.2183194,0.1415202,0.09184,0.0663162,0.0474013,0.027119,0.008432,
,Estimates,Peru,,604,1953,321.667,300.539,281.73,269.184,253.779,240.348,228.713,218.69,210.108,202.793,196.524,191.101,186.37,182.34,178.972,175.376,171.087,166.364,161.975,157.832,153.335,148.287,142.91,137.646,132.43,127.421,122.751,118.361,114.065,109.908,105.994,102.356,98.984,95.767,92.653,90.008,87.982,86.371,84.815,83.378,81.787,79.872,77.733,75.706,73.789,71.605,69.024,66.226,63.462,60.603,58.233,56.635,55.514,54.313,53.171,51.716,49.716,47.365,45.087,42.79,40.555,38.465,36.457,34.427,32.446,30.312,27.932,25.436,23.01,20.579,18.509,16.995,15.847,14.716,13.699,12.548,11.116,9.538,8.095,6.722,5.129307,4.427855,3.771792,3.176017,2.635945,2.128195,1.65162,1.256653,0.9664443,0.7562381,0.5758321,0.4316448,0.3163409,0.2196048,0.1423534,0.0923807,0.0667067,0.0476804,0.0272787,0.0084816,
,Estimates,Peru,,604,1954,332.47,310.954,291.701,274.559,262.106,248.318,236.238,225.708,216.569,208.669,201.862,195.935,190.702,186.041,181.978,178.477,174.764,170.446,165.741,161.318,157.109,152.567,147.501,142.131,136.868,131.653,126.651,121.997,117.629,113.354,109.224,105.33,101.705,98.342,95.136,92.031,89.392,87.363,85.747,84.184,82.737,81.139,79.219,77.079,75.045,73.12,70.931,68.346,65.543,62.774,59.909,57.526,55.901,54.748,53.513,52.335,50.844,48.811,46.429,44.116,41.788,39.518,37.388,35.339,33.268,31.247,29.086,26.699,24.21,21.792,19.378,17.31,15.77,14.584,13.425,12.381,11.23,9.836,8.323,6.946,4.999642,4.315923,3.676444,3.095729,2.56931,2.074396,1.609869,1.224886,0.9420134,0.737121,0.5612755,0.4207332,0.308344,0.2140533,0.1387548,0.0900454,0.0650204,0.046475,0.0265891,0.0082672,
,Estimates,Peru,,604,1955,342.543,321.079,301.749,284.415,268.938,255.18,243.004,232.27,222.842,214.581,207.361,201.06,195.47,190.426,185.831,181.733,178.094,174.265,169.913,165.222,160.764,156.487,151.893,146.81,141.441,136.177,130.958,125.962,121.32,116.97,112.716,108.607,104.732,101.119,97.763,94.564,91.467,88.831,86.8,85.176,83.605,82.149,80.542,78.616,76.471,74.432,72.497,70.3,67.71,64.902,62.125,59.252,56.853,55.202,54.015,52.745,51.531,50.004,47.935,45.519,43.172,40.81,38.505,36.332,34.24,32.129,30.065,27.876,25.48,22.996,20.586,18.186,16.118,14.553,13.327,12.139,11.069,9.917,8.559,7.11,4.702371,4.059305,3.457848,2.911662,2.416543,1.951055,1.514148,1.152056,0.8860027,0.6932929,0.5279029,0.3957171,0.2900104,0.201326,0.1305047,0.0846914,0.0611544,0.0437117,0.0250081,0.0077756,0.0189137
,Estimates,Peru,,604,1956,350.322,334.282,314.489,296.574,280.419,265.902,252.91,241.333,231.011,221.812,213.637,206.403,199.983,194.294,189.235,184.675,180.556,176.863,172.994,168.634,163.954,159.501,155.229,150.65,145.595,140.264,135.038,129.861,124.9,120.289,115.961,111.731,107.645,103.791,100.195,96.852,93.665,90.577,87.946,85.915,84.287,82.709,81.245,79.629,77.694,75.538,73.486,71.536,69.325,66.728,63.914,61.131,58.25,55.831,54.141,52.904,51.585,50.32,48.747,46.64,44.19,41.813,39.424,37.09,34.886,32.765,30.629,28.543,26.351,23.982,21.544,19.184,16.846,14.828,13.29,12.08,10.916,9.87,8.774,7.524,5.153251,4.448525,3.789399,3.190842,2.648249,2.138129,1.65933,1.262519,0.9709557,0.7597682,0.5785201,0.4336598,0.3178176,0.2206299,0.1430179,0.0928119,0.0670181,0.0479029,0.027406,0.0085212,
,Estimates,Peru,,604,1957,357.943,338.036,326.551,308.394,291.864,276.859,263.277,251.03,240.032,230.106,221.121,213.02,205.76,199.212,193.416,188.335,183.801,179.657,175.903,171.99,167.613,162.938,158.485,154.21,149.639,144.604,139.302,134.108,128.962,124.033,119.442,115.131,110.918,106.849,103.01,99.425,96.091,92.909,89.828,87.197,85.162,83.528,81.941,80.467,78.839,76.892,74.723,72.654,70.686,68.458,65.849,63.028,60.23,57.339,54.897,53.166,51.876,50.506,49.189,47.567,45.419,42.933,40.521,38.1,35.736,33.498,31.343,29.18,27.068,24.871,22.524,20.129,17.815,15.535,13.564,12.05,10.854,9.714,8.688,7.649,5.503014,4.750456,4.046594,3.407412,2.827992,2.283249,1.771953,1.348209,1.036857,0.8113355,0.6177856,0.4630933,0.3393886,0.2356045,0.1527249,0.0991113,0.0715667,0.0511542,0.0292661,0.0090995,
,Estimates,Peru,,604,1958,365.972,347.023,329.402,319.166,302.626,287.463,273.592,260.931,249.415,238.986,229.444,220.664,212.627,205.335,198.653,192.742,187.633,183.123,178.947,175.13,171.167,166.77,162.094,157.636,153.354,148.785,143.767,138.489,133.318,128.201,123.295,118.722,114.423,110.222,106.167,102.337,98.761,95.431,92.253,89.172,86.541,84.5,82.857,81.26,79.774,78.133,76.171,73.986,71.9,69.91,67.663,65.041,62.207,59.394,56.49,54.02,52.247,50.903,49.481,48.11,46.438,44.245,41.722,39.272,36.817,34.42,32.145,29.954,27.762,25.622,23.418,21.09,18.734,16.466,14.241,12.315,10.822,9.641,8.521,7.517,5.675961,4.899753,4.17377,3.5145,2.91687,2.355007,1.827641,1.39058,1.069443,0.836834,0.6372012,0.4776473,0.3500548,0.2430091,0.1575247,0.1022262,0.0738159,0.0527619,0.0301859,0.0093855,
,Estimates,Peru,,604,1959,375.178,356.832,339.629,323.517,311.954,297.024,283.221,270.479,258.731,247.942,238.075,228.914,220.334,212.357,205.027,198.206,192.179,187.039,182.549,178.339,174.456,170.442,166.023,161.342,156.876,152.585,148.017,143.011,137.753,132.605,127.513,122.627,118.069,113.78,109.59,105.543,101.724,98.152,94.825,91.649,88.567,85.933,83.886,82.232,80.625,79.126,77.471,75.493,73.291,71.186,69.173,66.907,64.269,61.42,58.593,55.67,53.174,51.357,49.958,48.482,47.057,45.334,43.097,40.532,38.043,35.555,33.12,30.809,28.581,26.358,24.189,21.975,19.667,17.349,15.124,12.953,11.07,9.6,8.431,7.332,5.612787,4.845218,4.127315,3.475383,2.884404,2.328795,1.807299,1.375103,1.05754,0.8275198,0.6301091,0.472331,0.3461586,0.2403043,0.1557714,0.1010884,0.0729943,0.0521746,0.0298499,0.0092811,
