Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Philippines,,608,1950,710.548,678.392,648.396,620.437,594.396,570.151,547.585,526.574,506.998,488.736,471.463,454.854,439.812,426.629,414.564,403.24,393.497,380.384,361.64,339.844,319.246,298.303,282.784,275.765,274.234,272.355,271.611,268.446,260.607,250.028,240.656,231.394,224.243,220.495,218.865,216.741,214.598,211.613,207.097,201.445,196.017,190.857,184.202,175.409,165.351,155.413,145.168,136.539,130.58,126.377,122.01,117.907,113.518,108.39,102.887,97.787,92.886,88.45,84.675,81.365,78.103,74.947,71.835,68.687,65.518,62.453,59.484,56.383,53.048,49.577,46.155,42.742,39.423,36.262,33.209,30.22,27.383,24.371,21.041,17.597,13.52739,11.48741,9.604069,7.937732,6.461787,5.073356,3.767775,2.71733,1.99088,1.508043,1.111348,0.819177,0.5912011,0.3881901,0.2183741,0.125373,0.0990365,0.0787354,0.0480094,0.01454,0.0252392
,Estimates,Philippines,,608,1951,825.321,707.626,673.781,643.04,615.105,589.678,566.655,545.943,526.238,506.838,488.046,470.547,453.819,438.663,425.418,413.323,401.924,392.071,378.893,360.156,338.414,317.861,296.966,281.482,274.469,272.928,271.043,270.294,267.131,259.306,248.748,239.394,230.149,223.001,219.235,217.572,215.416,213.241,210.226,205.684,200.009,194.557,189.368,182.695,173.901,163.852,153.92,143.683,135.045,129.054,124.802,120.387,116.231,111.796,106.633,101.102,95.97,91.034,86.553,82.72,79.343,76.014,72.793,69.612,66.385,63.135,59.994,56.958,53.796,50.413,46.906,43.463,40.043,36.737,33.606,30.609,27.685,24.916,22.033,18.916,14.87183,12.6291,10.55858,8.726632,7.103999,5.577577,4.14224,2.987395,2.188746,1.657921,1.221801,0.9005918,0.6499583,0.4267707,0.2400774,0.1378334,0.1088793,0.0865606,0.0527808,0.0159851,
,Estimates,Philippines,,608,1952,913.874,824.971,702.568,667.139,635.751,607.925,583.185,561.452,542.652,524.307,505.142,485.88,468.206,451.413,436.187,422.921,410.833,399.393,389.462,376.257,357.585,335.962,315.516,294.734,279.33,272.345,270.797,268.915,268.161,265.01,257.223,246.718,237.409,228.21,221.088,217.313,215.623,213.443,211.242,208.205,203.651,197.972,192.511,187.309,180.639,171.871,161.861,151.965,141.765,133.147,127.142,122.853,118.403,114.208,109.74,104.558,99.016,93.866,88.911,84.4,80.521,77.085,73.701,70.426,67.183,63.888,60.568,57.361,54.266,51.053,47.633,44.102,40.647,37.23,33.946,30.858,27.922,25.073,22.382,19.635,16.01074,13.59625,11.36717,9.394931,7.648033,6.004716,4.459459,3.216174,2.356363,1.784887,1.315368,0.9695605,0.699733,0.4594535,0.2584629,0.1483889,0.1172175,0.0931895,0.0568229,0.0172092,
,Estimates,Philippines,,608,1953,977.901,876.876,791.508,698.723,661.66,629.572,601.808,577.709,557.225,540.295,523.276,504.311,484.546,466.671,449.783,434.463,421.153,409.05,397.551,387.525,374.272,355.632,334.091,313.717,293.01,277.662,270.693,269.136,267.251,266.493,263.348,255.585,245.116,235.836,226.667,219.557,215.769,214.048,211.841,209.609,206.547,201.973,196.279,190.8,185.578,178.898,170.141,160.153,150.276,140.098,131.482,125.453,121.121,116.63,112.387,107.878,102.669,97.108,91.931,86.948,82.399,78.467,74.969,71.522,68.187,64.88,61.511,58.114,54.836,51.677,48.41,44.945,41.384,37.912,34.493,31.225,28.172,25.295,22.515,19.896,16.86847,14.32463,11.97614,9.898239,8.057756,6.326403,4.698362,3.388472,2.482599,1.880508,1.385836,1.021502,0.7372194,0.4840675,0.2723093,0.1563384,0.1234971,0.0981819,0.059867,0.0181311,
,Estimates,Philippines,,608,1954,1018.729,917.457,831.352,759.048,696.729,657.932,625.06,597.283,573.764,554.472,539.37,523.629,504.816,484.497,466.372,449.343,433.889,420.5,408.351,396.762,386.614,373.277,354.621,333.104,312.749,292.064,276.728,269.757,268.188,266.295,265.531,262.382,254.624,244.163,234.888,225.724,218.607,214.796,213.041,210.798,208.533,205.435,200.829,195.106,189.595,184.337,177.632,168.861,158.869,148.985,138.801,130.166,124.095,119.711,115.164,110.864,106.302,101.052,95.456,90.239,85.215,80.617,76.621,73.05,69.532,66.13,62.748,59.296,55.814,52.457,49.224,45.894,42.376,38.775,35.278,31.846,28.586,25.561,22.735,20.017,17.34576,14.72995,12.315,10.17831,8.285752,6.505409,4.831303,3.48435,2.552845,1.933717,1.425048,1.050406,0.7580791,0.4977642,0.2800144,0.160762,0.1269914,0.10096,0.0615609,0.0186442,
,Estimates,Philippines,,608,1955,1037.537,947.275,868.975,801.624,744.207,695.709,655.115,621.41,593.581,570.611,552.489,539.201,524.722,506.034,485.13,466.728,449.535,433.925,420.436,408.225,396.529,386.243,372.805,354.105,332.583,312.217,291.524,276.182,269.197,267.613,265.71,264.939,261.783,254.018,243.549,234.267,225.095,217.962,214.122,212.329,210.049,207.745,204.608,199.964,194.203,188.652,183.351,176.609,167.815,157.803,147.898,137.694,129.028,122.908,118.462,113.855,109.49,104.87,99.571,93.931,88.668,83.595,78.94,74.875,71.226,67.633,64.157,60.695,57.155,53.583,50.141,46.832,43.431,39.856,36.211,32.681,29.234,25.977,22.975,20.195,17.36918,14.74984,12.33163,10.19205,8.296937,6.514191,4.837825,3.489053,2.556291,1.936328,1.426972,1.051824,0.7591024,0.4984362,0.2803924,0.160979,0.1271629,0.1010962,0.061644,0.0186693,0.0324072
,Estimates,Philippines,,608,1956,1031.045,1014.576,934.821,863.54,800.269,744.55,695.396,651.822,615.979,588.452,567.208,549.63,536.235,521.667,502.992,482.156,463.76,446.535,430.909,417.439,405.269,393.608,383.347,369.971,351.385,330.006,309.78,289.236,273.993,267.033,265.424,263.501,262.699,259.532,251.792,241.37,232.121,222.981,215.858,211.997,210.161,207.84,205.496,202.318,197.635,191.838,186.248,180.903,174.138,165.357,155.376,145.5,135.329,126.673,120.523,116.024,111.366,106.948,102.284,96.963,91.311,86.034,80.946,76.265,72.152,68.443,64.797,61.276,57.77,54.188,50.578,47.111,43.784,40.396,36.879,33.324,29.894,26.562,23.439,20.597,18.63116,15.82151,13.2276,10.93257,8.899763,6.987489,5.189324,3.742555,2.742022,2.077014,1.53065,1.128245,0.8142561,0.5346508,0.3007647,0.1726752,0.1364021,0.1084415,0.0661229,0.0200258,
,Estimates,Philippines,,608,1957,1016.842,972.776,995.784,926.184,861.612,802.157,747.903,697.897,651.175,613.056,585.717,566.109,549.004,535.445,520.732,501.993,481.141,462.676,445.35,429.645,416.138,403.962,392.287,382.01,368.642,350.093,328.772,308.604,288.123,272.92,265.955,264.315,262.363,261.527,258.338,250.591,240.173,230.921,221.775,214.633,210.736,208.848,206.479,204.085,200.853,196.111,190.256,184.604,179.193,172.38,163.573,153.585,143.697,133.518,124.837,118.633,114.062,109.334,104.845,100.12,94.753,89.069,83.755,78.633,73.905,69.729,65.943,62.231,58.652,55.087,51.447,47.788,44.28,40.92,37.534,34.059,30.579,27.237,24.004,21.003,19.60977,16.65254,13.92238,11.50681,9.367225,7.354509,5.461895,3.939134,2.886047,2.18611,1.611048,1.187507,0.8570252,0.5627335,0.3165624,0.181745,0.1435666,0.1141375,0.069596,0.0210776,
,Estimates,Philippines,,608,1958,1000.746,982.684,957.834,978.165,918.662,860.737,805.032,752.184,701.26,651.325,610.877,583.695,565.702,549.048,535.311,520.434,501.606,480.714,462.158,444.707,428.906,415.344,403.146,391.445,381.139,367.76,349.228,327.939,307.802,287.362,272.178,265.201,263.527,261.544,260.675,257.456,249.695,239.268,230.001,220.838,213.669,209.729,207.789,205.367,202.921,199.63,194.825,188.903,183.183,177.698,170.828,161.987,151.977,142.066,131.866,123.15,116.882,112.236,107.432,102.866,98.072,92.655,86.93,81.572,76.41,71.632,67.384,63.519,59.735,56.092,52.466,48.763,45.048,41.496,38.1,34.711,31.273,27.865,24.606,21.469,20.20354,17.15676,14.34394,11.85522,9.650858,7.577197,5.627277,4.058408,2.973434,2.252304,1.659829,1.223464,0.8829752,0.5797726,0.3261477,0.1872481,0.1479137,0.1175934,0.0717033,0.0217159,
,Estimates,Philippines,,608,1959,990.572,993.41,984.395,965.083,959.714,910.383,859.172,807.272,755.875,704.072,650.956,608.203,581.199,564.843,548.654,534.748,519.718,500.818,479.902,461.267,443.709,427.82,414.217,402.006,390.286,379.96,366.584,348.081,326.84,306.753,286.368,271.217,264.233,262.526,260.514,259.61,256.368,248.596,238.169,228.895,219.72,212.531,208.552,206.562,204.087,201.591,198.245,193.379,187.394,181.611,176.058,169.135,160.266,150.243,140.317,130.104,121.359,115.034,110.314,105.438,100.798,95.94,90.477,84.716,79.318,74.12,69.293,64.979,61.037,57.184,53.48,49.794,46.032,42.265,38.67,35.243,31.85,28.455,25.121,21.948,20.35663,17.28677,14.45264,11.94506,9.723988,7.634615,5.669918,4.089161,2.995966,2.269371,1.672407,1.232735,0.8896661,0.5841659,0.3286191,0.188667,0.1490345,0.1184845,0.0722467,0.0218804,
