Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Senegal,,686,1950,94.646,88.334,82.827,78.053,73.952,70.447,67.473,64.964,62.849,61.06,59.593,58.44,57.223,55.747,54.135,52.69,51.351,50.029,48.716,47.411,46.14,44.904,43.654,42.372,41.081,39.817,38.571,37.381,36.267,35.209,34.169,33.15,32.157,31.184,30.232,29.303,28.402,27.507,26.614,25.728,24.863,24.013,23.191,22.405,21.647,20.902,20.17,19.448,18.735,18.027,17.339,16.673,15.993,15.282,14.562,13.86,13.164,12.54,12.02,11.571,11.121,10.685,10.239,9.762,9.267,8.783,8.312,7.818,7.296,6.752,6.22,5.695,5.173,4.649,4.135,3.637,3.15,2.706,2.32,1.978,1.62779,1.297971,1.015889,0.7906182,0.6122951,0.4568542,0.325479,0.2225093,0.1467615,0.0946848,0.059967,0.0430027,0.030378,0.0165698,0.0023671,0.0031562,0.0023671,0.0019726,0.0011836,0.000789,0.0003945
,Estimates,Senegal,,686,1951,102.586,91.058,85.109,80.018,75.69,72.044,69.019,66.559,64.416,62.43,60.615,59.131,57.937,56.691,55.23,53.657,52.223,50.878,49.555,48.251,46.964,45.706,44.481,43.243,41.973,40.693,39.44,38.207,37.023,35.913,34.853,33.813,32.793,31.797,30.823,29.869,28.937,28.033,27.136,26.244,25.36,24.496,23.648,22.826,22.039,21.278,20.53,19.794,19.068,18.351,17.636,16.943,16.27,15.582,14.864,14.136,13.426,12.721,12.085,11.549,11.081,10.613,10.16,9.698,9.206,8.698,8.203,7.722,7.224,6.701,6.162,5.637,5.121,4.616,4.12,3.64,3.178,2.729,2.325,1.978,1.756509,1.400609,1.096222,0.8531371,0.660713,0.4929804,0.3512166,0.2401044,0.1583668,0.1021721,0.064709,0.0464032,0.0327802,0.0178801,0.0025543,0.0034057,0.0025543,0.0021286,0.0012772,0.0008514,
,Estimates,Senegal,,686,1952,109.257,98.118,87.548,81.96,77.276,73.39,70.195,67.643,65.693,63.911,62.054,60.211,58.708,57.475,56.198,54.751,53.216,51.792,50.439,49.115,47.82,46.55,45.304,44.088,42.861,41.603,40.334,39.091,37.868,36.692,35.582,34.523,33.48,32.458,31.461,30.482,29.527,28.592,27.684,26.785,25.892,25.01,24.149,23.299,22.479,21.689,20.925,20.173,19.433,18.702,17.98,17.26,16.559,15.88,15.184,14.458,13.722,13.002,12.289,11.64,11.089,10.601,10.115,9.645,9.167,8.659,8.138,7.631,7.142,6.638,6.115,5.579,5.061,4.554,4.066,3.596,3.151,2.724,2.313,1.947,1.806647,1.440588,1.127512,0.877489,0.6795723,0.507052,0.3612417,0.246958,0.1628872,0.1050885,0.0665561,0.0477277,0.0337159,0.0183905,0.0026272,0.003503,0.0026272,0.0021893,0.0013136,0.0008757,
,Estimates,Senegal,,686,1953,114.883,102.564,92.305,84.282,79.035,74.747,71.29,68.536,66.45,65.003,63.577,61.842,59.968,58.441,57.165,55.855,54.418,52.916,51.499,50.135,48.806,47.517,46.258,45.023,43.814,42.593,41.344,40.081,38.846,37.631,36.458,35.347,34.284,33.237,32.21,31.207,30.225,29.263,28.324,27.408,26.505,25.611,24.727,23.865,23.014,22.191,21.398,20.627,19.871,19.125,18.387,17.657,16.93,16.221,15.532,14.828,14.091,13.345,12.614,11.891,11.228,10.658,10.151,9.646,9.157,8.66,8.138,7.6,7.082,6.582,6.071,5.546,5.013,4.501,4.001,3.527,3.085,2.671,2.279,1.904,1.766392,1.40849,1.102389,0.8579372,0.6644304,0.4957541,0.3531927,0.2414554,0.1592578,0.102747,0.0650731,0.0466643,0.0329647,0.0179807,0.0025687,0.0034249,0.0025687,0.0021406,0.0012843,0.0008562,
,Estimates,Senegal,,686,1954,119.582,106.823,96.146,87.363,81.233,76.316,72.413,69.376,67.056,65.433,64.484,63.412,61.796,59.883,58.331,57.007,55.66,54.23,52.757,51.344,49.964,48.626,47.34,46.091,44.861,43.655,42.44,41.194,39.935,38.705,37.493,36.321,35.206,34.137,33.082,32.047,31.037,30.047,29.077,28.131,27.206,26.295,25.396,24.511,23.644,22.79,21.961,21.163,20.385,19.621,18.866,18.121,17.381,16.645,15.925,15.226,14.509,13.762,13.003,12.259,11.523,10.845,10.256,9.726,9.202,8.692,8.177,7.635,7.083,6.551,6.038,5.519,4.991,4.459,3.951,3.458,2.997,2.579,2.198,1.838,1.621523,1.292974,1.011978,0.7875742,0.6099377,0.4550953,0.3242259,0.2216526,0.1461964,0.0943203,0.0597362,0.0428371,0.0302611,0.016506,0.002358,0.003144,0.002358,0.001965,0.001179,0.000786,
,Estimates,Senegal,,686,1955,123.409,110.869,100.258,91.41,84.15,78.307,73.712,70.19,67.571,65.685,64.523,64.076,63.357,61.857,59.904,58.321,56.949,55.562,54.135,52.69,51.277,49.88,48.531,47.244,46.003,44.777,43.573,42.359,41.116,39.859,38.63,37.42,36.247,35.126,34.048,32.984,31.94,30.92,29.92,28.942,27.985,27.05,26.131,25.225,24.335,23.463,22.604,21.77,20.963,20.177,19.403,18.64,17.884,17.134,16.387,15.655,14.944,14.215,13.454,12.681,11.924,11.173,10.478,9.869,9.316,8.77,8.24,7.704,7.144,6.574,6.027,5.501,4.974,4.441,3.909,3.404,2.917,2.469,2.075,1.725,1.35396,1.079624,0.8449947,0.6576192,0.5092939,0.3800015,0.2707265,0.1850785,0.122073,0.0787568,0.0498793,0.0357687,0.0252678,0.0137824,0.0019689,0.0026252,0.0019689,0.0016408,0.0009845,0.0006563,0.0003282
,Estimates,Senegal,,686,1956,125.282,117.928,106.793,97.283,89.27,82.614,77.159,72.752,69.359,66.889,65.142,64.011,63.508,62.749,61.272,59.378,57.819,56.45,55.071,53.66,52.238,50.844,49.463,48.127,46.851,45.619,44.401,43.203,41.994,40.751,39.492,38.262,37.047,35.871,34.747,33.665,32.596,31.548,30.524,29.524,28.547,27.589,26.654,25.735,24.827,23.933,23.059,22.196,21.358,20.546,19.754,18.974,18.204,17.441,16.68,15.923,15.179,14.457,13.717,12.947,12.168,11.404,10.648,9.946,9.329,8.768,8.215,7.681,7.144,6.587,6.022,5.484,4.969,4.459,3.954,3.458,2.988,2.539,2.131,1.777,1.481233,1.181109,0.9244245,0.7194356,0.5571677,0.4157218,0.2961748,0.2024759,0.1335479,0.08616,0.054568,0.039131,0.027643,0.015078,0.002154,0.002872,0.002154,0.001795,0.001077,0.000718,
,Estimates,Senegal,,686,1957,127.064,116.48,112.918,103.138,94.689,87.477,81.394,76.306,72.07,68.793,66.46,64.847,63.741,63.18,62.379,60.921,59.077,57.536,56.164,54.788,53.389,51.985,50.602,49.234,47.906,46.636,45.408,44.192,42.998,41.787,40.54,39.276,38.038,36.816,35.631,34.5,33.409,32.333,31.277,30.245,29.24,28.26,27.299,26.36,25.437,24.524,23.624,22.742,21.874,21.028,20.208,19.407,18.619,17.839,17.065,16.292,15.52,14.763,14.025,13.274,12.493,11.702,10.93,10.165,9.455,8.827,8.255,7.695,7.153,6.614,6.057,5.497,4.964,4.457,3.964,3.485,3.022,2.586,2.172,1.802,1.558368,1.242615,0.9725638,0.7569001,0.5861821,0.4373704,0.3115981,0.2130198,0.1405024,0.0906467,0.0574096,0.0411687,0.0290825,0.0158632,0.0022662,0.0030216,0.0022662,0.0018885,0.0011331,0.0007554,
,Estimates,Senegal,,686,1958,128.951,119.526,110.993,108.142,99.698,92.292,85.865,80.344,75.613,71.537,68.37,66.17,64.687,63.604,62.984,62.139,60.696,58.899,57.373,55.996,54.62,53.229,51.839,50.467,49.107,47.784,46.519,45.291,44.076,42.882,41.668,40.414,39.142,37.893,36.661,35.466,34.324,33.224,32.137,31.07,30.028,29.018,28.032,27.066,26.122,25.191,24.272,23.364,22.474,21.596,20.742,19.912,19.101,18.301,17.511,16.725,15.937,15.15,14.378,13.624,12.857,12.064,11.261,10.478,9.704,8.984,8.343,7.76,7.189,6.641,6.097,5.54,4.982,4.455,3.955,3.477,3.022,2.592,2.19,1.81,1.566564,1.249151,0.9776786,0.7608807,0.5892649,0.4396706,0.3132368,0.2141401,0.1412413,0.0911234,0.0577115,0.0413852,0.0292354,0.0159466,0.0022781,0.0030374,0.0022781,0.0018984,0.001139,0.0007594,
,Estimates,Senegal,,686,1959,131.21,122.744,114.867,107.564,103.439,96.327,89.962,84.317,79.358,74.977,71.062,68.001,65.934,64.578,63.519,62.838,61.95,60.519,58.768,57.256,55.874,54.495,53.112,51.735,50.373,49.019,47.701,46.439,45.211,43.996,42.799,41.583,40.321,39.038,37.78,36.535,35.329,34.176,33.065,31.966,30.888,29.836,28.818,27.826,26.854,25.903,24.966,24.04,23.121,22.223,21.336,20.471,19.632,18.81,17.998,17.196,16.397,15.594,14.791,14.002,13.233,12.45,11.643,10.828,10.033,9.249,8.518,7.865,7.269,6.688,6.132,5.584,5.025,4.47,3.948,3.455,2.991,2.56,2.164,1.793,1.488947,1.18726,0.9292384,0.7231821,0.5600692,0.4178866,0.2977172,0.2035303,0.1342434,0.0866086,0.0548521,0.0393348,0.0277869,0.0151565,0.0021652,0.002887,0.0021652,0.0018043,0.0010826,0.0007217,
