Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Slovenia,,705,1950,33.506,31.265,29.428,27.964,26.837,26.015,25.46,25.14,25.02,25.065,25.259,25.582,25.918,26.199,26.442,26.71,26.97,27.185,27.334,27.401,27.384,27.277,27.007,26.541,25.891,25.253,24.77,23.644,21.559,18.974,16.526,13.921,12.589,13.258,15.206,17.001,18.926,20.436,21.11,21.227,21.502,21.809,21.927,21.821,21.541,21.168,20.685,20.184,19.717,19.246,18.713,18.168,17.449,16.487,15.383,14.298,13.171,12.271,11.731,11.429,11.098,10.781,10.442,10.024,9.555,9.128,8.739,8.285,7.729,7.119,6.522,5.911,5.401,5.055,4.811,4.56,4.335,4.042,3.626,3.137,2.689961,2.298463,1.936076,1.649647,1.415082,1.159103,0.8917461,0.674247,0.5283554,0.4343288,0.3483331,0.2780642,0.2171644,0.1576031,0.1023919,0.0358037,0.0284422,0.0214153,0.0140538,0.0070269,0.0066923
,Estimates,Slovenia,,705,1951,31.98,32.933,31.015,29.383,28.026,26.926,26.052,25.366,24.952,24.833,24.933,25.144,25.463,25.795,26.068,26.304,26.563,26.814,27.023,27.171,27.238,27.223,27.116,26.849,26.387,25.74,25.105,24.626,23.505,21.427,18.852,16.412,13.815,12.485,13.146,15.08,16.861,18.771,20.267,20.927,21.032,21.293,21.587,21.693,21.575,21.284,20.902,20.411,19.902,19.429,18.956,18.419,17.872,17.152,16.194,15.097,14.016,12.896,11.998,11.455,11.145,10.807,10.483,10.136,9.707,9.226,8.787,8.385,7.924,7.368,6.765,6.174,5.572,5.068,4.718,4.466,4.212,3.984,3.693,3.289,2.813677,2.404173,2.025119,1.725517,1.480164,1.212412,0.9327589,0.7052568,0.5526553,0.4543044,0.3643535,0.2908528,0.2271522,0.1648516,0.107101,0.0374504,0.0297503,0.0224002,0.0147001,0.0073501,
,Estimates,Slovenia,,705,1952,31.082,31.199,32.406,30.808,29.378,28.126,27.052,26.124,25.308,24.799,24.679,24.836,25.063,25.38,25.707,25.974,26.201,26.452,26.696,26.899,27.044,27.113,27.099,26.993,26.729,26.268,25.624,24.993,24.515,23.398,21.325,18.756,16.32,13.728,12.398,13.052,14.975,16.745,18.642,20.125,20.773,20.866,21.114,21.395,21.488,21.358,21.058,20.665,20.163,19.648,19.169,18.692,18.151,17.599,16.88,15.924,14.83,13.754,12.639,11.742,11.194,10.876,10.531,10.201,9.844,9.403,8.91,8.458,8.043,7.573,7.018,6.42,5.835,5.24,4.741,4.388,4.129,3.869,3.637,3.35,2.91265,2.488741,2.096354,1.786213,1.53223,1.255059,0.9655693,0.7300646,0.5720953,0.4702848,0.3771698,0.3010837,0.2351424,0.1706503,0.1108684,0.0387677,0.0307968,0.0231882,0.0152172,0.0076086,
,Estimates,Slovenia,,705,1953,30.429,31.088,31.32,31.868,30.591,29.364,28.217,27.17,26.189,25.241,24.638,24.517,24.731,24.975,25.289,25.61,25.871,26.09,26.334,26.568,26.766,26.91,26.979,26.966,26.862,26.599,26.141,25.5,24.873,24.396,23.284,21.216,18.654,16.224,13.636,12.307,12.954,14.866,16.622,18.508,19.977,20.612,20.692,20.929,21.196,21.276,21.135,20.824,20.421,19.91,19.387,18.903,18.421,17.877,17.322,16.601,15.648,14.559,13.488,12.377,11.482,10.93,10.604,10.25,9.915,9.549,9.096,8.591,8.126,7.698,7.22,6.665,6.073,5.493,4.908,4.412,4.056,3.789,3.526,3.29,2.961414,2.530408,2.131452,1.816118,1.557883,1.276071,0.9817349,0.7422874,0.5816733,0.4781583,0.3834845,0.3061245,0.2390792,0.1735074,0.1127245,0.0394167,0.0313124,0.0235764,0.015472,0.007736,
,Estimates,Slovenia,,705,1954,29.787,30.78,31.284,31.368,31.321,30.364,29.343,28.3,27.279,26.246,25.167,24.47,24.349,24.619,24.878,25.19,25.508,25.76,25.971,26.208,26.434,26.625,26.767,26.838,26.825,26.723,26.461,26.007,25.369,24.746,24.271,23.162,21.102,18.545,16.123,13.54,12.214,12.851,14.752,16.496,18.368,19.823,20.445,20.513,20.737,20.991,21.058,20.906,20.584,20.172,19.651,19.12,18.63,18.146,17.598,17.039,16.318,15.367,14.285,13.217,12.112,11.218,10.663,10.329,9.967,9.626,9.25,8.787,8.27,7.791,7.351,6.864,6.311,5.723,5.151,4.573,4.082,3.722,3.45,3.18,2.938115,2.510501,2.114683,1.80183,1.545626,1.266032,0.9740113,0.7364476,0.5770971,0.4743965,0.3804675,0.3037161,0.2371983,0.1721423,0.1118377,0.0391066,0.031066,0.0233909,0.0153503,0.0076751,
,Estimates,Slovenia,,705,1955,29.042,30.252,30.968,31.253,31.168,30.777,30.141,29.323,28.386,27.392,26.305,25.096,24.304,24.182,24.509,24.785,25.094,25.406,25.652,25.856,26.084,26.301,26.487,26.627,26.699,26.687,26.586,26.327,25.875,25.24,24.62,24.148,23.043,20.989,18.44,16.023,13.446,12.12,12.751,14.639,16.371,18.229,19.671,20.28,20.337,20.546,20.788,20.843,20.678,20.346,19.924,19.394,18.855,18.36,17.872,17.32,16.758,16.036,15.089,14.011,12.947,11.849,10.955,10.397,10.054,9.685,9.338,8.953,8.478,7.949,7.458,7.004,6.509,5.957,5.375,4.808,4.239,3.753,3.389,3.109,2.834989,2.422383,2.040458,1.738586,1.491375,1.221595,0.9398239,0.7105986,0.5568413,0.4577454,0.3671132,0.2930558,0.2288727,0.1661002,0.1079122,0.037734,0.0299756,0.0225699,0.0148115,0.0074057,0.0070531
,Estimates,Slovenia,,705,1956,28.164,29.176,30.205,30.809,31.04,30.947,30.595,30.041,29.284,28.348,27.319,26.222,25.012,24.219,24.094,24.416,24.687,24.991,25.299,25.542,25.744,25.97,26.185,26.369,26.508,26.579,26.567,26.465,26.207,25.755,25.121,24.501,24.029,22.925,20.879,18.337,15.928,13.358,12.034,12.654,14.526,16.241,18.083,19.507,20.1,20.141,20.334,20.559,20.599,20.424,20.084,19.653,19.117,18.571,18.068,17.573,17.014,16.445,15.72,14.775,13.704,12.646,11.555,10.661,10.095,9.737,9.354,8.995,8.599,8.116,7.581,7.086,6.626,6.131,5.585,5.015,4.459,3.906,3.431,3.072,2.953828,2.523926,2.125992,1.811466,1.553892,1.272803,0.9792203,0.7403861,0.5801834,0.4769335,0.3825022,0.3053404,0.2384668,0.1730629,0.1124358,0.0393158,0.0312322,0.023516,0.0154324,0.0077162,
,Estimates,Slovenia,,705,1957,27.219,28.703,29.305,30.153,30.645,30.822,30.721,30.406,29.937,29.239,28.305,27.242,26.134,24.924,24.129,24.002,24.318,24.585,24.884,25.188,25.428,25.626,25.851,26.064,26.247,26.384,26.455,26.442,26.34,26.083,25.63,24.998,24.378,23.905,22.804,20.763,18.232,15.83,13.269,11.944,12.555,14.411,16.109,17.932,19.34,19.917,19.941,20.118,20.327,20.352,20.166,19.817,19.38,18.836,18.283,17.774,17.271,16.705,16.129,15.401,14.459,13.394,12.342,11.259,10.366,9.79,9.418,9.023,8.65,8.243,7.752,7.212,6.712,6.248,5.752,5.213,4.652,4.11,3.572,3.109,3.010719,2.572538,2.166939,1.846355,1.58382,1.297317,0.9980802,0.754646,0.5913578,0.4861194,0.3898692,0.3112213,0.2430597,0.1763962,0.1146013,0.040073,0.0318337,0.0239689,0.0157296,0.0078648,
,Estimates,Slovenia,,705,1958,26.373,27.89,29.032,29.434,30.1,30.482,30.604,30.494,30.218,29.833,29.195,28.262,27.165,26.046,24.836,24.04,23.909,24.221,24.483,24.777,25.077,25.313,25.511,25.731,25.944,26.125,26.26,26.33,26.318,26.215,25.958,25.507,24.874,24.255,23.781,22.683,20.649,18.127,15.732,13.178,11.855,12.457,14.296,15.976,17.784,19.172,19.733,19.742,19.903,20.094,20.105,19.909,19.551,19.105,18.556,17.996,17.479,16.969,16.396,15.814,15.082,14.143,13.085,12.038,10.962,10.071,9.487,9.099,8.691,8.305,7.887,7.388,6.844,6.338,5.869,5.373,4.84,4.291,3.761,3.238,3.017582,2.578402,2.171879,1.850564,1.587431,1.300274,1.000355,0.7563663,0.5927059,0.4872275,0.390758,0.3119307,0.2436137,0.1767983,0.1148626,0.0401644,0.0319063,0.0240235,0.0157655,0.0078827,
,Estimates,Slovenia,,705,1959,25.84,27.248,28.369,29.22,29.563,30.049,30.318,30.386,30.268,30.03,29.729,29.15,28.219,27.089,25.958,24.748,23.951,23.817,24.123,24.382,24.67,24.966,25.199,25.394,25.613,25.823,26.003,26.136,26.206,26.193,26.091,25.833,25.383,24.751,24.132,23.658,22.561,20.535,18.021,15.634,13.089,11.766,12.358,14.181,15.844,17.634,19.005,19.55,19.543,19.687,19.861,19.858,19.652,19.285,18.831,18.276,17.708,17.185,16.667,16.088,15.497,14.763,13.827,12.776,11.735,10.666,9.776,9.182,8.781,8.359,7.96,7.531,7.025,6.475,5.965,5.49,4.994,4.468,3.928,3.413,2.988505,2.553556,2.15095,1.832731,1.572134,1.287745,0.9907159,0.7490778,0.5869945,0.4825325,0.3869926,0.3089249,0.2412663,0.1750946,0.1137557,0.0397773,0.0315988,0.0237921,0.0156135,0.0078068,
