Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,South Africa,,710,1950,458.838,436.182,415.645,397.09,380.379,365.37,351.931,339.919,329.199,319.633,311.081,303.405,296.471,290.141,284.274,278.91,274.09,268.78,262.487,255.608,249.112,242.903,236.647,230.314,224.054,217.886,211.602,206.492,203.132,200.852,198.498,196.416,193.348,188.588,182.765,177.151,171.408,166.182,161.896,158.151,154.259,150.496,146.031,140.419,134.155,128.096,121.984,116.718,112.805,109.784,106.676,103.663,100.548,97.129,93.525,90.048,86.639,83.168,79.601,75.962,72.338,68.75,65.023,61.083,57.035,53.038,49.043,45.284,41.88,38.728,35.624,32.627,29.628,26.557,23.494,20.599,17.866,15.263,12.791,10.486,6.752852,5.861821,5.027903,4.226431,3.474297,2.806627,2.207065,1.709932,1.332927,1.051111,0.8162198,0.6328117,0.4829211,0.3507278,0.2402539,0.1654427,0.1225402,0.0892908,0.0568458,0.0273503,0.0536281
,Estimates,South Africa,,710,1951,492.425,450.365,428.69,409.25,391.857,376.319,362.533,350.403,339.276,328.782,319.003,310.26,302.328,295.186,288.802,282.973,277.568,272.662,267.287,260.967,254.086,247.581,241.361,235.097,228.756,222.488,216.313,210.024,204.897,201.499,199.168,196.764,194.63,191.515,186.717,180.861,175.212,169.436,164.175,159.845,156.056,152.12,148.312,143.813,138.186,131.916,125.85,119.734,114.452,110.503,107.433,104.279,101.222,98.065,94.611,90.976,87.472,84.038,80.543,76.947,73.282,69.637,66.035,62.309,58.396,54.394,50.45,46.52,42.823,39.479,36.386,33.35,30.425,27.527,24.6,21.707,18.981,16.423,13.98,11.645,7.502368,6.512439,5.585963,4.695534,3.859918,3.118142,2.452033,1.899722,1.480872,1.167776,0.9068142,0.7030491,0.5365218,0.389656,0.2669203,0.1838056,0.1361413,0.0992014,0.0631553,0.030386,
,Estimates,South Africa,,710,1952,517.694,479.989,442.066,421.359,403.008,386.768,372.395,359.822,348.993,338.746,328.473,318.479,309.542,301.352,294.001,287.562,281.767,276.321,271.326,265.887,259.537,252.65,246.135,239.903,233.628,227.277,220.999,214.815,208.52,203.372,199.937,197.554,195.1,192.913,189.75,184.911,179.021,173.337,167.526,162.226,157.854,154.017,150.038,146.183,141.648,136.004,129.727,123.653,117.53,112.229,108.243,105.125,101.924,98.821,95.622,92.131,88.465,84.932,81.472,77.952,74.327,70.634,66.967,63.349,59.623,55.738,51.779,47.886,44.018,40.386,37.097,34.063,31.095,28.239,25.44,22.657,19.933,17.375,14.99,12.706,8.263593,7.173221,6.152741,5.171964,4.251563,3.434523,2.700827,2.092477,1.631128,1.286264,0.9988237,0.7743837,0.5909597,0.4291923,0.2940033,0.2024554,0.1499548,0.1092668,0.0695633,0.0334691,
,Estimates,South Africa,,710,1953,537.249,497.27,462.989,434.419,414.651,397.36,382.248,369.016,357.639,348.092,338.709,328.643,318.418,309.275,300.817,293.245,286.741,280.973,275.476,270.388,264.873,258.486,251.585,245.049,238.794,232.501,226.132,219.832,213.632,207.32,202.146,198.668,196.229,193.722,191.478,188.263,183.377,177.445,171.715,165.862,160.516,156.094,152.206,148.175,144.27,139.693,134.022,127.73,121.638,115.499,110.173,106.144,102.972,99.72,96.566,93.321,89.789,86.086,82.518,79.03,75.477,71.818,68.091,64.399,60.758,57.029,53.162,49.243,45.395,41.585,38.009,34.772,31.793,28.888,26.096,23.395,20.749,18.19,15.797,13.579,9.010947,7.821963,6.709191,5.639714,4.636072,3.745139,2.945088,2.281719,1.778646,1.402593,1.089157,0.8444185,0.6444058,0.4680082,0.3205928,0.2207653,0.1635166,0.1191489,0.0758545,0.0364961,
,Estimates,South Africa,,710,1954,552.721,512.962,478.668,449.357,427.276,408.424,392.173,378.174,366.07,355.874,347.602,339.072,329.201,318.734,309.373,300.635,292.835,286.258,280.509,274.957,269.767,264.173,257.739,250.814,244.252,237.967,231.646,225.252,218.924,212.699,206.364,201.158,197.63,195.135,192.57,190.269,186.996,182.058,176.075,170.296,164.391,158.993,154.516,150.572,146.486,142.524,137.9,132.197,125.88,119.764,113.602,108.245,104.167,100.938,97.631,94.423,91.127,87.55,83.805,80.199,76.676,73.088,69.392,65.625,61.903,58.236,54.497,50.648,46.761,42.954,39.197,35.674,32.486,29.558,26.71,23.983,21.374,18.862,16.467,14.234,9.678685,8.401594,7.206362,6.057633,4.979619,4.022665,3.163328,2.450801,1.910449,1.50653,1.169866,0.9069924,0.6921582,0.502689,0.3443497,0.2371247,0.1756337,0.1279782,0.0814756,0.0392005,
,Estimates,South Africa,,710,1955,565.2,527.508,494.581,466.01,441.389,420.31,402.369,387.154,374.263,363.285,354.271,347.272,339.594,329.914,319.199,309.616,300.593,292.56,285.906,280.176,274.563,269.271,263.592,257.11,250.159,243.565,237.248,230.898,224.473,218.116,211.863,205.501,200.259,196.683,194.128,191.505,189.144,185.813,180.819,174.784,168.95,162.993,157.54,153.005,149.004,144.859,140.84,136.165,130.428,124.084,117.94,111.752,106.361,102.234,98.944,95.582,92.317,88.969,85.344,81.557,77.91,74.351,70.727,66.989,63.184,59.428,55.733,51.984,48.148,44.294,40.526,36.821,33.348,30.208,27.329,24.54,21.874,19.356,16.98,14.745,10.18629,8.842219,7.584303,6.375329,5.240777,4.233636,3.32923,2.579335,2.010643,1.58554,1.231221,0.9545601,0.7284588,0.5290528,0.3624092,0.2495608,0.1848449,0.13469,0.0857486,0.0412564,0.0808949
,Estimates,South Africa,,710,1956,573.395,552.702,518.701,488.581,462.046,438.803,418.482,400.719,385.58,372.925,362.231,353.191,345.93,338.046,328.327,317.673,308.07,298.98,290.896,284.217,278.479,272.853,267.548,261.858,255.367,248.408,241.807,235.48,229.122,222.69,216.324,210.061,203.691,198.424,194.799,192.179,189.493,187.064,183.678,178.647,172.588,166.729,160.749,155.265,150.686,146.634,142.442,138.372,133.664,127.919,121.584,115.445,109.265,103.869,99.716,96.385,92.987,89.689,86.305,82.645,78.823,75.145,71.56,67.92,64.182,60.388,56.651,52.983,49.277,45.501,41.725,38.04,34.42,31.054,28.048,25.319,22.686,20.188,17.806,15.506,11.20131,9.723314,8.340051,7.010607,5.763002,4.655502,3.660976,2.836356,2.210996,1.743534,1.353907,1.049678,0.801047,0.5817709,0.398522,0.2744286,0.203264,0.1481114,0.0942931,0.0453675,
,Estimates,South Africa,,710,1957,581.365,551.153,541.148,510.773,483.402,458.856,436.947,417.349,399.735,384.648,372.204,361.778,352.697,345.162,337.059,327.287,316.674,307.036,297.865,289.717,283.001,277.245,271.599,266.27,260.561,254.05,247.072,240.451,234.106,227.729,221.278,214.894,208.611,202.222,196.921,193.241,190.553,187.798,185.299,181.85,176.776,170.683,164.788,158.776,153.253,148.622,144.512,140.265,136.139,131.391,125.628,119.29,113.146,106.966,101.556,97.369,93.991,90.552,87.215,83.792,80.088,76.226,72.512,68.895,65.233,61.487,57.699,53.975,50.327,46.658,42.937,39.231,35.623,32.082,28.818,25.94,23.356,20.873,18.542,16.288,12.12339,10.52373,9.026595,7.587712,6.237405,5.038738,3.962343,3.069841,2.393003,1.887059,1.465359,1.136087,0.8669883,0.6296617,0.4313279,0.2970193,0.2199965,0.1603038,0.1020553,0.0491021,
,Estimates,South Africa,,710,1958,589.429,563.347,538.622,530.084,503.306,478.662,456.08,435.486,416.593,399.111,384.063,371.82,361.653,352.52,344.706,336.378,326.541,315.963,306.278,297.02,288.799,282.04,276.263,270.589,265.233,259.5,252.962,245.959,239.313,232.943,226.541,220.067,213.659,207.348,200.936,195.596,191.857,189.099,186.274,183.701,180.187,175.064,168.933,162.997,156.947,151.379,146.691,142.521,138.215,134.03,129.236,123.45,117.104,110.951,104.763,99.334,95.11,91.683,88.199,84.82,81.353,77.606,73.698,69.943,66.292,62.605,58.849,55.062,51.348,47.718,44.08,40.413,36.772,33.238,29.774,26.607,23.855,21.415,19.08,16.91,12.92443,11.21906,9.623012,8.089058,6.649532,5.371664,4.224149,3.272676,2.551117,2.011744,1.562181,1.211152,0.9242731,0.6712655,0.4598272,0.3166444,0.2345324,0.1708956,0.1087984,0.0523464,
,Estimates,South Africa,,710,1959,597.882,575.579,553.621,532.094,519.265,496.076,474.148,453.522,434.236,416.04,398.682,383.664,371.618,361.703,352.517,344.417,335.86,325.955,315.404,305.671,296.317,288.022,281.216,275.413,269.711,264.325,258.563,251.997,244.964,238.291,231.892,225.463,218.962,212.525,206.186,199.746,194.365,190.566,187.735,184.838,182.191,178.61,173.436,167.261,161.284,155.191,149.577,144.831,140.596,136.231,131.982,127.142,121.33,114.972,108.807,102.608,97.157,92.895,89.417,85.885,82.464,78.952,75.157,71.202,67.407,63.718,60.004,56.235,52.449,48.742,45.128,41.522,37.903,34.329,30.866,27.477,24.407,21.78,19.48,17.294,13.54803,11.76039,10.08732,8.479356,6.970373,5.630848,4.427965,3.430583,2.674209,2.108811,1.637556,1.26959,0.9688695,0.7036542,0.4820139,0.3319225,0.2458486,0.1791413,0.1140479,0.0548721,
