Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Republic of Korea,,410,1950,662.259,629.678,603.312,582.301,565.778,552.884,542.752,534.521,527.329,520.311,514.65,511.529,499.855,474.677,441.264,409.757,378.014,351.549,334.092,322.998,311.184,299.204,291.366,288.829,289.625,291.091,294.312,293.307,284.999,272.208,260.667,249.037,239.71,234.395,231.685,228.171,224.179,220.859,218.326,216.007,213.844,212.605,207.483,196.322,181.609,167.517,152.635,142.218,139.11,140.617,141.334,142.515,141.687,137.131,130.231,123.958,117.554,111.925,107.762,104.382,100.65,97.086,91.943,84.336,75.262,66.506,57.594,50.117,45.014,41.493,37.927,34.774,31.226,26.768,21.92,17.553,13.27,10.426,9.708,10.353,14.05356,12.31472,10.6196,8.933656,7.308447,5.807402,4.393813,3.251228,2.469259,1.954246,1.511841,1.170928,0.8904774,0.6289216,0.398407,0.2531882,0.1684322,0.10581,0.0553343,0.0164653,0.0442674
,Estimates,Republic of Korea,,410,1951,641.017,637.082,609.868,587.348,568.889,553.848,541.411,530.75,522.155,515.359,509.171,503.829,500.68,489.164,464.494,431.795,400.906,369.747,343.769,326.642,315.762,304.168,292.408,284.696,282.163,282.886,284.266,287.362,286.329,278.165,265.62,254.296,242.881,233.712,228.454,225.733,222.228,218.258,214.929,212.345,209.956,207.719,206.375,201.273,190.329,175.948,162.166,147.621,137.391,134.228,135.527,136.064,137.051,136.099,131.551,124.739,118.542,112.235,106.664,102.49,99.067,95.32,91.738,86.69,79.347,70.646,62.259,53.741,46.594,41.704,38.323,34.913,31.894,28.547,24.396,19.914,15.89,11.966,9.342,8.628,13.85385,12.13971,10.46868,8.8067,7.204587,5.724874,4.331374,3.205025,2.434169,1.926474,1.490357,1.154288,0.8778229,0.6199841,0.3927453,0.2495901,0.1660386,0.1043063,0.054548,0.0162313,
,Estimates,Republic of Korea,,410,1952,627.676,587.905,620.077,597.783,578.752,562.567,548.797,536.656,525.351,516.299,509.809,504.358,499.262,496.051,484.552,460.082,427.692,397.038,366.078,340.267,323.257,312.457,300.94,289.253,281.574,279.014,279.675,280.988,283.996,282.926,274.804,262.351,251.102,239.763,230.638,225.372,222.609,219.071,215.076,211.697,209.032,206.547,204.212,202.748,197.605,186.742,172.514,158.872,144.481,134.313,131.058,132.169,132.538,133.345,132.264,127.665,120.86,114.665,108.374,102.795,98.561,95.055,91.248,87.606,82.59,75.419,66.977,58.852,50.616,43.707,38.967,35.683,32.383,29.46,26.269,22.369,18.191,14.455,10.834,8.394,13.40196,11.74374,10.12722,8.519443,6.969587,5.53814,4.190092,3.100483,2.354771,1.863636,1.441744,1.116637,0.84919,0.5997614,0.3799347,0.241449,0.1606228,0.1009041,0.0527687,0.0157019,
,Estimates,Republic of Korea,,410,1953,619.812,588.583,564.088,608.749,591.163,575.443,561.379,548.752,536.798,524.746,515.154,508.911,504.146,499.252,495.946,484.36,459.868,427.491,396.794,365.75,339.869,322.821,312.005,300.457,288.739,281.021,278.411,279.018,280.273,283.224,282.104,273.952,261.477,250.201,238.833,229.67,224.348,221.518,217.915,213.857,210.4,207.628,205.026,202.57,200.974,195.743,184.862,170.658,157.03,142.663,132.463,129.087,130.021,130.224,130.861,129.638,124.95,118.089,111.837,105.509,99.868,95.536,91.917,88.013,84.279,79.25,72.184,63.926,55.986,47.958,41.223,36.589,33.372,30.153,27.3,24.233,20.55,16.637,13.153,9.803,12.88621,11.2918,9.737482,8.191583,6.701372,5.325012,4.028842,2.981165,2.264151,1.791916,1.38626,1.073665,0.81651,0.5766803,0.3653134,0.2321571,0.1544414,0.0970209,0.050738,0.0150976,
,Estimates,Republic of Korea,,410,1954,615.043,597.607,583.004,570.883,600.42,587.511,575.061,563.072,551.538,539.711,526.84,516.654,510.627,506.534,501.816,498.399,486.666,462.024,429.493,398.593,367.304,341.22,324.047,313.155,301.519,289.709,281.911,279.237,279.791,280.996,283.903,282.728,274.503,261.94,250.579,239.125,229.874,224.47,221.556,217.868,213.727,210.171,207.279,204.542,201.953,200.215,194.867,183.913,169.658,155.976,141.558,131.273,127.757,128.518,128.552,129.021,127.649,122.845,115.892,109.552,103.151,97.421,92.965,89.213,85.193,81.345,76.277,69.28,61.166,53.373,45.514,38.921,34.37,31.205,28.05,25.252,22.298,18.814,15.149,11.903,12.49672,10.9505,9.443166,7.943991,6.498822,5.164062,3.90707,2.891059,2.195717,1.737756,1.34436,1.041213,0.7918309,0.5592501,0.3542717,0.2251402,0.1497734,0.0940884,0.0492044,0.0146413,
,Estimates,Republic of Korea,,410,1955,611.751,611.619,609.458,605.479,599.894,592.914,584.752,575.616,565.725,555.284,543.567,529.842,519.031,513.217,509.799,505.256,501.719,489.815,464.982,432.24,401.082,369.493,343.158,325.828,314.843,303.097,291.173,283.282,280.539,281.038,282.195,285.062,283.829,275.515,262.843,251.377,239.814,230.461,224.962,221.959,218.178,213.946,210.283,207.263,204.386,201.655,199.77,194.295,183.247,168.918,155.156,140.664,130.276,126.612,127.195,127.06,127.357,125.83,120.901,113.842,107.402,100.917,95.085,90.498,86.602,82.458,78.487,73.371,66.434,58.452,50.797,43.097,36.638,32.164,29.046,25.952,23.207,20.361,17.075,13.657,12.25283,10.73679,9.25887,7.788954,6.371989,5.063279,3.830818,2.834636,2.152864,1.703841,1.318123,1.020893,0.7763773,0.5483356,0.3473577,0.2207463,0.1468504,0.0922522,0.0482441,0.0143556,0.0385953
,Estimates,Republic of Korea,,410,1956,605.44,652.563,649.739,642.995,633.017,620.498,605.553,588.3,572.292,559.375,548.509,536.048,521.781,510.899,505.311,502.442,498.83,496.423,486.209,463.757,433.758,405.328,376.635,352.146,335.009,323.109,310.537,297.686,288.849,285.323,285.144,285.467,287.352,285.447,276.955,264.42,253.042,241.601,232.23,226.454,223.007,218.858,214.321,210.275,206.761,203.347,200.094,197.625,191.926,181.209,167.548,154.403,140.586,130.564,126.743,126.833,126.275,126.153,124.235,118.999,111.698,104.993,98.222,92.22,87.636,83.859,79.842,76.034,71.051,64.181,56.229,48.631,40.988,34.646,30.372,27.507,24.652,22.155,19.49,16.279,13.06714,11.45035,9.874209,8.306603,6.795467,5.399781,4.085412,3.023024,2.295942,1.817077,1.405725,1.08874,0.8279748,0.5847776,0.3704428,0.2354169,0.15661,0.0983832,0.0514504,0.0153096,
,Estimates,Republic of Korea,,410,1957,602.342,640.321,694.347,688.807,677.435,661.403,641.882,618.896,592.464,569.515,553.533,542.228,529.006,514.179,503.214,497.848,495.528,492.854,491.581,483.061,462.985,435.72,410.013,384.208,361.557,344.596,331.762,318.347,304.546,294.749,290.428,289.567,289.05,289.947,287.363,278.683,266.273,254.973,243.644,234.245,228.183,224.285,219.762,214.913,210.478,206.461,202.504,198.72,195.66,189.73,179.337,166.335,153.798,140.649,130.985,127.001,126.594,125.61,125.066,122.75,117.202,109.65,102.67,95.603,89.425,84.839,81.178,77.286,73.637,68.785,61.974,54.045,46.495,38.906,32.671,28.598,25.982,23.367,21.116,18.632,14.21941,12.46004,10.74492,9.039081,7.394693,5.875935,4.445665,3.289595,2.498399,1.977307,1.529682,1.184746,0.9009858,0.6363434,0.4031085,0.256176,0.1704199,0.1070586,0.0559873,0.0166596,
,Estimates,Republic of Korea,,410,1958,601.865,657.621,696.127,734.736,726.477,710.476,688.387,661.868,630.843,595.234,565.357,546.327,534.609,520.652,505.295,494.275,489.145,487.383,485.657,485.531,478.735,461.101,436.651,413.747,390.909,370.163,353.419,339.677,325.443,310.722,299.981,294.871,293.325,291.963,291.865,288.603,279.755,267.501,256.304,245.116,235.712,229.378,225.035,220.145,214.995,210.177,205.665,201.169,196.863,193.214,187.066,177.022,164.715,152.821,140.375,131.095,126.958,126.05,124.64,123.672,120.963,115.111,107.326,100.086,92.739,86.397,81.822,78.285,74.528,71.049,66.338,59.605,51.717,44.236,36.715,30.606,26.743,24.386,22.017,20.021,15.61887,13.68635,11.80243,9.928702,8.122474,6.454241,4.883204,3.613355,2.74429,2.171913,1.680233,1.301348,0.9896603,0.698972,0.4427823,0.2813887,0.1871925,0.1175953,0.0614975,0.0182993,
,Estimates,Republic of Korea,,410,1959,604.326,675.246,724.869,755.474,771.887,760.945,740.387,712.341,678.942,640.017,595.392,558.718,536.727,524.646,510.015,494.198,483.169,478.298,477.102,476.333,477.352,472.31,457.192,435.666,415.663,395.893,377.141,360.689,346.097,331.11,315.532,303.894,298.018,295.795,293.594,292.501,288.575,279.599,267.554,256.512,245.512,236.144,229.565,224.797,219.562,214.132,208.955,203.966,198.953,194.141,189.922,183.581,173.932,162.373,151.173,139.486,130.629,126.356,124.954,123.123,121.737,118.645,112.517,104.531,97.064,89.468,82.992,78.446,75.049,71.445,68.149,63.603,56.974,49.163,41.782,34.365,28.408,24.771,22.683,20.572,17.0165,14.91105,12.85854,10.81715,8.849299,7.031787,5.320169,3.936689,2.989858,2.366262,1.830585,1.417797,1.078218,0.7615182,0.4824038,0.3065683,0.2039431,0.1281181,0.0670005,0.0199367,
