Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Spain,,724,1950,543.13,540.403,534.878,527.174,517.917,507.726,497.225,487.033,477.775,470.072,462.357,453.058,453.75,469.439,494.17,517.451,541.929,558.104,560.367,553.214,546.735,538.874,530.495,523.019,515.451,506.461,497.644,483.772,462.543,437.337,412.859,387.002,370.122,367.481,373.952,379.346,385.947,388.984,385.14,376.966,370.021,362.824,356.957,353.636,351.538,348.603,345.837,339.427,327.463,312.039,297.076,281.668,268.474,259.17,252.472,245.226,237.823,231.252,225.606,220.498,215.512,210.823,204.967,197.2,188.146,179.236,170.258,161.088,151.831,142.525,133.122,123.671,114.412,105.47,96.814,88.311,80.032,72.016,64.279,56.87,42.36198,39.00667,35.42571,31.54099,27.51397,23.59243,19.74055,16.25064,13.29985,10.7879,8.401345,6.159079,4.359395,3.106283,2.268637,1.594688,1.110062,0.7460952,0.4358649,0.1898201,0.3500353
,Estimates,Spain,,724,1951,516.109,542.532,539.392,533.687,525.987,516.866,506.941,496.833,486.867,477.522,469.512,461.545,452.037,452.329,467.354,491.264,513.753,537.443,552.952,554.756,547.31,540.549,532.416,523.998,516.811,509.747,501.27,493.009,479.632,458.76,433.811,409.62,384.073,367.374,364.725,371.068,376.324,382.74,385.684,381.913,373.905,367.098,360.054,354.223,350.748,348.386,345.207,342.165,335.627,323.777,308.613,293.863,278.664,265.59,256.262,249.434,242.062,234.534,227.744,221.754,216.222,210.815,205.701,199.448,191.342,182.002,172.812,163.564,154.227,144.953,135.733,126.439,117.135,108.022,99.193,90.642,82.284,74.182,66.366,58.849,44.54371,41.01559,37.2502,33.16541,28.93099,24.80748,20.75722,17.08758,13.98482,11.3435,8.83403,6.476283,4.583912,3.266263,2.385476,1.676818,1.167232,0.7845204,0.4583127,0.1995962,
,Estimates,Spain,,724,1952,502.715,518.332,542.621,539.062,533.172,525.465,516.469,506.796,497.07,487.318,477.874,469.545,461.316,451.587,451.48,465.861,488.978,510.704,533.634,548.498,549.845,542.096,535.046,526.628,518.163,511.255,504.684,496.711,488.997,476.097,455.557,430.832,406.898,381.629,365.09,362.43,368.651,373.777,380.016,382.872,379.167,371.317,364.638,357.738,351.935,348.305,345.673,342.246,338.925,332.251,320.499,305.575,291.022,276.01,263.042,253.677,246.71,239.203,231.541,224.523,218.181,212.218,206.383,200.837,194.18,185.724,176.084,166.606,157.074,147.559,138.256,129.11,119.913,110.745,101.765,93.041,84.581,76.358,68.425,60.797,46.34228,42.67171,38.75429,34.50456,30.09916,25.80916,21.59536,17.77754,14.54949,11.80153,9.190729,6.737781,4.769,3.398147,2.481796,1.744524,1.214363,0.8161977,0.4768184,0.2076555,
,Estimates,Spain,,724,1953,501.305,519.211,531.018,542.542,538.564,532.489,524.78,515.911,506.495,497.152,487.618,478.077,469.433,460.945,450.996,450.489,464.22,486.538,507.493,529.655,543.867,544.757,536.706,529.37,520.669,512.159,505.532,499.458,491.993,484.827,472.41,452.207,427.716,404.046,379.064,362.689,360.019,366.117,371.11,377.172,379.936,376.3,368.61,362.062,355.308,349.536,345.748,342.851,339.174,335.575,328.767,317.118,302.439,288.085,273.268,260.409,251.009,243.907,236.266,228.471,221.228,214.536,208.143,201.881,195.903,188.845,180.041,170.105,160.338,150.527,140.837,131.506,122.439,113.341,104.312,95.468,86.851,78.487,70.401,62.638,47.63368,43.86082,39.83423,35.46608,30.93792,26.52837,22.19714,18.27294,14.95494,12.13039,9.446842,6.92554,4.901896,3.492842,2.550955,1.793138,1.248203,0.8389423,0.4901056,0.2134421,
,Estimates,Spain,,724,1954,510.309,525.792,535.987,541.489,542.063,537.671,531.415,523.708,514.972,505.821,496.869,487.559,477.929,468.976,460.233,450.073,449.168,462.238,483.739,503.906,525.285,538.836,539.266,530.921,523.301,514.326,505.776,499.436,493.864,486.91,480.3,468.373,448.525,424.284,400.896,376.219,360.02,357.343,363.313,368.17,374.048,376.72,373.156,365.631,359.217,352.618,346.878,342.937,339.774,335.852,331.978,325.041,313.501,299.079,284.937,270.324,257.583,248.157,240.922,233.154,225.233,217.769,210.732,203.913,197.229,190.825,183.369,174.224,163.999,153.951,143.866,134.009,124.659,115.675,106.684,97.8,89.1,80.595,72.332,64.391,48.34823,44.51877,40.43178,35.99811,31.40202,26.92632,22.53012,18.54705,15.17927,12.31236,9.588554,7.02943,4.975429,3.545238,2.589222,1.820036,1.266927,0.8515272,0.4974577,0.216644,
,Estimates,Spain,,724,1955,527.967,536.856,542.267,544.574,544.144,541.342,536.538,530.104,522.403,513.805,504.921,496.363,487.283,477.567,468.309,459.317,448.95,447.646,460.05,480.726,500.098,520.685,533.567,533.539,524.903,517.005,507.758,499.172,493.122,488.054,481.615,475.561,464.132,444.644,420.666,397.569,373.208,357.193,354.509,360.35,365.067,370.76,373.339,369.847,362.491,356.216,349.77,344.068,339.975,336.549,332.383,328.235,321.172,309.748,295.589,281.663,267.262,254.644,245.196,237.833,229.941,221.897,214.216,206.837,199.596,192.493,185.666,177.815,168.335,157.824,147.501,137.148,127.127,117.761,108.866,99.985,91.25,82.698,74.308,66.152,48.46022,44.62189,40.52544,36.08149,31.47475,26.98869,22.58231,18.59001,15.21443,12.34088,9.610764,7.045712,4.986953,3.55345,2.595219,1.824252,1.269862,0.8534996,0.49861,0.2171458,0.4004248
,Estimates,Spain,,724,1956,552.74,531.337,537.296,541.111,542.907,542.801,541.193,538.487,533.395,525.466,515.669,506.013,496.807,487.208,477.233,467.863,458.684,448.135,446.463,458.202,478.042,496.642,516.487,528.731,528.232,519.271,511.07,501.525,492.909,487.201,482.72,476.87,471.444,460.572,441.493,417.811,395.035,371.021,355.18,352.417,358.016,362.483,367.869,370.249,366.754,359.513,353.313,346.958,341.235,336.937,333.202,328.745,324.274,317.043,305.703,291.777,278.04,263.822,251.276,241.719,234.115,225.996,217.734,209.737,201.913,194.153,186.547,179.225,170.947,161.145,150.406,139.875,129.315,119.272,110.133,101.633,93.173,84.935,76.768,68.556,51.22158,47.16453,42.83465,38.13748,33.26825,28.52656,23.86909,19.64931,16.08138,13.04409,10.1584,7.44719,5.27112,3.755932,2.7431,1.928202,1.342221,0.9021337,0.5270217,0.2295192,
,Estimates,Spain,,724,1957,580.29,568.269,534.073,537.096,539.311,540.592,540.811,540.399,539.795,536.051,527.903,516.919,506.501,496.659,486.552,476.332,466.858,457.505,446.787,444.746,455.81,474.787,492.593,511.674,523.265,522.296,513.02,504.525,494.694,486.058,480.699,476.811,471.557,466.764,456.464,437.816,414.457,392.03,368.392,352.743,349.905,355.256,359.466,364.541,366.717,363.224,356.106,349.99,343.732,337.994,333.499,329.457,324.715,319.926,312.536,301.293,287.619,274.084,260.067,247.61,237.954,230.117,221.782,213.311,205.007,196.749,188.478,180.378,172.571,163.874,153.763,142.809,132.08,121.329,111.274,102.373,94.279,86.251,78.516,70.746,53.47737,49.24166,44.72109,39.81705,34.73338,29.78286,24.92028,20.51466,16.7896,13.61855,10.60578,7.775164,5.503259,3.921343,2.863906,2.013119,1.401332,0.9418635,0.5502317,0.2396272,
,Estimates,Spain,,724,1958,607.788,584.967,566.974,536.732,536.822,537.438,538.206,538.749,539.532,541.026,538.629,530.263,518.097,506.918,496.442,485.831,475.364,465.792,456.263,445.378,442.972,453.356,471.472,488.481,506.795,517.735,516.295,506.705,497.919,487.803,479.149,474.139,470.842,466.187,462.025,452.298,434.083,411.05,388.975,365.716,350.26,347.348,352.45,356.403,361.166,363.139,359.649,352.653,346.623,340.462,334.712,330.018,325.671,320.645,315.541,307.992,296.847,283.424,270.096,256.282,243.913,234.161,226.093,217.541,208.866,200.254,191.565,182.784,174.192,165.901,156.787,146.369,135.203,124.277,113.336,103.27,94.61,86.921,79.324,72.097,55.21187,50.83877,46.17158,41.10849,35.85993,30.74885,25.72856,21.18004,17.33416,14.06026,10.94977,8.027346,5.681754,4.048529,2.956795,2.078414,1.446783,0.9724122,0.5680781,0.2473993,
,Estimates,Spain,,724,1959,632.166,601.12,576.915,558.739,539.726,536.886,535.904,536.161,537.026,539.005,542.597,541.543,532.956,519.599,507.653,496.539,485.414,474.698,465.017,455.311,444.25,441.477,451.189,468.456,484.68,502.24,512.533,510.623,500.714,491.631,481.225,472.546,467.883,465.175,461.112,457.581,448.419,430.626,407.905,386.166,363.272,348.001,345.011,349.867,353.567,358.021,359.793,356.301,349.426,343.476,337.41,331.642,326.747,322.094,316.78,311.356,303.645,292.591,279.412,266.281,252.661,240.372,230.518,222.214,213.442,204.554,195.632,186.504,177.209,168.121,159.341,149.805,139.073,127.686,116.56,105.42,95.338,86.912,79.623,72.453,56.29281,51.8341,47.07553,41.91332,36.562,31.35085,26.23227,21.5947,17.67353,14.33553,11.16415,8.184505,5.792991,4.127791,3.014683,2.119105,1.475109,0.9914501,0.5792,0.2522429,
