Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Sweden,,752,1950,117.382,122.719,125.676,126.547,125.621,123.185,119.528,114.943,109.715,104.136,98.156,91.73,86.831,84.427,83.793,83.184,82.886,83.22,84.151,85.612,87.36,89.201,91.835,95.508,99.718,103.896,108.392,111.16,111.203,109.51,107.973,106.117,105.11,105.688,107.222,108.313,109.214,109.813,109.905,109.591,109.227,108.814,107.856,106.171,103.978,101.691,99.233,96.848,94.705,92.696,90.57,88.391,86.18,83.928,81.662,79.387,77.062,74.913,73.044,71.332,69.578,67.851,65.887,63.543,60.952,58.365,55.699,53.172,50.902,48.767,46.556,44.361,41.876,38.941,35.729,32.592,29.497,26.479,23.615,20.896,15.42463,14.20923,12.91149,11.51471,10.07222,8.655809,7.253463,5.992934,4.944251,4.064342,3.225161,2.438429,1.794979,1.320596,0.9801185,0.7002939,0.4872757,0.3249481,0.1969027,0.1010885,0.1831313
,Estimates,Sweden,,752,1951,106.552,118.474,123.143,125.687,126.359,125.405,123.11,119.764,115.413,110.224,104.565,98.588,92.205,87.34,84.954,84.326,83.722,83.427,83.755,84.668,86.105,87.825,89.635,92.237,95.882,100.064,104.213,108.678,111.416,111.428,109.703,108.135,106.247,105.214,105.777,107.304,108.385,109.277,109.863,109.934,109.594,109.203,108.763,107.775,106.057,103.83,101.506,99.008,96.584,94.401,92.351,90.182,87.957,85.698,83.397,81.082,78.754,76.375,74.163,72.219,70.426,68.587,66.775,64.722,62.292,59.612,56.939,54.191,51.574,49.195,46.946,44.631,42.339,39.783,36.808,33.584,30.445,27.358,24.377,21.585,16.17755,14.90282,13.54173,12.07677,10.56387,9.078322,7.607524,6.285465,5.185593,4.262733,3.38259,2.557456,1.882597,1.385058,1.027961,0.7344772,0.5110609,0.3408097,0.2065141,0.1060229,
,Estimates,Sweden,,752,1952,98.886,109.928,119.497,123.491,125.62,126.091,125.109,122.959,119.925,115.813,110.666,104.931,98.959,92.624,87.797,85.43,84.808,84.21,83.917,84.239,85.135,86.545,88.237,90.014,92.583,96.197,100.348,104.466,108.899,111.603,111.584,109.828,108.23,106.31,105.253,105.802,107.318,108.391,109.272,109.845,109.894,109.528,109.111,108.644,107.626,105.877,103.617,101.256,98.722,96.259,94.037,91.948,89.736,87.466,85.161,82.814,80.45,78.069,75.637,73.365,71.347,69.472,67.552,65.653,63.514,60.997,58.231,55.472,52.647,49.937,47.452,45.089,42.673,40.286,37.657,34.645,31.411,28.273,25.195,22.253,16.72596,15.40801,14.00078,12.48616,10.92198,9.386069,7.865412,6.498537,5.36138,4.407236,3.497257,2.644151,1.946415,1.43201,1.062808,0.7593753,0.5283854,0.3523628,0.2135147,0.1096169,
,Estimates,Sweden,,752,1953,94.24,105.818,114.748,120.354,123.668,125.379,125.648,124.64,122.637,119.92,116.053,110.954,105.151,99.195,92.915,88.132,85.787,85.173,84.581,84.293,84.606,85.484,86.866,88.527,90.268,92.801,96.379,100.494,104.575,108.967,111.637,111.585,109.801,108.174,106.227,105.146,105.679,107.184,108.246,109.116,109.673,109.703,109.31,108.868,108.373,107.329,105.549,103.259,100.867,98.297,95.8,93.542,91.417,89.166,86.853,84.505,82.115,79.705,77.276,74.794,72.463,70.375,68.422,66.421,64.439,62.216,59.616,56.768,53.927,51.026,48.231,45.641,43.168,40.652,38.174,35.477,32.432,29.193,26.059,22.994,17.03966,15.697,14.26337,12.72035,11.12682,9.562109,8.012932,6.62042,5.461935,4.489896,3.56285,2.693743,1.982921,1.458868,1.082741,0.7736177,0.5382955,0.3589716,0.2175193,0.1116729,
,Estimates,Sweden,,752,1954,92.414,103.074,111.55,118.004,121.069,123.702,124.991,125.06,124.026,122.172,119.776,116.156,111.114,105.248,99.314,93.098,88.363,86.045,85.438,84.853,84.569,84.875,85.732,87.086,88.713,90.417,92.91,96.449,100.522,104.561,108.909,111.539,111.458,109.645,107.993,106.02,104.916,105.433,106.926,107.974,108.833,109.375,109.383,108.965,108.498,107.977,106.906,105.1,102.782,100.36,97.759,95.229,92.94,90.78,88.492,86.14,83.752,81.321,78.868,76.394,73.865,71.478,69.322,67.293,65.214,63.152,60.848,58.168,55.239,52.322,49.349,46.47,43.78,41.199,38.587,36.021,33.259,30.184,26.943,23.818,17.1435,15.79266,14.3503,12.79787,11.19463,9.620384,8.061765,6.660767,5.495222,4.517259,3.584563,2.71016,1.995006,1.467759,1.08934,0.7783324,0.5415761,0.3611593,0.2188449,0.1123534,
,Estimates,Sweden,,752,1955,93.099,101.6,108.636,114.288,118.626,121.732,123.682,124.552,124.42,123.362,121.657,119.581,116.211,111.225,105.301,99.39,93.24,88.557,86.265,85.666,85.089,84.808,85.107,85.944,87.267,88.862,90.527,92.98,96.477,100.508,104.503,108.805,111.395,111.282,109.444,107.767,105.768,104.643,105.143,106.623,107.658,108.504,109.031,109.019,108.575,108.083,107.536,106.44,104.607,102.262,99.812,97.181,94.621,92.299,90.106,87.783,85.393,82.965,80.495,78.001,75.482,72.907,70.467,68.243,66.139,63.983,61.842,59.457,56.7,53.693,50.699,47.655,44.695,41.906,39.219,36.512,33.858,31.034,27.93,24.689,17.05237,15.7087,14.27401,12.72984,11.13512,9.569242,8.018909,6.625358,5.466009,4.493245,3.565507,2.695753,1.9844,1.459956,1.083549,0.7741948,0.538697,0.3592393,0.2176815,0.1117561,0.2024568
,Estimates,Sweden,,752,1956,96.041,94.827,102.106,108.38,113.655,117.922,121.266,123.765,125.025,124.893,123.6,121.817,119.735,116.379,111.434,105.567,99.707,93.61,88.969,86.704,86.12,85.557,85.287,85.584,86.395,87.678,89.231,90.85,93.258,96.713,100.705,104.658,108.917,111.469,111.325,109.463,107.76,105.735,104.586,105.066,106.525,107.539,108.365,108.868,108.826,108.347,107.82,107.235,106.101,104.226,101.838,99.342,96.662,94.052,91.68,89.435,87.056,84.607,82.117,79.577,77.009,74.413,71.761,69.234,66.909,64.695,62.431,60.184,57.695,54.837,51.735,48.653,45.534,42.501,39.64,36.888,34.132,31.44,28.624,25.591,18.17301,16.74104,15.21207,13.56641,11.8669,10.19811,8.545891,7.06076,5.825222,4.78853,3.799823,2.872911,2.11481,1.555901,1.154757,0.8250729,0.5740988,0.3828476,0.231987,0.1191005,
,Estimates,Sweden,,752,1957,100.202,102.108,96.429,102.474,107.978,112.868,117.059,120.637,123.681,125.33,125.197,123.672,121.811,119.73,116.39,111.492,105.69,99.891,93.853,89.261,87.027,86.458,85.909,85.653,85.945,86.73,87.971,89.48,91.051,93.41,96.818,100.766,104.673,108.883,111.392,111.219,109.333,107.607,105.56,104.389,104.846,106.283,107.276,108.081,108.558,108.485,107.973,107.411,106.791,105.617,103.705,101.276,98.738,96.013,93.356,90.936,88.643,86.212,83.707,81.157,78.551,75.913,73.244,70.518,67.906,65.484,63.163,60.795,58.444,55.854,52.899,49.705,46.541,43.351,40.249,37.32,34.506,31.704,28.978,26.174,19.07584,17.57274,15.9678,14.24039,12.45644,10.70475,8.970452,7.411539,6.114619,5.026425,3.988599,3.015637,2.219874,1.633198,1.212125,0.8660626,0.6026201,0.4018675,0.2435122,0.1250174,
,Estimates,Sweden,,752,1958,104.904,103.287,102.982,98.007,102.819,107.552,112.056,116.17,119.981,123.569,125.606,125.473,123.715,121.779,119.696,116.375,111.526,105.788,100.052,94.074,89.533,87.329,86.776,86.243,85.997,86.286,87.045,88.244,89.709,91.231,93.54,96.902,100.804,104.663,108.824,111.29,111.087,109.18,107.43,105.361,104.168,104.603,106.018,106.988,107.771,108.223,108.122,107.575,106.977,106.322,105.111,103.161,100.692,98.111,95.343,92.64,90.172,87.831,85.349,82.79,80.179,77.509,74.8,72.06,69.26,66.564,64.045,61.619,59.146,56.693,54.002,50.951,47.667,44.421,41.159,37.991,34.992,32.119,29.273,26.512,19.71524,18.16175,16.50302,14.71771,12.87397,11.06356,9.271129,7.659963,6.319573,5.194903,4.122291,3.116717,2.294281,1.687941,1.252754,0.8950918,0.6228191,0.4153376,0.2516743,0.1292078,
,Estimates,Sweden,,752,1959,109.389,104.82,102.27,101.45,99.628,103.21,107.175,111.295,115.334,119.381,123.512,125.939,125.805,123.815,121.801,119.717,116.412,111.609,105.936,100.257,94.339,89.844,87.67,87.134,86.614,86.381,86.666,87.399,88.557,89.977,91.452,93.713,97.029,100.888,104.701,108.813,111.24,111.005,109.075,107.303,105.209,103.994,104.408,105.8,106.749,107.511,107.939,107.805,107.226,106.594,105.902,104.652,102.664,100.153,97.53,94.716,91.966,89.45,87.061,84.525,81.909,79.24,76.502,73.722,70.909,68.034,65.254,62.637,60.103,57.526,54.968,52.177,49.028,45.651,42.322,38.989,35.751,32.684,29.748,26.856,20.06924,18.48786,16.79934,14.98197,13.10513,11.26221,9.437598,7.797503,6.433045,5.288181,4.196309,3.17268,2.335477,1.718249,1.275248,0.9111638,0.6340022,0.4227952,0.2561933,0.1315278,
,Estimates,Sweden,,752,1960,112.943,106.469,102.374,100.352,100.096,101.299,103.654,106.852,110.59,114.557,118.84,123.518,126.336,126.2,123.977,121.886,119.797,116.509,111.749,106.136,100.513,94.651,90.202,88.056,87.535,87.029,86.809,87.09,87.797,88.914,90.291,91.72,93.933,97.205,101.023,104.792,108.858,111.244,110.98,109.026,107.229,105.111,103.873,104.265,105.636,106.564,107.305,107.708,107.545,106.931,106.263,105.535,104.247,102.218,99.666,96.998,94.137,91.338,88.773,86.334,83.744,81.071,78.339,75.534,72.682,69.793,66.843,63.977,61.26,58.618,55.934,53.271,50.378,47.129,43.659,40.244,36.838,33.529,30.391,27.392,20.14781,18.56024,16.86511,15.04063,13.15643,11.3063,9.474546,7.82803,6.45823,5.308884,4.212738,3.185101,2.34462,1.724976,1.280241,0.9147309,0.6364843,0.4244505,0.2571963,0.1320428,0.2392079
,Estimates,Sweden,,752,1961,114.897,111.544,106.163,102.743,101.048,100.845,101.823,103.678,106.532,110.296,114.517,118.914,123.63,126.513,126.483,124.383,122.411,120.443,117.224,112.456,106.781,101.099,95.171,90.652,88.438,87.851,87.271,86.972,87.186,87.852,88.942,90.291,91.693,93.879,97.119,100.901,104.639,108.672,111.03,110.743,108.77,106.951,104.812,103.547,103.906,105.239,106.127,106.827,107.186,106.975,106.31,105.589,104.805,103.461,101.376,98.768,96.042,93.118,90.254,87.62,85.105,82.44,79.687,76.871,73.978,71.033,68.053,65.016,62.05,59.212,56.437,53.632,50.854,47.871,44.566,41.07,37.641,34.238,30.953,27.861,21.2465,19.57235,17.78479,15.86081,13.87387,11.92285,9.991205,8.254902,6.810405,5.598384,4.442464,3.358788,2.472475,1.819041,1.350054,0.9646124,0.6711926,0.4475963,0.2712215,0.1392432,
,Estimates,Sweden,,752,1962,115.498,109.113,110.248,105.953,103.204,101.834,101.683,102.439,103.794,106.307,110.103,114.58,119.094,123.854,126.804,126.878,124.902,123.044,121.196,118.044,113.264,107.521,101.774,95.776,91.182,88.9,88.246,87.592,87.212,87.361,87.985,89.05,90.371,91.75,93.909,97.12,100.871,104.579,108.585,110.917,110.606,108.611,106.77,104.606,103.316,103.641,104.937,105.786,106.446,106.76,106.502,105.786,105.011,104.17,102.769,100.626,97.962,95.172,92.185,89.253,86.546,83.956,81.21,78.377,75.475,72.49,69.45,66.377,63.251,60.181,57.219,54.31,51.381,48.486,45.411,42.046,38.523,35.076,31.672,28.409,22.08261,20.34258,18.48467,16.48498,14.41985,12.39205,10.38439,8.579756,7.078414,5.818696,4.617287,3.490966,2.569774,1.890625,1.403182,1.002573,0.697606,0.4652105,0.2818949,0.1447228,
,Estimates,Sweden,,752,1963,115.186,110.305,106.685,109.019,105.809,103.728,102.683,102.583,103.117,103.975,106.148,109.976,114.714,119.347,124.153,127.173,127.352,125.496,123.755,122.022,118.938,114.14,108.328,102.512,96.44,91.768,89.416,88.694,87.967,87.506,87.589,88.173,89.212,90.508,91.862,93.997,97.181,100.902,104.584,108.563,110.872,110.537,108.52,106.654,104.466,103.146,103.441,104.698,105.511,106.129,106.401,106.094,105.326,104.498,103.599,102.14,99.938,97.214,94.362,91.308,88.306,85.526,82.857,80.031,77.114,74.125,71.047,67.91,64.74,61.524,58.35,55.261,52.216,49.162,46.147,42.978,39.553,35.997,32.532,29.126,22.65542,20.87025,18.96415,16.91259,14.79389,12.71349,10.65375,8.802311,7.262025,5.969631,4.737058,3.58152,2.636433,1.939667,1.43958,1.028579,0.7157015,0.4772778,0.2892071,0.1484769,
,Estimates,Sweden,,752,1964,114.683,111.495,108.896,106.863,107.805,105.679,104.268,103.548,103.5,103.811,104.171,106.005,109.865,114.865,119.619,124.471,127.56,127.845,126.11,124.483,122.869,119.848,115.035,109.151,103.266,97.119,92.369,89.945,89.157,88.354,87.814,87.83,88.374,89.388,90.658,91.987,94.1,97.256,100.949,104.604,108.558,110.843,110.484,108.444,106.554,104.341,102.993,103.254,104.476,105.25,105.829,106.056,105.702,104.882,103.999,103.043,101.525,99.265,96.48,93.565,90.443,87.372,84.518,81.769,78.863,75.862,72.784,69.613,66.379,63.112,59.805,56.525,53.309,50.129,46.946,43.815,40.548,37.063,33.476,29.99,22.98241,21.17148,19.23787,17.15669,15.00741,12.89699,10.80752,8.929357,7.36684,6.055792,4.805429,3.633213,2.674485,1.967663,1.460358,1.043425,0.7260314,0.4841665,0.2933813,0.1506199,
