Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Taiwan Province of China,,158,1950,205.807,228.429,243.047,250.609,252.078,248.407,240.552,229.468,216.115,201.445,184.847,165.706,152.826,150.308,154.392,157.335,160.811,162.188,159.425,154.052,149.721,145.787,141.808,137.961,134.243,130.336,126.146,122.783,120.728,119.433,117.951,116.552,114.295,110.647,106.069,101.646,97.245,92.693,88.039,83.373,78.667,73.844,69.675,66.508,64.003,61.508,59.226,56.606,53.336,49.718,46.33,43.008,40.178,38.104,36.536,34.974,33.505,32.013,30.382,28.678,27.087,25.592,24.04,22.373,20.659,18.995,17.355,15.834,14.486,13.263,12.078,10.956,9.838,8.683,7.533,6.462,5.453,4.572,3.86,3.286,3.498999,2.811535,2.234996,1.824783,1.534605,1.25834,1.012606,0.8045445,0.6262766,0.4769404,0.3610909,0.2756504,0.2063376,0.1462584,0.0962745,0.0637726,0.0461674,0.0328712,0.019575,0.0075099,0.0168665
,Estimates,Taiwan Province of China,,158,1951,262.77,213.544,229.994,240.831,246.599,247.854,245.559,240.676,231.694,218.345,202.41,185.344,166.116,153.166,150.621,154.7,157.625,161.077,162.427,159.636,154.233,149.873,145.91,141.907,138.04,134.306,130.383,126.178,122.8,120.73,119.419,117.922,116.509,114.236,110.572,105.977,101.536,97.118,92.549,87.877,83.195,78.471,73.632,69.443,66.254,63.725,61.207,58.898,56.257,52.969,49.338,45.935,42.598,39.75,37.653,36.057,34.468,32.975,31.457,29.803,28.076,26.464,24.949,23.381,21.707,19.988,18.324,16.686,15.169,13.824,12.607,11.43,10.318,9.219,8.098,6.99,5.963,4.997,4.159,3.487,3.619557,2.908406,2.312003,1.887656,1.58748,1.301696,1.047495,0.832265,0.6478549,0.4933733,0.3735323,0.2851479,0.213447,0.1512978,0.0995916,0.0659699,0.0477581,0.0340038,0.0202494,0.0077687,
,Estimates,Taiwan Province of China,,158,1952,306.263,279.892,219.618,229.763,236.73,240.656,241.688,240.788,238.918,232.111,218.869,201.794,184.392,165.227,152.31,149.755,153.799,156.683,160.083,161.398,158.598,153.208,148.853,144.894,140.896,137.039,133.319,129.411,125.223,121.857,119.787,118.472,116.971,115.554,113.285,109.632,105.056,100.633,96.231,91.68,87.028,82.366,77.662,72.843,68.668,65.483,62.948,60.426,58.11,55.467,52.189,48.57,45.181,41.854,39.012,36.906,35.296,33.693,32.185,30.656,28.99,27.253,25.633,24.11,22.54,20.869,19.161,17.509,15.886,14.385,13.054,11.85,10.692,9.599,8.528,7.449,6.392,5.416,4.501,3.714,3.660885,2.941615,2.338402,1.909209,1.605606,1.316558,1.059455,0.8417679,0.6552522,0.4990067,0.3777973,0.2884037,0.2158842,0.1530253,0.1007288,0.0667231,0.0483034,0.034392,0.0204807,0.0078574,
,Estimates,Taiwan Province of China,,158,1953,339.427,300.296,269.933,225.848,229.732,232.859,234.959,235.768,236.254,237.379,232.728,219.581,201.357,183.606,164.488,151.591,149.025,153.037,155.883,159.235,160.514,157.705,152.322,147.97,144.008,140.014,136.165,132.453,128.557,124.383,121.026,118.954,117.633,116.127,114.706,112.438,108.793,104.232,99.822,95.434,90.896,86.261,81.613,76.924,72.123,67.958,64.772,62.232,59.702,57.377,54.731,51.457,47.85,44.47,41.152,38.312,36.196,34.569,32.952,31.429,29.885,28.207,26.46,24.829,23.298,21.722,20.055,18.355,16.713,15.105,13.618,12.299,11.11,9.967,8.892,7.849,6.809,5.804,4.877,4.013,3.682658,2.95911,2.352309,1.920564,1.615155,1.324389,1.065756,0.8467743,0.6591493,0.5019745,0.3800442,0.290119,0.2171681,0.1539354,0.1013278,0.06712,0.0485907,0.0345966,0.0206025,0.0079041,
,Estimates,Taiwan Province of China,,158,1954,364.22,319.148,284.061,257.784,232.651,230.301,229.604,229.886,230.478,232.347,236.461,233.95,220.862,201.447,183.3,164.178,151.269,148.685,152.676,155.491,158.803,160.05,157.226,151.835,147.474,143.5,139.498,135.647,131.935,128.041,123.868,120.512,118.433,117.103,115.588,114.159,111.885,108.24,103.682,99.273,94.886,90.352,85.719,81.075,76.389,71.593,67.426,64.232,61.678,59.136,56.796,54.138,50.862,47.257,43.876,40.558,37.714,35.582,33.934,32.298,30.757,29.194,27.499,25.737,24.092,22.548,20.963,19.296,17.599,15.963,14.364,12.889,11.579,10.399,9.27,8.21,7.191,6.191,5.231,4.352,3.680239,2.957166,2.350764,1.919303,1.614094,1.323519,1.065056,0.846218,0.6587163,0.5016448,0.3797945,0.2899284,0.2170255,0.1538343,0.1012613,0.0670759,0.0485588,0.0345739,0.0205889,0.0078989,
,Estimates,Taiwan Province of China,,158,1955,381.568,336.434,300.767,273.487,253.514,239.77,231.173,226.646,225.109,225.482,228.739,235.853,235.481,222.437,201.8,183.235,164.084,151.145,148.54,152.515,155.303,158.579,159.797,156.951,151.547,147.171,143.18,139.166,135.306,131.589,127.692,123.516,120.156,118.067,116.725,115.201,113.76,111.479,107.828,103.267,98.854,94.463,89.925,85.289,80.643,75.954,71.155,66.982,63.776,61.205,58.647,56.288,53.616,50.333,46.724,43.34,40.017,37.163,35.014,33.344,31.685,30.124,28.54,26.827,25.047,23.386,21.826,20.231,18.56,16.865,15.233,13.642,12.175,10.872,9.702,8.584,7.538,6.542,5.578,4.665,3.64637,2.929951,2.32913,1.901639,1.59924,1.311338,1.055255,0.8384303,0.6526541,0.4970281,0.3762993,0.2872602,0.2150282,0.1524185,0.1003294,0.0664586,0.0481119,0.0342557,0.0203995,0.0078262,0.0175769
,Estimates,Taiwan Province of China,,158,1956,389.745,371.171,331.852,299.923,274.646,255.277,240.749,229.994,223.908,222.403,223.759,227.305,234.336,233.934,220.958,200.446,181.984,162.934,150.056,147.446,151.376,154.125,157.358,158.553,155.715,150.339,145.986,142.015,138.023,134.183,130.486,126.61,122.458,119.112,117.026,115.675,114.147,112.699,110.418,106.777,102.235,97.837,93.46,88.939,84.321,79.693,75.023,70.243,66.082,62.875,60.295,57.727,55.358,52.681,49.406,45.811,42.439,39.129,36.28,34.121,32.434,30.759,29.184,27.588,25.867,24.082,22.417,20.855,19.266,17.611,15.941,14.337,12.777,11.344,10.077,8.945,7.867,6.862,5.916,5.013,3.982238,3.19983,2.543667,2.0768,1.746547,1.432126,1.152455,0.9156584,0.7127703,0.5428096,0.4109604,0.3137198,0.2348345,0.1664579,0.1095708,0.0725801,0.0525435,0.037411,0.0222785,0.0085471,
,Estimates,Taiwan Province of China,,158,1957,394.335,362.194,362.5,328.786,300.432,277.031,258.177,242.805,229.854,222.191,220.712,223.05,226.899,233.881,233.447,220.479,200.001,181.557,162.522,149.647,147.021,150.922,153.647,156.852,158.027,155.185,149.814,145.464,141.494,137.506,133.669,129.975,126.103,121.955,118.611,116.515,115.152,113.611,112.151,109.858,106.212,101.667,97.265,92.883,88.358,83.737,79.107,74.434,69.652,65.483,62.262,59.66,57.073,54.681,51.988,48.706,45.109,41.734,38.423,35.563,33.387,31.674,29.977,28.381,26.766,25.028,23.23,21.554,19.984,18.392,16.748,15.093,13.51,11.975,10.569,9.332,8.231,7.19,6.221,5.321,4.305809,3.459828,2.750349,2.245547,1.88846,1.548491,1.246095,0.9900588,0.7706854,0.5869147,0.4443523,0.3392107,0.2539156,0.1799831,0.1184738,0.0784775,0.0568129,0.0404508,0.0240887,0.0092416,
,Estimates,Taiwan Province of China,,158,1958,395.821,373.343,352.476,354.574,326.399,301.564,279.994,261.614,245.366,230.192,220.933,219.478,222.803,226.964,233.91,233.444,220.458,199.969,181.506,162.448,149.548,146.9,150.782,153.486,156.67,157.829,154.977,149.599,145.242,141.267,137.274,133.432,129.734,125.856,121.706,118.354,116.246,114.867,113.31,111.835,109.526,105.867,101.309,96.895,92.499,87.958,83.328,78.683,73.999,69.205,65.02,61.777,59.15,56.535,54.117,51.403,48.105,44.502,41.114,37.794,34.921,32.722,30.979,29.257,27.636,25.997,24.241,22.426,20.735,19.153,17.556,15.918,14.276,12.71,11.198,9.814,8.605,7.535,6.527,5.593,4.585229,3.684349,2.928829,2.391269,2.011009,1.648979,1.326959,1.054307,0.8206981,0.6250018,0.473188,0.3612233,0.2703931,0.1916629,0.126162,0.0835702,0.0604997,0.0430758,0.0256519,0.0098413,
,Estimates,Taiwan Province of China,,158,1959,394.912,382.127,367.973,352.771,346.78,324.152,302.836,283.093,265.182,248.046,230.635,219.77,218.338,222.657,227.131,234.045,233.546,220.536,200.028,181.537,162.446,149.517,146.845,150.709,153.394,156.559,157.702,154.837,149.451,145.086,141.102,137.103,133.254,129.551,125.666,121.51,118.149,116.029,114.633,113.059,111.568,109.242,105.569,100.996,96.567,92.154,87.599,82.953,78.295,73.596,68.788,64.584,61.318,58.664,56.022,53.576,50.838,47.525,43.911,40.511,37.182,34.292,32.068,30.296,28.546,26.901,25.239,23.462,21.628,19.924,18.327,16.726,15.092,13.463,11.913,10.422,9.062,7.88,6.84,5.864,4.796911,3.85444,3.064041,2.501665,2.103849,1.725106,1.38822,1.102981,0.8585864,0.6538557,0.4950332,0.3778995,0.2828761,0.2005112,0.1319864,0.0874283,0.0632927,0.0450644,0.0268361,0.0102956,
