Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Thailand,,764,1950,783.301,719.376,667.11,625.288,592.691,568.106,550.318,538.109,530.264,525.568,524.388,527.087,524.543,512.371,494.106,477.525,460.91,445.548,432.804,421.545,409.613,397.848,384.245,367.722,349.569,332.076,314.686,299.384,287.357,277.676,268.102,258.935,250.716,243.438,236.904,230.858,225.284,219.772,214.069,208.249,202.692,197.387,191.666,185.253,178.422,171.642,164.733,158.268,152.544,147.245,141.913,136.846,130.87,123.416,115.152,107.221,99.286,92.582,87.805,84.345,80.786,77.284,74.109,71.217,68.458,65.906,63.753,60.505,55.481,49.426,43.63,37.69,32.974,30.248,28.799,27.244,25.971,24.089,21.05,17.374,13.42602,11.89844,10.43604,9.043492,7.732419,6.498336,5.330041,4.328761,3.539918,2.916257,2.359402,1.880963,1.472997,1.119209,0.8200062,0.5861843,0.4077627,0.272317,0.1719039,0.1016352,0.2378955
,Estimates,Thailand,,764,1951,796.178,765.284,707.808,660.03,621.03,589.896,565.436,546.461,533.432,525.985,522.38,521.608,524.316,521.786,509.7,491.557,475.032,458.434,443.066,430.292,418.989,407.004,395.172,381.544,365.065,347,329.586,312.276,297.035,285.033,275.353,265.785,256.625,248.408,241.128,234.589,228.535,222.95,217.432,211.73,205.919,200.368,195.07,189.355,182.944,176.114,169.338,162.433,155.974,150.261,144.973,139.654,134.594,128.637,121.216,112.992,105.098,97.198,90.512,85.726,82.238,78.656,75.138,71.923,68.955,66.103,63.465,61.217,57.94,52.991,47.074,41.418,35.637,31.034,28.337,26.873,25.318,24.04,22.22,19.346,14.40623,12.76712,11.19795,9.703737,8.296945,6.972765,5.719175,4.644795,3.798359,3.129166,2.531657,2.018288,1.580537,1.20092,0.8798731,0.6289803,0.4375325,0.2921983,0.1844543,0.1090553,
,Estimates,Thailand,,764,1952,812.035,764.67,748.689,697.548,654.161,617.91,588.178,563.8,543.604,529.732,522.67,520.147,519.782,522.504,519.981,507.961,489.907,473.407,456.796,441.394,428.566,417.199,405.14,393.219,379.542,363.076,345.067,327.699,310.438,295.231,283.231,273.534,263.956,254.786,246.556,239.261,232.703,226.632,221.025,215.491,209.782,203.966,198.412,193.112,187.392,180.972,174.132,167.345,160.432,153.968,148.254,142.97,137.652,132.592,126.64,119.241,111.042,103.169,95.29,88.611,83.807,80.284,76.672,73.131,69.872,66.822,63.873,61.143,58.797,55.485,50.601,44.813,39.285,33.651,29.153,26.483,24.997,23.442,22.158,20.393,15.47533,13.71458,12.02896,10.42386,8.912668,7.490219,6.1436,4.989488,4.080239,3.361384,2.719533,2.168067,1.69783,1.290041,0.9451692,0.6756574,0.4700022,0.3138826,0.1981428,0.1171484,
,Estimates,Thailand,,764,1953,831.077,789.021,749.629,732.475,687.647,648.631,615.112,586.767,562.457,541.03,526.308,519.627,518.184,518.228,520.963,518.448,506.488,488.511,472.028,455.397,439.952,427.064,415.626,403.487,391.471,377.736,361.277,343.313,325.982,308.763,293.579,281.576,271.859,262.263,253.079,244.832,237.517,230.94,224.845,219.215,213.662,207.941,202.12,196.559,191.254,185.526,179.093,172.238,165.439,158.515,152.041,146.324,141.04,135.72,130.658,124.709,117.326,109.149,101.293,93.432,86.754,81.93,78.371,74.727,71.163,67.855,64.724,61.674,58.852,56.406,53.058,48.235,42.574,37.171,31.682,27.287,24.64,23.135,21.576,20.285,16.45458,14.58241,12.79013,11.08346,9.476647,7.964187,6.532356,5.305215,4.338429,3.574087,2.89162,2.305258,1.805266,1.371672,1.004978,0.7184119,0.4997431,0.3337445,0.2106809,0.1245613,
,Estimates,Thailand,,764,1954,853.652,814.814,777.219,741.063,716.256,677.746,643.107,612.32,585.366,561.122,538.463,522.89,516.589,516.229,516.681,519.43,516.923,505.021,487.123,470.657,454.004,438.516,425.568,414.059,401.839,389.728,375.936,359.481,341.564,324.269,307.09,291.931,279.925,270.185,260.574,251.375,243.11,235.776,229.177,223.062,217.406,211.835,206.102,200.274,194.708,189.397,183.661,177.216,170.345,163.534,156.597,150.115,144.394,139.111,133.789,128.723,122.779,115.411,107.255,99.417,91.572,84.897,80.053,76.458,72.781,69.193,65.838,62.623,59.475,56.558,54.014,50.628,45.869,40.332,35.055,29.712,25.419,22.796,21.27,19.709,17.14382,15.19323,13.32587,11.54772,9.873598,8.297786,6.805979,5.527436,4.520154,3.723796,3.012743,2.40182,1.880884,1.429128,1.047074,0.7485043,0.520676,0.3477242,0.2195058,0.1297789,
,Estimates,Thailand,,764,1955,879.997,842.378,805.288,769.003,733.806,699.978,667.796,637.541,609.492,583.93,559.755,535.863,519.438,513.519,514.243,515.103,517.867,515.367,503.524,485.707,469.258,452.584,437.054,424.046,412.468,400.167,387.961,374.112,357.664,339.793,322.537,305.398,290.265,278.256,268.495,258.868,249.654,241.373,234.02,227.4,221.263,215.584,209.994,204.249,198.416,192.843,187.527,181.784,175.327,168.441,161.617,154.669,148.178,142.454,137.171,131.849,126.779,120.839,113.488,105.353,97.533,89.706,83.033,78.169,74.537,70.829,67.217,63.815,60.517,57.269,54.26,51.615,48.193,43.497,38.086,32.935,27.737,23.548,20.948,19.402,17.46129,15.47459,13.57265,11.76156,10.05644,8.451447,6.932015,5.629795,4.60386,3.792754,3.068534,2.446297,1.915714,1.455593,1.066464,0.7623653,0.5303181,0.3541635,0.2235706,0.1321822,0.3093963
,Estimates,Thailand,,764,1956,909.138,870.841,833.591,797.146,761.715,727.514,694.835,663.973,634.73,607.154,581.705,557.7,533.97,517.638,511.767,512.497,513.311,515.983,513.406,501.532,483.714,467.242,450.533,434.979,421.966,410.396,398.101,385.902,372.06,355.618,337.75,320.498,303.365,288.233,276.224,266.459,256.827,247.606,239.315,231.951,225.316,219.163,213.468,207.857,202.084,196.22,190.614,185.264,179.493,173.022,166.127,159.294,152.34,145.834,140.077,134.751,129.388,124.268,118.307,110.973,102.881,95.098,87.314,80.645,75.72,71.988,68.194,64.507,61.035,57.677,54.385,51.339,48.65,45.265,40.721,35.537,30.613,25.666,21.673,19.172,18.25673,16.17952,14.19094,12.29735,10.51455,8.836446,7.247797,5.886255,4.813585,3.96553,3.208318,2.557736,2.002983,1.521902,1.115046,0.7970942,0.5544762,0.3702971,0.2337552,0.1382036,
,Estimates,Thailand,,764,1957,941.342,901.52,861.799,824.913,789.108,754.526,721.316,689.783,660.234,632,604.893,579.553,555.717,532.143,515.904,510.079,510.815,511.585,514.164,511.509,499.604,481.783,465.286,448.539,432.959,419.94,408.375,396.086,383.892,370.056,353.617,335.75,318.501,301.37,286.24,274.227,264.457,254.818,245.59,237.29,229.911,223.262,217.091,211.38,205.747,199.946,194.049,188.411,183.025,177.226,170.739,163.835,156.992,150.033,143.509,137.72,132.349,126.943,121.775,115.79,108.475,100.423,92.676,84.935,78.269,73.282,69.449,65.569,61.807,58.264,54.846,51.51,48.425,45.694,42.344,37.952,32.994,28.296,23.601,19.802,18.78088,16.64403,14.59836,12.65041,10.81643,9.09014,7.455881,6.05525,4.951783,4.07938,3.300429,2.631169,2.060489,1.565595,1.147059,0.8199788,0.5703953,0.3809283,0.2404663,0.1421714,
,Estimates,Thailand,,764,1958,975.639,933.422,892.472,852.906,816.377,781.205,747.468,715.242,684.847,656.609,629.376,602.735,577.499,553.828,530.407,514.258,508.477,509.221,509.945,512.432,509.699,497.761,479.933,463.408,446.622,431.012,417.986,406.424,394.138,381.948,368.115,351.676,333.807,316.558,299.427,284.294,272.278,262.501,252.853,243.616,235.304,227.912,221.246,215.057,209.328,203.672,197.842,191.911,186.24,180.818,174.991,168.486,161.57,154.718,147.751,141.21,135.386,129.97,124.521,119.304,113.294,105.995,97.983,90.271,82.571,75.906,70.857,66.923,62.957,59.117,55.504,52.025,48.646,45.521,42.746,39.431,35.19,30.458,25.985,21.539,19.13089,16.95422,14.87043,12.88617,11.01801,9.259552,7.594835,6.168101,5.044069,4.155407,3.361939,2.680206,2.09889,1.594773,1.168436,0.8352606,0.5810256,0.3880276,0.2449479,0.1448211,
,Estimates,Thailand,,764,1959,1010.878,966.296,923.538,882.624,844.266,808.084,773.536,740.631,709.381,680.117,653.178,626.942,600.756,575.618,552.103,528.829,512.765,507.028,507.778,508.458,510.852,508.043,496.066,478.226,461.67,444.837,429.195,416.155,404.595,392.308,380.117,366.284,349.841,331.963,314.709,297.573,282.434,270.41,260.622,250.963,241.716,233.388,225.981,219.295,213.087,207.338,201.658,195.798,189.831,184.124,178.665,172.806,166.283,159.355,152.489,145.514,138.952,133.092,127.63,122.137,116.867,110.832,103.546,95.573,87.892,80.231,73.566,68.454,64.416,60.362,56.446,52.76,49.22,45.795,42.629,39.812,36.53,32.438,27.93,23.681,19.4498,17.23684,15.11831,13.10098,11.20168,9.413905,7.721438,6.270921,5.128151,4.224676,3.417981,2.724884,2.133877,1.621357,1.187914,0.8491841,0.5907111,0.3944959,0.2490311,0.1472352,
