Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Turkey,,792,1950,747.737,703.567,663.986,628.781,597.741,570.656,547.312,527.5,511.006,497.619,486.191,475.571,470.236,471.852,477.391,482.77,489.526,488.694,475.614,454.399,434.092,413.227,392.23,372.327,353.178,333.883,315.423,296.504,276.661,257.316,238.999,219.971,210.668,215.817,229.995,243.456,258.634,267.361,264.744,254.714,246.397,238.319,229.681,221.122,212.7,203.268,192.362,184.712,182.333,182.92,182.99,184.241,179.911,166.604,147.975,130.348,111.582,98.925,96.344,99.977,102.533,106.104,105.231,96.66,83.446,71.525,59.284,50.429,47.264,47.66,47.413,47.652,45.928,40.69,33.374,26.846,20.406,15.416,12.803,11.772,10.64957,8.971373,7.457934,6.252573,5.271968,4.27832,3.303511,2.502739,1.924549,1.515033,1.164931,0.8885876,0.6619485,0.4606686,0.2899647,0.1249123,0.1001328,0.0750633,0.0501388,0.0250694,0.0310107
,Estimates,Turkey,,792,1951,866.566,732.075,687.851,649.098,615.412,586.384,561.833,541.575,524.091,508.529,495.15,483.959,473.619,468.368,469.881,475.188,480.243,486.572,485.449,472.343,451.272,431.058,410.275,389.384,369.614,350.614,331.473,313.166,294.397,274.692,255.469,237.266,218.359,209.081,214.119,228.096,241.358,256.317,264.876,262.186,252.143,243.793,235.674,226.997,218.395,209.927,200.459,189.538,181.819,179.287,179.676,179.555,180.585,176.165,162.973,144.581,127.175,108.672,96.104,93.323,96.584,98.805,102.01,100.957,92.512,79.616,67.986,56.083,47.403,44.134,44.262,43.802,43.809,42.049,37.092,30.252,24.171,18.199,13.581,11.161,10.9896,9.257816,7.696055,6.452209,5.440294,4.414921,3.408988,2.582648,1.985997,1.563406,1.202125,0.9169589,0.6830836,0.4753771,0.2992229,0.1289006,0.1033298,0.07746,0.0517397,0.0258698,
,Estimates,Turkey,,792,1952,955.217,849.463,714.62,670.455,632.627,600.536,573.587,551.622,534.488,519.369,504.773,491.436,480.509,470.476,465.32,466.728,471.789,476.51,482.395,480.988,467.888,447.014,426.945,406.293,385.564,365.976,347.171,328.232,310.126,291.551,272.036,252.981,234.939,216.2,206.972,211.885,225.626,238.656,253.36,261.73,258.973,248.944,240.582,232.442,223.749,215.127,206.633,197.152,186.245,178.478,175.799,175.99,175.678,176.487,171.987,158.945,140.833,123.692,105.5,93.05,90.077,92.96,94.843,97.673,96.444,88.148,75.598,64.288,52.754,44.27,40.903,40.767,40.094,39.871,38.08,33.413,27.066,21.445,15.956,11.719,10.88215,9.167301,7.62081,6.389125,5.387104,4.371756,3.375658,2.557397,1.966579,1.54812,1.190372,0.9079937,0.676405,0.4707293,0.2962974,0.1276403,0.1023196,0.0767027,0.0512338,0.0256169,
,Estimates,Turkey,,792,1953,1017.389,899.198,799.84,698.712,654.515,617.528,586.961,562.025,542.59,528.532,515.733,502.07,488.748,478.063,468.312,463.242,464.547,469.375,473.771,479.229,477.533,464.415,443.693,423.726,403.166,382.552,363.105,344.457,325.681,307.735,289.318,269.949,251.024,233.106,214.494,205.297,210.096,223.63,236.458,250.936,259.135,256.308,246.27,237.879,229.703,220.974,212.314,203.779,194.265,183.35,175.518,172.687,172.683,172.18,172.769,168.182,155.26,137.392,120.479,102.558,90.201,87.031,89.544,91.092,93.558,92.148,83.984,71.755,60.74,49.547,41.241,37.773,37.37,36.485,36.033,34.206,29.82,23.951,18.775,13.755,10.56837,8.902966,7.401067,6.204897,5.231769,4.245698,3.278322,2.483656,1.909874,1.503481,1.156048,0.8818121,0.6569011,0.457156,0.2877538,0.1239599,0.0993692,0.074491,0.0497565,0.0248783,
,Estimates,Turkey,,792,1954,1055.691,937.263,837.057,753.533,684.867,640.507,604.253,575.12,552.123,535.162,524.139,513.625,500.856,487.508,477.032,467.535,462.537,463.742,468.351,472.437,477.481,475.494,462.315,441.687,421.762,401.231,380.674,361.309,342.763,324.094,306.255,287.941,268.663,249.81,231.962,213.424,204.23,208.929,222.297,234.959,249.255,257.308,254.4,244.326,235.88,227.642,218.854,210.13,201.527,191.953,180.997,173.076,170.087,169.885,169.19,169.563,164.872,152.034,134.358,117.621,99.918,87.619,84.242,86.391,87.61,89.717,88.124,80.067,68.122,57.37,46.486,38.333,34.752,34.084,32.982,32.299,30.432,26.314,20.904,16.16,10.26296,8.64568,7.187184,6.025582,5.080576,4.123002,3.183582,2.411881,1.854681,1.460032,1.12264,0.8563287,0.6379174,0.4439447,0.279438,0.1203776,0.0964976,0.0723383,0.0483186,0.0241593,
,Estimates,Turkey,,792,1955,1072.051,964.553,872.005,793.217,727.009,672.193,627.589,592.005,564.261,543.173,528.667,520.675,512.439,500.544,487.147,476.862,467.604,462.668,463.776,468.172,471.953,476.592,474.307,461.046,440.471,420.555,400.015,379.476,360.161,341.683,323.086,305.325,287.08,267.857,249.044,231.234,212.735,203.528,208.136,221.361,233.878,248.018,255.939,252.945,242.814,234.299,225.985,217.12,208.316,199.629,189.978,178.959,170.937,167.781,167.381,166.493,166.646,161.846,149.067,131.55,114.963,97.446,85.182,81.59,83.379,84.268,86.019,84.24,76.274,64.594,54.086,43.493,35.48,31.778,30.841,29.521,28.605,26.693,22.837,17.879,9.926164,8.36196,6.951327,5.827845,4.91385,3.9877,3.079108,2.332732,1.793817,1.412119,1.085799,0.8282271,0.6169833,0.4293761,0.2702678,0.1164272,0.0933309,0.0699644,0.046733,0.0233665,0.0289042
,Estimates,Turkey,,792,1956,1060.763,1031.265,937.184,854.29,781.946,719.524,665.9,619.953,583.499,556.891,538.027,524.41,516.498,508.227,496.3,482.852,472.357,462.758,457.57,458.607,463.055,466.848,471.48,469.258,456.158,435.808,416.123,395.83,375.521,356.391,338.071,319.63,302.009,283.914,264.861,246.217,228.558,210.214,201.039,205.498,218.459,230.717,244.573,252.289,249.229,239.121,230.604,222.28,213.404,204.577,195.857,186.19,175.184,167.104,163.78,163.151,162.047,161.948,157.066,144.47,127.296,111.033,93.897,81.802,78.031,79.436,79.993,81.38,79.457,71.708,60.47,50.373,40.232,32.532,28.897,27.882,26.529,25.567,23.752,20.226,11.47168,9.663931,8.033659,6.735249,5.678945,4.608591,3.558531,2.695942,2.073117,1.631988,1.254859,0.9571834,0.7130485,0.4962306,0.312349,0.1345551,0.1078626,0.080858,0.0540094,0.0270047,
,Estimates,Turkey,,792,1957,1041.697,980.247,995.286,914.139,840.486,774.235,715.303,662.623,615.134,577.649,552.054,535.318,522.527,514.658,506.315,494.304,480.744,469.991,460.012,454.548,455.52,460.04,463.861,468.506,466.338,453.339,433.122,413.579,393.441,373.268,354.238,335.992,317.625,300.064,282.036,263.066,244.509,226.919,208.648,199.464,203.793,216.55,228.606,242.242,249.788,246.648,236.517,227.96,219.588,210.662,201.774,192.981,183.254,172.212,164.038,160.53,159.673,158.346,157.999,153.011,140.542,123.631,107.619,90.784,78.804,74.838,75.867,76.094,77.126,75.052,67.484,56.635,46.902,37.165,29.743,26.158,25.06,23.67,22.657,20.93,13.04953,10.99314,9.138632,7.661635,6.460043,5.24247,4.047981,3.066749,2.358259,1.856457,1.427456,1.088837,0.8111233,0.5644836,0.3553104,0.1530622,0.1226984,0.0919794,0.061438,0.030719,
,Estimates,Turkey,,792,1958,1019.797,984.356,945.181,961.001,892.674,828.148,767.883,712.344,660.518,611.397,572.815,548.188,533.555,521.568,513.729,505.299,493.181,479.486,468.456,458.078,452.328,453.235,457.836,461.692,466.359,464.242,451.32,431.2,411.764,391.745,371.675,352.71,334.507,316.179,298.648,280.655,261.737,243.23,225.681,207.45,198.239,202.448,215.022,226.897,240.335,247.725,244.5,234.33,225.715,217.282,208.289,199.322,190.443,180.638,169.539,161.258,157.56,156.47,154.921,154.32,149.221,136.856,120.178,104.389,87.827,75.94,71.771,72.425,72.324,73,70.771,63.371,52.893,43.507,34.158,27.002,23.46,22.277,20.848,19.78,14.24837,12.00306,9.978182,8.365496,7.053516,5.724087,4.419862,3.348486,2.574909,2.027006,1.558594,1.188867,0.8856398,0.6163417,0.3879521,0.1671238,0.1339705,0.1004294,0.0670822,0.0335411,
,Estimates,Turkey,,792,1959,1001.62,987.838,965.159,934.935,926.342,870.895,815.548,761.305,709.185,658.23,607.486,567.811,544.163,531.644,520.468,512.66,504.145,491.924,478.097,466.791,456.014,449.98,450.823,455.502,459.394,464.081,462.013,449.175,429.156,409.835,389.94,369.977,351.082,332.927,314.645,297.148,279.196,260.332,241.883,224.378,206.192,196.959,201.043,213.431,225.122,238.359,245.59,242.28,232.071,223.403,214.91,205.852,196.81,187.844,177.964,166.813,158.424,154.538,153.215,151.441,150.59,145.377,133.12,116.681,101.121,84.835,73.046,68.675,68.952,68.52,68.842,66.456,59.226,49.124,40.089,31.132,24.243,20.746,19.479,18.009,14.66751,12.35614,10.27171,8.611579,7.261006,5.892469,4.549879,3.446987,2.650653,2.086634,1.604443,1.223839,0.9116922,0.6344723,0.3993643,0.17204,0.1379114,0.1033837,0.0690555,0.0345277,
