Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,United Kingdom,,826,1950,964.948,913.108,867.957,828.98,795.653,767.455,743.871,724.377,708.451,695.58,686.226,680.868,674.026,663.198,650.839,641.543,633.964,631.726,636.966,647.661,658.024,667.242,682.192,705.07,731.68,758.205,788.507,801.115,785.937,754.008,724.547,691.432,675.434,688.106,718.582,744.683,771.122,789.836,794.669,790.112,786.954,783.208,777.42,769.989,760.888,750.014,737.793,723.491,706.873,688.654,669.857,650.349,631.657,614.664,598.883,582.739,566.323,551.213,537.972,525.91,513.694,501.482,488.822,475.314,461.076,446.601,431.754,416.062,399.332,381.642,363.539,345.239,325.161,302.68,278.662,254.804,231.02,207.568,184.832,162.906,110.4281,100.1249,89.80336,79.77439,70.0591,60.37699,50.79666,42.14459,34.80742,28.54661,22.65017,17.16553,12.68248,9.392131,7.034432,5.106037,3.647065,2.522562,1.596115,0.8742888,1.538121
,Estimates,United Kingdom,,826,1951,792.547,945.539,904.001,865.57,830.304,798.249,768.949,741.95,719.851,703.722,692.093,682.805,676.775,669.759,659.583,648.364,640.065,633.499,631.859,637.019,647.177,657.065,665.801,680.195,702.475,728.47,754.336,783.92,796.002,780.608,748.665,719.164,686.023,669.965,682.485,712.753,738.691,765.018,783.526,788.006,783.021,779.436,775.19,769.198,762.041,753.483,743.095,731.427,717.254,700.083,680.883,661.161,640.651,621.238,604.024,588.322,572.156,555.715,540.396,526.637,513.854,500.954,488.058,474.704,460.515,445.61,430.484,415.035,398.713,381.296,362.926,344.238,325.426,305.07,282.639,258.93,235.465,212.171,189.408,167.589,117.6583,106.6805,95.68319,84.99758,74.64618,64.33015,54.12254,44.90398,37.08642,30.41568,24.13318,18.28944,13.51286,10.00708,7.495008,5.440352,3.885854,2.687726,1.70062,0.9315325,
,Estimates,United Kingdom,,826,1952,682.116,762.471,929.926,898.515,866.646,834.946,804.035,773.517,742.997,718.206,701.811,691.376,682.115,675.391,668.174,658.608,648.484,641.148,635.565,634.52,639.618,649.281,658.735,667.023,680.918,702.692,728.175,753.486,782.47,794.076,778.404,746.32,716.66,683.363,667.177,679.598,709.779,735.656,761.977,780.354,784.499,779.066,775.042,770.276,764.059,757.145,749.097,739.153,727.99,713.891,696.096,675.84,655.117,633.522,613.311,595.807,580.121,563.87,547.337,531.748,517.417,503.862,490.227,476.596,462.495,447.569,431.937,416.102,399.988,382.971,364.798,345.677,326.329,306.928,286.216,263.744,240.248,217.083,194.185,172.021,123.6704,112.1316,100.5724,89.34078,78.46045,67.61729,56.88809,47.19849,38.98146,31.96986,25.36634,19.22399,14.20334,10.51842,7.877988,5.718343,4.084414,2.825063,1.787518,0.9791319,
,Estimates,United Kingdom,,826,1953,623.813,730.07,807.452,913.975,892.73,867.452,839.338,809.585,777.854,743.813,716.33,699.673,690.439,681.21,673.791,666.373,657.422,648.401,642.031,637.438,636.988,642.023,651.186,660.202,668.038,681.43,702.688,727.649,752.397,780.77,791.893,775.95,743.733,713.923,680.478,664.172,676.488,706.572,732.382,758.688,776.927,780.734,774.854,770.39,765.107,758.663,751.997,744.463,734.966,724.314,710.292,691.879,670.57,648.848,626.173,605.168,587.378,571.714,555.381,538.763,522.908,508.006,493.683,479.315,464.95,450.104,434.445,418.09,401.545,384.773,367.063,348.138,328.267,308.266,288.281,267.216,244.71,221.437,198.579,176.086,127.7172,115.8008,103.8634,92.26422,81.02786,69.82988,58.74961,48.74293,40.25702,33.01599,26.19638,19.85304,14.6681,10.8626,8.135774,5.90546,4.218065,2.917506,1.84601,1.011171,
,Estimates,United Kingdom,,826,1954,610.194,718.445,798.245,852.609,896.827,885.79,867.144,842.657,814.099,781.197,743.673,713.531,696.632,688.613,679.427,671.321,663.713,655.39,647.482,642.091,638.494,638.639,643.606,652.256,660.823,668.195,681.066,701.779,726.187,750.338,778.064,788.689,772.493,740.187,710.264,676.715,660.309,672.504,702.452,728.161,754.419,772.496,775.96,769.641,764.741,758.946,752.285,745.876,738.863,729.829,719.702,705.775,686.766,664.431,641.737,618.009,596.236,578.183,562.56,546.168,529.484,513.383,497.931,482.855,467.772,452.692,437.118,420.745,403.686,386.454,369.042,350.662,331.008,310.415,289.782,269.238,247.848,225.338,202.316,179.796,129.5327,117.447,105.3398,93.57575,82.17967,70.82251,59.58473,49.43581,40.82928,33.48531,26.56876,20.13525,14.87661,11.01702,8.251424,5.989406,4.278025,2.958978,1.872251,1.025545,
,Estimates,United Kingdom,,826,1955,633.672,723.882,791.198,837.967,866.528,879.224,878.395,866.386,845.538,818.191,784.134,743.148,710.364,693.233,686.431,677.293,668.506,660.711,653.019,646.23,641.817,639.219,639.96,644.855,652.988,661.1,668.007,680.349,700.508,724.351,747.892,774.956,785.079,768.639,736.258,706.24,672.604,656.106,668.174,697.971,723.565,749.761,767.668,770.788,764.031,758.7,752.395,745.521,739.371,732.886,724.316,714.72,700.895,681.301,657.951,634.297,609.529,587,568.694,553.12,536.676,519.936,503.598,487.603,471.783,455.992,440.205,423.914,406.833,389.081,371.171,353.128,334.088,313.716,292.409,271.158,250.066,228.361,205.859,183.1,129.1284,117.0804,105.011,93.28366,81.92315,70.60145,59.39874,49.2815,40.70183,33.38079,26.48583,20.0724,14.83017,10.98263,8.225668,5.970711,4.264671,2.949742,1.866407,1.022344,1.798592
,Estimates,United Kingdom,,826,1956,686.893,656.13,729.363,786.123,827.686,855.325,871.368,878.146,871.648,851.03,820.737,785.872,745.187,712.543,695.297,688.236,678.839,669.698,661.868,654.66,648.647,644.924,643.065,644.091,648.547,655.78,663.074,669.147,680.783,700.495,724.077,747.295,773.961,783.967,767.827,735.986,706.481,673.433,657.148,668.825,697.845,722.716,748.133,765.443,768.303,761.49,756.024,749.575,742.45,735.875,728.851,719.752,709.608,695.271,675.238,651.487,627.399,602.182,579.145,560.246,544.017,526.912,509.5,492.471,475.771,459.236,442.749,426.317,409.3,391.358,372.696,353.965,335.157,315.584,295.011,273.761,252.655,231.822,210.53,188.593,137.6416,124.7992,111.9341,99.43368,87.32419,75.25606,63.31479,52.53054,43.38522,35.58152,28.23199,21.39574,15.8079,11.70669,8.76797,6.364348,4.545833,3.144213,1.989456,1.089745,
,Estimates,United Kingdom,,826,1957,756.282,772.225,676.942,732.989,779.036,815.28,841.925,861.279,875.656,874.692,854.357,821.192,785.606,745.328,712.906,695.589,688.286,678.656,669.182,661.339,654.632,649.412,646.388,645.275,646.584,650.588,656.903,663.357,668.581,679.481,698.693,721.957,744.79,770.989,780.853,765.055,733.836,704.92,672.543,656.516,667.769,695.938,720.022,744.594,761.262,763.855,757.001,751.417,744.837,737.482,730.497,722.95,713.347,702.679,687.864,667.445,643.352,618.892,593.289,569.803,550.358,533.514,515.792,497.75,480.074,462.71,445.501,428.36,411.325,393.623,374.864,355.341,335.833,316.309,296.253,275.529,254.393,233.483,212.964,192.139,144.0549,130.6142,117.1497,104.0667,91.39301,78.76258,66.26491,54.97817,45.40674,37.23942,29.54745,22.39266,16.54446,12.25216,9.17651,6.660892,4.757644,3.290716,2.082153,1.140521,
,Estimates,United Kingdom,,826,1958,831.905,805.019,787.688,697.299,736.16,771.485,802.4,828.035,850.683,872.634,877.196,857.155,821.144,784.86,745.011,712.832,695.455,687.916,678.056,668.259,660.404,654.205,649.777,647.455,647.086,648.675,652.229,657.621,663.234,667.606,677.766,696.468,719.397,741.835,767.551,777.267,761.82,731.241,702.93,671.245,655.482,666.308,693.609,716.891,740.607,756.623,758.947,752.059,746.358,739.653,732.072,724.682,716.618,706.517,695.334,680.051,659.258,634.84,610.021,584.05,560.131,540.152,522.705,504.377,485.719,467.406,449.391,431.521,413.736,396.11,377.736,358.173,337.8,317.532,297.303,276.777,255.916,234.906,214.206,194.012,148.2887,134.453,120.5927,107.1253,94.07907,81.07743,68.21245,56.59399,46.74125,38.3339,30.41585,23.05079,17.0307,12.61225,9.446209,6.856657,4.897472,3.38743,2.143348,1.174041,
,Estimates,United Kingdom,,826,1959,903.741,840.273,795.806,767.864,718.16,739.895,764.545,790.162,814.811,840.763,870.294,880.373,860.611,821.731,784.722,745.272,713.311,695.859,688.078,677.983,667.854,659.983,654.283,650.645,649.021,649.394,651.265,654.37,658.847,663.624,667.151,676.578,694.786,717.399,739.458,764.713,774.289,759.18,729.216,701.488,670.468,654.957,665.364,691.821,714.322,737.199,752.578,754.635,747.707,741.885,735.052,727.237,719.438,710.852,700.246,688.539,672.779,651.595,626.834,601.638,575.28,550.908,530.382,512.319,493.373,474.085,455.123,436.443,417.899,399.458,381.228,362.168,341.789,320.552,299.508,278.562,257.549,236.536,215.634,195.13,150.2698,136.2492,122.2038,108.5564,95.33591,82.16058,69.12372,57.35005,47.36569,38.84602,30.82219,23.35873,17.25822,12.78074,9.572405,6.948258,4.962899,3.432684,2.171982,1.189726,
,Estimates,United Kingdom,,826,1960,962.603,875.181,812.2,770.645,747.501,739.752,744.383,758.382,778.729,802.415,831.698,868.839,884.446,864.943,823.154,785.384,746.291,714.514,696.972,688.94,678.6,668.128,660.233,655.028,652.175,651.246,652.363,654.519,657.177,660.743,664.69,667.374,676.078,693.81,716.131,737.834,762.653,772.099,757.312,727.933,700.76,670.372,655.099,665.098,690.736,712.479,734.541,749.299,751.091,744.116,738.167,731.197,723.142,714.926,705.81,694.687,682.444,666.191,644.595,619.465,593.868,567.094,542.246,521.151,502.455,482.87,462.933,443.302,423.939,404.701,385.586,366.734,346.969,325.751,303.63,281.789,260.102,238.583,217.396,196.582,149.8699,135.8866,121.8785,108.2675,95.08219,81.94192,68.93976,57.19743,47.23963,38.74264,30.74016,23.29657,17.21229,12.74673,9.54693,6.929766,4.949692,3.423549,2.166202,1.18656,2.087494
