Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,United States of America,,840,1950,3762.565,3600.427,3442.344,3289.294,3142.258,3002.213,2870.142,2747.021,2633.834,2531.556,2439.447,2356.764,2293.097,2252.869,2231.893,2218.681,2212.072,2223.737,2257.211,2305.335,2355.916,2409.588,2458.729,2497.713,2527.781,2558.21,2590.022,2600.825,2581.307,2541.676,2500.722,2453.831,2415.062,2393.037,2380.817,2361.218,2335.738,2311.287,2288.955,2265.32,2241.699,2224.833,2176.741,2080.905,1958.059,1839.897,1713.392,1633.958,1630.238,1673.848,1709.682,1751.058,1766.369,1735.063,1674.038,1620.251,1565.735,1516.92,1480.529,1451.274,1416.358,1377.389,1337.825,1297.794,1255.892,1212.764,1170.904,1114.948,1038.159,948.669,860.625,770.323,691.535,632.268,585.968,538.799,494.388,447.678,395.038,340.088,251.4266,228.1856,205.2028,182.7165,160.9215,139.7738,119.2773,100.734,84.78798,71.00413,58.14038,46.25413,36.33515,28.69013,22.84907,17.96179,14.11198,10.86026,7.874407,5.255473,8.26199
,Estimates,United States of America,,840,1951,3708.584,3735.842,3585.604,3436.139,3288.823,3145.041,3006.008,2872.945,2748.045,2633.016,2528.748,2433.735,2347.441,2280.821,2238.927,2217.229,2203.088,2195.352,2207.086,2242.335,2293.292,2346.667,2403.385,2454.64,2494.12,2523.625,2553.66,2584.99,2595.384,2575.73,2536.088,2494.801,2447.214,2407.938,2385.787,2373.516,2354.117,2329.847,2303.764,2275.315,2243.278,2211.584,2184.975,2134.838,2049.108,1943.499,1841.317,1732.518,1661.582,1651.283,1678.965,1700.543,1726.449,1732.139,1701.463,1647.434,1598.834,1549.473,1503.415,1465.432,1431.734,1393.332,1351.496,1307.957,1262.505,1214.545,1165.514,1117.311,1058.259,983.399,899.073,815.953,731.145,656.487,598.713,552.273,505.588,461.803,416.089,365.145,264.1972,239.7758,215.6256,191.9973,169.0952,146.8734,125.3358,105.8506,89.0946,74.61063,61.0935,48.60352,38.18072,30.14739,24.00964,18.87412,14.82877,11.41188,8.274371,5.522414,
,Estimates,United States of America,,840,1952,3702.763,3662.086,3717.96,3579.246,3438.026,3296.086,3155.213,3016.862,2882.496,2755.527,2638.39,2531.894,2433.757,2343.657,2273.935,2230.28,2207.811,2192.709,2183.831,2195.662,2232.765,2286.667,2342.954,2402.849,2456.329,2496.4,2525.413,2555.123,2586.047,2596.057,2576.221,2536.477,2494.758,2446.364,2406.493,2384.162,2371.812,2352.566,2329.447,2301.675,2267.055,2226.558,2186.736,2150.343,2098.047,2022.2,1933.541,1847.062,1755.675,1693.052,1676.165,1688.017,1695.422,1705.955,1702.056,1671.939,1624.762,1581.223,1536.891,1493.476,1453.813,1415.603,1373.635,1328.837,1281.23,1230.262,1176.147,1121.109,1066.463,1004.184,931.072,851.701,773.3,693.772,623.061,566.639,519.952,473.64,430.375,385.548,277.5276,251.8739,226.5052,201.6847,177.6271,154.284,131.6597,111.1914,93.58996,78.37519,64.17603,51.05586,40.10717,31.6685,25.22107,19.82644,15.57697,11.98768,8.691862,5.801053,
,Estimates,United States of America,,840,1953,3737.91,3730.586,3694.376,3702.672,3575.393,3442.327,3305.669,3167.606,3029.841,2894.079,2764.949,2645.62,2536.817,2435.488,2341.514,2268.64,2223.19,2199.933,2183.861,2173.832,2185.769,2224.753,2281.641,2340.884,2403.996,2459.745,2500.432,2528.974,2558.381,2588.919,2598.553,2578.52,2538.644,2496.466,2447.232,2406.733,2384.209,2371.77,2352.665,2330.681,2301.2,2260.378,2211.387,2163.401,2117.191,2062.698,1996.688,1924.931,1854.108,1780.083,1725.737,1702.242,1698.262,1691.487,1686.64,1673.143,1643.562,1603.212,1564.707,1525.376,1484.576,1443.204,1400.453,1354.884,1307.093,1255.379,1198.856,1138.541,1077.454,1016.321,950.768,879.355,804.887,731.154,656.855,590.043,534.937,487.969,441.996,399.225,290.088,263.2733,236.7565,210.8126,185.6662,161.2666,137.6184,116.2237,97.82568,81.92231,67.08052,53.36655,41.92235,33.10176,26.36254,20.72375,16.28195,12.53022,9.085241,6.063598,
,Estimates,United States of America,,840,1954,3807.261,3813.744,3789.688,3738.68,3687.366,3571.537,3446.639,3315.268,3180.022,3042.845,2905.681,2774.389,2652.864,2541.751,2437.222,2339.372,2263.337,2216.092,2192.047,2175,2163.821,2175.862,2216.731,2276.61,2338.812,2405.148,2463.169,2504.473,2532.543,2561.646,2591.798,2601.056,2580.825,2540.818,2498.179,2448.102,2406.978,2384.258,2371.731,2352.766,2331.92,2300.725,2253.694,2196.195,2140.033,2083.989,2027.296,1971.139,1916.31,1861.168,1804.53,1758.473,1728.363,1708.523,1687.548,1667.296,1644.188,1615.144,1581.63,1548.167,1513.845,1475.664,1432.581,1385.281,1336.105,1285.316,1229.491,1167.402,1100.878,1033.733,966.103,897.271,827.559,758.002,688.943,619.883,556.975,503.187,455.936,410.305,300.5174,272.7387,245.2685,218.3918,192.3414,167.0646,142.5661,120.4023,101.3428,84.86764,69.49225,55.28523,43.42957,34.29186,27.31034,21.46882,16.86734,12.98072,9.41188,6.281601,
,Estimates,United States of America,,840,1955,3903.004,3905.484,3880.595,3831.334,3760.706,3671.715,3567.365,3450.656,3324.593,3192.179,3055.601,2917.048,2783.6,2659.887,2546.47,2438.748,2337.021,2257.831,2208.79,2183.957,2165.938,2153.606,2165.751,2208.504,2271.373,2336.534,2406.092,2466.382,2508.302,2535.896,2564.693,2594.456,2603.334,2582.909,2542.774,2499.676,2448.761,2407.012,2384.1,2371.485,2352.662,2332.957,2300.049,2246.803,2180.79,2116.444,2050.558,1991.666,1945.381,1907.509,1868.075,1828.856,1791.103,1754.37,1718.651,1683.456,1647.78,1615.046,1586.544,1559.879,1531.468,1502.165,1466.61,1421.818,1369.965,1317.183,1263.396,1203.457,1135.801,1063.065,989.858,915.728,843.618,775.616,710.982,646.611,582.802,523.811,471.346,423.818,308.2359,279.7437,251.568,224.001,197.2815,171.3555,146.2278,123.4947,103.9457,87.04738,71.27709,56.70517,44.54501,35.17262,28.01178,22.02023,17.30056,13.31411,9.653615,6.442938,10.12877
,Estimates,United States of America,,840,1956,4015.319,3922.206,3912.847,3881.09,3828.993,3758.624,3673.342,3576.511,3463.711,3334.421,3194.59,3052.665,2909.319,2773.578,2651.583,2542.524,2438.676,2340.676,2265.517,2220.623,2199.781,2185.803,2177.871,2191.903,2232.736,2291.227,2352.152,2417.026,2473.691,2514.028,2541.334,2569.43,2598.461,2606.43,2584.688,2543.038,2498.774,2447.064,2404.449,2380.478,2366.876,2347.007,2325.603,2293.515,2244.972,2185.772,2127.77,2068.939,2012.552,1961.553,1914.457,1866.381,1817.753,1773.481,1735.345,1701.395,1667.059,1632.271,1599.116,1567.849,1536.934,1504.862,1472.291,1433.17,1384.447,1328.646,1272.05,1214.235,1152.396,1086.042,1016.653,946.737,876.424,806.829,738.971,673.053,607.974,543.621,484.713,433.385,326.7147,296.5143,266.6495,237.4299,209.1085,181.6283,154.9942,130.8982,110.1772,92.26587,75.55015,60.10465,47.21549,37.28121,29.69109,23.34034,18.33772,14.11229,10.23235,6.829192,
,Estimates,United States of America,,840,1957,4125.35,4085.549,3937.984,3916.784,3878.18,3823.291,3753.241,3671.748,3582.527,3473.741,3341.332,3194.201,3047.047,2899.03,2761.113,2640.946,2536.343,2436.463,2342.281,2271.222,2230.519,2213.69,2203.77,2200.247,2216.158,2255.031,2309.09,2365.719,2425.852,2478.835,2517.554,2544.547,2571.918,2600.19,2607.241,2584.202,2541.071,2495.678,2443.218,2399.774,2374.764,2360.186,2339.288,2316.202,2284.961,2241.17,2188.842,2137.239,2085.521,2031.693,1976.02,1919.73,1863.05,1805.044,1754.285,1714.781,1682.629,1649.184,1615.315,1581.767,1547.762,1512.618,1476.91,1441.098,1398.441,1345.826,1286.122,1225.758,1163.963,1100.274,1035.283,969.307,902.744,836.313,769.297,701.645,634.497,568.766,503.926,445.154,341.4441,309.8822,278.671,248.1341,218.5358,189.8167,161.9819,136.7996,115.1444,96.42555,78.95622,62.81438,49.34413,38.96198,31.02967,24.3926,19.16445,14.74853,10.69366,7.137076,
,Estimates,United States of America,,840,1958,4218.05,4154.88,4089.61,3952.26,3919.232,3873.796,3816.136,3746.434,3668.759,3587.179,3482.446,3346.972,3192.597,3040.273,2887.642,2747.601,2629.308,2529.201,2433.324,2342.996,2276.061,2239.564,2226.754,2220.893,2221.779,2239.563,2276.462,2326.07,2378.383,2433.751,2483.036,2520.123,2546.79,2573.427,2600.93,2607.061,2582.733,2538.14,2491.635,2438.444,2394.188,2368.148,2352.601,2330.682,2305.923,2275.543,2236.516,2191.078,2145.893,2101.306,2050.055,1989.73,1924.274,1859.009,1791.654,1734.428,1693.572,1663.229,1630.688,1597.75,1563.823,1527.092,1487.735,1448.406,1409.366,1363.192,1306.704,1243.122,1179.016,1113.263,1047.751,984.147,921.606,858.422,795.897,731.485,664.062,595.712,529.354,464.052,352.4259,319.8488,287.6338,256.1147,225.5645,195.9217,167.1916,141.1994,118.8477,99.52684,81.49566,64.83465,50.93116,40.2151,32.02766,25.17713,19.78083,15.22288,11.03759,7.366623,
,Estimates,United States of America,,840,1959,4277.053,4201.154,4129.648,4061.147,3966.572,3921.722,3869.461,3809.031,3739.675,3665.813,3591.87,3491.186,3352.646,3191.031,3033.539,2876.296,2734.131,2617.708,2522.092,2430.217,2343.735,2280.925,2248.629,2239.834,2238.03,2243.323,2262.977,2297.905,2343.065,2391.067,2441.673,2487.263,2522.717,2549.064,2574.965,2601.699,2606.911,2581.296,2535.238,2487.623,2433.702,2388.634,2361.566,2345.047,2322.11,2295.677,2266.157,2231.891,2193.339,2154.565,2117.106,2068.427,2003.455,1928.836,1854.994,1778.292,1714.606,1672.395,1643.863,1612.224,1580.215,1545.908,1506.455,1462.886,1419.938,1377.672,1327.982,1267.624,1200.167,1132.318,1062.611,995.276,933.057,873.948,814.14,755.518,693.706,626.514,556.96,489.976,360.766,327.418,294.4406,262.1756,230.9025,200.5582,171.1482,144.5409,121.6603,101.8821,83.42424,66.36896,52.13645,41.16679,32.78559,25.77295,20.24894,15.58312,11.2988,7.540953,
