Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Uruguay,,858,1950,46.147,44.864,43.773,42.859,42.106,41.5,41.023,40.662,40.402,40.226,40.123,40.08,40.069,40.073,40.082,40.095,40.096,40.068,39.991,39.858,39.688,39.492,39.13,38.543,37.79,37.051,36.345,35.488,34.416,33.255,32.098,30.829,30.113,30.254,30.913,31.498,32.184,32.36,31.673,30.442,29.317,28.137,27.201,26.716,26.504,26.2,25.894,25.453,24.788,23.978,23.206,22.433,21.708,21.074,20.501,19.912,19.325,18.744,18.167,17.596,17.03,16.466,15.918,15.39,14.872,14.351,13.831,13.286,12.707,12.101,11.495,10.888,10.265,9.617,8.959,8.301,7.653,7.004,6.355,5.713,4.886536,4.241644,3.666361,3.208291,2.835547,2.462354,2.106227,1.780188,1.481544,1.210744,0.9691337,0.7522238,0.5721392,0.4360653,0.333673,0.2492443,0.1854737,0.1347267,0.0929614,0.0588306,0.1270921
,Estimates,Uruguay,,858,1951,44.363,45.901,44.758,43.757,42.891,42.153,41.528,41,40.6,40.339,40.184,40.086,40.038,40.024,40.024,40.029,40.039,40.036,40.007,39.936,39.812,39.65,39.463,39.107,38.521,37.765,37.022,36.313,35.453,34.379,33.215,32.056,30.783,30.061,30.192,30.84,31.412,32.085,32.249,31.552,30.314,29.18,27.991,27.045,26.547,26.321,26.004,25.683,25.229,24.552,23.731,22.948,22.163,21.425,20.778,20.19,19.587,18.984,18.388,17.796,17.209,16.628,16.048,15.484,14.937,14.398,13.858,13.32,12.759,12.165,11.546,10.93,10.316,9.686,9.034,8.374,7.719,7.074,6.436,5.807,5.092505,4.420431,3.8209,3.343521,2.955066,2.566143,2.195005,1.855224,1.543992,1.261777,1.009983,0.7839303,0.596255,0.4544456,0.3477374,0.25975,0.1932915,0.1404054,0.0968797,0.0613104,
,Estimates,Uruguay,,858,1952,43.764,43.961,45.718,44.714,43.801,42.982,42.257,41.613,41.033,40.594,40.331,40.198,40.103,40.052,40.033,40.029,40.032,40.038,40.03,40.001,39.935,39.821,39.667,39.488,39.138,38.551,37.791,37.045,36.331,35.466,34.388,33.222,32.057,30.779,30.05,30.173,30.808,31.369,32.03,32.182,31.475,30.227,29.083,27.884,26.926,26.415,26.174,25.843,25.508,25.04,24.35,23.517,22.72,21.923,21.173,20.51,19.907,19.288,18.67,18.058,17.449,16.846,16.248,15.653,15.071,14.504,13.945,13.385,12.827,12.249,11.64,11.008,10.381,9.756,9.121,8.464,7.802,7.146,6.505,5.878,5.244215,4.552119,3.934727,3.443127,3.0431,2.642591,2.260396,1.910492,1.589988,1.299366,1.040071,0.8072842,0.614018,0.4679839,0.3580968,0.2674882,0.1990498,0.1445882,0.0997659,0.0631369,
,Estimates,Uruguay,,858,1953,44.046,44.458,44.628,45.535,44.667,43.844,43.073,42.362,41.696,41.065,40.587,40.324,40.21,40.12,40.064,40.041,40.034,40.035,40.035,40.025,39.994,39.934,39.828,39.682,39.514,39.168,38.58,37.817,37.066,36.349,35.478,34.398,33.226,32.059,30.775,30.038,30.152,30.777,31.325,31.975,32.114,31.397,30.14,28.986,27.775,26.806,26.282,26.028,25.681,25.332,24.85,24.147,23.302,22.493,21.683,20.919,20.242,19.624,18.989,18.355,17.726,17.102,16.482,15.869,15.257,14.657,14.071,13.491,12.91,12.335,11.738,11.114,10.469,9.83,9.198,8.555,7.893,7.228,6.575,5.935,5.326141,4.623233,3.996197,3.496917,3.09064,2.683874,2.295708,1.940338,1.614828,1.319665,1.056319,0.8198958,0.6236103,0.4752948,0.3636911,0.271667,0.2021594,0.146847,0.1013244,0.0641232,
,Estimates,Uruguay,,858,1954,44.978,45.324,45.432,45.331,45.337,44.609,43.874,43.149,42.454,41.768,41.085,40.567,40.304,40.211,40.124,40.065,40.038,40.027,40.024,40.021,40.007,39.975,39.92,39.825,39.686,39.526,39.186,38.599,37.831,37.077,36.355,35.48,34.397,33.222,32.049,30.762,30.018,30.122,30.735,31.273,31.91,32.037,31.31,30.043,28.879,27.659,26.678,26.142,25.872,25.512,25.148,24.653,23.937,23.08,22.258,21.437,20.659,19.968,19.334,18.684,18.034,17.39,16.749,16.113,15.484,14.856,14.239,13.634,13.032,12.432,11.837,11.225,10.584,9.927,9.277,8.635,7.986,7.32,6.652,6,5.332289,4.62857,4.00081,3.500954,3.094208,2.686972,2.298358,1.942578,1.616692,1.321189,1.057539,0.8208423,0.6243302,0.4758435,0.3641109,0.2719806,0.2023928,0.1470165,0.1014414,0.0641972,
,Estimates,Uruguay,,858,1955,46.365,46.432,46.317,46.045,45.645,45.136,44.547,43.901,43.224,42.542,41.837,41.102,40.546,40.28,40.209,40.126,40.063,40.032,40.017,40.011,40.005,39.986,39.954,39.904,39.818,39.687,39.536,39.202,38.614,37.843,37.085,36.359,35.48,34.393,33.215,32.039,30.746,29.995,30.091,30.692,31.218,31.842,31.958,31.22,29.945,28.771,27.54,26.549,25.999,25.716,25.341,24.962,24.454,23.725,22.857,22.022,21.188,20.398,19.692,19.043,18.378,17.712,17.052,16.396,15.743,15.098,14.454,13.82,13.195,12.573,11.953,11.339,10.71,10.053,9.384,8.723,8.073,7.416,6.746,6.076,5.264197,4.569464,3.94972,3.456247,3.054695,2.65266,2.269009,1.917772,1.596047,1.304317,1.044034,0.8103602,0.6163576,0.469767,0.3594613,0.2685074,0.1998082,0.1451391,0.100146,0.0633774,0.1369146
,Estimates,Uruguay,,858,1956,48.062,46.644,46.548,46.33,46.009,45.6,45.124,44.609,44.015,43.334,42.617,41.896,41.158,40.599,40.329,40.254,40.169,40.102,40.073,40.072,40.085,40.098,40.098,40.078,40.029,39.933,39.796,39.636,39.294,38.698,37.919,37.152,36.416,35.525,34.429,33.242,32.054,30.751,29.986,30.066,30.647,31.153,31.758,31.856,31.104,29.818,28.631,27.389,26.384,25.818,25.518,25.125,24.728,24.203,23.458,22.575,21.724,20.873,20.068,19.346,18.68,17.999,17.318,16.64,15.966,15.295,14.631,13.97,13.319,12.678,12.042,11.407,10.783,10.145,9.479,8.805,8.141,7.491,6.841,6.187,5.4923,4.767463,4.120865,3.606009,3.187058,2.767602,2.367327,2.000871,1.665205,1.360834,1.089273,0.8454739,0.6430649,0.4901225,0.3750371,0.2801421,0.2084661,0.1514282,0.1044854,0.0661236,
,Estimates,Uruguay,,858,1957,49.825,48.986,46.89,46.631,46.311,45.941,45.523,45.079,44.64,44.098,43.415,42.661,41.927,41.185,40.623,40.349,40.272,40.184,40.112,40.086,40.098,40.132,40.163,40.182,40.174,40.125,40.022,39.876,39.709,39.357,38.755,37.969,37.193,36.447,35.546,34.441,33.245,32.047,30.734,29.957,30.018,30.581,31.067,31.651,31.731,30.966,29.67,28.471,27.218,26.201,25.619,25.301,24.892,24.477,23.935,23.174,22.276,21.411,20.544,19.723,18.986,18.304,17.607,16.91,16.217,15.525,14.835,14.153,13.476,12.809,12.152,11.5,10.854,10.219,9.572,8.899,8.218,7.553,6.903,6.26,5.653847,4.907691,4.242074,3.712074,3.2808,2.849007,2.436958,2.059723,1.714184,1.400861,1.121313,0.8703422,0.6619797,0.5045387,0.3860682,0.288382,0.2145978,0.1558822,0.1075587,0.0680686,
,Estimates,Uruguay,,858,1958,51.524,50.226,49.077,47.124,46.7,46.28,45.86,45.432,45.023,44.658,44.169,43.482,42.694,41.946,41.2,40.636,40.358,40.278,40.187,40.111,40.088,40.114,40.166,40.217,40.255,40.259,40.209,40.099,39.946,39.77,39.41,38.8,38.008,37.224,36.468,35.557,34.443,33.238,32.032,30.708,29.919,29.963,30.506,30.971,31.536,31.597,30.82,29.513,28.303,27.04,26.01,25.413,25.077,24.651,24.219,23.66,22.884,21.971,21.091,20.21,19.373,18.62,17.922,17.211,16.498,15.789,15.079,14.371,13.672,12.978,12.295,11.622,10.957,10.297,9.652,8.996,8.316,7.63,6.963,6.312,5.742844,4.984943,4.308848,3.770506,3.332443,2.893853,2.475318,2.092145,1.741167,1.422912,1.138963,0.8840422,0.6723999,0.5124806,0.3921453,0.2929215,0.2179758,0.1583359,0.1092518,0.06914,
,Estimates,Uruguay,,858,1959,53.04,51.391,49.976,48.774,47.353,46.766,46.245,45.775,45.339,44.962,44.673,44.236,43.547,42.723,41.962,41.213,40.645,40.365,40.281,40.188,40.106,40.087,40.126,40.198,40.268,40.324,40.341,40.291,40.173,40.013,39.828,39.46,38.843,38.044,37.252,36.486,35.565,34.442,33.23,32.013,30.68,29.879,29.905,30.429,30.874,31.418,31.461,30.671,29.354,28.134,26.86,25.817,25.204,24.853,24.408,23.959,23.384,22.592,21.665,20.77,19.874,19.021,18.253,17.54,16.813,16.085,15.36,14.632,13.907,13.189,12.48,11.78,11.092,10.412,9.74,9.085,8.419,7.732,7.043,6.372,5.754372,4.994949,4.317498,3.778075,3.339133,2.899662,2.480287,2.096345,1.744663,1.425768,1.141249,0.8858168,0.6737496,0.5135093,0.3929325,0.2935095,0.2184133,0.1586538,0.1094711,0.0692788,
