Index,Variant,Major area region country or area,Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Estimates,Viet Nam,,704,1950,710.281,658.274,613.942,576.749,546.172,521.674,502.727,488.803,479.367,473.889,471.218,470.2,473.417,481.588,492.31,503.577,517.12,521.1,509.844,488.982,469.287,447.969,432.061,425.945,425.816,423.998,422.64,417.645,406.402,391.507,377.604,363.107,352.79,349.288,349.925,349.952,350.987,348.004,338.236,324.454,311.478,297.48,288.287,287.005,290.366,292.546,295.369,293.038,282.288,266.215,251.033,235.323,221.863,212.604,206.002,198.579,191.056,183.152,174.394,165.128,156.227,147.565,138.895,130.205,121.569,113.072,104.684,96.672,89.175,82.078,75.165,68.496,61.967,55.506,49.194,43.24,37.675,32.282,26.998,21.966,12.57278,10.96109,9.549705,8.451745,7.572943,6.714137,5.924689,5.137754,4.303286,3.467219,2.717191,2.023268,1.464175,1.08322,0.8352679,0.624337,0.4629966,0.3358211,0.2234999,0.1296893,0.2241854
,Estimates,Viet Nam,,704,1951,840.408,703.121,650.601,606.32,569.629,539.889,516.582,499.198,486.435,477.38,471.784,469.16,468.224,471.522,479.818,490.685,502.039,515.628,519.64,508.412,487.57,467.875,446.541,430.599,424.423,424.216,422.313,420.858,415.764,404.419,389.42,375.412,360.81,350.381,346.757,347.271,347.174,348.078,345.004,335.208,321.434,308.465,294.492,285.269,283.862,287.045,289.057,291.697,289.269,278.563,262.616,247.541,231.946,218.522,209.17,202.391,194.806,187.125,179.057,170.135,160.714,151.658,142.844,134.058,125.301,116.638,108.131,99.753,91.778,84.345,77.338,70.54,64.009,57.654,51.411,45.351,39.658,34.353,29.267,24.355,13.87857,12.09949,10.54152,9.329529,8.359456,7.411455,6.540016,5.671353,4.750218,3.827318,2.999394,2.233401,1.616242,1.195722,0.9220173,0.6891796,0.5110827,0.3706989,0.2467122,0.1431586,
,Estimates,Viet Nam,,704,1952,945.926,826.905,695.003,642.045,597.876,561.736,532.873,510.785,494.984,483.396,474.732,469.028,466.453,465.601,468.974,477.384,488.381,499.805,513.42,517.459,506.276,485.481,465.814,444.495,428.54,422.313,422.03,420.043,418.495,413.307,401.879,386.797,372.702,358.017,347.49,343.751,344.139,343.92,344.693,341.533,331.721,317.975,305.031,291.104,281.862,280.333,283.333,285.177,287.63,285.108,274.461,258.662,243.715,228.255,214.887,205.455,198.509,190.775,182.945,174.724,165.654,156.089,146.892,137.94,129.049,120.237,111.561,103.055,94.699,86.773,79.411,72.506,65.832,59.447,53.275,47.257,41.458,36.032,30.994,26.221,15.13082,13.19122,11.49267,10.17132,9.113722,8.080184,7.130116,6.183074,5.178826,4.172653,3.270027,2.434919,1.762074,1.30361,1.00521,0.7513636,0.5571972,0.4041467,0.2689728,0.1560757,
,Estimates,Viet Nam,,704,1953,1030.951,898.962,788.293,688.15,634.663,590.526,554.872,526.829,505.919,491.668,481.23,472.942,467.118,464.589,463.819,467.271,475.812,486.956,498.473,512.136,516.211,505.051,484.267,464.593,443.25,427.253,420.966,420.604,418.532,416.887,411.597,400.064,384.873,370.668,355.872,345.229,341.368,341.634,341.291,341.934,338.682,328.838,315.094,302.153,288.246,278.969,277.316,280.14,281.817,284.089,281.47,270.861,255.183,240.335,224.984,211.647,202.118,194.993,187.096,179.105,170.717,161.481,151.757,142.403,133.296,124.286,115.403,106.698,98.177,89.83,81.936,74.635,67.818,61.254,55.004,49.004,43.2,37.65,32.482,27.698,16.27066,14.18494,12.35844,10.93755,9.800279,8.688883,7.667244,6.648858,5.568959,4.486989,3.516365,2.618347,1.894815,1.401814,1.080935,0.8079655,0.5991721,0.434592,0.2892351,0.1678333,
,Estimates,Viet Nam,,704,1954,1097.976,964.871,851.676,756.831,682.667,628.541,584.349,549.109,521.833,502.059,489.33,480.024,472.094,466.14,463.652,462.96,466.502,475.187,486.504,498.134,511.876,515.992,504.834,484.019,464.298,442.889,426.819,420.457,420.018,417.855,416.11,410.709,399.046,383.716,369.372,354.436,343.656,339.665,339.808,339.341,339.855,336.506,326.609,312.841,299.875,285.961,276.631,274.85,277.502,279.018,281.112,278.39,267.799,252.21,237.433,222.16,208.825,199.183,191.863,183.788,175.618,167.048,157.627,147.724,138.194,128.914,119.766,110.796,102.043,93.491,85.136,77.259,70.003,63.26,56.795,50.668,44.827,39.225,33.914,28.992,17.19665,14.99223,13.06178,11.56003,10.35803,9.183381,8.103599,7.027256,5.885897,4.74235,3.716487,2.767361,2.002652,1.481594,1.142453,0.8539482,0.633272,0.4593253,0.3056959,0.1773849,
,Estimates,Viet Nam,,704,1955,1148.479,1024.444,916.459,823.421,744.228,677.773,622.957,578.671,543.815,517.284,498.633,487.421,479.242,471.665,465.574,463.125,462.513,466.146,474.986,486.484,498.239,512.071,516.234,505.067,484.203,464.417,442.923,426.764,420.323,419.805,417.548,415.703,410.183,398.382,382.898,368.401,353.311,342.384,338.259,338.278,337.687,338.073,334.622,324.663,310.858,297.857,283.923,274.531,272.62,275.103,276.457,278.375,275.548,264.965,249.451,234.732,219.522,206.181,196.414,188.893,180.63,172.276,163.513,153.9,143.808,134.092,124.63,115.337,106.27,97.462,88.871,80.499,72.633,65.416,58.742,52.37,46.36,40.673,35.271,30.193,17.81269,15.5293,13.5297,11.97414,10.72909,9.51236,8.393897,7.278995,6.096749,4.912237,3.849624,2.866497,2.074394,1.534669,1.183379,0.8845394,0.6559579,0.4757799,0.316647,0.1837394,0.3176183
,Estimates,Viet Nam,,704,1956,1178.575,1121.585,1009.313,909.249,820.895,743.76,676.765,618.843,572.389,538.067,513.648,495.791,484.638,476.529,469.123,463.249,460.928,460.395,464.05,472.847,484.254,495.905,509.603,513.677,502.499,481.669,461.902,440.431,424.25,417.715,417.063,414.678,412.696,407.082,395.256,379.79,365.302,350.231,339.288,335.089,335.001,334.309,334.585,331.068,321.117,307.36,294.398,280.509,271.109,269.103,271.44,272.651,274.41,271.462,260.825,245.292,230.542,215.309,201.886,191.937,184.178,175.697,167.134,158.193,148.459,138.291,128.509,118.996,109.708,100.717,92.042,83.605,75.413,67.747,60.738,54.286,48.158,42.402,36.999,31.915,19.64257,17.12461,14.91959,13.20424,11.83128,10.48956,9.256195,8.02676,6.723063,5.416867,4.245093,3.16097,2.287495,1.692325,1.304947,0.9754074,0.7233438,0.5246563,0.3491758,0.2026148,
,Estimates,Viet Nam,,704,1957,1201.3,1116.877,1098.081,997.212,904.752,820.808,745.497,677.767,616.573,567.818,533.93,511.543,494.426,483.297,475.236,467.979,462.302,460.104,459.646,463.336,472.113,483.466,495.046,508.652,512.65,501.426,480.57,460.762,439.25,422.999,416.353,415.564,413.043,410.921,405.196,393.309,377.815,363.294,348.196,337.206,332.92,332.724,331.931,332.098,328.504,318.531,304.783,291.819,277.935,268.499,266.394,268.59,269.662,271.269,268.191,257.467,241.871,227.046,211.745,198.199,188.041,180.02,171.297,162.499,153.357,143.472,133.197,123.321,113.729,104.417,95.477,86.908,78.6,70.563,63.073,56.252,50.003,44.097,38.581,33.443,21.3372,18.60201,16.20676,14.34341,12.852,11.39453,10.05476,8.719256,7.303085,5.884199,4.611332,3.433677,2.484844,1.838327,1.417529,1.059559,0.7857492,0.5699202,0.3793004,0.2200951,
,Estimates,Viet Nam,,704,1958,1218.742,1157.867,1093.848,1075.632,986.082,901.145,821.536,747.976,679.442,614.912,563.804,530.314,509.943,493.55,482.434,474.411,467.297,461.812,459.735,459.352,463.08,471.847,483.156,494.678,508.204,512.128,500.85,479.945,460.078,438.503,422.167,415.401,414.474,411.817,409.55,403.709,391.749,376.211,361.644,346.504,335.454,331.079,330.774,329.878,329.936,326.263,316.257,302.503,289.528,275.632,266.151,263.944,266.004,266.935,268.392,265.181,254.36,238.684,223.77,208.387,194.703,184.325,176.035,167.06,158.02,148.664,138.619,128.228,118.248,108.566,99.223,90.324,81.853,73.665,65.776,58.454,51.815,45.763,40.075,34.791,22.75407,19.83725,17.28294,15.29587,13.70542,12.15116,10.72243,9.298245,7.788035,6.27493,4.91754,3.661685,2.649847,1.960399,1.511658,1.129918,0.8379256,0.6077649,0.4044873,0.2347102,
,Estimates,Viet Nam,,704,1959,1233.856,1194.584,1146.439,1091.03,1052.798,974.621,897.249,822.01,750.227,680.908,613.055,559.606,526.526,508.18,492.518,481.418,473.437,466.468,461.178,459.221,458.914,462.679,471.434,482.693,494.154,507.597,511.446,500.116,479.17,459.248,437.618,421.2,414.318,413.253,410.459,408.049,402.092,390.065,374.487,359.877,344.699,333.595,329.129,328.718,327.718,327.666,323.915,313.879,300.125,287.139,273.239,263.716,261.407,263.327,264.12,265.425,262.083,251.166,235.417,220.417,204.955,191.139,180.544,171.987,162.761,153.481,143.916,133.713,123.208,113.126,103.359,93.985,85.132,76.761,68.697,60.958,53.808,47.352,41.499,36.032,23.79454,20.74435,18.07324,15.9953,14.33213,12.7068,11.21273,9.723427,8.144159,6.561864,5.142405,3.829124,2.771017,2.050042,1.580781,1.181585,0.8762416,0.6355563,0.4229833,0.2454428,
