Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
Lifecycle Deficit,368,408,407,429,452,474,508,575,616,646,662,710,727,771,802,860,906,932,998,986,976,994,917,920,871,843,768,627,567,475,304,195,24,-42,-156,-255,-298,-408,-434,-442,-532,-657,-824,-883,-954,"-1,093","-1,107","-1,181","-1,045",-983,"-1,036",-959,-992,-945,-916,-993,-999,-978,-852,-690,-547,-317,-110,20,222,211,331,370,411,417,487,512,588,636,641,631,713,656,783,880,887,"1,019","1,093","1,073","1,203","1,254","1,226","1,208","1,175","1,156","1,165","1,127"
Consumption,910,408,407,430,452,474,508,575,617,648,664,712,729,774,806,866,915,945,"1,022","1,026","1,047","1,094","1,067","1,123","1,139","1,199","1,223","1,195","1,221","1,249","1,234","1,232","1,229","1,238","1,207","1,214","1,241","1,236","1,269","1,271","1,283","1,283","1,262","1,241","1,222","1,179","1,183","1,177","1,219","1,213","1,222","1,229","1,230","1,240","1,233","1,230","1,234","1,210","1,216","1,220","1,237","1,250","1,278","1,248","1,246","1,287","1,301","1,291","1,310","1,311","1,326","1,328","1,314","1,324","1,330","1,320","1,317","1,327","1,417","1,422","1,404","1,442","1,425","1,398","1,355","1,345","1,297","1,257","1,227","1,197","1,177","1,138"
Public Consumption,83,73,73,73,73,73,73,77,79,81,80,82,81,85,86,89,91,90,96,94,94,98,92,96,95,101,98,86,87,91,83,84,82,83,81,82,81,80,79,78,79,78,79,79,79,78,79,79,79,79,79,78,78,77,77,77,77,78,78,78,78,81,80,79,79,81,81,81,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
"Public Consumption, Education",7,0,0,0,0,0,0,5,6,8,7,9,8,12,12,14,17,16,22,19,19,23,16,20,19,25,21,8,10,13,5,6,4,5,2,4,3,2,1,1,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Public Consumption, Health",6,3,3,3,3,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,9,9,9,9,9,9,8,8,7,7,7,7,7,8,8,9,10,10,10,10,9,9,8,7,8,8,9,8,9,9,11,11,10,10,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"Public Consumption, Other than health and education",69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
Private Consumption,827,336,335,357,379,401,435,498,537,567,583,630,648,689,720,777,824,855,926,933,953,995,975,"1,027","1,044","1,097","1,125","1,109","1,134","1,158","1,151","1,148","1,147","1,154","1,127","1,132","1,160","1,156","1,190","1,193","1,204","1,205","1,184","1,162","1,142","1,101","1,104","1,099","1,140","1,134","1,143","1,151","1,153","1,163","1,157","1,153","1,156","1,132","1,138","1,142","1,159","1,169","1,198","1,169","1,167","1,206","1,221","1,211","1,230","1,231","1,246","1,248","1,234","1,243","1,249","1,239","1,236","1,247","1,336","1,341","1,323","1,362","1,344","1,317","1,274","1,264","1,216","1,176","1,146","1,117","1,096","1,057"
"Private Consumption, Education",45,0,0,0,0,0,0,41,55,64,55,69,61,88,85,101,115,107,140,119,112,135,90,110,96,124,101,36,42,55,22,22,13,17,7,13,8,5,3,3,6,4,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Private Consumption, Health",117,76,75,74,73,72,83,82,84,81,84,92,96,83,95,106,110,117,117,117,111,103,98,107,115,116,142,168,173,172,179,168,160,151,129,123,154,157,175,185,189,196,176,159,146,117,124,122,147,149,160,170,177,170,167,163,164,148,148,153,160,169,191,162,154,181,190,186,179,177,185,182,169,183,187,177,174,175,249,255,233,270,252,250,227,238,210,190,181,171,171,152
"Private Consumption, Other than health and education",666,260,260,283,306,329,352,375,398,422,445,468,491,517,541,570,599,631,669,696,730,757,787,810,833,857,882,905,919,931,951,959,974,986,990,996,997,994,"1,012","1,005","1,009","1,005","1,001",997,992,984,980,976,993,985,983,981,975,993,990,991,993,983,990,989,999,"1,000","1,006","1,006","1,014","1,025","1,030","1,025","1,051","1,054","1,061","1,066","1,066","1,060","1,063","1,062","1,062","1,072","1,087","1,086","1,090","1,092","1,092","1,067","1,047","1,026","1,006",986,966,945,925,905
Less: Labor Income ,541,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,10,13,24,41,71,100,150,203,268,355,456,568,654,774,930,"1,037","1,205","1,280","1,363","1,469","1,539","1,644","1,703","1,713","1,815","1,939","2,087","2,124","2,176","2,271","2,290","2,358","2,264","2,196","2,258","2,189","2,222","2,185","2,149","2,223","2,233","2,188","2,067","1,910","1,785","1,567","1,387","1,228","1,024","1,077",971,921,899,894,840,816,726,687,689,689,604,672,634,541,517,423,332,324,151,90,71,48,52,41,12,11
Earnings,126,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,5,9,15,23,33,47,62,79,96,112,129,145,162,184,207,230,254,281,305,328,353,377,399,423,446,465,483,501,516,528,543,554,559,559,554,546,539,539,543,558,555,544,516,466,402,344,294,251,235,224,219,212,209,191,179,172,165,157,152,145,132,121,111,101,89,77,60,44,29,13,7,3,1,0,0
Self-employment Labor Income,415,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,7,8,15,26,49,67,103,141,189,259,343,439,509,612,746,830,976,"1,026","1,083","1,164","1,211","1,291","1,326","1,314","1,392","1,494","1,622","1,641","1,675","1,755","1,762","1,815","1,710","1,637","1,699","1,635","1,676","1,646","1,610","1,680","1,674","1,633","1,523","1,394","1,319","1,164","1,043",935,773,841,747,702,687,684,649,637,554,522,532,537,459,540,513,430,416,335,255,264,107,62,57,42,49,40,12,11
