country,Group,year,varName,Name,type,Units,Nominal,NageGroups,last age,single,status,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100
Argentina,Americas,1997,C,Consumption,Smooth mean,Units,Constant 2005 PPP,91,90+,Single,Reviewed,3645.622987,3656.817868,3670.05438,3862.98388,4292.697711,4986.340631,5391.129744,5669.12562,5843.5185,5933.979878,5997.512267,6070.642963,6124.003376,6152.379516,6276.778321,6290.083053,6157.089506,6366.061915,6351.090208,6504.286418,6557.489749,6641.712068,6661.865149,6864.880456,6783.32783,6744.786874,6979.579572,7036.721345,7106.607559,7187.891184,7261.054882,7283.121149,7334.377969,7335.69141,7287.727517,7234.809572,7153.567705,7028.133289,6985.822333,6898.528583,6899.744034,6897.764534,6848.618953,6896.552916,6886.36524,6906.285093,6858.817699,6870.234996,6865.989714,6876.446756,6846.690578,6833.00018,6811.981494,6824.228193,6818.430755,6837.701114,6870.647832,6900.063879,6932.963327,6965.332098,6985.813347,7001.74601,7024.834274,7046.200595,7065.049173,7083.529458,7086.688265,7092.968379,7091.940814,7096.274293,7107.22866,7115.747562,7117.847307,7134.484076,7131.290213,7128.078968,7131.945702,7127.502459,7132.048919,7150.118003,7171.297549,7190.267081,7203.930909,7215.266459,7227.798841,7240.453416,7250.68964,7261.868729,7274.890981,7288.058267,7307.687008,7307.687008,7307.687008,7307.687008,7307.687008,7307.687008,7307.687008,7307.687008,7307.687008,7307.687008,7307.687008
Argentina,Americas,1997,YL,Labor Income,Smooth mean,Units,Constant 2005 PPP,91,90+,Single,Reviewed,0,0,0,0,0,0,0.478923649,1.184729219,1.758526738,2.087173676,2.297620349,3.618162831,65.60482324,133.2254001,289.1827701,544.9721399,944.1471899,1518.654011,2274.495167,3150.710368,4141.616034,5190.590367,6207.169599,7183.38066,8112.535704,8984.448644,9725.473064,10391.42997,10918.81887,11361.04387,11621.25926,11869.53301,12060.06366,12227.90665,12351.19226,12538.1919,12728.17744,12922.44762,13119.36341,13303.49103,13451.2134,13490.2769,13471.21961,13411.13179,13304.80892,13146.83207,12994.84523,12830.54471,12606.69997,12341.37356,12040.92481,11685.78973,11268.57639,10883.26125,10503.4734,10081.72149,9624.491223,9161.06831,8607.761763,7995.858854,7429.489953,6831.543438,6228.995624,5607.098134,4930.09837,4149.500942,3446.179232,2794.606222,2276.94892,1889.531997,1639.21843,1428.059809,1212.372765,1039.139889,884.5418186,759.1217295,642.3025914,578.3634573,449.5090739,337.3012971,241.3278734,159.7081617,84.058574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Asia Pacific,2004,C,Consumption,Smooth Mean,Units,Constant 2005 PPP,86,85+,Single,Reviewed,11938.22947,11405.62851,11483.47318,12773.60886,13525.30237,14495.60313,15391.19031,15512.47364,15765.8393,15985.50452,16234.59932,16927.77066,18017.67469,19301.26272,21417.0324,21648.6335,22221.01787,22031.86769,22162.59968,22803.80181,22245.19579,22266.65155,22714.631,23648.32183,23912.59287,24421.45944,23892.21734,23427.45238,23092.86633,23424.40103,23003.93443,23134.63728,22458.64842,22399.51965,22513.34001,22148.61207,22208.95195,22132.78264,22169.39606,22023.28348,22180.58213,22391.68639,22519.3826,22731.48404,22638.70138,23367.07007,23788.18016,23691.27744,23197.193,23182.23398,23279.32747,23478.07103,23581.3747,23853.10802,23889.78441,24194.15195,24197.26495,24583.64796,24398.60433,24483.46842,24416.60927,24320.72201,24201.20814,24181.72352,24065.94681,24028.32601,23999.2568,23886.16318,23773.28237,23849.97067,23613.76592,23569.68518,23548.11125,23521.21446,23507.07018,23523.18866,23469.1915,23729.27022,23514.78707,23501.66724,23483.46714,23485.21804,23710.61578,23788.23686,23492.49335,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416,23522.3416
Australia,Asia Pacific,2004,YL,Labor Income,Smooth Mean,Units,Constant 2005 PPP,86,85+,Single,Reviewed,0,0,0,0,0,0,0,0,0,0,1.761100918,32.48023865,202.6921278,497.7967498,1109.976646,2208.37565,3794.278843,5907.989715,8471.699532,11202.25506,14061.08369,16756.96015,19384.45633,21823.1697,24133.8718,26037.70005,27958.17189,29508.41863,30394.76763,30900.2472,31242.91984,31128.91939,30819.44197,30874.99644,31088.54804,31425.07468,31898.20213,32565.36481,32951.05752,33230.9798,33262.15947,33239.82349,33235.25261,33390.15242,33464.47333,33562.84483,33638.75907,33516.30386,33060.05601,32944.79986,32836.48778,32346.09777,31387.43971,30284.84992,28399.80638,25913.86329,23474.58382,21280.71739,19012.40867,16944.29418,15296.68927,13454.64475,11716.67982,10160.51093,8682.990925,7041.923486,5721.382355,4344.479071,3110.805654,2192.576617,1659.82433,1285.493916,1134.778344,1047.455594,999.6694932,846.476537,620.5532808,419.5693834,259.6927625,124.7398346,59.7775215,33.46560379,9.980371941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Europe,2005,C,Consumption,Smooth Mean,Units,Constant 2005 PPP,91,90+,Single,Reviewed,11184.34133,9586.744301,9749.592324,11966.8712,13803.61529,14592.43247,16397.43597,17806.11922,18193.68613,18557.51669,20054.19702,21287.14784,21826.62735,22305.60175,22054.84599,21627.6527,21815.21496,22210.98917,21601.89697,19432.16377,19635.60591,19804.27949,19991.00013,20208.04554,20469.20626,20677.27382,20900.16307,21175.42344,21404.15652,21545.96313,21733.60209,21848.15139,21786.48315,21683.5527,21579.28088,21364.41393,21152.32901,21056.63792,20971.48379,20865.59532,20865.90218,20830.85948,20781.003,20766.96765,20866.70994,20974.37412,21201.06072,21453.76593,21763.8287,22014.05648,22319.25692,22667.4084,23159.4705,23615.46442,24121.46598,24527.38455,24700.20523,24772.1171,24813.02958,24865.67485,24931.31081,25235.13264,25432.88324,25470.86139,25340.35888,25039.83803,24419.06266,23693.61159,23208.20334,22773.86433,22546.41396,22450.04598,22518.73359,22407.44015,22346.21188,22285.08515,22227.68133,22204.08375,22309.01554,22476.73809,22667.34297,22867.18066,23044.82305,23184.34741,23274.31425,23359.49208,23477.86131,23611.37937,23760.33283,23916.40382,24072.47592,24072.47592,24072.47592,24072.47592,24072.47592,24072.47592,24072.47592,24072.47592,24072.47592,24072.47592,24072.47592
Austria,Europe,2005,YL,Labor Income,Smooth Mean,Units,Constant 2005 PPP,91,90+,Single,Reviewed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2757.568178,5592.793689,8488.934287,11327.56592,14178.83682,16788.51143,19279.71642,21408.98614,23286.80404,24839.43739,26131.50457,27172.27786,28227.12938,29305.63827,30231.2948,31262.99886,32187.73257,32986.38611,33705.53193,34525.39363,35187.49325,35954.50774,36544.92112,37230.6736,37704.50136,38251.66585,38689.55855,39201.41522,39404.56291,39633.68971,39550.34739,39197.90667,38607.39514,37892.88716,36883.75293,35823.1625,34633.63881,33378.66757,31961.69578,30483.08394,29093.32772,27268.63681,24909.64914,22030.17441,18793.67978,14747.17674,11139.16331,8136.977316,5572.2393,3679.850403,2594.351136,1859.110745,1359.59956,978.8020947,816.7198398,718.1490945,603.1185365,483.1885893,413.4771329,320.9385555,249.3416052,211.2410826,173.5726088,142.4244661,110.9329248,74.19109131,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559,110.9987559
Brazil,Americas,1996,C,Consumption,Smooth Mean,Units,Constant 2005 PPP,91,90+,Single,Reviewed,2765.486821,2646.908785,2765.698718,2829.515341,2854.920287,3043.152138,3528.1274,3760.475043,3931.799811,4221.436213,4211.156225,4528.496787,4533.680898,4841.390989,4851.702571,5009.937835,5145.594996,5134.082751,5164.986466,5763.756381,6059.648918,5560.112304,5138.223845,4999.827075,5182.033615,5349.707496,5256.848397,5551.546623,5616.494195,5555.298733,5609.443728,5597.504804,5668.225373,5615.702858,5801.477455,5714.557177,5940.3838,5676.282682,5852.454145,5781.792824,5819.524406,5956.303256,6026.809875,6043.760839,6108.958836,6158.095685,6332.59689,6360.215909,6432.818572,6502.185657,6560.92402,6530.940342,6529.238141,6492.216501,6457.485505,6420.100386,6391.922687,6444.054908,6529.48699,6596.305777,6683.973985,6777.021587,6867.591916,6969.405303,7081.642793,7161.826343,7223.388816,7271.586923,7353.149507,7423.492262,7508.631745,7583.562635,7641.199118,7694.487654,7739.852999,7783.550235,7826.132422,7866.623726,7901.321777,7927.509717,7943.18499,7959.685447,7975.757159,7993.268632,8007.959027,8006.645222,8009.342476,8039.617813,8110.380026,8232.025957,8440.563848,8440.563848,8440.563848,8440.563848,8440.563848,8440.563848,8440.563848,8440.563848,8440.563848,8440.563848,8440.563848
Brazil,Americas,1996,YL,Labor Income,Smooth Mean,Units,Constant 2005 PPP,91,90+,Single,Reviewed,0,0,0,0,0,0,0.087678696,0.271657154,1.177326982,4.349726038,8.668296019,17.22000551,39.16768117,87.39601935,173.6467244,305.595221,497.023398,747.1535662,1107.257692,1475.214915,1818.423687,2128.200876,2450.661783,2862.746591,3346.562805,3840.164927,4182.102563,4292.984417,4337.069947,4618.227731,4983.556069,5532.61628,6188.097674,6537.84538,6921.224881,7308.93609,7389.664402,7487.041459,7720.307756,7842.662777,8172.352993,8563.805837,8623.16645,8598.792067,8779.254026,9072.775905,9266.73788,9338.9031,9187.629574,9045.299197,8621.705264,7891.804453,7075.265336,6317.970386,5635.180036,5024.126811,4457.833446,3959.384051,3570.929613,3280.629664,3033.93372,2880.24805,2742.078688,2651.358232,2504.560637,2353.938229,2236.573039,2053.371263,1882.620768,1740.964123,1601.665952,1507.562938,1408.49958,1291.607788,1167.556685,1056.604004,928.224384,786.7742481,641.6166814,503.6290474,386.6548502,312.7835607,256.1279656,202.6843912,154.0477505,135.9112811,104.507927,68.66118875,56.48031047,49.87046294,158.0193485,158.0193485,158.0193485,158.0193485,158.0193485,158.0193485,158.0193485,158.0193485,158.0193485,158.0193485,158.0193485
Cambodia,Asia Pacific,2009,C,Consumption,Smooth Mean,Units,Constant 2005 PPP,101,100+,Single,Reviewed,762.3085109,754.1278685,745.9472261,748.5227252,774.9151942,827.7144165,907.4158758,997.203097,1043.13618,1115.943853,1158.008215,1210.167067,1261.231264,1335.597662,1397.014624,1446.218774,1523.631956,1566.41086,1664.550504,1692.651389,1756.018785,1780.921383,1837.034922,1813.383376,1786.236235,1796.943969,1800.304951,1841.188403,1853.284037,1839.961103,1842.422287,1854.411994,1855.190854,1859.758012,1873.051168,1908.51805,1877.388453,1870.282904,1871.30368,1856.008826,1839.598017,1829.611279,1835.630828,1822.976338,1824.732955,1842.965268,1846.776136,1858.460702,1879.539624,1884.290806,1892.579136,1901.167881,1915.035332,1929.626787,1946.227939,1957.857662,1967.054918,1968.211075,1967.572796,1964.468234,1964.580205,1963.432175,1965.275395,1962.820467,1958.448819,1950.650483,1942.898009,1934.986004,1934.088865,1936.107847,1933.792231,1929.11178,1919.549717,1899.254306,1881.505022,1867.071627,1857.782861,1857.139152,1867.938168,1880.384654,1896.169619,1899.388347,1897.708177,1890.175077,1876.561374,1878.248131,1883.860661,1909.26817,1953.9767,2003.717404,2050.60024,2078.580843,2096.065656,2091.648697,2076.6709,2053.57139,2030.471881,62.68547398,62.68547398,62.68547398,62.68547398
Cambodia,Asia Pacific,2009,YL,Labor Income,Smooth Mean,Units,Constant 2005 PPP,101,100+,Single,Reviewed,0,0,0,0,0,3.03815319,4.787058313,8.610074612,14.14636682,24.81170142,45.53277476,82.08027889,157.4720084,265.5552809,411.6338416,588.9134554,794.9593045,990.7570823,1180.133214,1374.483306,1573.330328,1759.427388,1976.286543,2204.85744,2388.728908,2533.141273,2643.531887,2655.255612,2616.48531,2571.252011,2505.443458,2446.724767,2415.427615,2386.269882,2357.114741,2336.919241,2295.823302,2254.666521,2212.704895,2164.871193,2113.259519,2070.102895,2021.644509,1976.859628,1933.365644,1889.666375,1856.629672,1829.210839,1792.516955,1752.047576,1712.051947,1659.791634,1610.01332,1565.099985,1535.521198,1511.373197,1482.212485,1433.826418,1382.325008,1259.558841,1099.703509,929.2665979,780.3201227,617.059979,519.3110762,474.770851,456.9911477,435.6208249,435.4324022,416.0949263,350.9337874,274.1081007,199.3329017,127.9584521,76.39648836,55.60283668,40.80493704,30.9023869,25.1042991,18.99494681,14.15698465,12.44631765,12.19284165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
