country,Group,year,varName,Name,type,Units,Nominal,NageGroups,last age,single,status,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100
Argentina,Americas,1997,C,Consumption,Smooth mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,9537.295465,9566.582336,9601.210305,10105.93217,11230.10431,13044.73997,14103.70667,14830.97025,15287.19856,15523.85411,15690.06086,15881.3777,16020.9736,16095.20827,16420.64734,16455.45378,16107.53006,16654.22169,16615.05429,17015.8301,17155.01506,17375.34863,17428.07101,17959.1783,17745.8289,17645.0021,18259.24207,18408.73036,18591.55933,18804.205,18995.60817,19053.33562,19187.42832,19190.8644,19065.38631,18926.94795,18714.41152,18386.2632,18275.57372,18047.20499,18050.38473,18045.20617,17916.63667,18042.03646,18015.38453,18067.49676,17943.31755,17973.18629,17962.08023,17989.43684,17911.59186,17875.77648,17820.7896,17852.82813,17837.66148,17888.07456,17974.2663,18051.22147,18137.28955,18221.96932,18275.55021,18317.23157,18377.63266,18433.52898,18482.83865,18531.18482,18539.44856,18555.87794,18553.18973,18564.52652,18593.18419,18615.47044,18620.96357,18664.48694,18656.13149,18647.73057,18657.84631,18646.22237,18658.11634,18705.38677,18760.79447,18810.42057,18846.16644,18875.82131,18908.60721,18941.71278,18968.49172,18997.73727,19031.80472,19066.25159,19117.60223,19117.60223,19117.60223,19117.60223,19117.60223,19117.60223,19117.60223,19117.60223,19117.60223,19117.60223,19117.60223
Argentina,Americas,1997,YL,Labor Income,Smooth mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,0,0,0,0,0,0,1.252909683,3.099363989,4.600472715,5.460244272,6.010792726,9.465457091,171.6284392,348.5302811,756.5295509,1425.6988,2469.978587,3972.942914,5950.295059,8242.557119,10834.86031,13579.07665,16238.54432,18792.40504,21223.16275,23504.16969,25442.75985,27184.96626,28564.66564,29721.56819,30402.31632,31051.82401,31550.27024,31989.36344,32311.89028,32801.09905,33298.11925,33806.34846,34321.49883,34803.19417,35189.64989,35291.84371,35241.98804,35084.79258,34806.64187,34393.35946,33995.74748,33565.92174,32980.32267,32286.20362,31500.2012,30571.13415,29479.6645,28471.64354,27478.0825,26374.73951,25178.58177,23966.22348,22518.72109,20917.92505,19436.25029,17871.9655,16295.64328,14668.70046,12897.60488,10855.48798,9015.531689,7310.954902,5956.714307,4943.194896,4288.350865,3735.939892,3171.682127,2718.488495,2314.045283,1985.934435,1680.324491,1513.053653,1175.958366,882.4121808,631.3366031,417.811697,219.9052012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Asia Pacific,2004,C,Consumption,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,14296.20329,13658.4059,13751.62601,15296.58224,16196.74614,17358.69541,18431.17408,18576.41262,18879.82168,19142.87398,19441.16862,20271.25138,21576.42728,23113.5426,25647.20755,25924.55323,26609.99183,26383.48175,26540.03519,27307.88407,26638.94523,26664.63882,27201.10073,28319.20906,28635.67747,29245.05258,28611.27749,28054.71469,27654.04303,28051.06066,27547.54579,27704.06435,26894.55786,26823.7503,26960.05184,26523.28483,26595.54271,26504.32886,26548.17397,26373.20203,26561.56944,26814.36986,26967.28793,27221.28249,27110.17391,27982.40599,28486.69145,28370.64902,27778.97573,27761.06209,27877.33296,28115.33126,28239.03889,28564.4435,28608.36402,28972.84856,28976.57642,29439.2757,29217.68326,29319.30925,29239.24444,29124.41805,28981.29845,28957.96534,28819.32105,28774.26959,28739.4588,28604.02754,28468.85113,28560.68649,28277.82786,28225.04053,28199.20544,28166.99614,28150.05817,28169.36028,28104.69789,28416.14594,28159.29924,28143.58806,28121.79318,28123.8899,28393.80698,28486.75934,28132.60219,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459,28168.3459
Australia,Asia Pacific,2004,YL,Labor Income,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,0,0,0,0,0,0,0,0,0,0,2.108943942,38.8955578,242.7267687,596.1188422,1329.213165,2644.561933,4543.704056,7074.903542,10144.98331,13414.86324,16838.35207,20066.7033,23213.16817,26133.56286,28900.6622,31180.52421,33480.31714,35336.76015,36398.17596,37003.49508,37413.85055,37277.33336,36906.72965,36973.25694,37228.98807,37631.98362,38198.56062,38997.49762,39459.37025,39794.58125,39831.91934,39805.17169,39799.69799,39985.19277,40074.19313,40191.99444,40282.90284,40136.26095,39589.89752,39451.8766,39322.17131,38734.92216,37586.91519,36266.54789,34009.18087,31032.22789,28111.15527,25483.96834,22767.63568,20291.03853,18318.0077,16112.13262,14030.89435,12167.35949,10398.00782,8432.805712,6851.438517,5202.576824,3725.234978,2625.642363,1987.663757,1539.397646,1358.913558,1254.343296,1197.118746,1013.667954,743.1215721,502.4404341,310.9858571,149.3777648,71.58445071,40.07554688,11.95164044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Europe,2005,C,Consumption,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,12134.16767,10400.89526,10577.57309,12983.15361,14975.88256,15831.68977,17789.98257,19318.29776,19738.77865,20133.5074,21757.2928,23094.95154,23680.24616,24199.89729,23927.84619,23464.37366,23667.86457,24097.24978,23436.43062,21082.43358,21303.15297,21486.1511,21688.72893,21924.20685,22207.54655,22433.28418,22675.10221,22973.73898,23221.89713,23375.74662,23579.32076,23703.59812,23636.69272,23525.02094,23411.89387,23178.77942,22948.68327,22844.86564,22752.47982,22637.59881,22637.93173,22599.91304,22545.82252,22530.59522,22638.80809,22755.61561,23001.5535,23275.71961,23612.11435,23883.59264,24214.71212,24592.43025,25126.28055,25620.99959,26169.97317,26610.36423,26797.86164,26875.88061,26920.26756,26977.38372,27048.59379,27378.21758,27592.76209,27633.96552,27492.38012,27166.33764,26492.84314,25705.78339,25179.15201,24707.92691,24461.1604,24356.6084,24431.12928,24310.38428,24243.95623,24177.63833,24115.35951,24089.75791,24203.601,24385.56733,24592.35926,24809.16809,25001.89671,25153.27013,25250.87737,25343.28889,25471.71059,25616.56763,25778.17091,25947.49617,26116.82265,26116.82265,26116.82265,26116.82265,26116.82265,26116.82265,26116.82265,26116.82265,26116.82265,26116.82265,26116.82265
Austria,Europe,2005,YL,Labor Income,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2991.753705,6067.759766,9209.854106,12289.55555,15382.96965,18214.26998,20917.03969,23227.13691,25264.42784,26948.91805,28350.71359,29479.87419,30624.30861,31794.4095,32798.67709,33917.99827,34921.26466,35787.74359,36567.96262,37457.45079,38175.77899,39007.93192,39648.48595,40392.47572,40906.54314,41500.17539,41975.25597,42530.5819,42750.98184,42999.56716,42909.14701,42526.77538,41886.11487,41110.92755,40016.09294,38865.43223,37574.88865,36213.33941,34676.03178,33071.84934,31564.06855,29584.4164,27025.09251,23901.07938,20389.72656,15999.57565,12085.15291,8828.00731,6045.459803,3992.36043,2814.675512,2016.995085,1475.063085,1061.926525,886.0794908,779.1376589,654.3381704,524.2232137,448.5915359,348.1941517,270.5168551,229.1806587,188.3132028,154.5198148,120.3538652,80.49174418,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287,120.425287
Brazil,Americas,1996,C,Consumption,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,5095.152542,4876.683527,5095.542945,5213.119142,5259.925395,5606.725093,6500.246957,6928.325903,7243.975873,7777.604034,7758.664113,8343.334615,8352.885855,8919.813112,8938.811245,9230.345017,9480.280732,9459.07049,9516.007714,10619.18565,11164.34017,10243.99036,9466.700072,9211.716881,9547.415504,9856.339051,9685.254789,10228.20889,10347.86876,10235.12181,10334.87893,10312.88257,10443.17865,10346.41079,10688.68323,10528.54069,10944.60527,10458.02349,10782.60305,10652.41613,10721.93306,10973.93538,11103.83728,11135.06786,11255.18911,11345.71919,11667.22144,11718.10692,11851.87058,11979.67299,12087.89297,12032.65083,12029.51468,11961.30575,11897.31712,11828.43851,11776.52372,11872.57249,12029.97316,12153.08057,12314.6011,12486.03266,12652.90008,12840.48178,13047.26893,13194.99967,13308.42281,13397.22334,13547.49483,13677.09482,13833.95641,13972.00961,14078.19948,14176.37865,14259.96009,14340.46819,14418.92191,14493.52337,14557.45131,14605.70015,14634.58039,14664.98095,14694.59158,14726.85485,14753.92054,14751.49997,14756.46941,14812.24891,14942.62171,15166.74304,15550.95473,15550.95473,15550.95473,15550.95473,15550.95473,15550.95473,15550.95473,15550.95473,15550.95473,15550.95473,15550.95473
Brazil,Americas,1996,YL,Labor Income,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,0,0,0,0,0,0,0.161539854,0.500503069,2.169115586,8.013966119,15.9705301,31.72626034,72.1628137,161.0190462,319.9279571,563.0308036,915.7194352,1376.561032,2040.019429,2717.946427,3350.276702,3921.012397,4515.116658,5274.344632,6165.73106,7075.147112,7705.135436,7909.424951,7990.648444,8508.655542,9181.739064,10193.33149,11400.99506,12045.37272,12751.71383,13466.03572,13614.77013,13794.17831,14223.94979,14449.37755,15056.80115,15778.01664,15887.38306,15842.47552,16174.95991,16715.74671,17073.10362,17206.06134,16927.35392,16665.12342,15884.69096,14539.91652,13035.51906,11640.27347,10382.29568,9256.486886,8213.143975,7294.797271,6579.106057,6044.255372,5589.741016,5306.589446,5052.025231,4884.88122,4614.42029,4336.912497,4120.678037,3783.145786,3468.553862,3207.564653,2950.920716,2777.544654,2595.029621,2379.667355,2151.114721,1946.694715,1710.167192,1449.558458,1182.119127,927.8897307,712.3756396,576.2746516,471.8919812,373.4271604,283.8186687,250.4039087,192.5461463,126.5018614,104.0597248,91.8816948,291.135969,291.135969,291.135969,291.135969,291.135969,291.135969,291.135969,291.135969,291.135969,291.135969,291.135969
Cambodia,Asia Pacific,2009,C,Consumption,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,617.7160354,611.0870735,604.4581116,606.5450976,627.9315194,670.7159374,735.2998542,808.0564949,845.2771231,904.2748474,938.3605626,980.6260748,1022.004562,1082.265357,1132.032927,1171.904175,1234.633849,1269.298574,1348.823374,1371.594165,1422.942216,1443.121361,1488.591446,1469.426057,1447.428107,1456.104829,1458.82831,1491.957107,1501.758475,1490.962597,1492.956951,1502.672486,1503.303613,1507.004486,1517.776235,1546.515861,1521.290835,1515.533047,1516.360205,1503.966434,1490.668381,1482.575898,1487.453677,1477.199453,1478.622881,1493.396941,1496.484974,1505.953246,1523.033979,1526.88397,1533.600194,1540.55985,1551.796964,1563.620754,1577.073047,1586.496878,1593.949625,1594.886486,1594.369273,1591.853575,1591.944309,1591.014033,1592.507637,1590.518352,1586.975906,1580.656736,1574.374729,1567.96345,1567.236477,1568.872505,1566.996108,1563.203431,1555.455073,1539.009237,1524.626585,1512.930876,1505.403976,1504.882364,1513.633053,1523.718726,1536.509645,1539.117853,1537.756373,1531.65213,1520.620635,1521.987453,1526.535414,1547.1237,1583.352045,1623.658076,1661.648311,1684.321635,1698.489979,1694.910816,1682.773964,1664.055903,1645.337842,50.79547441,50.79547441,50.79547441,50.79547441
Cambodia,Asia Pacific,2009,YL,Labor Income,Smooth Mean,Units,Constant 2010 PPP ,101,100+,Single,Reviewed,0,0,0,0,0,2.461885071,3.879062924,6.976940537,11.46312484,20.10548959,36.89624961,66.51152874,127.6031729,215.1855225,333.5563239,477.2100528,644.1737207,802.8331418,956.2889556,1113.775284,1274.905578,1425.704285,1601.430222,1786.646452,1935.641711,2052.662356,2142.114397,2151.6144,2120.197936,2083.544359,2030.218182,1982.637082,1957.276284,1933.649106,1910.024028,1893.659151,1860.358172,1827.00789,1793.005424,1754.244681,1712.42256,1677.451759,1638.18482,1601.894606,1566.650435,1531.239917,1504.46952,1482.251412,1452.517518,1419.724254,1387.31488,1344.967153,1304.630646,1268.236342,1244.267974,1224.700296,1201.070703,1161.862366,1120.129595,1020.64936,891.1149247,753.0059946,632.3112567,500.017825,420.8096518,384.7176878,370.3103872,352.9935255,352.8408423,337.171243,284.3696806,222.1160682,161.5240128,103.6876626,61.9058232,45.05625128,33.06517448,25.04091144,20.34258818,15.39204019,11.47172871,10.08553608,9.880138676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
