Index,Variant,"Major area, region, country or area *",Notes,Country code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
5941,Medium fertility,Nigeria,,566,2011,6230,5990,5760,5540,5330,5129,4938,4756,4582,4415,4255,4103,3958,3822,3693,3571,3455,3345,3243,3149,3062,2978,2898,2821,2746,2672,2600,2531,2458,2380,2298,2218,2138,2058,1977,1895,1815,1737,1660,1586,1516,1447,1379,1319,1267,1222,1179,1138,1097,1054,1012,971,932,893,853,814,775,736,701,670,641,613,586,557,526,493,460,429,397,364,331,299,267,237,209,183,158,135,113,95,78,64,50,39,30,23,17,12,8,5,3,2,2,1,1,0,0,0,0,0,0
5942,Medium fertility,Nigeria,,566,2012,6417,6162,5926,5703,5490,5286,5092,4907,4731,4561,4397,4237,4086,3942,3805,3675,3553,3436,3324,3220,3126,3039,2955,2875,2798,2723,2650,2579,2510,2438,2360,2279,2199,2120,2040,1959,1878,1799,1720,1644,1571,1501,1432,1365,1305,1253,1208,1165,1123,1082,1040,997,956,917,878,838,797,758,719,683,651,622,593,565,536,504,470,437,405,373,340,308,276,245,215,189,164,140,118,98,81,67,53,42,32,24,18,13,9,7,4,2,2,1,1,0,0,0,0,0,0
5943,Medium fertility,Nigeria,,566,2013,6606,6341,6090,5863,5647,5441,5244,5056,4877,4707,4542,4379,4221,4070,3926,3789,3659,3535,3417,3303,3198,3103,3016,2933,2852,2775,2701,2628,2557,2489,2418,2340,2260,2180,2102,2023,1942,1862,1782,1705,1629,1556,1486,1418,1351,1291,1239,1194,1151,1109,1068,1026,982,941,902,862,822,781,742,702,665,633,603,574,545,515,482,448,414,382,350,317,284,253,222,194,168,144,122,101,83,68,55,43,33,25,19,14,10,7,5,3,2,1,1,1,0,0,0,0,0
5944,Medium fertility,Nigeria,,566,2014,6782,6512,6257,6017,5802,5592,5393,5203,5021,4848,4684,4523,4363,4205,4055,3912,3775,3643,3518,3399,3284,3177,3082,2995,2911,2831,2754,2679,2607,2537,2469,2398,2322,2241,2162,2084,2006,1926,1846,1767,1689,1614,1541,1472,1404,1337,1277,1226,1181,1137,1096,1054,1011,968,927,887,847,806,765,725,685,648,615,584,554,524,494,460,425,392,359,326,294,261,230,200,172,147,125,104,84,68,54,43,33,25,18,13,9,6,5,3,2,1,1,0,0,0,0,0,0
5945,Medium fertility,Nigeria,,566,2015,6936,6670,6418,6181,5956,5742,5540,5347,5164,4988,4821,4662,4506,4348,4191,4042,3899,3761,3629,3503,3382,3265,3157,3061,2974,2890,2810,2733,2659,2587,2517,2450,2380,2303,2223,2145,2068,1989,1910,1830,1752,1675,1600,1527,1458,1390,1324,1264,1213,1168,1124,1082,1041,998,954,913,873,833,791,750,709,669,631,597,566,534,504,473,439,403,369,336,303,270,238,207,178,150,126,105,86,68,53,40,31,23,17,11,8,5,3,2,2,1,0,0,0,0,0,0,0
5946,Medium fertility,Nigeria,,566,2016,7048,6856,6606,6367,6138,5920,5711,5511,5320,5139,4966,4800,4642,4485,4327,4169,4018,3873,3735,3602,3476,3355,3238,3131,3036,2949,2866,2786,2710,2636,2565,2495,2429,2359,2283,2203,2125,2048,1970,1891,1812,1734,1657,1583,1511,1442,1374,1308,1248,1197,1151,1107,1065,1023,980,936,894,853,813,771,729,688,647,609,574,542,510,479,447,413,378,344,311,278,247,216,186,158,133,111,92,74,58,45,34,26,19,14,10,6,4,2,2,1,1,0,0,0,0,0,0
5947,Medium fertility,Nigeria,,566,2017,7142,6919,6781,6546,6320,6100,5889,5684,5486,5297,5118,4947,4783,4625,4468,4309,4150,3998,3851,3711,3578,3452,3331,3215,3108,3012,2926,2844,2764,2689,2616,2544,2476,2409,2340,2264,2185,2107,2031,1953,1874,1796,1718,1641,1567,1495,1426,1359,1293,1233,1181,1136,1091,1049,1007,963,919,876,835,794,751,709,667,626,587,551,518,486,454,422,388,352,318,286,254,223,194,166,139,115,95,78,63,49,37,28,21,15,11,8,5,3,2,1,1,1,0,0,0,0,0
5948,Medium fertility,Nigeria,,566,2018,7227,7034,6838,6710,6490,6275,6065,5861,5660,5463,5276,5099,4931,4768,4610,4453,4293,4132,3979,3830,3689,3556,3430,3309,3192,3085,2991,2905,2823,2744,2669,2596,2525,2457,2391,2322,2247,2168,2090,2014,1937,1858,1780,1702,1626,1552,1480,1411,1344,1278,1218,1166,1121,1076,1034,991,947,901,858,817,775,732,689,646,604,565,529,495,462,430,397,362,327,293,261,229,200,172,145,120,98,80,65,51,39,29,22,16,11,8,6,4,2,1,1,1,0,0,0,0,0
5949,Medium fertility,Nigeria,,566,2019,7322,7151,6974,6791,6639,6435,6232,6031,5833,5636,5442,5255,5081,4916,4753,4596,4438,4277,4116,3960,3810,3667,3534,3408,3287,3170,3063,2969,2884,2802,2724,2650,2577,2507,2438,2373,2304,2229,2151,2074,1997,1921,1842,1764,1687,1611,1537,1466,1397,1330,1264,1204,1152,1106,1061,1018,975,930,885,841,799,756,712,669,626,583,543,506,472,438,405,372,337,302,268,236,205,176,150,125,101,81,64,51,40,29,21,15,11,7,5,4,2,1,1,1,0,0,0,0,0
5950,Medium fertility,Nigeria,,566,2020,7438,7277,7109,6934,6753,6567,6379,6188,5996,5805,5612,5419,5235,5063,4900,4738,4581,4423,4261,4098,3942,3790,3645,3511,3386,3265,3148,3041,2947,2863,2781,2704,2630,2558,2488,2420,2355,2286,2212,2133,2057,1981,1904,1826,1749,1672,1596,1522,1451,1382,1315,1249,1189,1137,1091,1045,1002,959,914,867,823,780,737,693,649,605,562,522,484,449,414,381,347,312,277,243,211,180,153,128,104,82,63,49,38,28,20,14,9,6,4,3,2,1,0,0,0,0,0,0,0
