Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,611,"4,130","4,113","4,096","4,787","5,272","5,507","5,782","7,115","7,301","7,377","7,616","7,933","8,209","8,738","8,862","9,103","9,047","8,785","8,223","6,690","5,574","4,054","2,455",682,-372,"-1,370","-2,259","-2,912","-3,428","-3,937","-4,465","-4,886","-5,317","-5,658","-5,911","-6,105","-6,256","-6,243","-6,280","-6,183","-5,986","-5,935","-5,922","-5,898","-5,874","-5,748","-5,350","-4,865","-4,314","-3,751","-3,191","-2,688","-2,186","-1,639","-1,072",-498,115,733,"1,298","1,858","2,404","2,907","3,343","3,759","4,169","4,522","4,853","5,210","5,481","5,680","5,866","6,009","6,107","6,226","6,330","6,498","6,657","6,793","6,882","6,948","7,039","7,015","7,016","7,018","7,020","7,026","7,017","6,995","6,960","6,925","6,888",
Consumption,"8,095","4,130","4,113","4,096","4,787","5,272","5,507","5,782","7,115","7,301","7,377","7,616","7,933","8,209","8,738","8,862","9,103","9,749","10,051","10,284","9,741","9,781","9,483","9,129","8,546","8,570","8,511","8,442","8,457","8,482","8,476","8,407","8,343","8,287","8,209","8,170","8,139","8,077","8,027","7,962","7,934","7,976","7,998","8,039","8,073","8,111","8,154","8,241","8,341","8,468","8,559","8,650","8,724","8,784","8,815","8,857","8,885","8,917","8,949","8,958","8,946","8,933","8,901","8,817","8,714","8,600","8,484","8,352","8,241","8,100","7,952","7,821","7,703","7,576","7,460","7,369","7,288","7,225","7,178","7,147","7,131","7,118","7,110","7,104","7,085","7,065","7,048","7,022","6,995","6,960","6,925","6,888",
Public Consumption,"1,809","1,537","1,517","1,497","1,476","1,624","1,600","1,577","2,875","2,853","2,832","2,812","2,795","2,782","2,939","2,932","2,929","3,160","3,160","3,163","2,381","2,386","2,120","2,128","1,353","1,365","1,380","1,392","1,402","1,409","1,414","1,372","1,374","1,376","1,377","1,378","1,379","1,381","1,383","1,386","1,390","1,395","1,401","1,409","1,418","1,428","1,440","1,453","1,467","1,482","1,498","1,516","1,535","1,557","1,581","1,608","1,636","1,663","1,686","1,707","1,725","1,741","1,756","1,769","1,782","1,794","1,805","1,817","1,830","1,843","1,856","1,871","1,878","1,879","1,873","1,859","1,839","1,823","1,811","1,803","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799",
"Public Consumption, Education",367,0,0,0,0,170,170,170,"1,490","1,490","1,490","1,490","1,490","1,490","1,657","1,657","1,657","1,889","1,889","1,889","1,104","1,104",831,831,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health",268,362,342,322,301,279,255,232,210,187,166,147,130,117,107,100,97,96,97,99,103,107,114,123,133,146,161,173,182,190,195,197,199,201,203,204,204,206,208,211,215,220,227,234,243,253,265,278,292,307,324,341,361,382,407,433,462,488,511,532,551,566,581,595,607,619,631,642,655,668,682,696,704,704,698,685,665,648,636,628,625,625,625,625,625,625,625,625,625,625,625,625,
"Public Consumption, Other than health and education","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175",
Private Consumption,"6,286","2,593","2,596","2,599","3,311","3,648","3,907","4,205","4,241","4,448","4,546","4,804","5,137","5,427","5,799","5,930","6,174","6,589","6,891","7,121","7,360","7,395","7,364","7,000","7,193","7,204","7,131","7,050","7,055","7,073","7,062","7,035","6,969","6,911","6,832","6,792","6,759","6,697","6,645","6,576","6,544","6,581","6,597","6,630","6,655","6,683","6,714","6,788","6,874","6,986","7,061","7,134","7,189","7,226","7,234","7,250","7,248","7,254","7,263","7,250","7,221","7,192","7,145","7,048","6,932","6,806","6,679","6,534","6,412","6,257","6,096","5,951","5,825","5,697","5,588","5,509","5,448","5,402","5,367","5,344","5,332","5,318","5,310","5,305","5,285","5,266","5,249","5,223","5,195","5,161","5,125","5,089",
"Private Consumption, Education",468,0,0,0,684,951,"1,100","1,257","1,120","1,146","1,054","1,122","1,253","1,339","1,520","1,463","1,526","1,754","1,832","1,826","1,837","1,649","1,435",899,910,763,538,330,219,142,86,65,53,49,20,16,19,11,23,8,9,26,9,8,22,22,21,14,7,24,0,4,14,10,1,7,4,4,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",302,211,189,166,144,121,99,79,67,57,47,39,43,46,49,52,60,67,75,83,93,108,120,133,147,164,190,209,229,250,268,290,303,321,335,350,364,367,372,380,385,400,409,424,432,445,456,464,471,475,483,495,499,506,508,510,521,526,533,547,565,577,590,597,608,612,625,628,647,652,650,643,631,618,610,598,593,581,569,551,545,540,540,540,540,540,540,540,540,540,540,540,
"Private Consumption, Other than health and education","5,517","2,382","2,408","2,433","2,483","2,576","2,707","2,869","3,053","3,246","3,445","3,642","3,842","4,043","4,231","4,414","4,589","4,768","4,984","5,212","5,430","5,639","5,809","5,968","6,136","6,277","6,402","6,511","6,607","6,681","6,709","6,680","6,613","6,540","6,477","6,427","6,376","6,319","6,250","6,187","6,150","6,155","6,180","6,198","6,201","6,216","6,238","6,311","6,396","6,487","6,577","6,635","6,676","6,711","6,725","6,733","6,723","6,725","6,730","6,703","6,655","6,615","6,550","6,447","6,324","6,194","6,054","5,907","5,765","5,606","5,445","5,308","5,193","5,079","4,977","4,908","4,855","4,820","4,793","4,793","4,787","4,779","4,771","4,765","4,746","4,726","4,709","4,684","4,656","4,621","4,586","4,549",
