Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,814,"7,719","7,674","9,098","10,898","11,189","11,954","13,475","13,365","13,393","13,278","13,764","13,633","14,313","14,491","14,692","13,642","12,865","12,443","11,525","9,250","7,573","6,497","4,915","2,973",794,"-1,787","-4,085","-5,986","-7,391","-8,475","-9,494","-10,794","-12,145","-13,317","-13,824","-13,647","-13,257","-12,607","-12,210","-12,608","-13,156","-13,478","-13,663","-13,270","-12,661","-12,131","-11,480","-11,142","-10,758","-10,217","-9,371","-8,225","-6,868","-5,149","-3,090","-1,367",362,"2,191","4,004","5,581","7,014","8,454","9,685","10,480","10,985","11,381","11,764","12,102","12,338","12,513","12,692","12,966","13,208","13,455","13,663","13,872","14,022","14,297","14,413","14,549","14,653","14,743","14,820","14,776","14,672","14,655","14,591","14,523","14,447","14,386","14,209",
Consumption,"12,325","7,719","7,674","9,098","10,898","11,189","11,954","13,475","13,365","13,393","13,278","13,764","13,633","14,313","14,491","14,692","13,721","13,447","13,429","13,138","11,688","11,145","11,506","11,646","11,811","11,932","12,029","12,258","12,305","12,348","12,414","12,308","12,245","12,129","12,021","11,896","11,738","11,639","11,580","11,562","11,580","11,609","11,631","11,618","11,599","11,599","11,515","11,572","11,609","11,643","11,701","11,763","11,822","11,868","11,928","12,012","12,061","12,104","12,147","12,207","12,249","12,285","12,334","12,426","12,548","12,702","12,832","12,959","13,096","13,218","13,304","13,361","13,474","13,625","13,772","13,915","14,099","14,242","14,358","14,463","14,579","14,678","14,762","14,835","14,787","14,724","14,659","14,592","14,523","14,447","14,386","14,209",
Public Consumption,"3,919","4,056","3,515","4,629","5,517","5,895","6,373","8,356","8,173","8,241","8,351","8,199","8,227","8,662","8,245","8,242","7,003","6,438","6,171","5,668","3,881","3,279","3,285","3,152","3,050","2,888","2,742","2,575","2,469","2,384","2,318","2,223","2,236","2,247","2,262","2,263","2,207","2,206","2,205","2,215","2,238","2,258","2,278","2,291","2,322","2,378","2,322","2,378","2,407","2,449","2,538","2,635","2,721","2,770","2,824","2,905","2,981","3,055","3,136","3,221","3,290","3,354","3,430","3,545","3,690","3,833","3,970","4,123","4,303","4,481","4,632","4,761","4,918","5,099","5,276","5,464","5,698","5,904","6,093","6,301","6,521","6,744","6,959","7,168","7,263","7,347","7,423","7,497","7,572","7,645","7,711","7,710",
"Public Consumption, Education","1,151",0,"1,323","2,470","3,425","3,872","4,411","6,453","6,322","6,433","6,570","6,435","6,477","6,922","6,507","6,497","5,249","4,674","4,395","3,878","2,074","1,454","1,443","1,294","1,170",979,799,599,474,379,298,188,186,187,197,194,133,127,122,121,122,117,116,115,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health","1,452","2,739",875,842,776,706,645,586,535,491,464,448,433,423,421,428,438,447,459,473,490,508,526,542,563,593,627,659,677,688,703,719,734,743,748,753,758,762,766,778,799,824,846,860,889,944,"1,005","1,062","1,090","1,133","1,221","1,318","1,404","1,453","1,508","1,588","1,664","1,738","1,820","1,904","1,973","2,037","2,113","2,229","2,373","2,516","2,653","2,806","2,986","3,165","3,316","3,445","3,601","3,782","3,959","4,148","4,381","4,587","4,776","4,984","5,205","5,427","5,643","5,852","5,946","6,031","6,106","6,181","6,256","6,328","6,394","6,394",
"Public Consumption, Other than health and education","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317",
Private Consumption,"8,406","3,663","4,159","4,470","5,381","5,294","5,582","5,119","5,192","5,152","4,927","5,565","5,406","5,651","6,246","6,450","6,718","7,009","7,258","7,470","7,807","7,866","8,222","8,494","8,761","9,044","9,287","9,683","9,837","9,964","10,096","10,084","10,009","9,882","9,759","9,633","9,531","9,433","9,375","9,347","9,342","9,351","9,353","9,327","9,277","9,221","9,193","9,194","9,203","9,194","9,163","9,128","9,101","9,099","9,104","9,107","9,081","9,049","9,010","8,986","8,959","8,932","8,904","8,881","8,858","8,869","8,863","8,836","8,793","8,737","8,671","8,600","8,557","8,526","8,496","8,450","8,401","8,338","8,266","8,163","8,058","7,934","7,803","7,666","7,525","7,377","7,236","7,094","6,950","6,803","6,675","6,498",
"Private Consumption, Education",116,0,488,724,"1,523","1,301","1,429",803,693,447,0,401,0,0,345,292,280,296,270,235,337,152,245,221,179,155,89,188,77,1,16,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",365,0,15,30,42,50,57,62,66,68,70,71,71,70,67,65,68,76,85,96,107,123,141,161,185,212,240,266,293,316,338,351,361,367,368,366,365,367,371,379,389,401,414,427,440,454,468,482,493,500,504,507,509,510,511,511,510,509,509,508,509,508,510,515,522,533,544,550,555,562,572,582,593,603,616,629,644,659,675,689,703,715,726,736,743,751,759,767,775,782,790,792,
"Private Consumption, Other than health and education","7,924","3,663","3,655","3,716","3,816","3,943","4,095","4,254","4,434","4,638","4,856","5,093","5,334","5,580","5,834","6,093","6,370","6,637","6,903","7,139","7,363","7,591","7,836","8,112","8,398","8,677","8,958","9,228","9,467","9,646","9,742","9,733","9,648","9,515","9,380","9,267","9,166","9,066","9,002","8,968","8,953","8,950","8,939","8,900","8,836","8,767","8,726","8,712","8,710","8,693","8,659","8,620","8,592","8,588","8,594","8,597","8,571","8,540","8,502","8,478","8,450","8,423","8,395","8,366","8,336","8,336","8,319","8,286","8,238","8,174","8,100","8,017","7,964","7,922","7,881","7,821","7,758","7,679","7,591","7,474","7,355","7,219","7,077","6,931","6,781","6,626","6,477","6,328","6,176","6,020","5,885","5,706",
