Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"1,861","8,653","6,977","7,377","9,368","10,170","10,524","11,049","11,708","11,558","11,869","12,172","12,586","12,063","12,841","13,167","12,860","13,606","13,427","13,345","12,293","11,113","8,925","7,763","5,063","2,901","1,514",-738,"-2,710","-3,649","-4,839","-6,021","-7,083","-7,622","-8,350","-8,410","-8,582","-8,380","-8,951","-9,950","-11,127","-11,533","-12,263","-12,476","-12,604","-11,805","-11,541","-11,559","-11,455","-10,819","-10,281","-10,131","-8,463","-7,702","-6,641","-6,283","-5,070","-4,233","-2,137",-971,661,"2,080","4,290","4,987","6,135","6,627","8,515","10,292","11,472","12,622","14,166","14,050","14,552","14,823","15,362","14,933","14,844","15,187","14,859","14,213","13,867","14,111","14,457","14,326","14,217","14,500","15,171","15,061","14,963","15,061","14,751","14,497",
Consumption,"13,966","8,653","6,977","7,377","9,368","10,170","10,524","11,049","11,708","11,558","11,869","12,172","12,586","12,063","12,841","13,183","12,980","14,260","14,730","15,402","15,664","16,003","15,278","15,609","14,741","14,380","14,597","14,251","14,069","14,173","14,025","14,077","14,163","14,314","14,332","14,617","14,314","14,391","14,441","14,458","13,931","13,863","13,613","13,693","13,687","13,992","14,139","14,485","14,468","14,337","14,340","14,298","14,432","14,376","14,434","14,459","14,439","14,798","14,833","14,976","14,657","14,717","14,701","14,684","14,498","14,557","14,642","15,087","14,644","14,323","14,557","14,325","14,724","14,976","15,433","14,996","14,889","15,262","14,930","14,294","13,954","14,218","14,510","14,378","14,258","14,541","15,188","15,077","14,979","15,065","14,751","14,497",
Public Consumption,"3,541","4,162","2,363","2,642","4,613","5,146","5,223","5,766","5,841","5,772","5,755","5,765","5,738","5,131","5,061","5,088","5,022","5,427","5,147","5,353","5,143","5,079","4,594","4,283","3,781","3,385","2,980","2,894","2,755","2,654","2,577","2,404","2,398","2,399","2,399","2,399","2,326","2,360","2,362","2,365","2,367","2,333","2,340","2,341","2,342","2,344","2,335","2,460","2,460","2,459","2,458","2,439","2,656","2,654","2,652","2,650","2,659","2,904","2,902","2,901","2,900","2,897","3,200","3,199","3,198","3,197","3,334","3,737","3,736","3,734","3,733","3,825","4,179","4,176","4,173","4,170","4,285","4,816","4,812","4,808","4,802","5,122","5,109","5,106","5,104","5,102","5,616","6,117","6,118","6,119","6,120","6,181",
"Public Consumption, Education",896,42,198,476,"2,447","2,980","3,057","3,817","3,892","3,823","3,806","3,816","3,805","3,197","3,128","3,155","3,089","3,409","3,129","3,335","3,126","3,061","2,538","2,227","1,726","1,329",924,722,582,481,404,231,214,215,214,214,140,142,144,147,149,115,91,92,93,94,85,86,86,85,84,65,24,22,21,19,28,27,25,24,23,21,18,18,18,17,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health","1,136","2,610",656,656,656,656,656,439,439,439,439,439,423,423,423,423,423,508,508,508,508,508,546,546,546,546,546,663,663,663,663,663,674,674,675,675,675,708,708,708,708,708,739,739,739,739,739,864,864,864,864,864,"1,121","1,121","1,121","1,121","1,121","1,368","1,367","1,367","1,367","1,366","1,672","1,671","1,670","1,670","1,820","2,222","2,221","2,219","2,218","2,310","2,670","2,667","2,664","2,660","2,776","3,306","3,302","3,298","3,292","3,612","3,599","3,596","3,594","3,592","4,106","4,607","4,608","4,609","4,610","4,671",
"Public Consumption, Other than health and education","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510",
Private Consumption,"10,425","4,491","4,613","4,735","4,755","5,024","5,301","5,282","5,868","5,785","6,114","6,407","6,848","6,933","7,780","8,095","7,958","8,833","9,582","10,050","10,520","10,924","10,684","11,326","10,959","10,996","11,617","11,356","11,315","11,520","11,448","11,673","11,765","11,915","11,933","12,218","11,989","12,031","12,079","12,094","11,563","11,530","11,273","11,352","11,345","11,649","11,804","12,025","12,008","11,877","11,882","11,859","11,776","11,722","11,782","11,809","11,780","11,894","11,931","12,075","11,757","11,820","11,501","11,485","11,300","11,360","11,307","11,350","10,908","10,589","10,825","10,500","10,544","10,800","11,260","10,826","10,603","10,446","10,118","9,487","9,152","9,096","9,401","9,272","9,155","9,439","9,571","8,960","8,861","8,946","8,631","8,316",
"Private Consumption, Education",172,0,0,0,0,329,367,226,553,288,310,366,529,352,634,680,256,358,745,925,"1,003","1,081",692,"1,229",727,344,762,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Private Consumption, Health",359,155,152,148,147,132,134,128,124,113,107,103,96,91,84,76,64,58,48,56,62,72,77,85,125,177,224,274,303,313,312,309,311,325,358,388,434,456,496,511,517,500,510,538,548,589,620,659,669,639,615,595,562,538,531,547,559,584,597,578,518,458,403,406,417,432,458,452,408,382,417,405,494,575,646,670,676,628,607,500,424,386,369,307,323,328,360,339,297,273,215,156,
"Private Consumption, Other than health and education","9,894","4,336","4,462","4,587","4,608","4,564","4,800","4,928","5,191","5,384","5,697","5,938","6,224","6,490","7,061","7,339","7,639","8,417","8,790","9,069","9,455","9,772","9,915","10,011","10,108","10,475","10,631","10,910","11,011","11,207","11,136","11,364","11,454","11,591","11,574","11,830","11,554","11,575","11,584","11,583","11,046","11,030","10,763","10,815","10,796","11,059","11,184","11,366","11,339","11,239","11,267","11,265","11,215","11,184","11,251","11,262","11,221","11,311","11,334","11,498","11,239","11,362","11,098","11,079","10,884","10,929","10,849","10,898","10,501","10,207","10,408","10,095","10,050","10,225","10,613","10,157","9,927","9,818","9,511","8,986","8,728","8,709","9,031","8,965","8,832","9,111","9,211","8,621","8,564","8,673","8,417","8,160",
Less: Labor Income ,"12,105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,120,654,"1,302","2,057","3,371","4,891","6,354","7,846","9,678","11,479","13,083","14,989","16,780","17,822","18,864","20,097","21,246","21,937","22,682","23,027","22,896","22,770","23,393","24,408","25,058","25,396","25,876","26,169","26,291","25,797","25,680","26,044","25,923","25,156","24,620","24,430","22,895","22,077","21,075","20,742","19,509","19,031","16,969","15,947","13,995","12,637","10,412","9,697","8,363","7,930","6,127","4,795","3,172","1,702",392,275,172,153,71,63,45,74,71,81,88,107,53,52,41,41,17,16,16,4,0,0,
Earnings,"10,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,115,644,"1,286","2,029","3,313","4,813","6,166","7,534","9,211","10,796","12,214","14,035","15,582","16,483","17,313","18,334","19,106","19,489","20,047","20,180","19,746","19,479","19,960","20,843","21,547","21,678","22,182","22,217","21,975","21,471","21,446","21,292","21,063","20,530","19,887","19,581","18,317","17,802","16,928","16,452","15,342","14,593","12,344","11,049","9,477","8,506","6,873","6,480","5,802","4,916","3,535","2,762","1,727",666,230,128,39,40,13,11,2,6,7,11,12,11,5,6,0,0,0,0,0,0,0,0,
Self-employment Labor Income,"1,908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,28,58,78,188,311,467,683,870,954,"1,197","1,339","1,551","1,763","2,139","2,448","2,635","2,847","3,150","3,291","3,432","3,565","3,511","3,718","3,695","3,952","4,316","4,326","4,234","4,752","4,861","4,625","4,734","4,848","4,577","4,275","4,147","4,290","4,167","4,438","4,626","4,898","4,518","4,132","3,539","3,217","2,561","3,015","2,592","2,033","1,444","1,035",162,147,133,113,58,52,42,68,64,70,76,96,48,46,41,41,17,16,16,4,0,0,
