Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,914,"7,552","11,652","15,671","16,323","16,870","17,074","15,455","18,770","18,645","18,275","17,312","17,022","17,136","17,066","17,579","17,900","19,304","18,911","16,776","9,382","7,368","5,764","4,488","3,315","1,843",-168,"-2,326","-4,354","-6,091","-7,573","-8,915","-9,879","-10,845","-11,781","-12,761","-14,155","-15,248","-16,232","-17,128","-17,833","-18,261","-18,650","-19,059","-19,341","-19,485","-19,892","-19,844","-19,675","-19,525","-19,384","-19,137","-18,713","-18,200","-17,650","-17,006","-16,459","-15,659","-14,712","-13,543","-11,952","-9,834","-7,006","-3,512",576,"4,843","8,686","11,875","14,217","15,773","16,673","17,291","17,888","18,496","19,115","19,779","20,509","21,297","22,135","23,089","24,228","25,626","27,086","28,587","30,211","32,020","34,016","36,147","38,320","40,449","42,462","48,900",
Consumption,"18,554","7,552","11,652","15,671","16,323","16,870","17,074","15,455","18,770","18,645","18,275","17,312","17,022","17,136","17,066","17,579","17,900","19,518","20,552","20,816","16,101","16,788","17,748","18,621","19,184","19,394","19,226","19,020","18,871","18,812","18,701","18,426","18,316","18,125","17,914","17,656","17,024","16,680","16,365","16,089","15,901","15,851","15,841","15,852","15,894","15,989","15,804","16,000","16,210","16,432","16,649","16,852","17,103","17,379","17,637","17,861","17,882","18,061","18,218","18,329","18,407","18,408","18,417","18,396","18,360","18,298","18,146","18,097","18,098","18,212","18,407","18,661","18,981","19,373","19,844","20,400","21,038","21,742","22,520","23,441","24,535","25,886","27,313","28,792","30,395","32,197","34,183","36,297","38,453","40,567","42,564","48,935",
Public Consumption,"7,862","3,552","7,423","11,100","11,464","11,888","12,000","10,277","13,465","13,160","12,640","11,521","11,072","10,956","10,614","10,768","10,665","11,790","12,257","11,899","6,550","6,606","6,955","7,238","7,246","6,957","6,371","5,851","5,478","5,247","5,023","4,731","4,723","4,718","4,744","4,751","4,409","4,377","4,370","4,374","4,389","4,454","4,515","4,572","4,622","4,658","4,349","4,388","4,428","4,471","4,509","4,527","4,544","4,553","4,542","4,532","4,369","4,368","4,374","4,417","4,515","4,625","4,840","5,095","5,365","5,640","5,831","6,105","6,386","6,713","7,111","7,577","8,085","8,622","9,221","9,918","10,716","11,597","12,549","13,623","14,845","16,196","17,623","19,101","20,705","22,506","24,493","26,607","28,763","30,877","32,874","39,245",
"Public Consumption, Education","2,277",171,"4,042","7,720","8,083","8,508","8,619","6,896","10,084","9,777","9,254","8,127","7,670","7,543","7,189","7,331","7,216","8,329","8,784","8,411","3,042","3,075","3,397","3,653","3,632","3,314","2,698","2,149","1,748","1,491","1,245",936,918,909,935,941,599,567,559,557,557,598,625,645,653,646,294,290,289,293,299,292,293,296,284,275,112,111,110,111,113,66,72,81,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Consumption, Health","3,109",905,905,905,905,905,905,905,905,907,911,918,927,938,949,961,973,985,998,"1,013","1,032","1,056","1,082","1,110","1,139","1,168","1,197","1,226","1,254","1,280","1,302","1,319","1,329","1,333","1,334","1,334","1,334","1,334","1,335","1,342","1,357","1,381","1,414","1,452","1,494","1,537","1,580","1,622","1,664","1,702","1,735","1,760","1,775","1,781","1,782","1,782","1,782","1,782","1,789","1,830","1,926","2,083","2,292","2,538","2,805","3,080","3,355","3,630","3,911","4,237","4,636","5,101","5,609","6,147","6,746","7,443","8,240","9,121","10,074","11,147","12,369","13,720","15,148","16,626","18,230","20,031","22,017","24,131","26,287","28,401","30,398","36,769",
"Public Consumption, Other than health and education","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476",
Private Consumption,"10,692","4,000","4,229","4,570","4,859","4,982","5,075","5,179","5,305","5,486","5,635","5,792","5,950","6,179","6,453","6,811","7,235","7,728","8,295","8,917","9,551","10,182","10,794","11,383","11,938","12,437","12,855","13,169","13,393","13,565","13,678","13,696","13,593","13,408","13,170","12,905","12,615","12,304","11,995","11,715","11,512","11,397","11,327","11,279","11,273","11,331","11,455","11,612","11,782","11,961","12,140","12,325","12,560","12,826","13,095","13,329","13,513","13,693","13,844","13,912","13,892","13,783","13,577","13,301","12,994","12,659","12,316","11,992","11,712","11,499","11,296","11,084","10,896","10,750","10,623","10,482","10,322","10,145","9,970","9,818","9,690","9,690","9,690","9,690","9,690","9,690","9,690","9,690","9,690","9,690","9,690","9,690",
"Private Consumption, Education",71,0,225,528,741,752,698,624,543,489,381,260,125,51,2,1,2,0,0,0,1,2,3,5,7,9,11,14,16,19,22,24,26,28,30,32,33,34,35,35,35,35,34,33,32,31,29,27,25,23,21,18,16,14,11,9,8,6,5,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,
"Private Consumption, Health",327,13,18,21,24,27,31,36,42,49,57,64,72,80,88,96,105,114,124,133,144,154,165,176,188,199,210,220,229,237,245,251,256,261,266,271,277,285,294,304,315,325,335,344,353,362,372,381,391,401,412,423,435,448,462,476,489,503,517,530,543,553,561,567,572,576,579,582,585,589,592,595,597,597,596,594,591,586,579,568,551,551,551,551,551,551,551,551,551,551,551,551,
"Private Consumption, Other than health and education","10,295","3,986","3,987","4,021","4,094","4,204","4,346","4,519","4,719","4,947","5,197","5,467","5,753","6,048","6,363","6,714","7,128","7,613","8,171","8,783","9,407","10,025","10,625","11,201","11,744","12,229","12,634","12,935","13,147","13,309","13,412","13,421","13,311","13,118","12,874","12,602","12,305","11,985","11,666","11,375","11,162","11,037","10,957","10,902","10,887","10,937","11,054","11,203","11,365","11,537","11,707","11,884","12,109","12,364","12,622","12,843","13,016","13,183","13,322","13,378","13,346","13,227","13,013","12,731","12,419","12,080","11,734","11,406","11,123","10,907","10,700","10,485","10,295","10,149","10,022","9,883","9,726","9,554","9,386","9,245","9,134","9,134","9,134","9,134","9,134","9,134","9,134","9,134","9,134","9,134","9,134","9,134",
Less: Labor Income ,"17,640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,"1,641","4,040","6,720","9,421","11,984","14,133","15,869","17,550","19,393","21,346","23,225","24,903","26,275","27,341","28,195","28,970","29,695","30,417","31,179","31,928","32,597","33,217","33,734","34,113","34,491","34,910","35,235","35,474","35,695","35,843","35,885","35,957","36,034","35,989","35,816","35,579","35,287","34,867","34,342","33,720","32,931","31,872","30,359","28,242","25,423","21,907","17,784","13,455","9,460","6,222","3,881","2,439","1,735","1,370","1,093",877,729,621,528,445,384,352,308,260,227,204,185,177,167,150,134,118,101,35,
Earnings,"16,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,"1,632","4,018","6,676","9,344","11,855","13,937","15,601","17,204","18,961","20,807","22,557","24,114","25,372","26,316","27,062","27,755","28,404","29,043","29,703","30,340","30,889","31,372","31,753","32,033","32,335","32,654","32,888","33,084","33,278","33,395","33,460","33,563","33,640","33,630","33,508","33,253","32,888","32,425","31,858","31,188","30,424","29,455","28,003","25,935","23,243","19,900","15,985","11,919","8,204","5,181","3,009","1,732","1,155",892,720,592,494,415,349,289,236,195,156,119,91,81,77,71,69,64,52,42,35,14,
Self-employment Labor Income,"1,081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,21,44,77,129,196,268,346,432,540,668,789,903,"1,025","1,133","1,216","1,292","1,374","1,476","1,588","1,708","1,846","1,982","2,080","2,156","2,256","2,347","2,390","2,417","2,449","2,425","2,395","2,393","2,359","2,309","2,326","2,399","2,442","2,484","2,531","2,507","2,417","2,356","2,307","2,181","2,008","1,799","1,536","1,255","1,041",872,707,579,479,373,285,236,206,179,156,148,157,152,141,136,123,108,106,99,85,81,76,66,21,
Reallocations,908,"7,552","11,652","15,671","16,323","16,870","17,074","15,455","18,770","18,645","18,275","17,312","17,022","17,136","17,066","17,579","17,900","19,304","18,911","16,776","9,382","7,368","5,764","4,488","3,315","1,843",-168,"-2,326","-4,354","-6,091","-7,573","-8,915","-9,879","-10,845","-11,781","-12,761","-14,155","-15,248","-16,232","-17,128","-17,833","-18,261","-18,650","-19,059","-19,341","-19,485","-19,892","-19,844","-19,675","-19,525","-19,384","-19,137","-18,713","-18,200","-17,650","-17,006","-16,459","-15,659","-14,712","-13,543","-11,952","-9,834","-7,006","-3,512",576,"4,843","8,686","11,875","14,217","15,773","16,673","17,291","17,888","18,496","19,115","19,779","20,509","21,297","22,135","23,089","24,228","25,626","27,086","28,587","30,211","32,020","34,016","36,147","38,320","40,449","42,462","48,135",
