Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Lifecycle Deficit,"2,730","7,254","7,088","6,952","7,844","9,532","10,812","12,078","11,335","11,344","11,352","11,741","12,086","12,920","13,268","13,387","12,798","13,293","12,669","11,442","11,453","9,985","7,545","4,387","1,626",-394,"-2,130","-3,140","-3,945","-4,542","-4,596","-4,639","-4,813","-5,017","-5,407","-5,911","-6,272","-6,458","-6,543","-6,824","-6,995","-6,953","-6,795","-6,482","-6,420","-6,530","-6,459","-6,084","-5,355","-4,625","-3,866","-3,220","-2,620","-1,857","-1,124",-286,641,"1,566","2,555","3,506","4,342","5,056","5,751","6,457","7,169","7,843","8,426","8,932","9,379","9,749","10,085","10,299","10,536","10,742","10,907","11,080","11,179","11,292","11,410","11,536","11,620","11,702","11,781","11,877","11,981","12,174","12,193","12,293","12,392","12,488","12,585","12,684",
Consumption,"12,010","7,254","7,088","6,952","7,844","9,532","10,812","12,078","11,335","11,344","11,352","11,741","12,086","12,924","13,288","13,476","13,054","13,887","13,830","13,346","14,385","14,454","13,982","12,943","12,226","12,059","11,813","11,857","11,939","12,126","12,429","12,571","12,670","12,634","12,561","12,489","12,384","12,308","12,301","12,259","12,212","12,152","12,072","12,026","11,946","11,929","11,947","11,975","12,055","12,131","12,161","12,173","12,180","12,122","12,056","11,998","11,925","11,838","11,763","11,696","11,631","11,581","11,541","11,518","11,527","11,550","11,553","11,551","11,560","11,592","11,639","11,663","11,699","11,734","11,739","11,790","11,804","11,839","11,882","11,945","11,973","12,015","12,063","12,131","12,207","12,379","12,376","12,458","12,537","12,615","12,692","12,772",
Public Consumption,"3,214","3,076","2,976","2,900","2,864","2,863","2,895","4,955","4,957","4,820","4,907","4,660","4,833","5,249","5,293","5,079","4,038","3,890","3,708","2,996","3,045","3,116","3,155","3,037","2,937","2,829","2,756","2,722","2,699","2,689","2,685","2,643","2,640","2,642","2,644","2,649","2,657","2,669","2,678","2,680","2,684","2,686","2,701","2,714","2,718","2,717","2,714","2,719","2,735","2,756","2,769","2,782","2,792","2,803","2,810","2,823","2,843","2,865","2,894","2,932","2,974","3,015","3,057","3,099","3,147","3,200","3,244","3,279","3,311","3,346","3,383","3,410","3,442","3,477","3,502","3,537","3,558","3,587","3,618","3,650","3,680","3,708","3,735","3,767","3,801","3,838","3,875","3,912","3,949","3,985","4,021","4,058",
"Public Consumption, Education",482,0,0,0,17,52,125,"2,231","2,286","2,203","2,333","2,114","2,313","2,753","2,821","2,626","1,596","1,453","1,271",553,589,638,644,498,377,257,175,133,99,78,60,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
"Public Consumption, Health",558,902,803,726,673,638,597,550,498,443,401,372,347,323,299,279,268,263,263,269,282,305,338,366,386,398,408,416,426,437,452,458,455,456,459,464,472,483,492,495,499,500,516,529,533,532,529,533,550,570,584,596,607,617,625,638,657,680,708,746,788,830,872,913,962,"1,014","1,058","1,093","1,126","1,160","1,198","1,225","1,256","1,292","1,316","1,351","1,373","1,402","1,432","1,465","1,495","1,523","1,549","1,581","1,616","1,652","1,690","1,727","1,764","1,800","1,836","1,872",
"Public Consumption, Other than health and education","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173","2,173",
Private Consumption,"8,797","4,178","4,112","4,053","4,980","6,669","7,917","7,123","6,378","6,524","6,445","7,081","7,254","7,675","7,995","8,397","9,017","9,997","10,122","10,350","11,340","11,337","10,827","9,906","9,289","9,230","9,057","9,135","9,240","9,437","9,744","9,928","10,030","9,992","9,916","9,840","9,727","9,639","9,623","9,579","9,528","9,466","9,370","9,312","9,228","9,211","9,233","9,256","9,320","9,375","9,392","9,392","9,388","9,320","9,246","9,174","9,083","8,973","8,870","8,764","8,658","8,565","8,484","8,419","8,379","8,351","8,309","8,272","8,248","8,246","8,256","8,253","8,257","8,257","8,238","8,254","8,246","8,252","8,264","8,295","8,293","8,307","8,328","8,365","8,406","8,541","8,500","8,545","8,588","8,630","8,671","8,714",
"Private Consumption, Education",841,0,0,0,935,"2,533","3,639","2,639","1,662","1,578","1,290","1,721","1,708","1,969","2,102","2,310","2,719","3,438","3,297","3,180","3,803","3,473","2,716","1,641",889,715,408,296,131,21,44,28,30,5,0,0,8,2,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,13,0,0,0,0,0,87,0,0,0,0,0,0,
"Private Consumption, Health",321,576,458,387,350,336,321,303,281,259,242,232,221,210,199,189,184,182,181,183,188,197,208,215,219,220,222,226,232,238,246,248,250,255,257,256,253,254,259,262,268,272,283,291,293,295,299,308,325,341,353,362,369,376,381,390,404,418,436,458,480,500,519,538,560,583,602,617,631,648,667,681,697,715,728,746,758,774,792,811,829,847,869,899,931,963,997,"1,030","1,063","1,095","1,128","1,162",
"Private Consumption, Other than health and education","7,635","3,602","3,654","3,665","3,695","3,799","3,956","4,180","4,435","4,686","4,913","5,128","5,325","5,497","5,694","5,898","6,114","6,377","6,643","6,987","7,349","7,667","7,904","8,050","8,181","8,295","8,427","8,614","8,876","9,178","9,454","9,651","9,749","9,732","9,660","9,583","9,466","9,383","9,364","9,318","9,260","9,194","9,087","9,011","8,935","8,916","8,934","8,948","8,995","9,034","9,039","9,030","9,019","8,944","8,864","8,784","8,679","8,555","8,434","8,306","8,178","8,066","7,965","7,881","7,819","7,767","7,707","7,655","7,617","7,599","7,583","7,572","7,560","7,542","7,510","7,495","7,488","7,478","7,472","7,471","7,464","7,461","7,459","7,465","7,476","7,491","7,504","7,515","7,526","7,535","7,543","7,552",
