Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
Lifecycle Deficit,"6,040","15,176","13,859","12,785","13,422","13,863","21,111","22,425","22,968","23,362","24,059","25,240","25,901","27,026","27,586","28,295","28,527","28,939","27,967","26,243","23,316","19,851","16,269","11,577","8,158","5,226","1,602",-638,"-3,234","-5,370","-6,627","-8,189","-9,189","-10,240","-11,311","-11,985","-13,084","-14,467","-15,575","-16,403","-16,666","-17,038","-17,844","-18,221","-18,772","-18,748","-18,810","-18,820","-18,435","-17,721","-16,230","-15,772","-15,641","-15,060","-13,937","-12,325","-10,406","-8,213","-5,452","-3,146",-597,"3,319","6,958","10,669","15,343","19,732","21,980","24,815","26,601","29,114","30,544","32,220","33,932","35,250","36,748","37,314","37,921","38,273","38,561","38,749","38,840","39,431","39,854","40,992","40,567","41,406","41,872","43,553","44,173","47,212","49,150","60,106"
Consumption,"31,377","15,176","13,859","12,785","13,422","13,863","21,111","22,425","22,968","23,362","24,059","25,240","25,901","27,026","27,586","28,295","28,972","29,764","29,512","29,122","28,331","27,839","27,745","26,668","26,710","27,040","26,835","27,490","28,007","28,334","28,839","29,042","29,606","30,256","30,907","31,217","31,144","30,782","30,813","31,214","31,361","31,466","31,675","31,800","31,758","32,052","32,561","33,144","33,909","34,553","35,309","35,687","36,006","36,356","36,992","37,903","38,504","39,339","40,133","40,233","40,259","40,694","41,139","41,204","41,730","42,507","41,625","41,844","40,964","41,331","41,473","41,893","42,417","42,528","42,992","42,962","42,861","42,548","42,290","42,002","41,678","41,877","42,275","42,828","42,410","43,090","43,169","44,697","45,465","48,421","50,283","61,169"
Public Consumption,"7,941","6,179","5,511","4,778","4,527","4,411","11,171","12,268","12,346","12,426","12,463","12,484","12,517","12,496","12,438","12,406","12,345","12,152","11,785","9,044","8,121","7,699","7,390","6,886","6,384","6,048","5,788","5,702","5,622","5,495","5,473","5,504","5,492","5,434","5,468","5,416","5,257","4,760","4,867","5,153","5,241","5,328","5,469","5,409","5,262","5,264","5,341","5,372","5,500","5,511","5,710","5,765","5,738","5,735","5,839","6,019","6,159","6,501","6,747","6,736","6,687","6,654","6,709","6,658","6,931","7,113","7,470","10,102","8,978","9,853","10,128","10,689","11,145","11,462","11,861","12,019","12,290","12,598","12,936","13,208","13,469","13,896","14,532","15,123","15,201","15,998","16,449","17,802","19,170","21,505","23,456","30,732"
"Public Consumption, Education","1,814",0,0,0,0,0,"6,788","7,918","7,991","8,011","8,027","8,037","8,047","8,040","8,033","8,021","7,960","7,771","7,383","4,597","3,564","3,061","2,673","2,145","1,626","1,344","1,124",985,876,800,719,646,601,564,510,485,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Public Consumption, Health","2,216","2,269","1,601",867,617,501,473,439,445,505,526,537,559,546,494,475,475,470,492,537,646,727,807,831,847,793,754,806,836,784,844,948,980,960,"1,048","1,021",896,850,957,"1,242","1,331","1,418","1,559","1,499","1,352","1,353","1,431","1,462","1,589","1,601","1,800","1,855","1,828","1,824","1,929","2,109","2,249","2,590","2,837","2,825","2,776","2,744","2,799","2,748","3,020","3,202","3,560","6,192","5,068","5,942","6,217","6,778","7,235","7,552","7,951","8,108","8,379","8,687","9,025","9,298","9,558","9,986","10,621","11,213","11,291","12,088","12,539","13,892","15,260","17,595","19,546","26,821"
"Public Consumption, Other than health and education","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910"
Private Consumption,"23,436","8,997","8,348","8,007","8,895","9,451","9,939","10,157","10,622","10,936","11,596","12,755","13,384","14,530","15,149","15,889","16,626","17,613","17,726","20,078","20,211","20,141","20,355","19,781","20,325","20,992","21,047","21,788","22,385","22,838","23,366","23,537","24,114","24,822","25,439","25,801","25,887","26,022","25,947","26,061","26,120","26,138","26,206","26,390","26,496","26,789","27,219","27,772","28,410","29,042","29,599","29,921","30,268","30,622","31,152","31,883","32,345","32,838","33,385","33,498","33,572","34,040","34,430","34,545","34,799","35,394","34,155","31,742","31,985","31,478","31,345","31,204","31,272","31,065","31,131","30,944","30,571","29,951","29,355","28,794","28,210","27,981","27,743","27,705","27,209","27,092","26,720","26,895","26,295","26,916","26,827","30,438"
"Private Consumption, Education",516,0,0,0,725,983,997,685,540,225,176,550,349,617,371,309,437,886,596,"2,648","2,623","2,391","2,384","1,434","1,440","1,453",803,812,815,823,828,460,467,472,475,475,334,336,333,326,319,232,225,228,235,254,293,334,368,392,395,285,255,226,199,174,155,146,145,146,158,178,185,171,156,127,63,48,42,37,36,38,41,46,54,65,62,73,83,91,101,101,101,101,101,101,101,101,101,101,101,101
"Private Consumption, Health","2,817","2,738","1,773","1,097",881,746,747,756,808,857,934,"1,022","1,158","1,282","1,393","1,517","1,557","1,572","1,618","1,668","1,592","1,513","1,466","1,428","1,429","1,506","1,571","1,674","1,809","1,834","1,946","2,050","2,133","2,176","2,242","2,203","2,271","2,346","2,399","2,564","2,655","2,691","2,677","2,686","2,649","2,705","2,838","3,026","3,245","3,430","3,693","3,873","4,058","4,218","4,479","4,787","4,882","5,058","5,445","5,511","5,597","5,945","6,154","6,163","6,319","6,942","5,805","3,523","3,874","3,532","3,535","3,519","3,670","3,597","3,873","4,038","4,265","4,355","4,519","4,731","4,892","5,028","5,255","5,691","5,726","6,155","6,396","7,166","7,200","8,456","8,948","13,099"
"Private Consumption, Other than health and education","20,103","6,258","6,575","6,910","7,289","7,723","8,196","8,716","9,274","9,854","10,485","11,184","11,877","12,631","13,385","14,063","14,633","15,154","15,512","15,762","15,996","16,237","16,505","16,919","17,456","18,033","18,674","19,302","19,760","20,182","20,592","21,028","21,514","22,174","22,721","23,123","23,281","23,341","23,215","23,171","23,146","23,215","23,303","23,477","23,612","23,830","24,089","24,411","24,797","25,220","25,511","25,764","25,955","26,177","26,475","26,922","27,308","27,633","27,795","27,840","27,817","27,916","28,091","28,211","28,325","28,325","28,287","28,171","28,070","27,909","27,774","27,647","27,561","27,422","27,203","26,842","26,245","25,522","24,752","23,972","23,217","22,851","22,388","21,914","21,382","20,836","20,224","19,628","18,995","18,359","17,778","17,238"
