State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3
CA,,,,,0.197132616,0.039426523,-0.148367953,-0.168874172,-0.137724551,-0.089655172,-0.069686411,0.298804781,-0.15625,0.143939394,0.217228464,-0.009202454,0.218106996,-0.079470199,-0.098461538,0.018575851,0.010135135,0.086330935,0.068259386,-0.036474164,0.123745819,0.112582781,0.012779553,0.132492114,0,0.011904762,0.104100946,0.022284123,0.095238095,0.076470588,0.1,0.019073569,-0.067934783,-0.00273224,-0.072727273,-0.053475936,-0.037900875,-0.021917808,-0.014005602,-0.031073446,0.042424242,0.100840336,0.133522727,0.084548105,0.113372093,-0.022900763,-0.002506266,-0.029569892,-0.039164491,0.044270833,0.010050251,0.008310249,-0.097826087,-0.009975062,0.067164179,0.076923077,0.15060241,0.151133501,0.328671329,0.280612245,0.034031414,-0.054704595,-0.201754386,-0.053784861,0.010126582,0.039351852,0.050549451,-0.113684211,0.140350877,0.216035635,0.142259414,0.263657957,-0.065934066,0.007326007,-0.001831502,-0.184210526,-0.042352941,-0.078181818,0.064220183
WA,,,,,0.243377483,0.182119205,-0.010928962,0.025568182,-0.19840213,-0.148459384,-0.002762431,0.011080332,0.240863787,0.226973684,-0.016620499,-0.02739726,-0.014725569,-0.021447721,0.063380282,0.121126761,0.010869565,-0.04109589,-0.149668874,-0.042713568,-0.010752688,0.025714286,0.118380062,0.070866142,0.002717391,0.036211699,0.058495822,-0.00245098,0.109756098,0.139784946,0.118421053,-0.004914005,0.035409035,0.080188679,0.077647059,0.079012346,-0.025943396,-0.013100437,-0.002183406,0.09382151,0.089588378,-0.013274336,-0.028446389,-0.092050209,0.015555556,0.051569507,0.074324324,0.096774194,0.142231947,0.153518124,0.029350105,-0.031512605,-0.187739464,-0.155268022,-0.101832994,-0.147505423,0.014150943,-0.026258206,0.131519274,0.150127226,-0.046511628,-0.134831461,-0.236472946,-0.117256637,-0.02195122,0.098701299,0.099737533,0.002506266,0.067331671,0.113475177,0.090692124,0.165,0.189252336,0.174097665,0.164113786,-0.015021459,-0.143418468,-0.151898734,-0.018796992
TX,,,,,0.018639329,0.00456621,0.104,-0.001805054,0.086916743,0.017272727,-0.025362319,0.007233273,-0.115319865,-0.052725648,-0.074349442,-0.044883303,0.014272122,0.069811321,-0.0562249,-0.137218045,-0.011257036,0.003527337,0.187234043,0.185185185,0.142314991,-0.001757469,-0.001792115,0.080882353,-0.046511628,0.047535211,0.098743268,-0.026360544,0.038327526,-0.018487395,0.019607843,0.009606987,-0.125838926,-0.104452055,-0.154647436,-0.10899654,0.071976967,0.051625239,0.046445498,0.066019417,0.054610564,0.065454545,0.066123188,0.041894353,-0.025466893,0.018771331,0.051826678,0.036713287,0.091463415,0.090452261,0.047657512,0.043001686,-0.047086991,-0.026113671,0.01464919,0.000808407,0.093802345,0.09148265,0.141337386,0.134087237,-0.102603369,-0.166184971,-0.222370173,-0.12962963,0.083617747,0.131715771,0.168664384,0.093289689,0.220472441,0.130168453,0.065201465,0.173652695,-0.003870968,0.147696477,0.16781293,-0.026785714,0.015544041,0.010625738,0.081272085
IL,,,,,-0.024671053,-0.006700168,-0.0475382,-0.046683047,0.013490725,-0.015177066,0.071301248,0.017182131,-0.087354409,-0.061643836,-0.083194676,-0.016891892,-0.004557885,0.027372263,0.02722323,-0.028350515,0.023809524,0.030195382,0.051236749,0.000884173,0.007155635,0.013793103,-0.021848739,0.022968198,0.069271758,0.084183673,0.079037801,0.039723661,0.033222591,0.008627451,0.011146497,-0.059800664,-0.11414791,-0.078538103,-0.062992126,0.048586572,0.029038113,0.029535865,0.058823529,0.031171019,0.05643739,0.024590164,0.006349206,-0.044117647,0.01836394,-0.0016,0.036277603,0.044444444,0.044262295,0.116987179,0.062404871,0.042553191,0.004709576,-0.025824964,0.010028653,0.015698587,0.06328125,0.046391753,0.103546099,0.091190108,-0.066862601,-0.078114004,-0.123393316,0.001416431,0.053543307,-0.000763359,-0.004398827,0.002828854,0.077727952,0.165775401,0.032400589,0.098730606,0.05409154,0.090432503,0.191155492,-0.011553273,0.028289474,-0.001201923,0.086227545
OR,,,,,0.164222874,0.332225914,0.24796748,0.128851541,-0.050377834,-0.096009975,-0.142236699,-0.131513648,-0.339522546,-0.451034483,-0.559493671,-0.022857143,0.473895582,0.688442211,1,0.00877193,0.019073569,0.086309524,-0.086206897,-0.052173913,-0.240641711,0.030136986,0.086477987,0.351681957,-0.052816901,0.242021277,0.099855282,-0.056561086,0.591078067,-0.066381156,0.176315789,-0.009592326,0.01635514,-0.025229358,-0.013422819,0.00968523,-0.043678161,0.065882353,0.052154195,0.101918465,0.0625,0.004415011,0.023706897,-0.029379761,0.002262443,-0.026373626,-0.12,-0.030269058,0.101580135,0.167042889,0.186602871,0.042774566,-0.168032787,-0.121856867,-0.122983871,-0.10864745,0.044334975,0.046255507,0.117241379,0.019900498,-0.028301887,-0.193684211,-0.179012346,0.024390244,-0.007281553,0.120104439,0.067669173,-0.042857143,-0.036674817,0.10955711,0.091549296,0.114427861,0.373096447,0.178571429,0.174193548,0.040178571,-0.160813309,-0.058823529,-0.014652015
NJ,,,,,-0.036649215,-0.034305317,-0.0192,0.027491409,0.044384058,0.071047957,-0.014681892,-0.02006689,-0.04509974,-0.081260365,-0.081125828,-0.02559727,0.019073569,0.0433213,0.054054054,0.000875657,-0.028520499,0.008650519,-0.042735043,-0.042869641,0.264220183,-0.121783877,-0.058928571,0.024680073,-0.1712627,0.1953125,0.229601518,0.070472792,0.140105079,0.045751634,0.066358025,-0.051666667,-0.159754224,-0.06875,-0.09406657,-0.065026362,0.02559415,-0.003355705,-0.052715655,0.12406015,0.010695187,0.035353535,0.05227656,-0.068561873,0.081128748,0.031707317,0.030448718,0.163375224,0.099510604,0.133175729,0.099533437,-0.021604938,-0.034124629,-0.091794159,-0.033946252,0.009463722,0.004608295,0.110260337,0.159590044,0.11953125,-0.183486239,-0.208965517,-0.257575758,-0.157013259,0.176029963,0.231037489,0.299319728,0.130794702,0.210191083,0.200424929,0.089005236,0.212298682,0.053947368,0.030088496,0.019230769,-0.156400966,-0.214731586,-0.197021764,-0.005896226
VA,,,,,-0.033227848,0.008702532,0.003164557,-0.001574803,0.049099836,0.016470588,0.001577287,-0.018927445,-0.088923557,-0.099537037,-0.077952756,-0.061897106,-0.047945205,0.066838046,0.046968403,-0.01285347,-0.001798561,-0.074698795,-0.024469821,0.057291667,0.153153153,0.060763889,-0.009197324,0.056650246,0.0359375,0.085106383,0.108860759,0.08003108,0.015082956,0.036199095,0.02739726,-0.035971223,-0.047548291,-0.002911208,0.038518519,-0.005970149,0.051482059,-0.034306569,-0.051355207,0.043543544,-0.008902077,0,0.015789474,-0.087769784,0.000748503,0.021164021,0.012583272,0.047318612,0.011219147,0.066617321,0.06871345,0.067771084,0.121301775,0.138098543,0.129274966,0.097320169,0.021108179,0.030487805,0.143549364,0.07840617,-0.125322997,-0.19408284,-0.188559322,-0.022646007,0.119645495,0.187958884,0.093994778,0.05,0.142480211,0.202719407,0.122911695,0.135888502,0.032332564,0.061664954,0.008501594,-0.106339468,-0.022371365,-0.066311713,0.080084299
FL,,,,,0.047202797,0.045774648,0.026132404,0.010067114,0.008347245,-0.005050505,-0.066213922,-0.086378738,-0.107615894,-0.172588832,-0.045454545,-0.14,-0.022263451,0.161554192,0.115238095,0.186046512,0.119544592,0.047535211,0.010247652,0.032085561,0.069491525,0.042016807,0.038038884,0.04835924,0.001584786,0.033870968,0.042345277,0.02800659,0.047468354,-0.024960998,0.0515625,-0.055288462,-0.089123867,-0.0224,-0.084695394,-0.036471586,0.080431177,0.034369885,0.030844156,0.108274648,-0.019186493,0.022943038,0.031496063,-0.038919778,0.001564945,0.000773395,0.021374046,0.076033058,0.065625,0.119010819,0.067264574,0.029185868,-0.039589443,-0.029005525,0.054621849,0.070895522,0.100763359,0.058321479,0.16998672,0.066202091,-0.094313454,-0.095430108,-0.149829739,-0.02875817,0.091117917,0.128528975,0.094125501,0.075370121,0.244912281,0.242922976,0.095790116,0.192740926,0.043404735,0.081567797,0.099665924,-0.096012592,-0.113992437,-0.085700294,0.04
AZ,,,,,0.119241192,-0.087804878,-0.003663004,-0.008905852,-0.043583535,-0.20855615,0.140931373,-0.198973042,-0.13164557,0.216216216,-0.091299678,0.336538462,0.153061224,-0.075,-0.078014184,-0.208633094,-0.104930468,0.006006006,-0.079487179,0.163636364,0.042372881,-0.026865672,-0.059888579,0.033854167,0.116531165,0.180981595,0.125925926,0.013853904,0.015776699,0.036363636,0.021052632,-0.008695652,-0.044205496,-0.037593985,-0.067010309,0.037593985,0.025,0.106770833,0.162983425,0.055555556,0.026829268,0.056470588,0.147268409,0.016018307,0.173396675,0.144766147,0.042443064,-0.027027027,-0.131578947,-0.13618677,-0.132075472,-0.05787037,-0.053613054,0.027027027,0.059496568,0.049140049,-0.009852217,0.106359649,0.319654428,0.201405152,0.084577114,-0.113974232,-0.271685761,-0.115009747,0.01146789,0.006711409,0.053932584,-0.013215859,0.097505669,0.235555556,0.176972281,0.215401786,0.003099174,0.084532374,0.101449275,-0.072543618,-0.093717817,-0.107794362,-0.016447368
NY,,,,,0.012477718,-0.009836066,0.016611296,-0.050713154,0.058098592,-0.008278146,-0.02124183,0.003338898,-0.036605657,-0.040066778,-0.035058431,-0.034941764,-0.055267703,0.010434783,0.051038062,-0.015517241,0.02559415,0.020654045,0.010699588,0.008756567,0.07486631,0.018549747,-0.060260586,0.024305556,-0.04145937,0.018211921,0.077989601,0.028813559,0.125432526,0.117073171,-0.112540193,-0.05601318,-0.132974635,-0.14992722,0.126811594,-0.001745201,0.022163121,0.039383562,-0.01607717,0.079545455,0.073720729,0.024711697,0.031045752,-0.051821862,-0.021001616,0,0.028526149,0.064047822,0.070957096,0.151125402,0.109399076,0.051364366,-0.022342065,-0.024441341,0.027777778,0.051145038,0.090622537,0.01861131,0.163513514,0.080610022,-0.132947977,-0.082923401,-0.133565621,0.009408602,0.144166667,0.07816092,0.028150134,0.037283622,0.121631464,0.297796731,0.101694915,0.096277279,0.032467532,-0.009857612,0.030769231,-0.158079625,-0.211949686,-0.142146018,0.013777268
