State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2
US,N/A,N/A,N/A,N/A,15.300%,13.700%,9.200%,-3.500%,-6.700%,-10.700%,-5.400%,9.400%,-6.500%,6.100%,1.400%,-4.400%,7.200%,-4.500%,-7.500%,-1.800%,3.800%,8.700%,6.700%,-0.800%,1.600%,8.200%,2.600%,10.900%,3.800%,3.700%,10.800%,5.00%,4.900%,2.100%,3.700%,-4.200%,-6.00%,-4.300%,-9.800%,-5.200%,-3.00%,-2.400%,1.00%,3.300%,3.500%,4.400%,5.600%,0.200%,3.500%,-0.100%,1.00%,0.200%,2.800%,7.200%,4.200%,2.00%,-4.900%,-0.600%,3.500%,3.600%,7.300%,8.800%,22.200%,16.700%,-3.200%,-11.100%,-19.900%,-7.00%,3.900%,7.600%,7.100%,-0.900%,11.00%,18.900%,11.400%,17.100%,3.500%,6.600%,7.500%,-7.700%,-4.600%,-6.400%,5.500%,11.100%,15.400%,15.200%
IL,N/A,N/A,N/A,N/A,-11.00%,-10.400%,-10.900%,-9.400%,2.300%,0.500%,8.600%,2.900%,-6.200%,-3.800%,-3.900%,0.200%,3.700%,4.00%,3.00%,0.800%,3.500%,2.200%,1.300%,-3.400%,-0.700%,2.900%,3.400%,6.00%,7.00%,10.900%,7.100%,5.300%,5.400%,-0.700%,-8.00%,-6.700%,-12.900%,-10.900%,-3.600%,-4.100%,-5.00%,-0.300%,7.500%,7.500%,7.900%,2.400%,-1.400%,-8.400%,-0.200%,-0.900%,1.800%,4.500%,4.600%,11.900%,6.700%,2.600%,0%,-2.800%,0.700%,2.400%,7.00%,5.400%,12.100%,12.800%,-6.100%,-8.700%,-13.800%,-3.300%,4.200%,0%,-0.900%,0%,7.400%,16.500%,3.800%,10.300%,5.900%,10.300%,21.100%,0.800%,4.300%,0.400%,8.200%,8.200%,8.00%,14.700%
IN,N/A,N/A,N/A,N/A,-6.700%,-4.500%,-6.300%,-3.800%,-0.800%,0.200%,-2.600%,-5.400%,-3.600%,-9.600%,-5.00%,1.600%,4.200%,0.700%,8.600%,1.400%,2.100%,2.100%,-6.100%,-8.100%,2.600%,7.400%,8.100%,7.800%,1.100%,4.100%,0.800%,2.700%,2.900%,-0.500%,1.300%,-3.800%,-7.100%,-4.800%,1.00%,0.300%,-2.100%,-2.900%,-11.400%,-5.200%,-2.800%,0.600%,3.300%,-3.700%,3.700%,0.600%,2.300%,7.600%,5.300%,12.00%,10.400%,9.900%,0.800%,0.200%,2.400%,-1.00%,3.500%,4.900%,18.00%,25.900%,-2.00%,-7.900%,-11.400%,-12.100%,8.800%,11.800%,4.900%,-2.500%,8.600%,13.800%,12.400%,17.200%,16.500%,11.600%,13.500%,5.00%,0.400%,-3.00%,-1.300%,4.600%,6.300%,11.200%
MI,N/A,N/A,N/A,N/A,-4.100%,-1.500%,-0.200%,-1.700%,1.500%,1.900%,-0.100%,-1.300%,-0.700%,-3.700%,-3.600%,1.500%,-3.200%,0%,5.300%,-3.00%,1.700%,-1.500%,-0.900%,-7.00%,3.400%,5.300%,0.900%,4.800%,0.100%,3.200%,2.00%,15.400%,4.800%,-0.800%,4.900%,-3.400%,2.400%,2.800%,0.600%,-1.200%,-2.800%,0.200%,-5.700%,-0.200%,0.200%,-2.600%,2.800%,-4.00%,1.300%,1.500%,-1.500%,3.00%,0.900%,5.800%,5.00%,4.900%,3.700%,1.00%,5.200%,2.700%,6.800%,1.200%,10.400%,6.600%,-7.900%,-2.100%,-11.200%,-1.100%,5.00%,3.800%,1.800%,6.900%,12.100%,23.900%,12.600%,11.800%,10.100%,8.900%,19.500%,3.700%,5.700%,-3.900%,2.900%,4.600%,7.700%,15.700%
OH,N/A,N/A,N/A,N/A,-7.500%,-3.900%,3.100%,-3.100%,4.900%,0.600%,-0.900%,-1.400%,-6.700%,-6.300%,-5.200%,2.900%,-3.700%,-4.900%,-3.500%,-4.400%,10.900%,9.100%,5.00%,-0.400%,6.200%,4.400%,6.400%,3.600%,-1.300%,1.500%,-0.100%,1.600%,-2.400%,-2.500%,4.200%,-2.00%,-5.400%,-1.700%,-5.900%,-3.500%,-1.500%,-4.300%,-5.800%,0%,3.00%,4.00%,4.200%,-1.500%,-0.600%,-0.500%,2.600%,6.600%,5.00%,10.500%,11.600%,4.00%,2.800%,1.500%,-2.800%,3.700%,11.400%,3.500%,21.600%,14.500%,-10.400%,-7.300%,-14.300%,-7.100%,8.500%,10.800%,7.600%,4.100%,13.300%,16.500%,11.500%,18.800%,10.200%,15.100%,12.600%,3.700%,-3.200%,-4.300%,3.500%,-2.500%,12.400%,16.700%
WI,N/A,N/A,N/A,N/A,-2.600%,-2.900%,5.600%,-0.900%,0.700%,0.800%,0.800%,-4.600%,-3.00%,-3.900%,-1.900%,1.300%,-3.300%,-2.00%,-0.700%,4.600%,4.100%,4.200%,9.600%,-8.200%,5.300%,9.800%,-4.600%,11.200%,-4.00%,1.400%,8.00%,-4.700%,3.700%,-2.200%,2.300%,2.00%,5.300%,-0.500%,-4.100%,0%,-4.100%,0.600%,-3.00%,4.500%,4.200%,-0.900%,0.300%,-8.400%,1.200%,-0.600%,3.500%,10.0%,4.300%,12.400%,9.100%,6.300%,2.500%,-1.100%,-0.200%,0.400%,3.900%,2.700%,10.800%,3.400%,-9.400%,-8.900%,-16.600%,-4.00%,2.200%,-2.400%,-0.100%,-0.600%,3.600%,21.100%,24.400%,16.200%,17.900%,11.300%,6.900%,4.00%,6.700%,-2.00%,4.400%,6.200%,9.900%,20.800%
AL,N/A,N/A,N/A,N/A,-9.200%,-12.300%,-9.300%,4.600%,7.900%,1.100%,13.300%,-8.700%,-16.00%,-8.600%,-6.800%,14.300%,20.600%,6.900%,-7.500%,-9.300%,-1.700%,14.100%,10.0%,1.00%,-4.200%,-5.300%,9.200%,4.200%,9.800%,4.700%,5.800%,1.300%,-5.600%,-0.500%,-5.200%,-5.700%,-10.600%,-6.600%,-6.900%,-7.300%,-0.200%,-13.900%,-13.00%,-5.200%,-2.400%,7.800%,4.00%,1.200%,-3.600%,-3.300%,2.200%,4.700%,10.300%,14.00%,10.300%,10.600%,8.00%,5.400%,6.200%,5.900%,6.600%,5.600%,23.900%,0.200%,-4.200%,-12.200%,-14.600%,2.900%,-3.700%,9.500%,5.00%,-2.800%,17.200%,17.800%,12.900%,29.00%,12.200%,18.900%,8.500%,-8.00%,5.400%,-1.800%,10.100%,11.100%,7.900%,5.00%
KY,N/A,N/A,N/A,N/A,-6.300%,1.100%,1.600%,-3.900%,7.600%,3.100%,2.00%,-8.800%,-8.600%,-15.700%,-16.800%,-2.100%,1.700%,2.800%,6.700%,1.600%,8.200%,11.00%,10.600%,0.600%,-2.100%,3.400%,5.100%,2.400%,-1.500%,-6.300%,-7.400%,-2.900%,-1.400%,1.00%,8.500%,-0.200%,-7.500%,-3.600%,-12.700%,-9.700%,-3.500%,-0.300%,-2.100%,5.900%,5.600%,-3.900%,3.700%,-5.800%,-3.800%,3.900%,2.300%,1.900%,-3.300%,3.300%,6.300%,7.300%,16.600%,12.800%,10.600%,12.700%,9.100%,3.500%,1.500%,5.900%,-5.600%,-5.300%,-0.300%,0.700%,0%,1.700%,3.600%,0.300%,13.300%,19.100%,8.300%,14.800%,13.00%,11.600%,8.900%,-2.800%,-0.500%,-1.200%,5.500%,17.700%,13.500%,9.300%
MS,N/A,N/A,N/A,N/A,10.100%,-13.100%,5.500%,16.200%,3.700%,10.0%,-3.00%,-17.300%,-20.500%,-8.700%,-23.400%,4.900%,6.300%,-6.00%,16.700%,10.400%,12.100%,21.200%,-2.100%,4.00%,-16.00%,0%,14.800%,1.900%,19.100%,-4.900%,2.00%,2.100%,-8.800%,1.500%,-2.100%,-4.400%,-10.900%,-12.300%,-7.300%,-6.600%,2.100%,-6.300%,-10.500%,-11.500%,-1.600%,2.300%,12.100%,-7.800%,0.300%,9.500%,-1.600%,15.900%,10.600%,6.200%,13.200%,8.00%,0.700%,4.00%,2.200%,9.100%,17.700%,12.800%,29.600%,-1.400%,-19.500%,-5.200%,-19.800%,15.600%,23.700%,-5.300%,7.400%,-2.800%,14.700%,29.400%,-4.00%,20.900%,-2.400%,0.900%,26.800%,-18.100%,1.800%,-3.500%,-5.00%,20.400%,8.600%,14.300%
TN,N/A,N/A,N/A,N/A,1.100%,-4.800%,4.600%,0.200%,-1.100%,0.500%,3.100%,-5.800%,-2.500%,-6.600%,-5.400%,-3.00%,-2.600%,0.800%,-4.600%,-0.300%,9.300%,3.600%,9.700%,6.900%,-1.200%,2.600%,1.400%,4.700%,-1.500%,3.00%,6.00%,1.900%,1.500%,2.500%,1.900%,-5.800%,-0.300%,-6.100%,-4.900%,-0.900%,-1.200%,-0.900%,-9.500%,-5.300%,-5.200%,0.300%,5.300%,-2.900%,2.300%,-0.900%,0.400%,7.300%,6.800%,10.400%,8.400%,8.300%,0%,1.200%,4.300%,1.700%,7.400%,4.400%,15.800%,6.100%,-5.500%,-9.800%,-15.00%,-0.700%,6.500%,12.300%,1.00%,-2.100%,5.500%,13.00%,16.300%,23.400%,18.700%,14.100%,7.400%,-3.700%,0.300%,-1.300%,16.900%,9.600%,6.600%,13.800%
