State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2
IL,608,597,589,610.5,593,593,561,582,601,584,601,592,548.5,548,551,582,546,563,566,565.5,559,580,595,566,563,588,582,579,602,637.5,628,602,622,643,635,566,551,592.5,595,593.5,567,610,630,612,599,625,634,585,610,624,657,611,637,697,698,637,640,679,705,647,680.5,710.5,778,706,635,655,682,707,669,654.5,679,709,721,763,701,779,759,832,834,770,779.5,828,907,830,837,945
IN,594,602,590,651,590,596,602.5,606,601,610,594.5,585,557,524.5,557,559,518.5,554,596,558,570,577,590,579,609,618,605.5,610.5,621,638,632,609,631,654,656,608,595,619,670,615.5,601,604,595,592,579.5,612,617,572,605,614.5,631,616,640,688.5,696,681,641,691,718,674,667,723.5,847,842,653,667.5,744,743.5,710.5,744,782,728.5,770,850,881,850,895,945,992,888,901,912,986,933,957,1017.5
MI,598,582.5,599,601,585,587.5,601,598,580,589,588,584,563,549,544,543,529,558,577,550,555,572,612,555,594,602,612,574,592,626,630,652,616,617.5,659,646,639,644,684,646,629,644.5,639,638,631,633,661,618,642.5,645,653,634.5,644,678,683,672,670,690.5,722,691,713,694,779.5,735,656,677.5,705,731,695,710,722,779.5,778,877.5,800.5,871,855,956,961.5,893.5,901,918,996,942.5,966,1065
OH,578,607.5,574,587,581.5,590,597,578,597,578,581,554,537,527,505,462,475,518,517,524,560,591,589,582,638,615.5,621,585,605,624,619,579,603,617,642,595,563,596,613,586,581,593,591,586,605,617,618,579,601,620,636,622,631,675,706,650,651,683,688,664,708,713,828,748.5,652,660,712,713,703.5,712,761,735,793,855.5,851,875.5,869,965.5,957,905,838.5,935,978,886,947.5,1092
WI,584,581.5,551,590,586,595,601,605,598,595,601,578,566,536,565,579,529,549,551,568,553,585.5,635,571,605.5,645,617,639,588,645,672.5,615,616,643,701.5,614,641,645.5,668,625,621,653,650,650,642,642,651,594,656,643,682,654,680,720,743,700.5,700,715,742,704,726.5,733.5,800,726.5,659,669,681,696,672.5,652,684,695.5,693.5,791,852,807,818,878,908,825,873,852,926,883,955,1039
AL,577,645,611,648.5,597,588,607,629,639.5,592,594.5,572,531,484,553,521,579,598.5,577.5,567,655,661.5,585,638.5,627,643,636.5,657,678,670,697.5,638.5,669,635,680,641,644,652,678,629,629,582,581.5,599,636,621,618,593,614,596,635,625,671,690,694,706,738.5,736,750,749,774,779,920,744,754,683,788,769.5,726,744.5,831,750,833.5,882,939,967.5,956,1040,1012,884,995,1022,1114,972,1082,1079
KY,544.5,558,509,563.5,524,541,12,557,12,6,0,0,6,0,153.5,0,0,527,533,531,574,565,594,585,612,632,590,566,578.5,563,550,554,582,578,611.5,537.5,526,570,563,555,548.5,589,563.5,566,578,577,585,546,564,599,601,559,545,610,639,615,644,706,723,688,713,734,734,734,662,695,729,737,672,706,752.5,739,755,839,811,848,862,932.5,894,810,856,925,937,970,970,1006
MS,615.5,751.5,622,629.5,576,556,628,577.5,628.5,582,573,559.5,571,530,474.5,0,544.5,601,592,601.5,569.5,671,556,680,619,724,688,736,735,670,708.5,627,675,704,699,594,617,643.5,645,685.5,619.5,596,603,598,628,616,677,549,630,672.5,666,651,699,714.5,752,704,706,744,773,757.5,834.5,843.5,992,755,656,788,781.5,874.5,829,756.5,862.5,850,950,980,828,1026,930.5,986.5,1050,842,946.5,954,993,975,1013,1089
TN,568,597,565,585,586,590,579,593.5,589.5,596.5,573,565.5,557,539,550,523,486.5,559.5,547,565,589,581,630,608,613,613,610,643,592,633,663,629,628,650,681,624,615,629.5,658,645,634.5,623,599.5,598.5,607,633,643,575,621,630,645,630,661,700,698.5,687,670,706.5,732,699,722,742,843,728,678.5,669,721,739,726,752,731,724.5,762,850,838,895,906.5,966,908.5,860,908,954,1044.5,933,954,1078
NY,561,610,602,631,568,604,612,599,601,599,599,601,579,575,578,580,547,581,607.5,571,561,593,614,576,603,604,577,590,578,615,622,607,650.5,687,552,573,564,584,622,572,576.5,607,612,617.5,619,622,631,585.5,606,622,649,623,649,716,720,655,634.5,698.5,740,688.5,692,711.5,861,744,600,652.5,746,751,686.5,703.5,767,779,770,913,845,854,789.5,904,866,714.5,622,765,883,814,769,892
